time,Philadelphia,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Okafor vs. I. Zubac (J. Randle gains possession),,,,Jump ball: J. Okafor vs. I. Zubac (J. Randle gains possession)
11:38.0,,,0-2,2,D. Russell makes 2-pt shot from 1 ft (assist by J. Randle)
11:21.0,D. Saric misses 3-pt shot from 26 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by I. Zubac
11:09.0,,,0-4,2,J. Randle makes 2-pt shot from 11 ft
10:50.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft (block by I. Zubac),,0-4,,
10:48.0,,,0-4,,Defensive rebound by J. Randle
10:42.0,,,0-4,,Turnover by J. Randle (bad pass; steal by D. Saric)
10:33.0,G. Henderson makes 3-pt shot from 26 ft (assist by D. Saric),3,3-4,,
10:21.0,,,3-4,,D. Russell misses 2-pt shot from 12 ft
10:20.0,Defensive rebound by D. Saric,,3-4,,
10:10.0,G. Henderson misses 2-pt shot from 4 ft (block by I. Zubac),,3-4,,
10:10.0,Offensive rebound by Team,,3-4,,
10:03.0,Turnover by J. Okafor (dbl dribble),,3-4,,
9:54.0,Personal foul by T. Luwawu-Cabarrot (drawn by D. Russell),,3-4,,
9:43.0,,,3-6,2,B. Ingram makes 2-pt shot from 15 ft
9:38.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by T. McConnell),2,5-6,,
9:22.0,,,5-6,,J. Randle misses 3-pt shot from 26 ft
9:21.0,Defensive rebound by D. Saric,,5-6,,
9:11.0,D. Saric misses 3-pt shot from 27 ft,,5-6,,
9:10.0,Offensive rebound by J. Okafor,,5-6,,
9:04.0,J. Okafor misses 2-pt shot from 3 ft (block by I. Zubac),,5-6,,
9:02.0,,,5-6,,Defensive rebound by I. Zubac
8:48.0,,,5-6,,Turnover by B. Ingram (lost ball; steal by D. Saric)
8:39.0,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft (block by I. Zubac),,5-6,,
8:37.0,,,5-6,,Defensive rebound by J. Randle
8:18.0,,,5-6,,D. Russell misses 2-pt shot from 15 ft
8:18.0,Defensive rebound by Team,,5-6,,
7:58.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft,2,7-6,,
7:34.0,,,7-6,,D. Nwaba misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by D. Saric,,7-6,,
7:28.0,D. Saric makes 2-pt shot from 20 ft,2,9-6,,
7:07.0,,,9-8,2,B. Ingram makes 2-pt shot from 3 ft
6:54.0,G. Henderson makes 2-pt shot from 10 ft,2,11-8,,
6:54.0,Shooting foul by D. Nwaba (drawn by G. Henderson),,11-8,,
6:54.0,,,11-8,,LA Lakers full timeout
6:54.0,G. Henderson misses free throw 1 of 1,,11-8,,
6:54.0,,,11-8,,J. Clarkson enters the game for D. Nwaba
6:53.0,,,11-8,,Defensive rebound by I. Zubac
6:40.0,,,11-8,,B. Ingram misses 3-pt shot from 27 ft
6:39.0,Defensive rebound by T. McConnell,,11-8,,
6:33.0,G. Henderson makes 2-pt shot at rim (assist by T. McConnell),2,13-8,,
6:17.0,,,13-10,2,I. Zubac makes 2-pt shot from 3 ft (assist by J. Clarkson)
6:03.0,J. Okafor makes 2-pt shot from 2 ft (assist by T. Luwawu-Cabarrot),2,15-10,,
5:50.0,,,15-10,,J. Clarkson misses 2-pt shot from 5 ft
5:48.0,Defensive rebound by T. Luwawu-Cabarrot,,15-10,,
5:39.0,J. Okafor misses 2-pt shot from 9 ft,,15-10,,
5:34.0,,,15-10,,Defensive rebound by I. Zubac
5:27.0,,,15-12,2,D. Russell makes 2-pt shot from 11 ft (assist by J. Clarkson)
5:13.0,T. Luwawu-Cabarrot makes 3-pt shot from 26 ft (assist by J. Okafor),3,18-12,,
4:58.0,,,18-12,,Turnover by J. Clarkson (bad pass; steal by T. McConnell)
4:55.0,Turnover by T. McConnell (lost ball),,18-12,,
4:55.0,N. Stauskas enters the game for G. Henderson,,18-12,,
4:55.0,R. Holmes enters the game for J. Okafor,,18-12,,
4:45.0,,,18-12,,Turnover by I. Zubac (step out of bounds)
4:34.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,18-12,,
4:32.0,,,18-12,,Defensive rebound by D. Russell
4:29.0,,,18-12,,Turnover by D. Russell (lost ball)
4:29.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,18-12,,
4:29.0,,,18-12,,T. Black enters the game for I. Zubac
4:15.0,D. Saric misses 2-pt shot from 2 ft,,18-12,,
4:13.0,,,18-12,,Defensive rebound by J. Randle
4:03.0,,,18-12,,J. Randle misses 2-pt shot from 1 ft
4:01.0,,,18-12,,Offensive rebound by J. Randle
3:59.0,,,18-12,,J. Randle misses 2-pt shot from 1 ft
3:55.0,Defensive rebound by R. Holmes,,18-12,,
3:44.0,D. Saric makes 3-pt shot from 25 ft (assist by R. Holmes),3,21-12,,
3:28.0,,,21-12,,D. Russell misses 2-pt shot from 6 ft
3:24.0,,,21-12,,Offensive rebound by T. Black
3:15.0,,,21-14,2,J. Randle makes 2-pt shot from 3 ft
3:12.0,Philadelphia full timeout,,21-14,,
3:12.0,,,21-14,,L. Nance enters the game for J. Randle
3:12.0,S. Rodriguez enters the game for T. McConnell,,21-14,,
2:50.0,R. Holmes makes 2-pt shot at rim (assist by S. Rodriguez),2,23-14,,
2:28.0,,,23-14,,T. Black misses 2-pt shot from 4 ft
2:26.0,Defensive rebound by R. Holmes,,23-14,,
2:19.0,Turnover by S. Rodriguez (bad pass; steal by B. Ingram),,23-14,,
2:13.0,,,23-16,2,B. Ingram makes 2-pt shot from 2 ft
1:49.0,N. Stauskas makes 2-pt shot from 12 ft,2,25-16,,
1:43.0,,,25-18,2,T. Black makes 2-pt shot at rim (assist by B. Ingram)
1:32.0,,,25-18,,Violation by T. Black (def goaltending)
1:32.0,D. Saric makes 2-pt shot from 3 ft,2,27-18,,
1:17.0,,,27-18,,Turnover by D. Russell (bad pass; steal by R. Holmes)
1:11.0,D. Saric makes 2-pt shot at rim (assist by S. Rodriguez),2,29-18,,
1:00.0,,,29-20,2,J. Clarkson makes 2-pt shot from 4 ft
1:00.0,,,29-20,,Shooting foul by D. Saric (drawn by J. Clarkson)
1:00.0,,,29-21,1,J. Clarkson makes free throw 1 of 1
1:00.0,,,29-20,,T. Ennis enters the game for D. Russell
1:00.0,S. Long enters the game for D. Saric,,29-20,,
0:47.0,R. Holmes makes 3-pt shot from 26 ft (assist by N. Stauskas),3,32-21,,
0:38.0,,,32-24,3,L. Nance makes 3-pt shot from 24 ft (assist by J. Clarkson)
0:26.0,S. Long misses 2-pt shot from 5 ft,,32-24,,
0:24.0,,,32-24,,Defensive rebound by B. Ingram
0:08.0,,,32-26,2,J. Clarkson makes 2-pt shot from 5 ft
0:08.0,,,32-26,,Shooting foul by S. Long (drawn by J. Clarkson)
0:08.0,,,32-27,1,J. Clarkson makes free throw 1 of 1
0:04.0,,,32-27,,Personal take foul by T. Ennis (drawn by S. Rodriguez)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by N. Stauskas (bad pass; steal by L. Nance),,32-27,,
11:26.0,,,32-29,2,L. Nance makes 2-pt shot from 3 ft (assist by T. Ennis)
11:26.0,,,32-29,,Shooting foul by R. Holmes (drawn by L. Nance)
11:26.0,,,32-29,,L. Nance misses free throw 1 of 1
11:24.0,Defensive rebound by S. Long,,32-29,,
11:06.0,Shooting foul by T. Black (drawn by R. Holmes),,32-29,,
11:06.0,R. Holmes makes free throw 1 of 2,1,33-29,,
11:06.0,R. Holmes makes free throw 2 of 2,1,34-29,,
10:54.0,,,34-31,2,J. Clarkson makes 2-pt shot from 2 ft
10:39.0,J. Anderson makes 2-pt shot from 1 ft (assist by N. Stauskas),2,36-31,,
10:30.0,,,36-33,2,T. Ennis makes 2-pt shot from 19 ft
10:19.0,Turnover by S. Rodriguez (bad pass; steal by T. Black),,36-33,,
10:10.0,,,36-35,2,T. Black makes 2-pt shot at rim (assist by T. Ennis)
