time,Orlando,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. H. Whiteside (S. Ibaka gains possession),,,,Jump ball: B. Biyombo vs. H. Whiteside (S. Ibaka gains possession)
11:40.0,S. Ibaka misses 2-pt shot from 20 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by H. Whiteside
11:24.0,,,0-0,,J. Richardson misses 2-pt shot from 13 ft
11:23.0,Defensive rebound by A. Gordon,,0-0,,
11:11.0,A. Gordon misses 2-pt shot from 1 ft (block by H. Whiteside),,0-0,,
11:10.0,,,0-0,,Defensive rebound by J. Winslow
10:46.0,,,0-2,2,J. McRoberts makes 2-pt shot from 15 ft
10:29.0,A. Gordon misses 3-pt shot from 23 ft,,0-2,,
10:28.0,,,0-2,,Defensive rebound by H. Whiteside
10:19.0,,,0-2,,Turnover by G. Dragic (lost ball; steal by S. Ibaka)
10:10.0,D. Augustin makes 3-pt shot from 24 ft (assist by E. Fournier),3,3-2,,
9:53.0,,,3-4,2,H. Whiteside makes 2-pt shot from 13 ft
9:27.0,A. Gordon makes 2-pt shot from 13 ft,2,5-4,,
9:14.0,,,5-4,,Offensive charge foul by J. McRoberts
9:14.0,,,5-4,,Turnover by J. McRoberts (offensive foul)
8:56.0,D. Augustin misses 2-pt shot from 9 ft,,5-4,,
8:55.0,,,5-4,,Defensive rebound by H. Whiteside
8:51.0,,,5-6,2,G. Dragic makes 2-pt shot at rim
8:35.0,E. Fournier makes 2-pt shot from 14 ft,2,7-6,,
8:21.0,,,7-6,,J. McRoberts misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by S. Ibaka,,7-6,,
8:10.0,E. Fournier makes 2-pt shot from 2 ft,2,9-6,,
7:50.0,,,9-9,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Richardson)
7:33.0,,,9-9,,Personal foul by J. Richardson (drawn by E. Fournier)
7:23.0,E. Fournier makes 2-pt shot from 20 ft (assist by B. Biyombo),2,11-9,,
7:05.0,,,11-9,,Shooting foul by E. Fournier (drawn by J. Richardson)
7:05.0,,,11-10,1,J. Richardson makes free throw 1 of 2
7:05.0,,,11-11,1,J. Richardson makes free throw 2 of 2
6:57.0,E. Fournier misses 2-pt shot from 3 ft,,11-11,,
6:56.0,Offensive rebound by B. Biyombo,,11-11,,
6:55.0,B. Biyombo makes 2-pt shot from 4 ft,2,13-11,,
6:55.0,Shooting foul by J. McRoberts (drawn by B. Biyombo),,13-11,,
6:55.0,B. Biyombo misses free throw 1 of 1,,13-11,,
6:54.0,,,13-11,,Defensive rebound by H. Whiteside
6:35.0,,,13-13,2,H. Whiteside makes 2-pt shot from 6 ft
6:14.0,S. Ibaka makes 3-pt shot from 25 ft (assist by A. Gordon),3,16-13,,
6:01.0,,,16-13,,G. Dragic misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by S. Ibaka,,16-13,,
5:52.0,D. Augustin misses 2-pt shot from 16 ft (block by H. Whiteside),,16-13,,
5:51.0,Offensive rebound by B. Biyombo,,16-13,,
5:46.0,A. Gordon misses 3-pt shot from 25 ft,,16-13,,
5:45.0,,,16-13,,Defensive rebound by G. Dragic
5:41.0,,,16-16,3,J. Richardson makes 3-pt shot from 22 ft (assist by G. Dragic)
5:19.0,S. Ibaka misses 2-pt shot from 20 ft,,16-16,,
5:18.0,,,16-16,,Defensive rebound by H. Whiteside
4:59.0,,,16-18,2,G. Dragic makes 2-pt shot from 3 ft
4:54.0,Orlando full timeout,,16-18,,
4:54.0,,,16-18,,T. Johnson enters the game for G. Dragic
4:54.0,N. Vucevic enters the game for B. Biyombo,,16-18,,
4:54.0,E. Payton enters the game for D. Augustin,,16-18,,
4:45.0,E. Fournier makes 3-pt shot from 25 ft,3,19-18,,
