time,Detroit,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Maker (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. T. Maker (R. Jackson gains possession)
11:44.0,A. Drummond misses 2-pt shot from 5 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by T. Maker
11:20.0,,,0-0,,M. Dellavedova misses 2-pt shot from 13 ft
11:18.0,Defensive rebound by J. Leuer,,0-0,,
11:12.0,A. Drummond misses 2-pt shot from 4 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by T. Maker
10:58.0,,,0-3,3,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
10:44.0,Turnover by A. Drummond (3 sec),,0-3,,
10:32.0,,,0-3,,Turnover by T. Snell (traveling)
10:18.0,J. Leuer makes 3-pt shot from 26 ft (assist by R. Jackson),3,3-3,,
10:06.0,,,3-5,2,M. Beasley makes 2-pt shot from 23 ft (assist by G. Antetokounmpo)
9:50.0,A. Drummond makes 2-pt shot from 6 ft (assist by M. Morris),2,5-5,,
9:34.0,,,5-5,,T. Maker misses 3-pt shot from 28 ft
9:33.0,Defensive rebound by M. Morris,,5-5,,
9:22.0,A. Drummond misses 2-pt shot from 9 ft,,5-5,,
9:21.0,,,5-5,,Defensive rebound by M. Beasley
9:11.0,,,5-5,,T. Snell misses 2-pt shot from 3 ft
9:09.0,Defensive rebound by A. Drummond,,5-5,,
9:02.0,Turnover by K. Caldwell-Pope (bad pass; steal by M. Beasley),,5-5,,
8:56.0,,,5-7,2,M. Beasley makes 2-pt shot from 1 ft
8:44.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,5-7,,
8:44.0,Offensive rebound by Team,,5-7,,
8:44.0,,,5-7,,Loose ball foul by T. Maker (drawn by A. Drummond)
8:23.0,J. Leuer makes 2-pt shot from 11 ft,2,7-7,,
8:10.0,,,7-9,2,M. Beasley makes 2-pt shot from 16 ft
7:59.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,9-9,,
7:32.0,,,9-11,2,M. Beasley makes 2-pt shot at rim
7:14.0,M. Morris misses 2-pt shot from 18 ft,,9-11,,
7:13.0,,,9-11,,Defensive rebound by M. Dellavedova
6:55.0,,,9-11,,Turnover by T. Maker (bad pass; steal by R. Jackson)
6:49.0,M. Morris makes 2-pt shot at rim (assist by R. Jackson),2,11-11,,
6:34.0,,,11-11,,T. Snell misses 2-pt shot from 11 ft
6:32.0,,,11-11,,Offensive rebound by T. Maker
6:32.0,,,11-11,,Shooting foul by R. Jackson (drawn by T. Snell)
6:32.0,,,11-12,1,T. Snell makes free throw 1 of 2
6:32.0,,,11-13,1,T. Snell makes free throw 2 of 2
6:32.0,,,11-12,,M. Brogdon enters the game for T. Maker
6:32.0,,,11-12,,G. Monroe enters the game for M. Dellavedova
6:22.0,K. Caldwell-Pope misses 2-pt shot from 11 ft,,11-13,,
6:21.0,Offensive rebound by A. Drummond,,11-13,,
6:20.0,A. Drummond makes 2-pt shot at rim,2,13-13,,
5:59.0,,,13-15,2,M. Beasley makes 2-pt shot from 11 ft (assist by M. Brogdon)
5:35.0,M. Morris makes 2-pt shot at rim,2,15-15,,
5:06.0,,,15-15,,T. Snell misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by R. Jackson,,15-15,,
5:01.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,17-15,,
5:01.0,,,17-15,,Milwaukee full timeout
