time,New York,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. K. Porzingis (D. Lillard gains possession),,,,Jump ball: J. Nurkic vs. K. Porzingis (D. Lillard gains possession)
11:42.0,,,0-0,,N. Vonleh misses 2-pt shot from 21 ft
11:41.0,,,0-0,,Offensive rebound by J. Nurkic
11:41.0,,,0-0,,Turnover by J. Nurkic (lost ball)
11:29.0,K. Porzingis misses 2-pt shot from 15 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by J. Nurkic
11:18.0,,,0-2,2,D. Lillard makes 2-pt shot from 18 ft
11:05.0,Turnover by M. Kuzminskas (bad pass),,0-2,,
10:49.0,,,0-4,2,C. McCollum makes 2-pt shot from 18 ft
10:34.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by R. Baker),2,2-4,,
10:20.0,,,2-4,,Turnover by M. Harkless (traveling)
10:05.0,K. Porzingis misses 2-pt shot from 17 ft,,2-4,,
10:04.0,,,2-4,,Defensive rebound by Team
9:55.0,,,2-4,,D. Lillard misses 2-pt shot from 11 ft
9:55.0,Defensive rebound by R. Baker,,2-4,,
9:44.0,C. Lee misses 2-pt shot from 10 ft,,2-4,,
9:42.0,Offensive rebound by W. Hernangomez,,2-4,,
9:40.0,K. Porzingis misses 3-pt shot from 26 ft,,2-4,,
9:39.0,,,2-4,,Defensive rebound by C. McCollum
9:33.0,,,2-6,2,C. McCollum makes 2-pt shot from 3 ft
9:19.0,M. Kuzminskas misses 3-pt shot from 24 ft,,2-6,,
9:18.0,,,2-6,,Defensive rebound by N. Vonleh
9:06.0,,,2-8,2,J. Nurkic makes 2-pt shot at rim (assist by M. Harkless)
8:51.0,C. Lee makes 2-pt shot from 19 ft (assist by M. Kuzminskas),2,4-8,,
8:36.0,,,4-10,2,M. Harkless makes 2-pt shot at rim (assist by J. Nurkic)
8:35.0,New York full timeout,,4-10,,
8:16.0,M. Kuzminskas misses 2-pt shot from 2 ft,,4-10,,
8:15.0,Offensive rebound by W. Hernangomez,,4-10,,
8:15.0,W. Hernangomez misses 2-pt shot at rim,,4-10,,
8:15.0,Offensive rebound by W. Hernangomez,,4-10,,
8:15.0,W. Hernangomez misses 2-pt shot at rim,,4-10,,
8:14.0,,,4-10,,Defensive rebound by N. Vonleh
8:06.0,,,4-10,,Shooting foul by R. Baker (drawn by D. Lillard)
8:06.0,,,4-11,1,D. Lillard makes free throw 1 of 2
8:06.0,,,4-12,1,D. Lillard makes free throw 2 of 2
7:51.0,Turnover by C. Lee (bad pass; steal by D. Lillard),,4-12,,
7:44.0,,,4-12,,M. Harkless misses 2-pt shot from 1 ft
7:44.0,Defensive rebound by M. Kuzminskas,,4-12,,
7:32.0,C. Lee misses 2-pt shot from 12 ft,,4-12,,
7:31.0,,,4-12,,Defensive rebound by J. Nurkic
7:21.0,,,4-12,,C. McCollum misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by K. Porzingis,,4-12,,
7:08.0,W. Hernangomez misses 2-pt shot from 8 ft,,4-12,,
7:08.0,Offensive rebound by M. Kuzminskas,,4-12,,
7:08.0,Shooting foul by N. Vonleh (drawn by M. Kuzminskas),,4-12,,
7:08.0,M. Kuzminskas makes free throw 1 of 2,1,5-12,,
7:08.0,M. Kuzminskas makes free throw 2 of 2,1,6-12,,
6:49.0,,,6-12,,N. Vonleh misses 2-pt shot at rim (block by W. Hernangomez)
6:49.0,Defensive rebound by W. Hernangomez,,6-12,,
6:38.0,W. Hernangomez makes 2-pt shot from 2 ft,2,8-12,,
6:38.0,Shooting foul by J. Nurkic (drawn by W. Hernangomez),,8-12,,
6:38.0,W. Hernangomez misses free throw 1 of 1,,8-12,,
6:36.0,Offensive rebound by K. Porzingis,,8-12,,
6:32.0,M. Kuzminskas makes 3-pt shot from 23 ft (assist by K. Porzingis),3,11-12,,
6:17.0,Personal foul by W. Hernangomez (drawn by J. Nurkic),,11-12,,
6:11.0,,,11-14,2,D. Lillard makes 2-pt shot from 16 ft
5:57.0,M. Kuzminskas makes 3-pt shot from 24 ft (assist by R. Baker),3,14-14,,
5:43.0,,,14-14,,Shooting foul by R. Baker (drawn by D. Lillard)
5:43.0,,,14-15,1,D. Lillard makes free throw 1 of 3
5:43.0,,,14-16,1,D. Lillard makes free throw 2 of 3
5:43.0,,,14-17,1,D. Lillard makes free throw 3 of 3
5:43.0,C. Randle enters the game for R. Baker,,14-16,,
5:43.0,,,14-16,,A. Aminu enters the game for N. Vonleh
5:43.0,,,14-16,,A. Crabbe enters the game for C. McCollum
5:22.0,C. Randle misses 3-pt shot from 25 ft,,14-17,,
