time,Indiana,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. M. Turner (I. Whitehead gains possession),,,,Jump ball: B. Lopez vs. M. Turner (I. Whitehead gains possession)
11:44.0,,,0-0,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Young)
11:31.0,C. Miles makes 3-pt shot from 24 ft (assist by J. Teague),3,3-0,,
11:17.0,,,3-2,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
10:58.0,Shooting foul by I. Whitehead (drawn by J. Teague),,3-2,,
10:58.0,J. Teague makes free throw 1 of 3,1,4-2,,
10:58.0,J. Teague makes free throw 2 of 3,1,5-2,,
10:58.0,J. Teague makes free throw 3 of 3,1,6-2,,
10:43.0,,,6-2,,R. Foye misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by P. George,,6-2,,
10:32.0,Turnover by T. Young (lost ball),,6-2,,
10:24.0,,,6-2,,Turnover by I. Whitehead (bad pass; steal by P. George)
10:21.0,P. George misses 2-pt shot from 2 ft,,6-2,,
10:20.0,Offensive rebound by P. George,,6-2,,
10:19.0,P. George misses 2-pt shot from 2 ft,,6-2,,
10:18.0,,,6-2,,Defensive rebound by C. LeVert
10:12.0,,,6-2,,C. LeVert misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by M. Turner,,6-2,,
9:59.0,P. George misses 2-pt shot from 11 ft,,6-2,,
9:58.0,,,6-2,,Defensive rebound by R. Hollis-Jefferson
9:54.0,Personal block foul by P. George (drawn by R. Hollis-Jefferson),,6-2,,
9:43.0,Personal foul by M. Turner (drawn by B. Lopez),,6-2,,
9:43.0,,,6-2,,Shooting foul by T. Young (drawn by R. Hollis-Jefferson)
9:43.0,,,6-3,1,R. Hollis-Jefferson makes free throw 1 of 2
9:43.0,,,6-4,1,R. Hollis-Jefferson makes free throw 2 of 2
9:35.0,C. Miles misses 3-pt shot from 25 ft,,6-4,,
9:33.0,Offensive rebound by T. Young,,6-4,,
9:22.0,J. Teague misses 2-pt shot from 12 ft,,6-4,,
9:20.0,Offensive rebound by J. Teague,,6-4,,
9:19.0,J. Teague makes 2-pt shot from 2 ft,2,8-4,,
9:19.0,Shooting foul by R. Hollis-Jefferson (drawn by J. Teague),,8-4,,
9:19.0,J. Teague makes free throw 1 of 1,1,9-4,,
9:03.0,,,9-4,,R. Hollis-Jefferson misses 2-pt shot from 3 ft
9:01.0,Defensive rebound by C. Miles,,9-4,,
8:55.0,C. Miles misses 3-pt shot from 26 ft,,9-4,,
8:54.0,,,9-4,,Defensive rebound by R. Foye
8:33.0,,,9-4,,Turnover by I. Whitehead (lost ball; steal by J. Teague)
8:25.0,J. Teague makes 3-pt shot from 25 ft (assist by P. George),3,12-4,,
8:11.0,,,12-4,,I. Whitehead misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by T. Young,,12-4,,
8:01.0,P. George makes 2-pt shot from 6 ft,2,14-4,,
8:00.0,,,14-4,,Brooklyn full timeout
7:36.0,,,14-4,,C. LeVert misses 2-pt shot from 8 ft
7:35.0,,,14-4,,Offensive rebound by B. Lopez
7:33.0,,,14-6,2,B. Lopez makes 2-pt shot at rim
7:09.0,Turnover by Team (shot clock),,14-6,,
6:55.0,,,14-6,,B. Lopez misses 2-pt shot from 8 ft
6:53.0,Defensive rebound by C. Miles,,14-6,,
6:50.0,Shooting foul by C. LeVert (drawn by P. George),,14-6,,
6:50.0,P. George makes free throw 1 of 2,1,15-6,,
6:50.0,P. George makes free throw 2 of 2,1,16-6,,
6:41.0,,,16-6,,Turnover by R. Hollis-Jefferson (lost ball; steal by P. George)
6:33.0,M. Turner misses 3-pt shot from 25 ft,,16-6,,
6:31.0,,,16-6,,Defensive rebound by B. Lopez
6:17.0,,,16-6,,R. Foye misses 2-pt shot from 1 ft (block by C. Miles)
6:16.0,,,16-6,,Offensive rebound by B. Lopez
6:15.0,,,16-8,2,B. Lopez makes 2-pt shot at rim
6:00.0,M. Turner misses 2-pt shot from 9 ft,,16-8,,
5:59.0,,,16-8,,Defensive rebound by R. Hollis-Jefferson
5:42.0,,,16-8,,I. Whitehead misses 2-pt shot from 1 ft
5:41.0,Defensive rebound by P. George,,16-8,,
5:34.0,P. George misses 2-pt shot from 19 ft,,16-8,,
5:32.0,,,16-8,,Defensive rebound by B. Lopez
5:20.0,,,16-8,,B. Lopez misses 3-pt shot from 25 ft
