time,Toronto,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Valanciunas (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. J. Valanciunas (T. Gibson gains possession)
11:37.0,,,0-0,,J. Butler misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by Team,,0-0,,
11:23.0,D. DeRozan misses 2-pt shot from 11 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by T. Gibson
11:16.0,,,0-0,,D. Wade misses 2-pt shot from 8 ft (block by D. DeRozan)
11:16.0,,,0-0,,Offensive rebound by Team
11:11.0,,,0-2,2,R. Lopez makes 2-pt shot from 5 ft (assist by T. Gibson)
10:44.0,D. Carroll misses 3-pt shot from 24 ft,,0-2,,
10:42.0,,,0-2,,Defensive rebound by M. Carter-Williams
10:34.0,,,0-2,,M. Carter-Williams misses 2-pt shot from 14 ft
10:33.0,Defensive rebound by L. Nogueira,,0-2,,
10:27.0,Shooting foul by M. Carter-Williams (drawn by D. DeRozan),,0-2,,
10:27.0,D. DeRozan makes free throw 1 of 2,1,1-2,,
10:27.0,D. DeRozan makes free throw 2 of 2,1,2-2,,
10:14.0,,,2-4,2,T. Gibson makes 2-pt shot from 8 ft (assist by M. Carter-Williams)
10:03.0,J. Valanciunas misses 2-pt shot from 22 ft,,2-4,,
10:02.0,,,2-4,,Defensive rebound by M. Carter-Williams
9:46.0,,,2-4,,T. Gibson misses 2-pt shot from 18 ft
9:46.0,Defensive rebound by K. Lowry,,2-4,,
9:32.0,Turnover by D. DeRozan (bad pass; steal by J. Butler),,2-4,,
9:26.0,,,2-6,2,D. Wade makes 2-pt shot from 12 ft (assist by J. Butler)
9:03.0,K. Lowry makes 3-pt shot from 26 ft (assist by D. Carroll),3,5-6,,
8:38.0,,,5-6,,J. Butler misses 2-pt shot from 19 ft
8:37.0,Defensive rebound by L. Nogueira,,5-6,,
8:25.0,L. Nogueira misses 2-pt shot from 1 ft,,5-6,,
8:25.0,Offensive rebound by L. Nogueira,,5-6,,
8:25.0,L. Nogueira makes 2-pt shot from 1 ft,2,7-6,,
8:25.0,Shooting foul by R. Lopez (drawn by L. Nogueira),,7-6,,
8:25.0,L. Nogueira misses free throw 1 of 1,,7-6,,
8:15.0,,,7-6,,Defensive rebound by R. Lopez
8:04.0,,,7-6,,D. Wade misses 2-pt shot from 13 ft
8:03.0,,,7-6,,Offensive rebound by T. Gibson
7:47.0,,,7-6,,T. Gibson misses 2-pt shot from 2 ft
7:46.0,Defensive rebound by K. Lowry,,7-6,,
7:38.0,D. Carroll makes 3-pt shot from 26 ft (assist by K. Lowry),3,10-6,,
7:16.0,,,10-8,2,T. Gibson makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
6:58.0,J. Valanciunas misses 2-pt shot from 1 ft,,10-8,,
6:56.0,,,10-8,,Defensive rebound by D. Wade
6:47.0,,,10-10,2,D. Wade makes 2-pt shot from 14 ft
6:28.0,K. Lowry misses 3-pt shot from 26 ft,,10-10,,
6:27.0,,,10-10,,Defensive rebound by M. Carter-Williams
6:21.0,,,10-10,,J. Butler misses 2-pt shot from 19 ft
6:20.0,Defensive rebound by J. Valanciunas,,10-10,,
6:08.0,D. DeRozan makes 2-pt shot from 5 ft (assist by K. Lowry),2,12-10,,
5:52.0,,,12-13,3,M. Carter-Williams makes 3-pt shot from 24 ft (assist by D. Wade)
5:30.0,D. Carroll misses 3-pt shot from 27 ft,,12-13,,
5:29.0,,,12-13,,Defensive rebound by T. Gibson
5:17.0,,,12-15,2,D. Wade makes 2-pt shot from 2 ft
5:10.0,Toronto full timeout,,12-15,,
5:10.0,,,12-15,,D. McDermott enters the game for D. Wade
5:01.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,14-15,,
5:00.0,Technical foul by J. Valanciunas,,14-15,,
5:00.0,,,14-16,1,J. Butler makes technical free throw
4:44.0,,,14-16,,Turnover by J. Butler (lost ball; steal by K. Lowry)
4:32.0,L. Nogueira makes 2-pt shot from 1 ft (assist by K. Lowry),2,16-16,,
4:20.0,,,16-18,2,J. Butler makes 2-pt shot at rim (assist by M. Carter-Williams)
3:59.0,D. Carroll makes 2-pt shot from 6 ft (assist by K. Lowry),2,18-18,,
3:41.0,,,18-18,,Turnover by M. Carter-Williams (bad pass; steal by K. Lowry)
3:35.0,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry),2,20-18,,
3:15.0,,,20-21,3,D. McDermott makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
2:51.0,D. DeRozan misses 2-pt shot from 20 ft,,20-21,,
2:50.0,,,20-21,,Defensive rebound by M. Carter-Williams
2:43.0,,,20-23,2,M. Carter-Williams makes 2-pt shot from 2 ft
2:31.0,J. Valanciunas misses 2-pt shot from 22 ft,,20-23,,
2:30.0,,,20-23,,Defensive rebound by T. Gibson
2:18.0,,,20-23,,Turnover by J. Butler (bad pass; steal by D. DeRozan)
2:14.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,22-23,,
2:14.0,,,22-23,,Chicago full timeout
2:14.0,,,22-23,,N. Mirotic enters the game for T. Gibson
2:14.0,,,22-23,,J. Grant enters the game for M. Carter-Williams
2:14.0,C. Joseph enters the game for J. Valanciunas,,22-23,,
2:14.0,T. Ross enters the game for K. Lowry,,22-23,,
1:50.0,,,22-25,2,J. Butler makes 2-pt shot from 1 ft
1:34.0,D. DeRozan makes 2-pt shot from 10 ft,2,24-25,,
1:07.0,,,24-25,,J. Butler misses 2-pt shot from 22 ft
1:06.0,Defensive rebound by D. DeRozan,,24-25,,
0:58.0,D. DeRozan makes 2-pt shot from 12 ft,2,26-25,,
0:44.0,,,26-27,2,R. Lopez makes 2-pt shot from 20 ft (assist by J. Butler)
0:39.0,C. Joseph makes 2-pt shot from 23 ft,2,28-27,,
0:31.0,,,28-29,2,J. Grant makes 2-pt shot from 2 ft
0:17.0,D. DeRozan misses 2-pt shot from 15 ft,,28-29,,
0:16.0,,,28-29,,Defensive rebound by D. McDermott
0:02.0,,,28-29,,D. McDermott misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by L. Nogueira,,28-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,30-29,,
11:22.0,,,30-31,2,D. McDermott makes 2-pt shot from 2 ft (assist by N. Mirotic)
11:05.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by T. Ross),2,32-31,,
10:49.0,,,32-31,,Turnover by N. Mirotic (step out of bounds)
10:34.0,T. Ross misses 3-pt shot from 25 ft,,32-31,,
10:33.0,,,32-31,,Defensive rebound by N. Mirotic
10:22.0,,,32-31,,Shooting foul by J. Valanciunas (drawn by D. Wade)
10:22.0,,,32-32,1,D. Wade makes free throw 1 of 2
10:22.0,,,32-33,1,D. Wade makes free throw 2 of 2
9:57.0,K. Lowry makes 2-pt shot from 2 ft,2,34-33,,
9:50.0,,,34-33,,Shooting foul by T. Ross (drawn by N. Mirotic)
9:50.0,,,34-33,,N. Mirotic misses free throw 1 of 2
9:50.0,,,34-33,,Offensive rebound by Team
9:50.0,,,34-34,1,N. Mirotic makes free throw 2 of 2
9:31.0,C. Joseph makes 2-pt shot from 13 ft,2,36-34,,
9:31.0,Shooting foul by D. Wade (drawn by C. Joseph),,36-34,,
9:31.0,C. Joseph makes free throw 1 of 1,1,37-34,,
9:18.0,,,37-34,,Turnover by D. McDermott (lost ball; steal by T. Ross)
9:13.0,N. Powell misses 2-pt shot from 1 ft,,37-34,,
9:12.0,Offensive rebound by K. Lowry,,37-34,,
9:08.0,Shooting foul by N. Mirotic (drawn by N. Powell),,37-34,,
9:08.0,N. Powell makes free throw 1 of 2,1,38-34,,
9:08.0,N. Powell makes free throw 2 of 2,1,39-34,,
8:47.0,,,39-34,,D. Wade misses 2-pt shot from 10 ft (block by K. Lowry)
8:47.0,,,39-34,,Offensive rebound by Team
8:47.0,,,39-34,,Chicago full timeout
8:42.0,,,39-34,,C. Felicio misses 2-pt shot from 23 ft
8:41.0,Defensive rebound by K. Lowry,,39-34,,
8:34.0,Turnover by K. Lowry (bad pass; steal by N. Mirotic),,39-34,,
8:29.0,,,39-34,,Turnover by C. Felicio (lost ball; steal by C. Joseph)
8:21.0,N. Powell misses 3-pt shot from 23 ft,,39-34,,
8:20.0,,,39-34,,Defensive rebound by C. Felicio
8:11.0,,,39-34,,D. Wade misses 2-pt shot from 18 ft
8:10.0,Defensive rebound by C. Joseph,,39-34,,
8:04.0,T. Ross misses 3-pt shot from 24 ft,,39-34,,
8:03.0,,,39-34,,Defensive rebound by D. McDermott
7:44.0,,,39-36,2,N. Mirotic makes 2-pt shot at rim (assist by C. Felicio)
7:24.0,T. Ross misses 2-pt shot from 18 ft,,39-36,,
7:22.0,,,39-36,,Defensive rebound by J. Grant
7:18.0,,,39-36,,Shooting foul by C. Joseph (drawn by D. Wade)
7:18.0,,,39-37,1,D. Wade makes free throw 1 of 2
7:18.0,,,39-38,1,D. Wade makes free throw 2 of 2
7:18.0,D. DeRozan enters the game for C. Joseph,,39-37,,
7:18.0,,,39-37,,J. Butler enters the game for J. Grant
7:03.0,,,39-38,,Personal foul by C. Felicio (drawn by J. Valanciunas)
6:49.0,J. Valanciunas misses 2-pt shot from 5 ft,,39-38,,
6:48.0,,,39-38,,Defensive rebound by D. McDermott
6:40.0,Def 3 sec tech foul by J. Valanciunas,,39-38,,
6:40.0,,,39-38,,J. Butler misses technical free throw
6:40.0,,,39-38,,Offensive rebound by Team
6:33.0,Personal foul by K. Lowry (drawn by D. Wade),,39-38,,
6:27.0,,,39-38,,D. McDermott misses 3-pt shot from 24 ft
6:26.0,Defensive rebound by T. Ross,,39-38,,
6:19.0,N. Powell misses 3-pt shot from 24 ft,,39-38,,
6:18.0,,,39-38,,Defensive rebound by J. Butler
6:07.0,,,39-38,,D. Wade misses 2-pt shot from 2 ft
6:06.0,Defensive rebound by J. Valanciunas,,39-38,,
5:58.0,K. Lowry makes 3-pt shot from 25 ft,3,42-38,,
5:43.0,,,42-38,,D. McDermott misses 2-pt shot from 2 ft
5:42.0,Defensive rebound by J. Valanciunas,,42-38,,
5:38.0,Shooting foul by C. Felicio (drawn by K. Lowry),,42-38,,
5:38.0,,,42-38,,Chicago full timeout
5:38.0,K. Lowry makes free throw 1 of 2,1,43-38,,
5:38.0,K. Lowry makes free throw 2 of 2,1,44-38,,
5:38.0,,,42-38,,M. Carter-Williams enters the game for D. Wade
5:38.0,,,42-38,,R. Lopez enters the game for N. Mirotic
5:38.0,,,42-38,,T. Gibson enters the game for C. Felicio
5:38.0,D. Carroll enters the game for T. Ross,,42-38,,
5:38.0,L. Nogueira enters the game for N. Powell,,42-38,,
5:28.0,,,44-38,,Turnover by M. Carter-Williams (bad pass; steal by D. Carroll)
5:25.0,D. DeRozan makes 2-pt shot at rim,2,46-38,,
5:07.0,,,46-38,,J. Butler misses 2-pt shot from 18 ft
5:06.0,Defensive rebound by J. Valanciunas,,46-38,,
4:57.0,L. Nogueira misses 2-pt shot from 18 ft,,46-38,,
4:56.0,Offensive rebound by J. Valanciunas,,46-38,,
4:51.0,J. Valanciunas makes 2-pt shot from 17 ft,2,48-38,,
4:32.0,,,48-38,,Turnover by M. Carter-Williams (bad pass; steal by L. Nogueira)
4:32.0,,,48-38,,Loose ball foul by T. Gibson (drawn by L. Nogueira)
4:32.0,L. Nogueira makes free throw 1 of 2,1,49-38,,
4:32.0,L. Nogueira makes free throw 2 of 2,1,50-38,,
4:32.0,,,49-38,,J. Grant enters the game for M. Carter-Williams
4:13.0,,,50-38,,Shooting foul by D. Carroll (drawn by J. Butler)
4:13.0,,,50-39,1,J. Butler makes free throw 1 of 2
4:13.0,,,50-40,1,J. Butler makes free throw 2 of 2
4:00.0,D. DeRozan misses 2-pt shot from 2 ft,,50-40,,
3:56.0,Offensive rebound by D. DeRozan,,50-40,,
3:41.0,Turnover by K. Lowry (bad pass),,50-40,,
3:18.0,,,50-42,2,D. McDermott makes 2-pt shot from 15 ft (assist by J. Grant)
3:09.0,K. Lowry misses 3-pt shot from 26 ft,,50-42,,
3:08.0,,,50-42,,Defensive rebound by R. Lopez
3:02.0,,,50-42,,D. McDermott misses 2-pt shot from 23 ft
3:01.0,Defensive rebound by K. Lowry,,50-42,,
2:56.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry),3,53-42,,
2:47.0,,,53-44,2,J. Butler makes 2-pt shot from 2 ft
2:47.0,,,53-44,,Shooting foul by J. Valanciunas (drawn by J. Butler)
2:47.0,Toronto full timeout,,53-44,,
2:47.0,,,53-45,1,J. Butler makes free throw 1 of 1
2:47.0,,,53-44,,D. Wade enters the game for D. McDermott
2:47.0,C. Joseph enters the game for J. Valanciunas,,53-44,,
2:47.0,J. Poeltl enters the game for K. Lowry,,53-44,,
2:33.0,D. DeRozan makes 2-pt shot from 21 ft (assist by C. Joseph),2,55-45,,
2:10.0,,,55-45,,T. Gibson misses 2-pt shot at rim (block by L. Nogueira)
2:08.0,Defensive rebound by C. Joseph,,55-45,,
2:02.0,D. Carroll misses 3-pt shot from 26 ft,,55-45,,
2:00.0,,,55-45,,Defensive rebound by R. Lopez
1:54.0,,,55-45,,D. Wade misses 2-pt shot from 9 ft
1:53.0,Defensive rebound by Team,,55-45,,
1:53.0,,,55-45,,Loose ball foul by T. Gibson (drawn by L. Nogueira)
1:53.0,L. Nogueira makes free throw 1 of 2,1,56-45,,
1:53.0,L. Nogueira makes free throw 2 of 2,1,57-45,,
1:53.0,,,56-45,,N. Mirotic enters the game for T. Gibson
1:29.0,,,57-45,,R. Lopez misses 2-pt shot from 5 ft
1:28.0,Defensive rebound by J. Poeltl,,57-45,,
1:22.0,,,57-45,,Def 3 sec tech foul by R. Lopez
1:22.0,D. DeRozan makes technical free throw,1,58-45,,
1:22.0,T. Ross enters the game for J. Poeltl,,58-45,,
1:16.0,C. Joseph makes 3-pt shot from 25 ft (assist by D. Carroll),3,61-45,,
0:50.0,,,61-48,3,D. Wade makes 3-pt shot from 23 ft (assist by J. Grant)
0:32.0,D. DeRozan misses 2-pt shot from 18 ft,,61-48,,
0:31.0,,,61-48,,Defensive rebound by N. Mirotic
0:12.0,,,61-48,,N. Mirotic misses 3-pt shot from 26 ft
0:11.0,Defensive rebound by L. Nogueira,,61-48,,
0:01.0,D. DeRozan misses 2-pt shot from 8 ft,,61-48,,
0:00.0,,,61-48,,Defensive rebound by N. Mirotic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:55.0,Turnover by L. Nogueira (back court),,61-48,,
11:42.0,,,61-48,,T. Gibson misses 2-pt shot from 11 ft
11:40.0,Defensive rebound by D. Carroll,,61-48,,
11:31.0,D. DeRozan makes 2-pt shot from 16 ft,2,63-48,,
11:13.0,,,63-51,3,J. Butler makes 3-pt shot from 25 ft (assist by D. Wade)
11:01.0,Turnover by L. Nogueira (bad pass; steal by J. Butler),,63-51,,
11:01.0,Loose ball foul by D. DeRozan (drawn by J. Butler),,63-51,,
10:47.0,,,63-51,,Offensive foul by T. Gibson
10:47.0,,,63-51,,Turnover by T. Gibson (offensive foul)
10:33.0,Turnover by J. Valanciunas (traveling),,63-51,,
10:21.0,,,63-51,,D. Wade misses 2-pt shot from 18 ft
10:19.0,Defensive rebound by D. DeRozan,,63-51,,
10:16.0,Shooting foul by M. Carter-Williams (drawn by D. DeRozan),,63-51,,
10:16.0,D. DeRozan makes free throw 1 of 2,1,64-51,,
10:16.0,D. DeRozan makes free throw 2 of 2,1,65-51,,
10:04.0,,,65-51,,D. Wade misses 2-pt shot from 1 ft (block by J. Valanciunas)
9:54.0,,,65-51,,Offensive rebound by T. Gibson
9:54.0,,,65-53,2,T. Gibson makes 2-pt shot from 2 ft
9:49.0,Shooting foul by M. Carter-Williams (drawn by K. Lowry),,65-53,,
9:49.0,K. Lowry misses free throw 1 of 3,,65-53,,
9:49.0,Offensive rebound by Team,,65-53,,
9:49.0,K. Lowry makes free throw 2 of 3,1,66-53,,
9:49.0,K. Lowry makes free throw 3 of 3,1,67-53,,
9:34.0,Def 3 sec tech foul by J. Valanciunas,,67-53,,
9:34.0,,,67-54,1,D. Wade makes technical free throw
9:27.0,,,67-54,,R. Lopez misses 2-pt shot from 6 ft
9:26.0,,,67-54,,Offensive rebound by M. Carter-Williams
9:22.0,Personal foul by J. Valanciunas (drawn by J. Butler),,67-54,,
9:13.0,,,67-54,,M. Carter-Williams misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by D. DeRozan,,67-54,,
9:00.0,J. Valanciunas makes 2-pt shot from 21 ft (assist by D. DeRozan),2,69-54,,
8:36.0,,,69-56,2,R. Lopez makes 2-pt shot from 17 ft (assist by D. Wade)
8:11.0,D. DeRozan makes 2-pt shot from 17 ft,2,71-56,,
7:59.0,,,71-56,,R. Lopez misses 2-pt shot from 18 ft
7:57.0,Defensive rebound by D. Carroll,,71-56,,
7:43.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,73-56,,
7:43.0,,,73-56,,Chicago full timeout
7:31.0,,,73-56,,J. Butler misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by D. DeRozan,,73-56,,
7:23.0,K. Lowry misses 3-pt shot from 22 ft,,73-56,,
7:21.0,,,73-56,,Defensive rebound by J. Butler
7:19.0,,,73-56,,Shooting foul by D. DeRozan (drawn by T. Gibson)
7:19.0,,,73-57,1,T. Gibson makes free throw 1 of 2
7:19.0,,,73-58,1,T. Gibson makes free throw 2 of 2
6:55.0,Turnover by Team (shot clock),,73-58,,
6:55.0,,,73-58,,D. McDermott enters the game for M. Carter-Williams
6:38.0,Jump ball: R. Lopez vs. J. Valanciunas (J. Butler gains possession),,,,Jump ball: R. Lopez vs. J. Valanciunas (J. Butler gains possession)
6:31.0,,,73-58,,Turnover by J. Butler (bad pass)
6:17.0,K. Lowry misses 2-pt shot from 7 ft,,73-58,,
6:15.0,,,73-58,,Defensive rebound by J. Butler
6:05.0,,,73-58,,D. McDermott misses 2-pt shot from 10 ft
6:05.0,Defensive rebound by Team,,73-58,,
6:05.0,,,73-58,,Loose ball foul by T. Gibson (drawn by L. Nogueira)
6:05.0,,,73-58,,J. Grant enters the game for D. Wade
6:05.0,,,73-58,,N. Mirotic enters the game for T. Gibson
5:52.0,D. Carroll misses 3-pt shot from 26 ft,,73-58,,
5:50.0,,,73-58,,Defensive rebound by N. Mirotic
5:41.0,,,73-58,,N. Mirotic misses 3-pt shot from 27 ft
5:40.0,Defensive rebound by D. DeRozan,,73-58,,
5:31.0,D. DeRozan misses 2-pt shot from 21 ft,,73-58,,
5:30.0,,,73-58,,Defensive rebound by J. Grant
5:21.0,,,73-58,,J. Butler misses 2-pt shot from 10 ft
5:17.0,,,73-58,,Offensive rebound by J. Butler
5:13.0,,,73-61,3,J. Butler makes 3-pt shot from 26 ft
5:06.0,Shooting foul by J. Grant (drawn by K. Lowry),,73-61,,
5:06.0,K. Lowry makes free throw 1 of 3,1,74-61,,
5:06.0,K. Lowry makes free throw 2 of 3,1,75-61,,
5:06.0,K. Lowry makes free throw 3 of 3,1,76-61,,
5:06.0,T. Ross enters the game for L. Nogueira,,75-61,,
4:51.0,,,76-63,2,J. Butler makes 2-pt shot from 2 ft
4:36.0,Shooting foul by R. Lopez (drawn by D. DeRozan),,76-63,,
4:36.0,D. DeRozan makes free throw 1 of 2,1,77-63,,
4:36.0,D. DeRozan makes free throw 2 of 2,1,78-63,,
4:15.0,,,78-63,,D. McDermott misses 3-pt shot from 26 ft
4:13.0,,,78-63,,Offensive rebound by R. Lopez
4:13.0,,,78-63,,R. Lopez misses 2-pt shot from 1 ft
4:12.0,Defensive rebound by T. Ross,,78-63,,
4:01.0,K. Lowry makes 2-pt shot from 2 ft (assist by D. DeRozan),2,80-63,,
4:01.0,Shooting foul by J. Grant (drawn by K. Lowry),,80-63,,
4:01.0,K. Lowry misses free throw 1 of 1,,80-63,,
3:59.0,,,80-63,,Defensive rebound by N. Mirotic
3:54.0,,,80-63,,J. Butler misses 2-pt shot from 2 ft (block by J. Valanciunas)
3:54.0,,,80-63,,Offensive rebound by Team
3:43.0,,,80-63,,Turnover by D. McDermott (lost ball; steal by K. Lowry)
3:42.0,Shooting foul by J. Grant (drawn by D. DeRozan),,80-63,,
3:42.0,D. DeRozan makes free throw 1 of 2,1,81-63,,
3:42.0,D. DeRozan makes free throw 2 of 2,1,82-63,,
3:42.0,C. Joseph enters the game for K. Lowry,,81-63,,
3:26.0,,,82-63,,N. Mirotic misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by J. Valanciunas,,82-63,,
3:14.0,D. DeRozan misses 3-pt shot from 27 ft,,82-63,,
3:11.0,,,82-63,,Defensive rebound by N. Mirotic
3:08.0,,,82-63,,Shooting foul by J. Valanciunas (drawn by J. Grant)
3:08.0,,,82-64,1,J. Grant makes free throw 1 of 2
3:08.0,Toronto full timeout,,82-64,,
3:08.0,,,82-65,1,J. Grant makes free throw 2 of 2
3:08.0,L. Nogueira enters the game for J. Valanciunas,,82-64,,
2:44.0,Shooting foul by D. McDermott (drawn by L. Nogueira),,82-65,,
2:44.0,L. Nogueira makes free throw 1 of 2,1,83-65,,
2:44.0,L. Nogueira misses free throw 2 of 2,,83-65,,
2:43.0,,,83-65,,Defensive rebound by R. Lopez
2:34.0,,,83-65,,Shooting foul by L. Nogueira (drawn by J. Butler)
2:34.0,,,83-66,1,J. Butler makes free throw 1 of 2
2:34.0,,,83-67,1,J. Butler makes free throw 2 of 2
