time,LA Clippers,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. K. Porzingis (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. K. Porzingis (B. Griffin gains possession)
11:45.0,J. Redick makes 3-pt shot from 25 ft (assist by A. Rivers),3,3-0,,
11:28.0,,,3-0,,K. Porzingis misses 2-pt shot from 4 ft
11:25.0,,,3-0,,Offensive rebound by K. O'Quinn
11:24.0,,,3-0,,K. O'Quinn misses 2-pt shot from 1 ft
11:22.0,,,3-0,,Offensive rebound by K. O'Quinn
11:08.0,,,3-2,2,D. Rose makes 2-pt shot from 2 ft (assist by C. Lee)
10:58.0,A. Rivers makes 2-pt shot from 7 ft,2,5-2,,
10:36.0,,,5-2,,D. Rose misses 3-pt shot from 25 ft
10:34.0,,,5-2,,Offensive rebound by K. Porzingis
10:33.0,,,5-4,2,K. Porzingis makes 2-pt shot from 1 ft
10:06.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,5-4,,
10:04.0,,,5-4,,Defensive rebound by D. Rose
9:59.0,,,5-6,2,C. Lee makes 2-pt shot from 17 ft (assist by D. Rose)
9:54.0,Shooting foul by K. O'Quinn (drawn by B. Griffin),,5-6,,
9:54.0,B. Griffin misses free throw 1 of 2,,5-6,,
9:54.0,Offensive rebound by Team,,5-6,,
9:54.0,B. Griffin makes free throw 2 of 2,1,6-6,,
9:35.0,,,6-8,2,K. Porzingis makes 2-pt shot from 14 ft
9:19.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,8-8,,
9:08.0,,,8-11,3,K. Porzingis makes 3-pt shot from 25 ft (assist by D. Rose)
8:58.0,B. Griffin makes 3-pt shot from 25 ft (assist by A. Rivers),3,11-11,,
8:44.0,,,11-11,,K. Porzingis misses 3-pt shot from 25 ft
8:43.0,,,11-11,,Offensive rebound by Team
8:43.0,Loose ball foul by L. Mbah a Moute (drawn by K. O'Quinn),,11-11,,
8:32.0,,,11-13,2,K. O'Quinn makes 2-pt shot from 5 ft (assist by C. Lee)
8:17.0,B. Griffin makes 2-pt shot from 20 ft,2,13-13,,
8:09.0,,,13-15,2,D. Rose makes 2-pt shot from 15 ft
7:53.0,B. Griffin misses 2-pt shot from 2 ft,,13-15,,
7:51.0,Offensive rebound by D. Jordan,,13-15,,
