time,LA Clippers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Jordan (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. D. Jordan (V. Oladipo gains possession)
11:40.0,,,0-0,,D. Sabonis misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by Team,,0-0,,
11:21.0,A. Rivers misses 2-pt shot from 1 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by V. Oladipo
11:10.0,,,0-0,,Turnover by V. Oladipo (bad pass; steal by J. Redick)
10:52.0,P. Pierce makes 2-pt shot from 17 ft (assist by A. Rivers),2,2-0,,
10:32.0,,,2-0,,S. Adams misses 2-pt shot from 5 ft
10:32.0,Defensive rebound by D. Jordan,,2-0,,
10:23.0,J. Redick misses 3-pt shot from 25 ft,,2-0,,
10:23.0,,,2-0,,Defensive rebound by R. Westbrook
10:14.0,,,2-0,,V. Oladipo misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by D. Jordan,,2-0,,
10:04.0,,,2-0,,Def 3 sec tech foul by S. Adams
10:04.0,J. Redick misses technical free throw,,2-0,,
10:04.0,Offensive rebound by Team,,2-0,,
9:53.0,Turnover by L. Mbah a Moute (bad pass; steal by R. Westbrook),,2-0,,
9:40.0,,,2-0,,A. Roberson misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by D. Jordan,,2-0,,
9:24.0,Shooting foul by V. Oladipo (drawn by P. Pierce),,2-0,,
9:24.0,P. Pierce makes free throw 1 of 2,1,3-0,,
9:24.0,P. Pierce misses free throw 2 of 2,,3-0,,
9:24.0,,,3-0,,Defensive rebound by R. Westbrook
9:11.0,,,3-2,2,D. Sabonis makes 2-pt shot from 1 ft
8:50.0,A. Rivers misses 3-pt shot from 25 ft,,3-2,,
8:49.0,,,3-2,,Defensive rebound by R. Westbrook
8:36.0,,,3-4,2,S. Adams makes 2-pt shot from 2 ft (assist by V. Oladipo)
8:09.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,3-4,,
8:08.0,,,3-4,,Defensive rebound by V. Oladipo
8:00.0,,,3-6,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
7:45.0,P. Pierce misses 2-pt shot from 2 ft (block by D. Sabonis),,3-6,,
7:43.0,,,3-6,,Defensive rebound by S. Adams
7:37.0,,,3-9,3,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook)
7:37.0,LA Clippers full timeout,,3-9,,
7:20.0,P. Pierce misses 2-pt shot from 12 ft,,3-9,,
7:19.0,Offensive rebound by D. Jordan,,3-9,,
7:19.0,D. Jordan makes 2-pt shot from 2 ft,2,5-9,,
7:12.0,,,5-9,,A. Roberson misses 3-pt shot from 23 ft
7:11.0,Defensive rebound by P. Pierce,,5-9,,
7:03.0,P. Pierce misses 3-pt shot from 25 ft,,5-9,,
7:00.0,Offensive rebound by L. Mbah a Moute,,5-9,,
6:49.0,L. Mbah a Moute misses 2-pt shot from 4 ft,,5-9,,
6:48.0,,,5-9,,Defensive rebound by R. Westbrook
6:43.0,,,5-11,2,V. Oladipo makes 2-pt shot from 16 ft (assist by R. Westbrook)
6:14.0,J. Redick misses 3-pt shot from 24 ft,,5-11,,
6:13.0,,,5-11,,Defensive rebound by R. Westbrook
6:11.0,Violation by P. Pierce (kicked ball),,5-11,,
6:11.0,R. Felton enters the game for L. Mbah a Moute,,5-11,,
6:11.0,W. Johnson enters the game for P. Pierce,,5-11,,
5:58.0,,,5-11,,V. Oladipo misses 2-pt shot from 21 ft
5:56.0,Defensive rebound by Team,,5-11,,
5:39.0,J. Redick misses 3-pt shot from 26 ft,,5-11,,
5:38.0,,,5-11,,Defensive rebound by R. Westbrook
5:32.0,,,5-11,,R. Westbrook misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by W. Johnson,,5-11,,
5:22.0,A. Rivers misses 2-pt shot from 2 ft (block by A. Roberson),,5-11,,
5:21.0,,,5-11,,Defensive rebound by S. Adams
5:18.0,,,5-11,,Shooting foul by J. Redick (drawn by V. Oladipo)
5:18.0,,,5-12,1,V. Oladipo makes free throw 1 of 2
5:18.0,,,5-13,1,V. Oladipo makes free throw 2 of 2
5:18.0,,,5-12,,E. Kanter enters the game for D. Sabonis
5:18.0,J. Crawford enters the game for A. Rivers,,5-12,,
