time,Detroit,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Plumlee (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Plumlee (R. Jackson gains possession)
11:42.0,M. Morris misses 2-pt shot from 19 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by D. Lillard
11:37.0,,,0-0,,Turnover by D. Lillard (bad pass; steal by A. Drummond)
11:29.0,R. Jackson makes 2-pt shot from 7 ft,2,2-0,,
11:07.0,,,2-0,,M. Harkless misses 3-pt shot from 24 ft
11:07.0,Defensive rebound by A. Drummond,,2-0,,
10:55.0,A. Drummond makes 2-pt shot from 2 ft (assist by M. Morris),2,4-0,,
10:39.0,,,4-2,2,C. McCollum makes 2-pt shot from 19 ft
10:22.0,R. Jackson makes 3-pt shot from 26 ft (assist by M. Morris),3,7-2,,
10:00.0,,,7-4,2,C. McCollum makes 2-pt shot from 20 ft (assist by M. Plumlee)
9:41.0,A. Drummond misses 2-pt shot from 8 ft,,7-4,,
9:41.0,,,7-4,,Defensive rebound by Team
9:30.0,Personal foul by R. Jackson (drawn by D. Lillard),,7-4,,
9:16.0,,,7-4,,C. McCollum misses 3-pt shot from 23 ft
9:16.0,,,7-4,,Offensive rebound by M. Plumlee
9:16.0,,,7-4,,Turnover by Team (shot clock)
9:08.0,,,7-4,,Personal block foul by A. Aminu (drawn by R. Jackson)
8:54.0,A. Drummond makes 2-pt shot from 10 ft,2,9-4,,
8:42.0,,,9-4,,Turnover by D. Lillard (bad pass; steal by M. Morris)
8:35.0,Turnover by A. Drummond (offensive goaltending),,9-4,,
8:22.0,,,9-4,,Turnover by M. Plumlee (bad pass; steal by K. Caldwell-Pope)
8:17.0,K. Caldwell-Pope makes 3-pt shot from 26 ft,3,12-4,,
7:59.0,,,12-6,2,C. McCollum makes 2-pt shot from 23 ft (assist by D. Lillard)
7:37.0,A. Drummond makes 2-pt shot from 4 ft (assist by J. Leuer),2,14-6,,
7:24.0,,,14-8,2,A. Aminu makes 2-pt shot from 5 ft (assist by C. McCollum)
7:24.0,,,14-8,,Shooting foul by J. Leuer (drawn by A. Aminu)
7:24.0,,,14-9,1,A. Aminu makes free throw 1 of 1
7:13.0,M. Morris misses 3-pt shot from 26 ft,,14-9,,
7:12.0,,,14-9,,Defensive rebound by D. Lillard
7:08.0,,,14-12,3,D. Lillard makes 3-pt shot from 25 ft
6:51.0,M. Morris misses 3-pt shot from 23 ft,,14-12,,
6:51.0,,,14-12,,Defensive rebound by Team
6:39.0,Personal foul by R. Jackson (drawn by D. Lillard),,14-12,,
