time,Charlotte,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Kaminsky vs. K. Koufos (A. Tolliver gains possession),,,,Jump ball: F. Kaminsky vs. K. Koufos (A. Tolliver gains possession)
11:41.0,,,0-0,,K. Koufos misses 2-pt shot from 2 ft (block by N. Batum)
11:40.0,Defensive rebound by F. Kaminsky,,0-0,,
11:29.0,Shooting foul by B. McLemore (drawn by M. Kidd-Gilchrist),,0-0,,
11:29.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,1-0,,
11:29.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,2-0,,
11:11.0,,,2-0,,Turnover by A. Tolliver (lost ball; steal by F. Kaminsky)
11:01.0,K. Walker misses 3-pt shot from 25 ft,,2-0,,
11:00.0,,,2-0,,Defensive rebound by T. Evans
10:49.0,,,2-0,,A. Tolliver misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by N. Batum,,2-0,,
10:35.0,M. Williams makes 2-pt shot from 4 ft (assist by F. Kaminsky),2,4-0,,
10:20.0,,,4-0,,D. Collison misses 2-pt shot from 6 ft (block by M. Kidd-Gilchrist)
10:16.0,Defensive rebound by K. Walker,,4-0,,
10:11.0,M. Williams makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,7-0,,
9:56.0,,,7-0,,T. Evans misses 2-pt shot from 1 ft
9:55.0,Defensive rebound by N. Batum,,7-0,,
9:48.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by T. Evans),,7-0,,
9:46.0,Offensive rebound by M. Kidd-Gilchrist,,7-0,,
9:44.0,F. Kaminsky misses 3-pt shot from 24 ft,,7-0,,
9:43.0,,,7-0,,Defensive rebound by T. Evans
9:29.0,,,7-0,,K. Koufos misses 2-pt shot from 6 ft
9:28.0,Defensive rebound by N. Batum,,7-0,,
9:23.0,N. Batum misses 2-pt shot from 6 ft (block by K. Koufos),,7-0,,
9:22.0,,,7-0,,Defensive rebound by A. Tolliver
