time,Chicago,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. R. Lopez (T. Gibson gains possession),,,,Jump ball: D. Jordan vs. R. Lopez (T. Gibson gains possession)
11:41.0,D. Wade makes 2-pt shot from 16 ft,2,2-0,,
11:18.0,,,2-2,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
11:00.0,Turnover by T. Gibson (bad pass),,2-2,,
10:44.0,,,2-4,2,J. Redick makes 2-pt shot from 22 ft
10:28.0,,,2-4,,Violation by D. Jordan (def goaltending)
10:28.0,T. Gibson makes 2-pt shot from 7 ft (assist by D. Wade),2,4-4,,
10:09.0,,,4-4,,D. Jordan misses 2-pt shot from 8 ft
10:07.0,Defensive rebound by D. Wade,,4-4,,
10:01.0,R. Rondo makes 2-pt shot from 8 ft,2,6-4,,
9:51.0,,,6-6,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:32.0,Turnover by D. Wade (bad pass),,6-6,,
9:20.0,,,6-6,,J. Redick misses 2-pt shot from 22 ft
9:18.0,Defensive rebound by R. Rondo,,6-6,,
9:14.0,T. Gibson makes 2-pt shot from 1 ft (assist by R. Rondo),2,8-6,,
9:02.0,,,8-6,,J. Redick misses 3-pt shot from 23 ft
9:01.0,Defensive rebound by D. Wade,,8-6,,
8:50.0,T. Gibson makes 2-pt shot from 5 ft (assist by D. Wade),2,10-6,,
8:37.0,Def 3 sec tech foul by R. Lopez,,10-6,,
8:37.0,,,10-7,1,C. Paul makes technical free throw
8:26.0,,,10-7,,B. Griffin misses 2-pt shot from 21 ft
8:25.0,,,10-7,,Offensive rebound by Team
8:10.0,,,10-9,2,B. Griffin makes 2-pt shot from 2 ft
7:47.0,R. Rondo makes 3-pt shot from 23 ft (assist by J. Butler),3,13-9,,
7:40.0,,,13-9,,Turnover by C. Paul (lost ball)
7:40.0,,,13-9,,Loose ball foul by C. Paul (drawn by T. Gibson)
7:25.0,J. Butler misses 3-pt shot from 24 ft,,13-9,,
7:25.0,,,13-9,,Defensive rebound by Team
7:13.0,,,13-9,,C. Paul misses 2-pt shot from 21 ft
7:13.0,Defensive rebound by R. Rondo,,13-9,,
7:05.0,D. Wade makes 3-pt shot from 25 ft (assist by R. Rondo),3,16-9,,
6:44.0,,,16-9,,B. Griffin misses 2-pt shot from 8 ft
6:42.0,Defensive rebound by R. Rondo,,16-9,,
6:34.0,D. Wade makes 3-pt shot from 25 ft,3,19-9,,
6:34.0,,,19-9,,LA Clippers full timeout
6:13.0,,,19-9,,Turnover by C. Paul (bad pass)
5:59.0,D. Wade misses 2-pt shot from 2 ft (block by J. Redick),,19-9,,
5:58.0,Offensive rebound by D. Wade,,19-9,,
5:55.0,D. Wade misses 2-pt shot from 8 ft,,19-9,,
5:54.0,,,19-9,,Defensive rebound by J. Redick
5:50.0,,,19-11,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
5:23.0,J. Butler misses 2-pt shot from 22 ft,,19-11,,
5:22.0,,,19-11,,Defensive rebound by J. Redick
5:07.0,,,19-13,2,B. Griffin makes 2-pt shot from 1 ft
4:47.0,R. Lopez makes 2-pt shot from 6 ft (assist by R. Rondo),2,21-13,,
4:38.0,,,21-13,,J. Redick misses 2-pt shot from 1 ft (block by D. Wade)
4:37.0,,,21-13,,Offensive rebound by C. Paul
4:34.0,Personal foul by R. Rondo (drawn by C. Paul),,21-13,,
4:34.0,J. Grant enters the game for R. Rondo,,21-13,,
4:34.0,I. Canaan enters the game for D. Wade,,21-13,,
4:17.0,,,21-15,2,B. Griffin makes 2-pt shot from 4 ft (assist by C. Paul)
3:54.0,R. Lopez makes 2-pt shot from 20 ft (assist by I. Canaan),2,23-15,,
3:46.0,,,23-17,2,C. Paul makes 2-pt shot from 15 ft
3:36.0,Turnover by Team (back court),,23-17,,
3:36.0,,,23-17,,A. Rivers enters the game for J. Redick
3:36.0,,,23-17,,J. Crawford enters the game for C. Paul
