time,Utah,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia,,,,Jump ball: R. Gobert vs. Z. Pachulia
11:51.0,Turnover by B. Diaw (bad pass),,0-0,,
11:34.0,,,0-0,,K. Durant misses 2-pt shot from 15 ft
11:33.0,Defensive rebound by B. Diaw,,0-0,,
11:16.0,G. Hayward misses 2-pt shot from 14 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by D. Green
11:02.0,,,0-0,,Z. Pachulia misses 2-pt shot from 2 ft
11:02.0,Defensive rebound by R. Hood,,0-0,,
10:40.0,R. Hood misses 3-pt shot from 26 ft,,0-0,,
10:39.0,,,0-0,,Defensive rebound by Z. Pachulia
10:27.0,,,0-0,,Turnover by D. Green (bad pass)
10:07.0,R. Gobert misses 2-pt shot from 7 ft,,0-0,,
10:07.0,,,0-0,,Defensive rebound by K. Durant
9:49.0,,,0-0,,D. Green misses 3-pt shot from 22 ft
9:49.0,Defensive rebound by B. Diaw,,0-0,,
9:40.0,B. Diaw misses 2-pt shot from 19 ft,,0-0,,
9:39.0,,,0-0,,Defensive rebound by K. Thompson
9:24.0,,,0-0,,D. Green misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by R. Gobert,,0-0,,
9:16.0,Utah full timeout,,0-0,,
9:16.0,J. Ingles enters the game for R. Hood,,0-0,,
9:10.0,,,0-0,,Violation by S. Curry (kicked ball)
9:03.0,J. Ingles misses 3-pt shot from 26 ft,,0-0,,
9:02.0,,,0-0,,Defensive rebound by Z. Pachulia
8:49.0,,,0-0,,K. Durant misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by J. Ingles,,0-0,,
8:40.0,G. Hayward misses 3-pt shot from 25 ft,,0-0,,
8:40.0,,,0-0,,Defensive rebound by D. Green
8:34.0,,,0-0,,Shooting foul by D. Exum (drawn by S. Curry)
8:34.0,,,0-1,1,S. Curry makes free throw 1 of 2
8:34.0,,,0-2,1,S. Curry makes free throw 2 of 2
8:24.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,2-2,,
8:13.0,,,2-2,,S. Curry misses 2-pt shot from 20 ft
8:12.0,Defensive rebound by R. Gobert,,2-2,,
8:01.0,B. Diaw misses 2-pt shot from 22 ft,,2-2,,
7:59.0,,,2-2,,Defensive rebound by K. Durant
7:53.0,,,2-4,2,K. Durant makes 2-pt shot at rim
7:48.0,Turnover by R. Gobert (bad pass; steal by S. Curry),,2-4,,
7:45.0,,,2-4,,S. Curry misses 3-pt shot from 23 ft
7:42.0,Defensive rebound by G. Hayward,,2-4,,
7:38.0,B. Diaw misses 2-pt shot from 18 ft,,2-4,,
7:38.0,,,2-4,,Defensive rebound by D. Green
7:31.0,,,2-4,,D. Green misses 2-pt shot from 1 ft
7:31.0,Defensive rebound by R. Gobert,,2-4,,
7:30.0,,,2-4,,J. McGee enters the game for Z. Pachulia
7:19.0,G. Hayward misses 3-pt shot from 25 ft,,2-4,,
7:18.0,Offensive rebound by G. Hayward,,2-4,,
