time,Milwaukee,pts.away,score,pts.home,Atlanta
2:24.0,G. Antetokounmpo enters the game for J. Parker,,29-23,,
2:23.0,,,29-23,,Defensive rebound by P. Millsap
2:10.0,,,29-25,2,P. Millsap makes 2-pt shot from 1 ft (assist by M. Delaney)
1:43.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,29-25,,
1:42.0,Offensive rebound by M. Dellavedova,,29-25,,
1:35.0,M. Beasley misses 3-pt shot from 25 ft,,29-25,,
1:32.0,,,29-25,,Defensive rebound by K. Humphries
1:29.0,,,29-25,,Shooting foul by M. Beasley (drawn by M. Dunleavy)
1:29.0,,,29-26,1,M. Dunleavy makes free throw 1 of 3
1:29.0,,,29-27,1,M. Dunleavy makes free throw 2 of 3
1:29.0,,,29-28,1,M. Dunleavy makes free throw 3 of 3
1:29.0,R. Vaughn enters the game for M. Beasley,,29-27,,
1:11.0,G. Monroe makes 2-pt shot from 1 ft,2,31-28,,
0:54.0,,,31-30,2,P. Millsap makes 2-pt shot from 16 ft
0:54.0,,,31-30,,Shooting foul by G. Monroe (drawn by P. Millsap)
0:54.0,,,31-31,1,P. Millsap makes free throw 1 of 1
0:33.0,R. Vaughn makes 2-pt shot from 17 ft (assist by G. Antetokounmpo),2,33-31,,
0:26.0,,,33-33,2,M. Delaney makes 2-pt shot from 18 ft
0:05.0,R. Vaughn makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,36-33,,
0:00.0,,,36-36,3,P. Millsap makes 3-pt shot from 24 ft (assist by M. Delaney)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,36-36,,M. Dunleavy misses 2-pt shot from 18 ft
11:38.0,Defensive rebound by J. Terry,,36-36,,
11:28.0,R. Vaughn misses 2-pt shot from 6 ft,,36-36,,
11:28.0,,,36-36,,Defensive rebound by Team
11:28.0,Loose ball foul by M. Plumlee (drawn by K. Humphries),,36-36,,
11:28.0,,,36-36,,T. Sefolosha enters the game for P. Millsap
11:21.0,,,36-36,,Turnover by M. Dunleavy (lost ball)
11:01.0,M. Dellavedova makes 2-pt shot from 1 ft,2,38-36,,
10:38.0,,,38-36,,K. Humphries misses 2-pt shot from 15 ft
10:37.0,Defensive rebound by M. Plumlee,,38-36,,
10:30.0,Turnover by G. Antetokounmpo (bad pass; steal by T. Hardaway),,38-36,,
10:29.0,Personal foul by M. Dellavedova (drawn by T. Hardaway),,38-36,,
10:29.0,,,38-36,,D. Howard enters the game for K. Humphries
10:16.0,,,38-39,3,T. Sefolosha makes 3-pt shot from 24 ft (assist by M. Delaney)
9:56.0,Turnover by J. Terry (lost ball; steal by D. Howard),,38-39,,
9:51.0,,,38-41,2,T. Hardaway makes 2-pt shot from 1 ft (assist by D. Howard)
9:25.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,40-41,,
9:08.0,,,40-41,,T. Sefolosha misses 2-pt shot from 18 ft
9:07.0,,,40-41,,Offensive rebound by M. Dunleavy
9:05.0,,,40-41,,M. Dunleavy misses 2-pt shot at rim
9:04.0,,,40-41,,Offensive rebound by D. Howard
9:00.0,,,40-41,,T. Hardaway misses 3-pt shot from 24 ft
9:00.0,,,40-41,,Offensive rebound by Team
9:00.0,M. Brogdon enters the game for M. Dellavedova,,40-41,,
9:00.0,Loose ball foul by M. Dellavedova (drawn by D. Howard),,40-41,,
8:59.0,Violation by M. Plumlee (def goaltending),,40-41,,
8:59.0,,,40-43,2,T. Hardaway makes 2-pt shot from 1 ft (assist by M. Dunleavy)
8:44.0,Turnover by G. Antetokounmpo (step out of bounds),,40-43,,
8:44.0,Official timeout,,40-43,,
8:32.0,,,40-43,,M. Dunleavy misses 3-pt shot from 26 ft
8:31.0,,,40-43,,Offensive rebound by D. Howard
8:30.0,,,40-43,,D. Howard misses 2-pt shot from 1 ft
8:29.0,,,40-43,,Offensive rebound by D. Howard
8:13.0,,,40-45,2,M. Dunleavy makes 2-pt shot from 2 ft (assist by M. Delaney)
7:49.0,M. Brogdon misses 2-pt shot from 11 ft,,40-45,,
7:48.0,,,40-45,,Defensive rebound by D. Howard
7:34.0,,,40-45,,T. Hardaway misses 3-pt shot from 24 ft
