time,Oklahoma City,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gortat (J. Wall gains possession),,,,Jump ball: S. Adams vs. M. Gortat (J. Wall gains possession)
11:39.0,,,0-2,2,M. Gortat makes 2-pt shot from 16 ft
11:27.0,,,0-2,,Personal foul by M. Gortat (drawn by S. Adams)
11:14.0,D. Sabonis makes 2-pt shot from 8 ft,2,2-2,,
11:02.0,,,2-5,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
10:52.0,S. Adams misses 2-pt shot from 6 ft,,2-5,,
10:50.0,,,2-5,,Defensive rebound by Team
10:34.0,,,2-7,2,M. Gortat makes 2-pt shot from 10 ft
10:20.0,D. Sabonis misses 2-pt shot from 12 ft,,2-7,,
10:19.0,Offensive rebound by S. Adams,,2-7,,
10:17.0,S. Adams makes 2-pt shot from 1 ft,2,4-7,,
9:58.0,,,4-9,2,M. Morris makes 2-pt shot from 15 ft
9:49.0,R. Westbrook makes 2-pt shot from 1 ft,2,6-9,,
9:38.0,Personal foul by A. Roberson (drawn by B. Beal),,6-9,,
9:36.0,,,6-11,2,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall)
9:36.0,,,6-11,,Shooting foul by A. Roberson (drawn by B. Beal)
9:36.0,,,6-11,,B. Beal misses free throw 1 of 1
9:36.0,A. Morrow enters the game for A. Roberson,,6-11,,
9:35.0,,,6-11,,Offensive rebound by M. Morris
9:34.0,,,6-13,2,M. Morris makes 2-pt shot from 1 ft
9:22.0,Turnover by V. Oladipo (lost ball; steal by J. Wall),,6-13,,
9:15.0,,,6-16,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
9:14.0,Oklahoma City full timeout,,6-16,,
9:04.0,Turnover by S. Adams (lost ball; steal by M. Morris),,6-16,,
8:58.0,,,6-19,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
8:44.0,R. Westbrook misses 2-pt shot from 15 ft,,6-19,,
8:43.0,,,6-19,,Defensive rebound by O. Porter
8:28.0,,,6-22,3,M. Morris makes 3-pt shot from 26 ft (assist by M. Gortat)
8:12.0,A. Morrow makes 3-pt shot from 24 ft (assist by D. Sabonis),3,9-22,,
7:58.0,,,9-22,,B. Beal misses 3-pt shot from 27 ft
7:57.0,Defensive rebound by A. Morrow,,9-22,,
7:51.0,Turnover by R. Westbrook (lost ball),,9-22,,
7:40.0,,,9-22,,M. Morris misses 2-pt shot from 1 ft
7:39.0,Defensive rebound by S. Adams,,9-22,,
7:35.0,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook),2,11-22,,
7:21.0,,,11-22,,Turnover by B. Beal (bad pass; steal by S. Adams)
7:03.0,D. Sabonis misses 3-pt shot from 26 ft,,11-22,,
7:03.0,,,11-22,,Defensive rebound by Team
7:03.0,J. Lauvergne enters the game for S. Adams,,11-22,,
6:50.0,,,11-24,2,J. Wall makes 2-pt shot from 2 ft
6:33.0,A. Morrow makes 2-pt shot from 9 ft,2,13-24,,
6:14.0,,,13-24,,Shooting foul by J. Lauvergne (drawn by M. Morris)
6:14.0,,,13-24,,M. Morris misses free throw 1 of 2
6:14.0,,,13-24,,Offensive rebound by Team
6:14.0,,,13-25,1,M. Morris makes free throw 2 of 2
5:55.0,,,13-25,,Personal foul by M. Morris (drawn by J. Lauvergne)
5:48.0,R. Westbrook makes 2-pt shot from 12 ft,2,15-25,,
5:33.0,,,15-25,,Shooting foul by D. Sabonis (drawn by B. Beal)
5:33.0,,,15-26,1,B. Beal makes free throw 1 of 2
5:33.0,,,15-27,1,B. Beal makes free throw 2 of 2
5:33.0,,,15-26,,J. Smith enters the game for M. Morris
5:33.0,S. Adams enters the game for D. Sabonis,,15-26,,
5:14.0,V. Oladipo misses 3-pt shot from 25 ft,,15-27,,
5:13.0,Offensive rebound by S. Adams,,15-27,,
5:10.0,S. Adams misses 2-pt shot from 1 ft,,15-27,,
5:09.0,,,15-27,,Defensive rebound by Team
5:08.0,A. Roberson enters the game for V. Oladipo,,15-27,,
4:54.0,,,15-27,,O. Porter misses 3-pt shot from 26 ft
4:53.0,Defensive rebound by J. Lauvergne,,15-27,,
4:47.0,,,15-27,,Shooting block foul by B. Beal (drawn by R. Westbrook)
4:47.0,R. Westbrook makes free throw 1 of 2,1,16-27,,
4:47.0,R. Westbrook makes free throw 2 of 2,1,17-27,,
4:36.0,,,17-27,,J. Smith misses 2-pt shot from 18 ft
4:35.0,Defensive rebound by R. Westbrook,,17-27,,
4:21.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,19-27,,
4:05.0,,,19-27,,J. Wall misses 3-pt shot from 26 ft
4:05.0,,,19-27,,Offensive rebound by J. Smith
4:03.0,,,19-27,,Turnover by J. Smith (traveling)
4:03.0,D. Sabonis enters the game for J. Lauvergne,,19-27,,
3:51.0,R. Westbrook misses 2-pt shot from 17 ft,,19-27,,
3:50.0,,,19-27,,Defensive rebound by O. Porter
3:38.0,,,19-27,,Turnover by J. Wall (lost ball; steal by R. Westbrook)
3:38.0,,,19-27,,Personal foul by B. Beal (drawn by R. Westbrook)
3:38.0,,,19-27,,K. Oubre enters the game for O. Porter
3:38.0,,,19-27,,T. Burke enters the game for B. Beal
3:28.0,R. Westbrook misses 3-pt shot from 26 ft,,19-27,,
3:27.0,Offensive rebound by D. Sabonis,,19-27,,
3:24.0,A. Morrow misses 3-pt shot from 26 ft,,19-27,,
3:24.0,Offensive rebound by Team,,19-27,,
3:24.0,,,19-27,,Loose ball foul by K. Oubre (drawn by S. Adams)
3:24.0,S. Adams makes free throw 1 of 2,1,20-27,,
3:24.0,S. Adams makes free throw 2 of 2,1,21-27,,
3:24.0,V. Oladipo enters the game for A. Roberson,,20-27,,
3:08.0,,,21-27,,Shooting foul by D. Sabonis (drawn by J. Wall)
3:08.0,,,21-28,1,J. Wall makes free throw 1 of 2
3:08.0,,,21-29,1,J. Wall makes free throw 2 of 2
2:59.0,R. Westbrook makes 2-pt shot from 18 ft,2,23-29,,
2:59.0,Shooting foul by J. Wall (drawn by R. Westbrook),,23-29,,
2:59.0,,,23-29,,Washington full timeout
2:59.0,R. Westbrook makes free throw 1 of 1,1,24-29,,
2:59.0,,,23-29,,I. Mahinmi enters the game for M. Gortat
2:49.0,,,24-31,2,J. Wall makes 2-pt shot from 1 ft
2:49.0,,,24-31,,Shooting foul by S. Adams (drawn by J. Wall)
2:49.0,,,24-32,1,J. Wall makes free throw 1 of 1
2:39.0,V. Oladipo misses 3-pt shot from 25 ft,,24-32,,
2:38.0,,,24-32,,Defensive rebound by J. Wall
2:34.0,,,24-34,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
2:19.0,R. Westbrook makes 2-pt shot from 15 ft,2,26-34,,
2:09.0,,,26-34,,Turnover by J. Wall (lost ball; steal by A. Morrow)
2:07.0,Shooting foul by T. Burke (drawn by R. Westbrook),,26-34,,
2:07.0,R. Westbrook makes free throw 1 of 2,1,27-34,,
2:07.0,R. Westbrook makes free throw 2 of 2,1,28-34,,
2:07.0,,,27-34,,T. Satoransky enters the game for J. Wall
1:57.0,,,28-34,,Shooting foul by S. Adams (drawn by I. Mahinmi)
1:57.0,,,28-34,,I. Mahinmi misses free throw 1 of 2
1:57.0,,,28-34,,Offensive rebound by Team
1:57.0,,,28-34,,I. Mahinmi misses free throw 2 of 2
1:57.0,C. Payne enters the game for R. Westbrook,,28-34,,
1:57.0,J. Lauvergne enters the game for S. Adams,,28-34,,
1:56.0,Defensive rebound by D. Sabonis,,28-34,,
1:35.0,Shooting foul by K. Oubre (drawn by V. Oladipo),,28-34,,
1:35.0,V. Oladipo makes free throw 1 of 2,1,29-34,,
1:35.0,V. Oladipo makes free throw 2 of 2,1,30-34,,
1:16.0,,,30-36,2,T. Burke makes 2-pt shot at rim
1:08.0,A. Morrow misses 2-pt shot from 8 ft,,30-36,,
1:07.0,Offensive rebound by D. Sabonis,,30-36,,
0:55.0,D. Sabonis makes 2-pt shot from 7 ft,2,32-36,,
0:40.0,,,32-38,2,J. Smith makes 2-pt shot from 18 ft (assist by T. Satoransky)
0:31.0,Turnover by V. Oladipo (lost ball),,32-38,,
0:07.0,,,32-38,,T. Burke misses 3-pt shot from 32 ft
0:07.0,,,32-38,,Offensive rebound by Team
0:07.0,,,32-38,,Turnover by Team (shot clock)
0:00.0,V. Oladipo misses 3-pt shot from 28 ft,,32-38,,
0:00.0,Offensive rebound by Team,,32-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,32-38,,Shooting block foul by J. Smith (drawn by J. Lauvergne)
11:47.0,J. Lauvergne makes free throw 1 of 2,1,33-38,,
11:47.0,J. Lauvergne makes free throw 2 of 2,1,34-38,,
11:47.0,J. Grant enters the game for D. Sabonis,,33-38,,
11:33.0,,,34-38,,Turnover by J. Smith (lost ball; steal by J. Grant)
11:26.0,A. Morrow misses 3-pt shot from 26 ft,,34-38,,
11:25.0,,,34-38,,Defensive rebound by J. Smith
11:18.0,,,34-38,,Turnover by J. Smith (traveling)
11:18.0,A. Abrines enters the game for A. Morrow,,34-38,,
11:05.0,J. Grant misses 2-pt shot from 15 ft,,34-38,,
11:04.0,,,34-38,,Defensive rebound by K. Oubre
11:00.0,Personal block foul by V. Oladipo (drawn by K. Oubre),,34-38,,
10:50.0,,,34-40,2,K. Oubre makes 2-pt shot from 11 ft (assist by J. Smith)
10:31.0,,,34-40,,Personal foul by T. Burke (drawn by A. Abrines)
10:31.0,,,34-40,,M. Morris enters the game for I. Mahinmi
10:26.0,J. Lauvergne makes 3-pt shot from 26 ft (assist by C. Payne),3,37-40,,
10:05.0,,,37-43,3,M. Morris makes 3-pt shot from 27 ft (assist by T. Burke)
9:51.0,J. Grant misses 3-pt shot from 27 ft,,37-43,,
9:50.0,,,37-43,,Defensive rebound by T. Satoransky
9:45.0,,,37-43,,Shooting foul by A. Abrines (drawn by T. Burke)
9:45.0,,,37-44,1,T. Burke makes free throw 1 of 2
9:45.0,Oklahoma City full timeout,,37-44,,
9:45.0,,,37-45,1,T. Burke makes free throw 2 of 2
9:31.0,J. Lauvergne makes 2-pt shot from 5 ft (assist by J. Grant),2,39-45,,
9:11.0,,,39-45,,M. Morris misses 2-pt shot from 9 ft
9:10.0,Defensive rebound by J. Grant,,39-45,,
8:57.0,V. Oladipo makes 2-pt shot from 2 ft (assist by J. Grant),2,41-45,,
8:33.0,,,41-45,,K. Oubre misses 2-pt shot from 17 ft
8:32.0,Defensive rebound by C. Payne,,41-45,,
8:29.0,Turnover by C. Payne (bad pass),,41-45,,
8:29.0,R. Westbrook enters the game for V. Oladipo,,41-45,,
8:29.0,,,41-45,,M. Gortat enters the game for J. Smith
8:29.0,,,41-45,,B. Beal enters the game for T. Satoransky
8:17.0,,,41-47,2,M. Gortat makes 2-pt shot from 14 ft (assist by B. Beal)
8:09.0,A. Abrines makes 3-pt shot from 27 ft (assist by R. Westbrook),3,44-47,,
7:52.0,,,44-50,3,B. Beal makes 3-pt shot from 26 ft (assist by T. Burke)
7:35.0,C. Payne makes 3-pt shot from 26 ft (assist by J. Grant),3,47-50,,
7:26.0,Violation by J. Lauvergne (kicked ball),,47-50,,
7:26.0,,,47-50,,O. Porter enters the game for K. Oubre
7:26.0,,,47-50,,J. Wall enters the game for T. Burke
7:25.0,S. Adams enters the game for J. Lauvergne,,47-50,,
7:24.0,A. Roberson enters the game for C. Payne,,47-50,,
7:14.0,,,47-52,2,M. Morris makes 2-pt shot at rim (assist by B. Beal)
7:05.0,R. Westbrook misses 2-pt shot from 3 ft (block by M. Gortat),,47-52,,
7:04.0,,,47-52,,Defensive rebound by J. Wall
6:58.0,,,47-55,3,O. Porter makes 3-pt shot from 24 ft (assist by M. Morris)
6:36.0,J. Grant makes 3-pt shot from 24 ft (assist by R. Westbrook),3,50-55,,
6:12.0,,,50-57,2,M. Morris makes 2-pt shot from 14 ft
5:48.0,A. Abrines misses 3-pt shot from 26 ft,,50-57,,
5:47.0,,,50-57,,Defensive rebound by O. Porter
5:31.0,,,50-57,,Turnover by J. Wall (bad pass)
5:31.0,Official timeout,,50-57,,
5:13.0,A. Abrines misses 3-pt shot from 30 ft,,50-57,,
5:12.0,Offensive rebound by S. Adams,,50-57,,
5:05.0,J. Grant misses 2-pt shot from 1 ft (block by O. Porter),,50-57,,
5:03.0,Offensive rebound by S. Adams,,50-57,,
4:53.0,,,50-57,,Personal foul by B. Beal (drawn by R. Westbrook)
4:53.0,V. Oladipo enters the game for A. Abrines,,50-57,,
4:53.0,,,50-57,,T. Burke enters the game for B. Beal
