time,Oklahoma City,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Cousins (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. D. Cousins (V. Oladipo gains possession)
11:38.0,V. Oladipo makes 2-pt shot from 2 ft (assist by D. Sabonis),2,2-0,,
11:19.0,,,2-0,,D. Cousins misses 2-pt shot from 19 ft
11:17.0,Defensive rebound by S. Adams,,2-0,,
11:03.0,D. Sabonis misses 2-pt shot from 18 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by R. Gay
11:02.0,Personal foul by D. Sabonis (drawn by D. Cousins),,2-0,,
10:42.0,,,2-2,2,D. Cousins makes 2-pt shot from 20 ft (assist by D. Collison)
10:25.0,S. Adams misses 2-pt shot from 4 ft,,2-2,,
10:25.0,,,2-2,,Defensive rebound by D. Cousins
10:13.0,,,2-5,3,D. Cousins makes 3-pt shot from 24 ft (assist by D. Collison)
9:52.0,Shooting foul by R. Gay (drawn by R. Westbrook),,2-5,,
9:52.0,R. Westbrook makes free throw 1 of 2,1,3-5,,
9:52.0,R. Westbrook makes free throw 2 of 2,1,4-5,,
9:38.0,,,4-7,2,A. Afflalo makes 2-pt shot from 17 ft
9:38.0,,,4-7,,Shooting foul by V. Oladipo (drawn by A. Afflalo)
9:38.0,,,4-8,1,A. Afflalo makes free throw 1 of 1
9:17.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,6-8,,
8:59.0,,,6-8,,Shooting foul by A. Roberson (drawn by R. Gay)
8:59.0,,,6-9,1,R. Gay makes free throw 1 of 2
8:59.0,,,6-10,1,R. Gay makes free throw 2 of 2
8:53.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,8-10,,
8:36.0,,,8-13,3,D. Cousins makes 3-pt shot from 25 ft (assist by M. Barnes)
8:30.0,Oklahoma City full timeout,,8-13,,
8:21.0,V. Oladipo misses 3-pt shot from 25 ft,,8-13,,
8:21.0,,,8-13,,Defensive rebound by R. Gay
8:04.0,,,8-13,,M. Barnes misses 2-pt shot from 21 ft
8:01.0,,,8-13,,Offensive rebound by R. Gay
7:59.0,,,8-13,,Turnover by R. Gay (bad pass; steal by V. Oladipo)
7:54.0,R. Westbrook makes 2-pt shot from 15 ft (assist by V. Oladipo),2,10-13,,
7:37.0,,,10-15,2,D. Cousins makes 2-pt shot at rim (assist by D. Collison)
7:20.0,A. Roberson misses 3-pt shot from 23 ft,,10-15,,
7:19.0,,,10-15,,Defensive rebound by D. Cousins
7:12.0,,,10-15,,Turnover by D. Collison (bad pass)
7:12.0,J. Grant enters the game for S. Adams,,10-15,,
6:55.0,V. Oladipo misses 3-pt shot from 25 ft,,10-15,,
6:54.0,,,10-15,,Defensive rebound by A. Afflalo
6:39.0,,,10-15,,Turnover by D. Cousins (kicked ball)
6:21.0,,,10-15,,Violation by D. Cousins (def goaltending)
6:21.0,R. Westbrook makes 2-pt shot from 2 ft,2,12-15,,
6:09.0,,,12-15,,D. Cousins misses 2-pt shot from 4 ft (block by A. Roberson)
6:08.0,,,12-15,,Offensive rebound by D. Cousins
6:07.0,,,12-15,,Shooting foul by D. Sabonis (drawn by D. Cousins)
6:07.0,,,12-16,1,D. Cousins makes free throw 1 of 2
6:07.0,,,12-17,1,D. Cousins makes free throw 2 of 2
6:07.0,S. Adams enters the game for D. Sabonis,,12-16,,
5:52.0,R. Westbrook misses 2-pt shot from 6 ft,,12-17,,
5:50.0,Offensive rebound by A. Roberson,,12-17,,
5:50.0,A. Roberson makes 2-pt shot from 2 ft,2,14-17,,
5:40.0,,,14-17,,D. Collison misses 2-pt shot from 4 ft
5:39.0,Defensive rebound by A. Roberson,,14-17,,
5:36.0,Shooting foul by M. Barnes (drawn by R. Westbrook),,14-17,,
5:36.0,R. Westbrook makes free throw 1 of 2,1,15-17,,
5:36.0,R. Westbrook makes free throw 2 of 2,1,16-17,,
5:17.0,,,16-19,2,D. Collison makes 2-pt shot from 3 ft
5:07.0,R. Westbrook misses 2-pt shot from 18 ft,,16-19,,
5:06.0,,,16-19,,Defensive rebound by D. Cousins
4:58.0,,,16-19,,R. Gay misses 2-pt shot from 5 ft
4:57.0,Defensive rebound by S. Adams,,16-19,,
4:47.0,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook),3,19-19,,
4:32.0,,,19-19,,Shooting foul by S. Adams (drawn by D. Cousins)
4:32.0,,,19-20,1,D. Cousins makes free throw 1 of 2
4:32.0,,,19-21,1,D. Cousins makes free throw 2 of 2
4:32.0,A. Morrow enters the game for V. Oladipo,,19-20,,
4:32.0,,,19-20,,T. Lawson enters the game for D. Collison
4:32.0,,,19-20,,K. Koufos enters the game for M. Barnes
4:23.0,Shooting foul by K. Koufos (drawn by R. Westbrook),,19-21,,
4:23.0,R. Westbrook makes free throw 1 of 2,1,20-21,,
4:23.0,R. Westbrook makes free throw 2 of 2,1,21-21,,
3:58.0,,,21-21,,D. Cousins misses 3-pt shot from 27 ft
3:57.0,Defensive rebound by R. Westbrook,,21-21,,
3:53.0,E. Kanter enters the game for J. Grant,,21-21,,
3:48.0,A. Morrow misses 2-pt shot from 22 ft,,21-21,,
3:45.0,,,21-21,,Defensive rebound by R. Gay
3:36.0,,,21-21,,D. Cousins misses 2-pt shot from 2 ft
3:35.0,Defensive rebound by E. Kanter,,21-21,,
3:31.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,23-21,,
3:25.0,,,23-21,,Sacramento full timeout
3:25.0,,,23-21,,B. McLemore enters the game for R. Gay
3:15.0,,,23-23,2,D. Cousins makes 2-pt shot from 4 ft (assist by T. Lawson)
3:02.0,R. Westbrook misses 3-pt shot from 25 ft,,23-23,,
3:01.0,,,23-23,,Defensive rebound by K. Koufos
2:46.0,,,23-23,,D. Cousins misses 2-pt shot from 3 ft (block by S. Adams)
2:46.0,Defensive rebound by Team,,23-23,,
2:46.0,V. Oladipo enters the game for R. Westbrook,,23-23,,
2:22.0,V. Oladipo makes 2-pt shot from 19 ft,2,25-23,,
2:08.0,,,25-25,2,K. Koufos makes 2-pt shot at rim (assist by T. Lawson)
