time,Detroit,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Horford (J. Crowder gains possession),,,,Jump ball: A. Drummond vs. A. Horford (J. Crowder gains possession)
11:44.0,,,0-3,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Horford)
11:29.0,A. Drummond makes 2-pt shot from 9 ft (assist by J. Leuer),2,2-3,,
11:14.0,Personal foul by K. Caldwell-Pope (drawn by I. Thomas),,2-3,,
11:04.0,,,2-5,2,A. Horford makes 2-pt shot at rim (assist by I. Thomas)
10:42.0,A. Drummond misses 2-pt shot from 9 ft,,2-5,,
10:41.0,Offensive rebound by M. Morris,,2-5,,
10:41.0,M. Morris makes 2-pt shot from 2 ft,2,4-5,,
10:20.0,,,4-5,,J. Crowder misses 2-pt shot from 17 ft
10:19.0,Defensive rebound by A. Drummond,,4-5,,
10:07.0,M. Morris misses 2-pt shot from 18 ft,,4-5,,
10:06.0,,,4-5,,Defensive rebound by J. Brown
9:54.0,,,4-5,,I. Thomas misses 2-pt shot from 6 ft
9:53.0,,,4-5,,Offensive rebound by J. Crowder
9:49.0,,,4-7,2,J. Crowder makes 2-pt shot from 5 ft
9:35.0,R. Jackson makes 2-pt shot from 2 ft,2,6-7,,
9:12.0,,,6-7,,J. Crowder misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by R. Jackson,,6-7,,
8:58.0,Turnover by A. Drummond (lost ball; steal by J. Brown),,6-7,,
8:49.0,,,6-7,,Turnover by A. Horford (lost ball; steal by A. Drummond)
8:43.0,A. Drummond makes 2-pt shot from 1 ft (assist by J. Leuer),2,8-7,,
8:18.0,,,8-7,,A. Horford misses 2-pt shot from 7 ft
8:16.0,,,8-7,,Offensive rebound by A. Horford
8:07.0,,,8-7,,A. Horford misses 3-pt shot from 24 ft
8:06.0,,,8-7,,Offensive rebound by J. Jerebko
8:03.0,,,8-7,,J. Brown misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by Team,,8-7,,
7:48.0,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by A. Drummond),2,10-7,,
7:36.0,,,10-7,,I. Thomas misses 2-pt shot from 20 ft
7:35.0,Defensive rebound by A. Drummond,,10-7,,
7:23.0,M. Morris misses 3-pt shot from 25 ft,,10-7,,
7:22.0,,,10-7,,Defensive rebound by J. Jerebko
7:15.0,,,10-7,,Boston full timeout
7:09.0,,,10-9,2,J. Brown makes 2-pt shot from 5 ft
6:54.0,M. Morris misses 3-pt shot from 25 ft,,10-9,,
6:52.0,,,10-9,,Defensive rebound by Team
6:43.0,,,10-9,,I. Thomas misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by A. Drummond,,10-9,,
6:30.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,10-9,,
6:29.0,,,10-9,,Defensive rebound by J. Jerebko
6:17.0,,,10-9,,Shooting foul by J. Leuer (drawn by I. Thomas)
6:17.0,,,10-10,1,I. Thomas makes free throw 1 of 2
6:17.0,,,10-11,1,I. Thomas makes free throw 2 of 2
5:59.0,R. Jackson makes 2-pt shot from 4 ft,2,12-11,,
5:45.0,,,12-11,,Shooting foul by R. Jackson (drawn by I. Thomas)
5:45.0,,,12-12,1,I. Thomas makes free throw 1 of 2
5:45.0,,,12-13,1,I. Thomas makes free throw 2 of 2
5:45.0,T. Harris enters the game for J. Leuer,,12-12,,
5:31.0,R. Jackson misses 3-pt shot from 25 ft,,12-13,,
5:30.0,,,12-13,,Defensive rebound by J. Crowder
5:22.0,,,12-15,2,I. Thomas makes 2-pt shot from 3 ft
4:57.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by A. Drummond),3,15-15,,
4:41.0,,,15-15,,Turnover by A. Horford (lost ball; steal by K. Caldwell-Pope)
4:36.0,A. Drummond makes 2-pt shot from 1 ft,2,17-15,,
4:23.0,,,17-15,,Turnover by J. Crowder (bad pass; steal by R. Jackson)
4:11.0,T. Harris makes 2-pt shot from 12 ft (assist by R. Jackson),2,19-15,,
3:55.0,,,19-17,2,A. Horford makes 2-pt shot at rim (assist by I. Thomas)
3:41.0,T. Harris makes 2-pt shot from 15 ft,2,21-17,,
3:23.0,,,21-17,,Turnover by J. Jerebko (bad pass)
3:23.0,,,21-17,,M. Smart enters the game for J. Brown
3:05.0,T. Harris misses 2-pt shot from 14 ft,,21-17,,
3:04.0,,,21-17,,Defensive rebound by J. Crowder
2:45.0,,,21-17,,I. Thomas misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by M. Morris,,21-17,,
2:39.0,T. Harris makes 2-pt shot from 18 ft (assist by R. Jackson),2,23-17,,
2:22.0,,,23-17,,Boston full timeout
2:22.0,Detroit full timeout,,23-17,,
2:22.0,S. Johnson enters the game for M. Morris,,23-17,,
2:22.0,J. Leuer enters the game for A. Drummond,,23-17,,
2:22.0,,,23-17,,G. Green enters the game for J. Jerebko
2:22.0,,,23-17,,K. Olynyk enters the game for A. Horford
2:22.0,,,23-17,,A. Johnson enters the game for I. Thomas
2:12.0,,,23-20,3,J. Crowder makes 3-pt shot from 26 ft (assist by M. Smart)
1:59.0,,,23-20,,Personal foul by M. Smart (drawn by T. Harris)
1:59.0,R. Bullock enters the game for K. Caldwell-Pope,,23-20,,
1:48.0,R. Jackson makes 2-pt shot from 19 ft,2,25-20,,
1:21.0,,,25-20,,J. Crowder misses 2-pt shot from 19 ft
1:20.0,Defensive rebound by S. Johnson,,25-20,,
1:13.0,R. Jackson misses 2-pt shot from 3 ft (block by A. Johnson),,25-20,,
1:12.0,,,25-20,,Defensive rebound by A. Johnson
1:09.0,Shooting block foul by S. Johnson (drawn by J. Crowder),,25-20,,
1:09.0,,,25-21,1,J. Crowder makes free throw 1 of 2
1:09.0,,,25-21,,J. Crowder misses free throw 2 of 2
1:09.0,Defensive rebound by T. Harris,,25-21,,
0:48.0,R. Jackson misses 3-pt shot from 25 ft,,25-21,,
0:48.0,,,25-21,,Defensive rebound by G. Green
0:36.0,,,25-23,2,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart)
0:27.0,T. Harris misses 3-pt shot from 30 ft,,25-23,,
0:26.0,,,25-23,,Defensive rebound by A. Johnson
0:06.0,Jump ball: R. Bullock vs. A. Johnson (M. Smart gains possession),,,,Jump ball: R. Bullock vs. A. Johnson (M. Smart gains possession)
0:02.0,,,25-26,3,M. Smart makes 3-pt shot from 25 ft
0:00.0,R. Jackson misses 3-pt shot from 54 ft,,25-26,,
0:00.0,Offensive rebound by Team,,25-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,R. Bullock misses 2-pt shot from 16 ft,,25-26,,
11:48.0,,,25-26,,Defensive rebound by M. Smart
11:34.0,,,25-26,,G. Green misses 2-pt shot from 16 ft
11:33.0,Defensive rebound by J. Leuer,,25-26,,
11:25.0,J. Leuer misses 3-pt shot from 26 ft,,25-26,,
11:24.0,,,25-26,,Defensive rebound by J. Brown
11:04.0,,,25-26,,A. Johnson misses 2-pt shot from 6 ft (block by T. Harris)
11:02.0,Defensive rebound by J. Leuer,,25-26,,
10:53.0,Shooting foul by A. Johnson (drawn by J. Leuer),,25-26,,
10:53.0,J. Leuer makes free throw 1 of 2,1,26-26,,
10:53.0,J. Leuer makes free throw 2 of 2,1,27-26,,
10:41.0,,,27-26,,M. Smart misses 2-pt shot from 3 ft (block by I. Smith)
10:40.0,,,27-26,,Offensive rebound by Team
10:37.0,,,27-28,2,A. Johnson makes 2-pt shot from 2 ft (assist by J. Brown)
10:24.0,T. Harris misses 3-pt shot from 25 ft,,27-28,,
10:23.0,,,27-28,,Defensive rebound by A. Johnson
10:11.0,,,27-28,,J. Brown misses 2-pt shot from 16 ft
10:09.0,Defensive rebound by T. Harris,,27-28,,
10:02.0,T. Harris misses 2-pt shot from 6 ft (block by K. Olynyk),,27-28,,
10:01.0,,,27-28,,Defensive rebound by Team
9:52.0,,,27-28,,K. Olynyk misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by S. Johnson,,27-28,,
9:45.0,,,27-28,,Shooting block foul by J. Brown (drawn by S. Johnson)
9:45.0,S. Johnson misses free throw 1 of 2,,27-28,,
9:45.0,Offensive rebound by Team,,27-28,,
9:45.0,S. Johnson makes free throw 2 of 2,1,28-28,,
9:45.0,,,27-28,,T. Rozier enters the game for J. Brown
9:30.0,,,28-28,,Shooting foul by J. Leuer (drawn by G. Green)
9:30.0,,,28-29,1,G. Green makes free throw 1 of 2
9:30.0,,,28-30,1,G. Green makes free throw 2 of 2
9:30.0,A. Drummond enters the game for J. Leuer,,28-29,,
9:16.0,S. Johnson misses 3-pt shot from 24 ft,,28-30,,
9:15.0,,,28-30,,Defensive rebound by K. Olynyk
9:06.0,,,28-30,,G. Green misses 2-pt shot from 20 ft
9:05.0,Defensive rebound by A. Drummond,,28-30,,
8:54.0,I. Smith misses 2-pt shot from 19 ft,,28-30,,
8:53.0,,,28-30,,Defensive rebound by K. Olynyk
8:43.0,,,28-30,,Shooting foul by I. Smith (drawn by M. Smart)
8:43.0,Official timeout,,28-30,,
8:43.0,,,28-31,1,M. Smart makes free throw 1 of 2
8:43.0,,,28-31,,M. Smart misses free throw 2 of 2
8:43.0,Defensive rebound by A. Drummond,,28-31,,
8:43.0,M. Morris enters the game for T. Harris,,28-30,,
8:26.0,M. Morris makes 2-pt shot from 16 ft (assist by I. Smith),2,30-31,,
8:11.0,,,30-31,,M. Smart misses 2-pt shot from 16 ft
8:10.0,Defensive rebound by M. Morris,,30-31,,
