time,Miami,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. H. Whiteside,,,,Jump ball: P. Gasol vs. H. Whiteside
11:41.0,D. Williams makes 2-pt shot from 16 ft (assist by H. Whiteside),2,2-0,,
11:15.0,,,2-0,,K. Leonard misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by H. Whiteside,,2-0,,
11:04.0,D. Williams misses 3-pt shot from 26 ft,,2-0,,
11:03.0,,,2-0,,Defensive rebound by D. Green
10:54.0,,,2-0,,P. Gasol misses 2-pt shot from 19 ft
10:53.0,Defensive rebound by D. Williams,,2-0,,
10:32.0,Turnover by D. Williams (traveling),,2-0,,
10:23.0,,,2-0,,Offensive foul by K. Leonard
10:23.0,,,2-0,,Turnover by K. Leonard (offensive foul)
10:13.0,J. Richardson makes 2-pt shot from 15 ft,2,4-0,,
10:02.0,,,4-2,2,T. Parker makes 2-pt shot from 12 ft (assist by K. Leonard)
9:40.0,J. Richardson misses 3-pt shot from 25 ft,,4-2,,
9:40.0,,,4-2,,Defensive rebound by K. Leonard
9:25.0,,,4-4,2,L. Aldridge makes 2-pt shot from 16 ft (assist by K. Leonard)
9:04.0,Turnover by H. Whiteside (3 sec),,4-4,,
8:54.0,,,4-6,2,T. Parker makes 2-pt shot from 1 ft (assist by P. Gasol)
8:35.0,D. Waiters misses 2-pt shot from 20 ft,,4-6,,
8:34.0,,,4-6,,Defensive rebound by T. Parker
8:28.0,,,4-8,2,K. Leonard makes 2-pt shot from 4 ft (assist by T. Parker)
8:12.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Richardson),2,6-8,,
8:12.0,Shooting foul by D. Green (drawn by H. Whiteside),,6-8,,
8:12.0,H. Whiteside misses free throw 1 of 1,,6-8,,
8:11.0,,,6-8,,Defensive rebound by K. Leonard
7:57.0,,,6-10,2,T. Parker makes 2-pt shot from 6 ft
7:39.0,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow),2,8-10,,
7:20.0,,,8-12,2,L. Aldridge makes 2-pt shot from 12 ft
7:03.0,D. Williams misses 3-pt shot from 23 ft,,8-12,,
7:02.0,,,8-12,,Defensive rebound by P. Gasol
7:01.0,,,8-12,,Shooting foul by J. Richardson (drawn by T. Parker)
7:01.0,,,8-12,,T. Parker misses free throw 1 of 2
7:01.0,,,8-12,,Offensive rebound by Team
7:01.0,,,8-13,1,T. Parker makes free throw 2 of 2
6:44.0,J. Winslow misses 2-pt shot from 1 ft (block by D. Green),,8-13,,
6:42.0,,,8-13,,Defensive rebound by K. Leonard
6:39.0,,,8-13,,Shooting foul by D. Waiters (drawn by P. Gasol)
6:39.0,,,8-13,,P. Gasol misses free throw 1 of 2
6:39.0,,,8-13,,Offensive rebound by Team
6:39.0,,,8-13,,P. Gasol misses free throw 2 of 2
6:38.0,Defensive rebound by H. Whiteside,,8-13,,
6:22.0,J. Richardson misses 3-pt shot from 25 ft,,8-13,,
6:21.0,,,8-13,,Defensive rebound by P. Gasol
6:05.0,,,8-15,2,L. Aldridge makes 2-pt shot from 14 ft
6:05.0,Miami full timeout,,8-15,,
6:05.0,,,8-15,,P. Mills enters the game for T. Parker
5:47.0,D. Waiters misses 3-pt shot from 25 ft,,8-15,,
5:46.0,,,8-15,,Defensive rebound by K. Leonard
5:33.0,,,8-17,2,K. Leonard makes 2-pt shot from 10 ft
5:20.0,J. Winslow misses 2-pt shot from 1 ft,,8-17,,
5:19.0,,,8-17,,Defensive rebound by K. Leonard
5:13.0,,,8-17,,Turnover by D. Green (bad pass; steal by J. Richardson)
5:08.0,J. Winslow makes 2-pt shot from 1 ft (assist by J. Richardson),2,10-17,,
4:49.0,,,10-17,,P. Gasol misses 2-pt shot from 6 ft
4:48.0,Defensive rebound by H. Whiteside,,10-17,,
4:24.0,J. Richardson misses 2-pt shot from 24 ft,,10-17,,
4:24.0,,,10-17,,Defensive rebound by P. Gasol
4:14.0,Personal foul by D. Williams (drawn by L. Aldridge),,10-17,,
4:14.0,,,10-17,,M. Ginobili enters the game for D. Green
4:14.0,,,10-17,,D. Lee enters the game for P. Gasol
4:14.0,J. Johnson enters the game for D. Williams,,10-17,,
4:14.0,T. Johnson enters the game for J. Richardson,,10-17,,
3:58.0,,,10-17,,K. Leonard misses 2-pt shot from 13 ft
3:57.0,Defensive rebound by J. Winslow,,10-17,,
3:48.0,Turnover by H. Whiteside (traveling),,10-17,,
3:35.0,,,10-19,2,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills)
3:20.0,T. Johnson misses 2-pt shot from 9 ft,,10-19,,
3:18.0,,,10-19,,Defensive rebound by L. Aldridge
3:12.0,,,10-19,,K. Leonard misses 2-pt shot from 9 ft
3:10.0,,,10-19,,Offensive rebound by K. Leonard
3:07.0,,,10-21,2,K. Leonard makes 2-pt shot from 2 ft
2:47.0,D. Waiters makes 2-pt shot from 3 ft,2,12-21,,
2:44.0,,,12-21,,San Antonio full timeout
2:44.0,J. McRoberts enters the game for H. Whiteside,,12-21,,
2:34.0,,,12-21,,M. Ginobili misses 2-pt shot from 8 ft
2:33.0,,,12-21,,Offensive rebound by Team
2:33.0,Loose ball foul by J. Johnson (drawn by M. Ginobili),,12-21,,
2:21.0,,,12-24,3,K. Leonard makes 3-pt shot from 25 ft (assist by D. Lee)
2:10.0,Turnover by D. Waiters (bad pass),,12-24,,
2:10.0,R. McGruder enters the game for D. Waiters,,12-24,,
2:04.0,Personal foul by J. Winslow (drawn by K. Leonard),,12-24,,
2:04.0,,,12-25,1,K. Leonard makes free throw 1 of 2
2:04.0,,,12-25,,K. Leonard misses free throw 2 of 2
2:04.0,,,12-25,,D. Dedmon enters the game for L. Aldridge
2:03.0,Defensive rebound by J. McRoberts,,12-25,,
1:45.0,J. Winslow makes 2-pt shot at rim (assist by J. McRoberts),2,14-25,,
1:33.0,,,14-25,,Turnover by K. Leonard (bad pass; steal by J. Johnson)
1:18.0,R. McGruder makes 2-pt shot from 1 ft (assist by J. McRoberts),2,16-25,,
1:02.0,,,16-25,,M. Ginobili misses 2-pt shot from 11 ft
