time,San Antonio,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Dedmon (A. Roberson gains possession),,,,Jump ball: S. Adams vs. D. Dedmon (A. Roberson gains possession)
11:44.0,,,0-2,2,R. Westbrook makes 2-pt shot from 18 ft (assist by V. Oladipo)
11:23.0,Shooting foul by R. Westbrook (drawn by K. Leonard),,0-2,,
11:23.0,K. Leonard makes free throw 1 of 2,1,1-2,,
11:23.0,K. Leonard makes free throw 2 of 2,1,2-2,,
11:09.0,,,2-4,2,S. Adams makes 2-pt shot from 5 ft
10:51.0,L. Aldridge makes 2-pt shot from 15 ft (assist by D. Murray),2,4-4,,
10:34.0,,,4-6,2,S. Adams makes 2-pt shot from 1 ft
10:34.0,,,4-6,,Shooting foul by D. Dedmon (drawn by S. Adams)
10:34.0,,,4-6,,S. Adams misses free throw 1 of 1
10:33.0,Defensive rebound by D. Dedmon,,4-6,,
10:23.0,D. Murray makes 2-pt shot from 1 ft,2,6-6,,
10:03.0,,,6-6,,S. Adams misses 2-pt shot from 2 ft
10:03.0,Defensive rebound by D. Green,,6-6,,
9:55.0,K. Leonard misses 2-pt shot from 20 ft,,6-6,,
9:55.0,Offensive rebound by Team,,6-6,,
9:50.0,K. Leonard makes 2-pt shot from 14 ft (assist by D. Murray),2,8-6,,
9:36.0,,,8-6,,V. Oladipo misses 2-pt shot from 2 ft (block by D. Dedmon)
9:36.0,,,8-6,,Offensive rebound by Team
9:30.0,Personal foul by D. Murray (drawn by R. Westbrook),,8-6,,
9:20.0,,,8-6,,S. Adams misses 2-pt shot from 6 ft
9:19.0,Defensive rebound by L. Aldridge,,8-6,,
8:57.0,K. Leonard makes 2-pt shot from 15 ft,2,10-6,,
8:42.0,,,10-6,,V. Oladipo misses 2-pt shot from 17 ft
8:42.0,Defensive rebound by D. Murray,,10-6,,
8:31.0,,,10-6,,Personal block foul by V. Oladipo (drawn by K. Leonard)
8:28.0,Turnover by D. Dedmon (bad pass; steal by R. Westbrook),,10-6,,
8:25.0,,,10-8,2,R. Westbrook makes 2-pt shot at rim
8:04.0,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Green),2,12-8,,
7:54.0,,,12-10,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
7:42.0,L. Aldridge misses 2-pt shot from 20 ft,,12-10,,
7:41.0,,,12-10,,Defensive rebound by T. Gibson
7:32.0,,,12-10,,V. Oladipo misses 2-pt shot from 3 ft (block by D. Dedmon)
7:31.0,Defensive rebound by K. Leonard,,12-10,,
7:26.0,D. Murray misses 2-pt shot from 2 ft,,12-10,,
7:26.0,,,12-10,,Defensive rebound by S. Adams
7:16.0,,,12-10,,Turnover by T. Gibson (lost ball; steal by D. Dedmon)
7:02.0,L. Aldridge makes 2-pt shot from 13 ft,2,14-10,,
7:01.0,,,14-10,,Oklahoma City full timeout
6:48.0,,,14-12,2,R. Westbrook makes 2-pt shot from 18 ft (assist by V. Oladipo)
6:30.0,L. Aldridge misses 3-pt shot from 25 ft,,14-12,,
6:30.0,,,14-12,,Defensive rebound by S. Adams
6:21.0,,,14-14,2,T. Gibson makes 2-pt shot from 18 ft (assist by V. Oladipo)
5:57.0,K. Leonard misses 3-pt shot from 27 ft,,14-14,,
5:56.0,,,14-14,,Defensive rebound by V. Oladipo
5:45.0,,,14-14,,R. Westbrook misses 2-pt shot from 13 ft
5:44.0,Defensive rebound by D. Dedmon,,14-14,,
5:33.0,,,14-14,,Personal foul by T. Gibson (drawn by L. Aldridge)
5:33.0,P. Mills enters the game for D. Murray,,14-14,,
5:33.0,P. Gasol enters the game for D. Dedmon,,14-14,,
5:33.0,,,14-14,,A. Abrines enters the game for V. Oladipo
5:19.0,L. Aldridge misses 2-pt shot from 15 ft,,14-14,,
5:19.0,,,14-14,,Defensive rebound by R. Westbrook
5:15.0,,,14-14,,Shooting foul by K. Leonard (drawn by S. Adams)
5:15.0,,,14-14,,S. Adams misses free throw 1 of 2
5:15.0,,,14-14,,Offensive rebound by Team
5:15.0,,,14-15,1,S. Adams makes free throw 2 of 2
5:15.0,,,14-14,,E. Kanter enters the game for T. Gibson
4:57.0,L. Aldridge misses 2-pt shot from 17 ft,,14-15,,
4:57.0,,,14-15,,Defensive rebound by R. Westbrook
4:53.0,,,14-15,,Shooting foul by D. Green (drawn by R. Westbrook)
4:53.0,,,14-16,1,R. Westbrook makes free throw 1 of 2
4:53.0,,,14-17,1,R. Westbrook makes free throw 2 of 2
4:53.0,J. Simmons enters the game for D. Green,,14-16,,
4:41.0,Turnover by P. Mills (bad pass),,14-17,,
4:34.0,,,14-17,,Turnover by R. Westbrook (lost ball; steal by J. Simmons)
4:26.0,K. Leonard misses 3-pt shot from 25 ft,,14-17,,
4:25.0,,,14-17,,Defensive rebound by A. Roberson
4:18.0,,,14-17,,A. Abrines misses 3-pt shot from 23 ft
4:16.0,,,14-17,,Offensive rebound by A. Roberson
4:16.0,,,14-19,2,A. Roberson makes 2-pt shot from 3 ft
4:15.0,San Antonio full timeout,,14-19,,
3:58.0,K. Leonard misses 2-pt shot from 13 ft,,14-19,,
3:58.0,,,14-19,,Defensive rebound by A. Abrines
3:44.0,,,14-19,,Turnover by S. Adams (lost ball; steal by J. Simmons)
3:39.0,P. Mills misses 2-pt shot from 1 ft,,14-19,,
3:39.0,,,14-19,,Defensive rebound by A. Roberson
3:33.0,,,14-19,,R. Westbrook misses 2-pt shot from 14 ft
3:32.0,Defensive rebound by P. Gasol,,14-19,,
3:26.0,P. Mills makes 3-pt shot from 24 ft (assist by K. Leonard),3,17-19,,
3:12.0,,,17-19,,A. Abrines misses 3-pt shot from 25 ft
3:11.0,Defensive rebound by L. Aldridge,,17-19,,
2:52.0,J. Simmons misses 2-pt shot from 2 ft,,17-19,,
2:52.0,,,17-19,,Defensive rebound by R. Westbrook
2:46.0,,,17-21,2,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook)
2:30.0,P. Gasol makes 2-pt shot from 3 ft (assist by L. Aldridge),2,19-21,,
2:20.0,,,19-21,,Shooting foul by J. Simmons (drawn by R. Westbrook)
2:20.0,,,19-22,1,R. Westbrook makes free throw 1 of 3
2:20.0,,,19-23,1,R. Westbrook makes free throw 2 of 3
2:20.0,,,19-24,1,R. Westbrook makes free throw 3 of 3
2:20.0,D. Lee enters the game for L. Aldridge,,19-23,,
2:20.0,,,19-23,,D. Sabonis enters the game for S. Adams
2:07.0,P. Gasol misses 2-pt shot from 13 ft,,19-24,,
2:06.0,,,19-24,,Defensive rebound by R. Westbrook
2:01.0,,,19-24,,Turnover by R. Westbrook (lost ball; steal by J. Simmons)
1:55.0,P. Mills misses 3-pt shot from 25 ft,,19-24,,
1:54.0,,,19-24,,Defensive rebound by R. Westbrook
1:44.0,,,19-26,2,E. Kanter makes 2-pt shot from 7 ft
1:32.0,P. Gasol makes 2-pt shot from 2 ft (assist by J. Simmons),2,21-26,,
1:19.0,,,21-26,,R. Westbrook misses 3-pt shot from 24 ft
1:18.0,,,21-26,,Offensive rebound by E. Kanter
1:17.0,,,21-26,,E. Kanter misses 2-pt shot from 3 ft
1:16.0,Defensive rebound by D. Lee,,21-26,,
1:04.0,P. Gasol misses 2-pt shot from 2 ft (block by D. Sabonis),,21-26,,
1:03.0,Offensive rebound by P. Gasol,,21-26,,
1:02.0,P. Gasol makes 2-pt shot from 3 ft,2,23-26,,
0:59.0,,,23-26,,Oklahoma City full timeout
0:59.0,,,23-26,,S. Christon enters the game for R. Westbrook
0:59.0,,,23-26,,V. Oladipo enters the game for A. Roberson
0:59.0,D. Green enters the game for K. Leonard,,23-26,,
0:43.0,,,23-26,,Turnover by E. Kanter (bad pass; steal by P. Mills)
0:40.0,P. Mills makes 2-pt shot from 1 ft,2,25-26,,
0:28.0,,,25-29,3,V. Oladipo makes 3-pt shot from 25 ft (assist by S. Christon)
0:15.0,P. Gasol makes 3-pt shot from 24 ft (assist by J. Simmons),3,28-29,,
0:01.0,,,28-29,,D. Sabonis misses 3-pt shot from 26 ft
0:00.0,,,28-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Lee misses 2-pt shot from 6 ft,,28-29,,
11:39.0,Offensive rebound by P. Gasol,,28-29,,
11:34.0,P. Mills misses 3-pt shot from 24 ft,,28-29,,
11:33.0,Offensive rebound by P. Gasol,,28-29,,
11:15.0,P. Gasol misses 2-pt shot from 1 ft,,28-29,,
11:14.0,,,28-29,,Defensive rebound by V. Oladipo
11:07.0,,,28-29,,D. Sabonis misses 2-pt shot from 6 ft
11:07.0,Defensive rebound by P. Gasol,,28-29,,
10:59.0,Shooting foul by D. Sabonis (drawn by D. Lee),,28-29,,
10:59.0,D. Lee makes free throw 1 of 2,1,29-29,,
10:59.0,D. Lee misses free throw 2 of 2,,29-29,,
10:59.0,B. Forbes enters the game for D. Green,,29-29,,
10:58.0,,,29-29,,Defensive rebound by E. Kanter
10:43.0,,,29-29,,D. Sabonis misses 2-pt shot at rim (block by D. Lee)
10:43.0,,,29-29,,Offensive rebound by Team
10:38.0,,,29-31,2,V. Oladipo makes 2-pt shot from 18 ft
10:15.0,P. Gasol misses 2-pt shot from 12 ft,,29-31,,
10:14.0,,,29-31,,Defensive rebound by V. Oladipo
10:07.0,,,29-31,,Turnover by V. Oladipo (bad pass)
9:50.0,P. Mills misses 3-pt shot from 24 ft,,29-31,,
9:49.0,,,29-31,,Defensive rebound by S. Christon
9:43.0,,,29-33,2,E. Kanter makes 2-pt shot from 2 ft (assist by S. Christon)
9:25.0,Shooting foul by D. McDermott (drawn by J. Simmons),,29-33,,
9:25.0,J. Simmons makes free throw 1 of 2,1,30-33,,
9:25.0,J. Simmons misses free throw 2 of 2,,30-33,,
9:25.0,D. Dedmon enters the game for P. Gasol,,30-33,,
9:25.0,D. Murray enters the game for P. Mills,,30-33,,
9:24.0,,,30-33,,Defensive rebound by E. Kanter
9:09.0,,,30-33,,E. Kanter misses 2-pt shot from 2 ft (block by D. Lee)
9:08.0,Defensive rebound by D. Dedmon,,30-33,,
8:51.0,D. Lee misses 2-pt shot from 11 ft,,30-33,,
8:51.0,,,30-33,,Defensive rebound by Team
8:51.0,Loose ball foul by J. Simmons (drawn by E. Kanter),,30-33,,
8:51.0,Official timeout,,30-33,,
8:41.0,,,30-35,2,D. Sabonis makes 2-pt shot at rim (assist by D. McDermott)
8:24.0,Turnover by D. Lee (bad pass),,30-35,,
8:24.0,D. Green enters the game for J. Simmons,,30-35,,
8:14.0,,,30-37,2,D. McDermott makes 2-pt shot from 17 ft
8:06.0,Turnover by D. Dedmon (bad pass),,30-37,,
8:06.0,,,30-37,,R. Westbrook enters the game for V. Oladipo
8:06.0,L. Aldridge enters the game for D. Lee,,30-37,,
7:56.0,,,30-40,3,D. McDermott makes 3-pt shot from 23 ft (assist by R. Westbrook)
7:40.0,D. Murray makes 2-pt shot from 6 ft,2,32-40,,
7:22.0,,,32-40,,D. Sabonis misses 2-pt shot from 12 ft
7:22.0,Defensive rebound by D. Murray,,32-40,,
6:59.0,D. Murray misses 3-pt shot from 25 ft,,32-40,,
6:58.0,,,32-40,,Defensive rebound by E. Kanter
6:49.0,,,32-42,2,D. Sabonis makes 2-pt shot from 18 ft (assist by R. Westbrook)
6:28.0,Turnover by B. Forbes (lost ball; steal by S. Christon),,32-42,,
6:21.0,,,32-42,,D. McDermott misses 3-pt shot from 23 ft (block by D. Green)
6:20.0,Defensive rebound by D. Murray,,32-42,,
6:09.0,B. Forbes misses 3-pt shot from 22 ft,,32-42,,
6:06.0,,,32-42,,Defensive rebound by D. Sabonis
5:51.0,,,32-44,2,E. Kanter makes 2-pt shot from 16 ft (assist by R. Westbrook)
5:50.0,San Antonio full timeout,,32-44,,
5:50.0,,,32-44,,A. Roberson enters the game for S. Christon
5:50.0,K. Leonard enters the game for B. Forbes,,32-44,,
5:50.0,P. Mills enters the game for D. Murray,,32-44,,
5:30.0,Shooting foul by D. Sabonis (drawn by K. Leonard),,32-44,,
5:30.0,K. Leonard makes free throw 1 of 2,1,33-44,,
5:30.0,K. Leonard makes free throw 2 of 2,1,34-44,,
5:30.0,,,33-44,,S. Adams enters the game for E. Kanter
5:30.0,P. Gasol enters the game for D. Dedmon,,33-44,,
5:07.0,,,34-44,,R. Westbrook misses 2-pt shot from 17 ft
5:07.0,Defensive rebound by P. Gasol,,34-44,,
4:55.0,Turnover by D. Green (bad pass; steal by A. Roberson),,34-44,,
4:51.0,,,34-44,,Turnover by A. Roberson (bad pass; steal by D. Green)
4:49.0,K. Leonard makes 2-pt shot at rim (assist by D. Green),2,36-44,,
4:30.0,,,36-46,2,D. McDermott makes 2-pt shot from 15 ft (assist by D. Sabonis)
4:10.0,,,36-46,,Personal foul by A. Roberson (drawn by K. Leonard)
4:10.0,,,36-46,,T. Gibson enters the game for D. Sabonis
3:56.0,P. Gasol makes 2-pt shot from 1 ft,2,38-46,,
3:43.0,,,38-48,2,T. Gibson makes 2-pt shot from 15 ft (assist by R. Westbrook)
3:25.0,P. Gasol makes 3-pt shot from 24 ft (assist by K. Leonard),3,41-48,,
3:08.0,,,41-50,2,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook)
2:44.0,K. Leonard makes 2-pt shot from 6 ft (assist by P. Gasol),2,43-50,,
2:30.0,,,43-50,,T. Gibson misses 2-pt shot from 15 ft
2:29.0,,,43-50,,Offensive rebound by Team
2:29.0,,,43-50,,Oklahoma City full timeout
2:29.0,,,43-50,,V. Oladipo enters the game for D. McDermott
2:28.0,,,43-52,2,R. Westbrook makes 2-pt shot from 18 ft (assist by A. Roberson)
2:04.0,P. Gasol makes 2-pt shot from 7 ft,2,45-52,,
1:43.0,,,45-52,,R. Westbrook misses 2-pt shot from 17 ft
1:42.0,,,45-52,,Offensive rebound by A. Roberson
1:35.0,,,45-52,,R. Westbrook misses 2-pt shot from 8 ft
1:34.0,,,45-52,,Offensive rebound by R. Westbrook
1:33.0,,,45-54,2,R. Westbrook makes 2-pt shot from 1 ft
1:14.0,Turnover by K. Leonard (bad pass; steal by V. Oladipo),,45-54,,
1:01.0,,,45-54,,R. Westbrook misses 3-pt shot from 26 ft
1:01.0,Defensive rebound by Team,,45-54,,
0:42.0,K. Leonard makes 2-pt shot from 3 ft,2,47-54,,
0:25.0,,,47-54,,A. Roberson misses 3-pt shot from 23 ft
0:25.0,,,47-54,,Offensive rebound by S. Adams
0:25.0,,,47-56,2,S. Adams makes 2-pt shot from 1 ft
0:04.0,P. Gasol misses 2-pt shot from 5 ft,,47-56,,
0:03.0,Offensive rebound by L. Aldridge,,47-56,,
0:02.0,L. Aldridge makes 2-pt shot from 2 ft,2,49-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Turnover by D. Green (bad pass; steal by R. Westbrook),,49-56,,
11:38.0,,,49-58,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
11:36.0,San Antonio full timeout,,49-58,,
11:18.0,L. Aldridge makes 2-pt shot from 9 ft,2,51-58,,
10:58.0,,,51-58,,R. Westbrook misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by D. Dedmon,,51-58,,
10:33.0,K. Leonard misses 2-pt shot from 14 ft,,51-58,,
10:32.0,,,51-58,,Defensive rebound by S. Adams
10:24.0,,,51-58,,Shooting foul by L. Aldridge (drawn by T. Gibson)
10:24.0,,,51-58,,T. Gibson misses free throw 1 of 2
10:24.0,,,51-58,,Offensive rebound by Team
10:24.0,,,51-59,1,T. Gibson makes free throw 2 of 2
10:07.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Dedmon),2,53-59,,
9:47.0,,,53-61,2,V. Oladipo makes 2-pt shot from 2 ft
9:36.0,K. Leonard makes 2-pt shot from 5 ft,2,55-61,,
9:36.0,Shooting foul by A. Roberson (drawn by K. Leonard),,55-61,,
9:36.0,K. Leonard makes free throw 1 of 1,1,56-61,,
9:27.0,,,56-61,,Shooting foul by D. Dedmon (drawn by A. Roberson)
9:27.0,,,56-61,,A. Roberson misses free throw 1 of 2
9:27.0,,,56-61,,Offensive rebound by Team
9:27.0,,,56-62,1,A. Roberson makes free throw 2 of 2
9:11.0,K. Leonard misses 2-pt shot from 16 ft (block by T. Gibson),,56-62,,
9:10.0,Offensive rebound by L. Aldridge,,56-62,,
9:06.0,D. Green misses 3-pt shot from 25 ft,,56-62,,
9:05.0,,,56-62,,Defensive rebound by T. Gibson
8:52.0,,,56-64,2,T. Gibson makes 2-pt shot from 5 ft
8:29.0,D. Green makes 3-pt shot from 22 ft (assist by D. Murray),3,59-64,,
8:10.0,,,59-67,3,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook)
7:55.0,K. Leonard misses 2-pt shot from 7 ft (block by A. Roberson),,59-67,,
7:54.0,Offensive rebound by K. Leonard,,59-67,,
7:54.0,K. Leonard misses 2-pt shot from 3 ft,,59-67,,
7:51.0,Offensive rebound by Team,,59-67,,
7:54.0,D. Lee enters the game for D. Dedmon,,59-67,,
7:51.0,Turnover by D. Murray (bad pass; steal by A. Roberson),,59-67,,
7:38.0,,,59-70,3,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook)
7:37.0,,,59-70,,Technical foul by S. Adams
7:37.0,Technical foul by D. Green,,59-70,,
7:24.0,D. Green makes 3-pt shot from 23 ft (assist by D. Lee),3,62-70,,
