time,Boston,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. B. Lopez (I. Whitehead gains possession),,,,Jump ball: A. Johnson vs. B. Lopez (I. Whitehead gains possession)
11:48.0,,,0-0,,I. Whitehead misses 2-pt shot from 7 ft (block by A. Horford)
11:47.0,,,0-0,,Offensive rebound by Team
11:41.0,,,0-0,,B. Lopez misses 2-pt shot from 3 ft
11:40.0,Defensive rebound by A. Bradley,,0-0,,
11:31.0,,,0-0,,Personal foul by I. Whitehead (drawn by I. Thomas)
11:19.0,A. Bradley makes 2-pt shot from 2 ft,2,2-0,,
10:59.0,,,2-2,2,T. Booker makes 2-pt shot from 2 ft
10:44.0,A. Bradley makes 2-pt shot from 20 ft,2,4-2,,
10:29.0,,,4-2,,R. Hollis-Jefferson misses 2-pt shot from 20 ft
10:28.0,Defensive rebound by A. Horford,,4-2,,
10:18.0,I. Thomas misses 3-pt shot from 24 ft,,4-2,,
10:17.0,,,4-2,,Defensive rebound by R. Hollis-Jefferson
10:08.0,,,4-2,,B. Lopez misses 3-pt shot from 28 ft
10:07.0,Defensive rebound by A. Johnson,,4-2,,
9:58.0,A. Bradley misses 2-pt shot from 20 ft,,4-2,,
9:57.0,,,4-2,,Defensive rebound by R. Hollis-Jefferson
9:44.0,,,4-2,,B. Bogdanovic misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by A. Bradley,,4-2,,
9:26.0,I. Thomas makes 2-pt shot from 2 ft,2,6-2,,
9:07.0,,,6-2,,R. Hollis-Jefferson misses 2-pt shot from 16 ft
9:06.0,Defensive rebound by A. Horford,,6-2,,
9:01.0,,,6-2,,Personal foul by R. Hollis-Jefferson (drawn by I. Thomas)
8:53.0,I. Thomas makes 3-pt shot from 25 ft,3,9-2,,
8:53.0,,,9-2,,Brooklyn full timeout
8:53.0,M. Smart enters the game for A. Bradley,,9-2,,
8:34.0,,,9-2,,B. Lopez misses 2-pt shot from 6 ft
8:33.0,Defensive rebound by J. Crowder,,9-2,,
8:20.0,J. Crowder makes 2-pt shot from 22 ft (assist by I. Thomas),2,11-2,,
8:11.0,,,11-4,2,I. Whitehead makes 2-pt shot from 13 ft
8:00.0,I. Thomas misses 2-pt shot from 2 ft,,11-4,,
7:59.0,Offensive rebound by A. Johnson,,11-4,,
7:58.0,A. Johnson misses 2-pt shot from 2 ft,,11-4,,
