time,Orlando,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Vucevic (C. LeVert gains possession),,,,Jump ball: B. Lopez vs. N. Vucevic (C. LeVert gains possession)
11:47.0,,,0-2,2,B. Lopez makes 2-pt shot at rim (assist by J. Lin)
11:30.0,A. Gordon misses 2-pt shot from 15 ft,,0-2,,
11:29.0,,,0-2,,Defensive rebound by C. LeVert
11:16.0,,,0-2,,R. Foye misses 3-pt shot from 24 ft
11:15.0,Defensive rebound by E. Payton,,0-2,,
11:05.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,2-2,,
10:54.0,,,2-2,,B. Lopez misses 2-pt shot from 13 ft
10:53.0,Defensive rebound by A. Gordon,,2-2,,
10:46.0,Turnover by N. Vucevic (bad pass),,2-2,,
10:30.0,,,2-2,,C. LeVert misses 2-pt shot from 18 ft
10:29.0,Defensive rebound by A. Gordon,,2-2,,
10:24.0,A. Gordon makes 2-pt shot from 2 ft,2,4-2,,
10:12.0,,,4-2,,B. Lopez misses 3-pt shot from 27 ft
10:11.0,Defensive rebound by A. Gordon,,4-2,,
10:02.0,E. Payton misses 2-pt shot from 2 ft,,4-2,,
10:01.0,,,4-2,,Defensive rebound by B. Lopez
9:56.0,,,4-2,,J. Lin misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by E. Payton,,4-2,,
9:42.0,A. Gordon makes 3-pt shot from 25 ft (assist by T. Ross),3,7-2,,
9:32.0,,,7-2,,B. Lopez misses 2-pt shot from 8 ft
9:31.0,Defensive rebound by E. Fournier,,7-2,,
9:25.0,,,7-2,,Def 3 sec tech foul by B. Lopez
9:25.0,E. Fournier misses technical free throw,,7-2,,
9:25.0,Offensive rebound by Team,,7-2,,
9:19.0,T. Ross misses 2-pt shot from 5 ft,,7-2,,
9:18.0,Offensive rebound by E. Payton,,7-2,,
9:09.0,Shooting foul by R. Hollis-Jefferson (drawn by E. Payton),,7-2,,
9:09.0,E. Payton makes free throw 1 of 2,1,8-2,,
9:09.0,E. Payton makes free throw 2 of 2,1,9-2,,
9:03.0,Def 3 sec tech foul by A. Gordon,,9-2,,
9:03.0,,,9-3,1,B. Lopez makes technical free throw
8:57.0,,,9-3,,B. Lopez misses 2-pt shot from 8 ft
8:56.0,Defensive rebound by T. Ross,,9-3,,
8:46.0,N. Vucevic makes 2-pt shot from 21 ft,2,11-3,,
8:35.0,,,11-3,,Shooting foul by N. Vucevic (drawn by B. Lopez)
8:35.0,,,11-4,1,B. Lopez makes free throw 1 of 2
8:35.0,,,11-5,1,B. Lopez makes free throw 2 of 2
8:18.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Payton),2,13-5,,
8:04.0,,,13-5,,Turnover by B. Lopez (bad pass; steal by E. Payton)
