time,Sacramento,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:38.0,A. Afflalo misses 2-pt shot from 15 ft,,0-0,,
12:00.0,Jump ball: K. Koufos vs. N. Vucevic (T. Lawson gains possession),,,,Jump ball: K. Koufos vs. N. Vucevic (T. Lawson gains possession)
11:37.0,,,0-0,,Defensive rebound by E. Payton
11:30.0,,,0-2,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
11:06.0,D. Cousins makes 2-pt shot from 1 ft,2,2-2,,
10:48.0,,,2-2,,E. Payton misses 2-pt shot from 2 ft (block by D. Cousins)
10:48.0,Defensive rebound by T. Lawson,,2-2,,
10:29.0,R. Gay makes 2-pt shot from 3 ft,2,4-2,,
10:15.0,,,4-4,2,N. Vucevic makes 2-pt shot from 15 ft
9:49.0,T. Lawson misses 2-pt shot from 3 ft,,4-4,,
9:47.0,,,4-4,,Defensive rebound by A. Gordon
9:43.0,,,4-6,2,E. Payton makes 2-pt shot from 2 ft
9:28.0,Turnover by R. Gay (traveling),,4-6,,
9:16.0,,,4-6,,N. Vucevic misses 2-pt shot from 20 ft
9:15.0,,,4-6,,Offensive rebound by A. Gordon
9:12.0,,,4-6,,A. Gordon misses 2-pt shot from 9 ft
9:10.0,Defensive rebound by K. Koufos,,4-6,,
8:57.0,T. Lawson misses 3-pt shot from 26 ft,,4-6,,
8:55.0,,,4-6,,Defensive rebound by S. Ibaka
8:43.0,,,4-8,2,E. Fournier makes 2-pt shot from 3 ft (assist by E. Payton)
8:17.0,D. Cousins makes 2-pt shot from 17 ft,2,6-8,,
8:10.0,,,6-8,,Turnover by E. Fournier (bad pass; steal by D. Cousins)
8:00.0,D. Cousins makes 3-pt shot from 26 ft (assist by A. Afflalo),3,9-8,,
7:45.0,,,9-8,,N. Vucevic misses 2-pt shot from 18 ft
7:44.0,Defensive rebound by K. Koufos,,9-8,,
7:36.0,Shooting foul by S. Ibaka (drawn by R. Gay),,9-8,,
7:36.0,R. Gay misses free throw 1 of 2,,9-8,,
7:36.0,Offensive rebound by Team,,9-8,,
7:36.0,R. Gay misses free throw 2 of 2,,9-8,,
7:35.0,,,9-8,,Defensive rebound by A. Gordon
7:15.0,,,9-8,,Turnover by N. Vucevic (lost ball; steal by R. Gay)
7:12.0,,,9-8,,Violation by A. Gordon (def goaltending)
7:12.0,R. Gay makes 2-pt shot from 3 ft,2,11-8,,
7:12.0,Shooting foul by E. Payton (drawn by R. Gay),,11-8,,
7:12.0,R. Gay misses free throw 1 of 1,,11-8,,
7:10.0,Offensive rebound by K. Koufos,,11-8,,
7:08.0,K. Koufos misses 2-pt shot from 3 ft,,11-8,,
7:06.0,,,11-8,,Defensive rebound by E. Payton
6:52.0,,,11-10,2,S. Ibaka makes 2-pt shot from 5 ft (assist by E. Payton)
6:31.0,A. Afflalo misses 3-pt shot from 26 ft,,11-10,,
6:30.0,,,11-10,,Defensive rebound by Team
6:20.0,,,11-10,,S. Ibaka misses 3-pt shot from 26 ft
6:18.0,Defensive rebound by T. Lawson,,11-10,,
6:13.0,D. Cousins misses 2-pt shot from 2 ft,,11-10,,
6:13.0,,,11-10,,Defensive rebound by Team
6:13.0,Loose ball foul by K. Koufos (drawn by N. Vucevic),,11-10,,
6:00.0,,,11-10,,A. Gordon misses 2-pt shot from 20 ft
5:58.0,Defensive rebound by D. Cousins,,11-10,,
5:50.0,D. Cousins makes 2-pt shot from 4 ft (assist by R. Gay),2,13-10,,
5:50.0,Shooting foul by N. Vucevic (drawn by D. Cousins),,13-10,,
5:50.0,,,13-10,,Orlando full timeout
5:50.0,D. Cousins makes free throw 1 of 1,1,14-10,,
5:35.0,,,14-10,,E. Fournier misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by K. Koufos,,14-10,,
5:24.0,D. Cousins misses 2-pt shot from 20 ft,,14-10,,
5:22.0,,,14-10,,Defensive rebound by A. Gordon
5:14.0,,,14-12,2,S. Ibaka makes 2-pt shot from 13 ft (assist by N. Vucevic)
4:49.0,D. Cousins makes 2-pt shot from 7 ft,2,16-12,,
4:33.0,,,16-12,,S. Ibaka misses 2-pt shot from 16 ft
4:31.0,Defensive rebound by K. Koufos,,16-12,,
4:18.0,R. Gay makes 3-pt shot from 23 ft (assist by T. Lawson),3,19-12,,
3:58.0,,,19-12,,N. Vucevic misses 2-pt shot from 17 ft
