time,Cleveland,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. C. Zeller (M. Williams gains possession),,,,Jump ball: T. Thompson vs. C. Zeller (M. Williams gains possession)
11:45.0,,,0-0,,M. Williams misses 2-pt shot from 22 ft
11:43.0,Defensive rebound by T. Thompson,,0-0,,
11:39.0,Shooting foul by M. Williams (drawn by K. Love),,0-0,,
11:39.0,K. Love misses free throw 1 of 2,,0-0,,
11:39.0,Offensive rebound by Team,,0-0,,
11:39.0,K. Love makes free throw 2 of 2,1,1-0,,
11:29.0,,,1-0,,Turnover by K. Walker (bad pass; steal by K. Irving)
11:23.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,4-0,,
10:58.0,,,4-0,,M. Kidd-Gilchrist misses 2-pt shot at rim
10:58.0,,,4-0,,Offensive rebound by Team
10:58.0,,,4-0,,Turnover by Team (shot clock)
10:40.0,L. James misses 3-pt shot from 23 ft,,4-0,,
10:38.0,Offensive rebound by K. Love,,4-0,,
10:38.0,L. James makes 2-pt shot at rim (assist by K. Love),2,6-0,,
10:38.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. James),,6-0,,
10:38.0,L. James makes free throw 1 of 1,1,7-0,,
10:25.0,,,7-2,2,C. Zeller makes 2-pt shot from 7 ft (assist by N. Batum)
10:15.0,Turnover by K. Irving (bad pass; steal by N. Batum),,7-2,,
10:01.0,,,7-4,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by C. Zeller)
9:40.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Love),,7-4,,
9:40.0,K. Love makes free throw 1 of 2,1,8-4,,
9:40.0,K. Love makes free throw 2 of 2,1,9-4,,
9:20.0,,,9-7,3,K. Walker makes 3-pt shot from 24 ft (assist by C. Zeller)
9:11.0,L. James makes 2-pt shot from 1 ft,2,11-7,,
8:58.0,,,11-7,,K. Walker misses 2-pt shot from 7 ft
8:56.0,Defensive rebound by K. Love,,11-7,,
8:50.0,K. Irving makes 2-pt shot from 17 ft (assist by L. James),2,13-7,,
8:31.0,,,13-7,,N. Batum misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by J. Smith,,13-7,,
8:23.0,K. Irving misses 2-pt shot from 14 ft,,13-7,,
8:22.0,,,13-7,,Defensive rebound by C. Zeller
8:14.0,Personal foul by K. Irving (drawn by K. Walker),,13-7,,
8:07.0,,,13-10,3,K. Walker makes 3-pt shot from 24 ft
7:44.0,K. Irving makes 2-pt shot from 5 ft,2,15-10,,
7:33.0,,,15-13,3,K. Walker makes 3-pt shot from 25 ft
7:16.0,K. Love misses 2-pt shot from 19 ft,,15-13,,
7:15.0,,,15-13,,Defensive rebound by N. Batum
7:06.0,,,15-13,,Shooting foul by K. Love (drawn by C. Zeller)
7:06.0,,,15-14,1,C. Zeller makes free throw 1 of 2
7:06.0,,,15-14,,C. Zeller misses free throw 2 of 2
7:05.0,Defensive rebound by L. James,,15-14,,
6:48.0,L. James misses 2-pt shot from 2 ft (block by C. Zeller),,15-14,,
6:47.0,,,15-14,,Defensive rebound by M. Williams
6:37.0,,,15-14,,M. Williams misses 2-pt shot from 2 ft
6:37.0,,,15-14,,Offensive rebound by C. Zeller
6:37.0,,,15-16,2,C. Zeller makes 2-pt shot at rim
6:37.0,Cleveland full timeout,,15-16,,
6:22.0,Turnover by K. Irving (traveling),,15-16,,
6:22.0,,,15-16,,F. Kaminsky enters the game for M. Williams
6:11.0,,,15-16,,F. Kaminsky misses 3-pt shot from 25 ft
6:10.0,,,15-16,,Offensive rebound by C. Zeller
6:03.0,,,15-16,,F. Kaminsky misses 3-pt shot from 23 ft
6:01.0,,,15-16,,Offensive rebound by C. Zeller
5:56.0,,,15-16,,K. Walker misses 3-pt shot from 27 ft
5:54.0,,,15-16,,Offensive rebound by F. Kaminsky
5:44.0,,,15-16,,Shooting foul by J. Smith (drawn by N. Batum)
5:44.0,,,15-18,2,N. Batum makes 2-pt shot from 1 ft (assist by F. Kaminsky)
5:44.0,,,15-19,1,N. Batum makes free throw 1 of 1
5:31.0,T. Thompson makes 2-pt shot from 1 ft (assist by K. Irving),2,17-19,,
5:13.0,,,17-19,,N. Batum misses 3-pt shot from 24 ft
5:12.0,,,17-19,,Offensive rebound by F. Kaminsky
5:08.0,,,17-22,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
4:53.0,Turnover by K. Irving (bad pass; steal by N. Batum),,17-22,,
4:53.0,Personal foul by K. Love (drawn by N. Batum),,17-22,,
4:53.0,R. Jefferson enters the game for K. Love,,17-22,,
4:53.0,I. Shumpert enters the game for J. Smith,,17-22,,
4:53.0,,,17-22,,M. Belinelli enters the game for N. Batum
4:42.0,,,17-24,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
4:12.0,I. Shumpert misses 3-pt shot from 23 ft,,17-24,,
4:11.0,,,17-24,,Defensive rebound by M. Kidd-Gilchrist
3:58.0,,,17-24,,K. Walker misses 2-pt shot from 1 ft
3:56.0,Defensive rebound by L. James,,17-24,,
3:45.0,I. Shumpert makes 2-pt shot from 21 ft (assist by K. Irving),2,19-24,,
3:23.0,,,19-24,,M. Belinelli misses 3-pt shot from 26 ft
3:22.0,Defensive rebound by L. James,,19-24,,
3:13.0,K. Irving makes 3-pt shot from 28 ft (assist by L. James),3,22-24,,
3:04.0,,,22-24,,Charlotte full timeout
3:04.0,,,22-24,,M. Williams enters the game for C. Zeller
3:04.0,,,22-24,,B. Weber enters the game for K. Walker
3:04.0,D. Williams enters the game for L. James,,22-24,,
3:04.0,,,22-24,,J. Lamb enters the game for M. Kidd-Gilchrist
2:54.0,,,22-24,,J. Lamb misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by T. Thompson,,22-24,,
2:40.0,I. Shumpert makes 3-pt shot from 23 ft,3,25-24,,
2:19.0,,,25-27,3,M. Belinelli makes 3-pt shot from 25 ft (assist by B. Weber)
2:02.0,K. Irving misses 3-pt shot from 24 ft,,25-27,,
2:01.0,,,25-27,,Defensive rebound by M. Williams
1:53.0,,,25-29,2,M. Belinelli makes 2-pt shot from 20 ft
1:40.0,T. Thompson makes 2-pt shot from 6 ft (assist by K. Irving),2,27-29,,
1:19.0,,,27-29,,M. Belinelli misses 3-pt shot from 27 ft
1:18.0,Defensive rebound by R. Jefferson,,27-29,,
1:09.0,Shooting foul by J. Lamb (drawn by K. Irving),,27-29,,
1:09.0,K. Irving makes free throw 1 of 2,1,28-29,,
1:09.0,K. Irving makes free throw 2 of 2,1,29-29,,
1:09.0,K. Korver enters the game for T. Thompson,,28-29,,
0:48.0,,,29-29,,B. Weber misses 3-pt shot from 27 ft
0:47.0,Defensive rebound by I. Shumpert,,29-29,,
0:36.0,K. Irving makes 2-pt shot from 2 ft,2,31-29,,
0:17.0,,,31-29,,F. Kaminsky misses 2-pt shot from 2 ft (block by I. Shumpert)
0:17.0,,,31-29,,Offensive rebound by F. Kaminsky
0:16.0,,,31-29,,Shooting foul by R. Jefferson (drawn by M. Belinelli)
0:16.0,,,31-30,1,M. Belinelli makes free throw 1 of 2
0:16.0,,,31-31,1,M. Belinelli makes free throw 2 of 2
0:03.0,K. Irving makes 2-pt shot from 20 ft,2,33-31,,
0:00.0,,,33-31,,B. Weber misses 3-pt shot from 36 ft
0:00.0,,,33-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
