time,Minnesota,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. K. Towns (D. Favors gains possession),,,,Jump ball: R. Gobert vs. K. Towns (D. Favors gains possession)
11:37.0,,,0-2,2,G. Hill makes 2-pt shot from 18 ft
11:12.0,G. Dieng misses 2-pt shot from 19 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by D. Favors
10:48.0,,,0-2,,Turnover by G. Hill (lost ball; steal by A. Wiggins)
10:45.0,A. Wiggins makes 2-pt shot at rim,2,2-2,,
10:20.0,,,2-2,,J. Ingles misses 2-pt shot from 10 ft
10:19.0,Defensive rebound by K. Towns,,2-2,,
10:03.0,R. Rubio makes 2-pt shot from 2 ft,2,4-2,,
9:42.0,,,4-2,,G. Hayward misses 2-pt shot from 23 ft
9:42.0,Defensive rebound by R. Rubio,,4-2,,
9:34.0,R. Rubio misses 2-pt shot from 19 ft,,4-2,,
9:34.0,,,4-2,,Defensive rebound by R. Gobert
9:26.0,,,4-4,2,G. Hayward makes 2-pt shot at rim (assist by G. Hill)
9:02.0,A. Wiggins makes 2-pt shot from 22 ft (assist by K. Towns),2,6-4,,
8:46.0,,,6-4,,J. Ingles misses 2-pt shot from 3 ft (block by K. Towns)
8:44.0,,,6-4,,Offensive rebound by D. Favors
8:43.0,,,6-4,,D. Favors misses 2-pt shot from 4 ft (block by G. Dieng)
8:42.0,,,6-4,,Offensive rebound by D. Favors
8:38.0,,,6-4,,J. Ingles misses 3-pt shot from 22 ft
8:38.0,Defensive rebound by G. Dieng,,6-4,,
8:31.0,R. Rubio misses 2-pt shot from 19 ft,,6-4,,
8:31.0,Offensive rebound by R. Rubio,,6-4,,
8:26.0,R. Rubio misses 2-pt shot from 10 ft,,6-4,,
8:26.0,,,6-4,,Defensive rebound by G. Hill
8:12.0,,,6-4,,D. Favors misses 2-pt shot from 15 ft
8:11.0,Defensive rebound by G. Dieng,,6-4,,
7:54.0,Turnover by A. Wiggins (traveling),,6-4,,
7:37.0,,,6-4,,D. Favors misses 2-pt shot from 4 ft
7:37.0,Defensive rebound by G. Dieng,,6-4,,
7:26.0,K. Towns makes 3-pt shot from 25 ft (assist by G. Dieng),3,9-4,,
7:05.0,,,9-6,2,G. Hayward makes 2-pt shot from 2 ft (assist by J. Ingles)
6:48.0,A. Wiggins misses 2-pt shot from 2 ft,,9-6,,
6:47.0,,,9-6,,Defensive rebound by G. Hayward
6:38.0,,,9-6,,R. Gobert misses 2-pt shot from 3 ft
6:35.0,,,9-6,,Offensive rebound by R. Gobert
6:35.0,,,9-8,2,R. Gobert makes 2-pt shot at rim
6:21.0,B. Rush makes 3-pt shot from 24 ft (assist by R. Rubio),3,12-8,,
6:15.0,,,12-8,,Utah full timeout
6:15.0,,,12-8,,D. Exum enters the game for G. Hill
6:15.0,,,12-8,,J. Johnson enters the game for D. Favors
6:15.0,N. Bjelica enters the game for G. Dieng,,12-8,,
6:04.0,,,12-8,,J. Ingles misses 3-pt shot from 24 ft
6:04.0,Defensive rebound by R. Rubio,,12-8,,
5:52.0,Turnover by A. Wiggins (lost ball; steal by G. Hayward),,12-8,,
5:51.0,Personal foul by N. Bjelica (drawn by G. Hayward),,12-8,,
5:33.0,,,12-8,,D. Exum misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by N. Bjelica,,12-8,,
5:20.0,A. Wiggins misses 2-pt shot from 10 ft,,12-8,,
5:19.0,Offensive rebound by K. Towns,,12-8,,
5:17.0,K. Towns makes 2-pt shot from 1 ft,2,14-8,,
4:58.0,,,14-8,,R. Gobert misses 2-pt shot from 3 ft
4:56.0,Defensive rebound by R. Rubio,,14-8,,
4:43.0,A. Wiggins misses 2-pt shot from 22 ft,,14-8,,
4:43.0,,,14-8,,Defensive rebound by R. Gobert
4:34.0,,,14-10,2,D. Exum makes 2-pt shot from 1 ft
