time,Indiana,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. H. Whiteside (T. Young gains possession),,,,Jump ball: M. Turner vs. H. Whiteside (T. Young gains possession)
11:40.0,P. George makes 2-pt shot from 20 ft (assist by J. Teague),2,2-0,,
11:14.0,,,2-0,,R. McGruder misses 2-pt shot from 9 ft
11:13.0,,,2-0,,Offensive rebound by H. Whiteside
11:11.0,,,2-0,,Turnover by H. Whiteside (lost ball; steal by J. Teague)
10:54.0,M. Turner misses 2-pt shot from 7 ft,,2-0,,
10:53.0,Offensive rebound by M. Turner,,2-0,,
10:51.0,M. Turner misses 2-pt shot from 3 ft,,2-0,,
10:50.0,,,2-0,,Defensive rebound by L. Babbitt
10:44.0,,,2-2,2,G. Dragic makes 2-pt shot from 1 ft
10:30.0,P. George misses 2-pt shot from 17 ft,,2-2,,
10:29.0,Offensive rebound by T. Young,,2-2,,
10:28.0,T. Young misses 2-pt shot from 1 ft,,2-2,,
10:27.0,,,2-2,,Defensive rebound by H. Whiteside
10:20.0,,,2-5,3,D. Waiters makes 3-pt shot from 23 ft (assist by G. Dragic)
10:10.0,,,2-5,,Personal foul by R. McGruder (drawn by P. George)
10:01.0,J. Teague misses 3-pt shot from 25 ft,,2-5,,
10:00.0,Offensive rebound by P. George,,2-5,,
9:53.0,C. Miles makes 3-pt shot from 24 ft (assist by P. George),3,5-5,,
9:36.0,,,5-5,,Turnover by D. Waiters (bad pass; steal by M. Turner)
9:30.0,,,5-5,,Personal foul by R. McGruder (drawn by M. Turner)
9:30.0,,,5-5,,T. Johnson enters the game for R. McGruder
9:11.0,P. George misses 2-pt shot from 21 ft,,5-5,,
9:10.0,,,5-5,,Defensive rebound by T. Johnson
8:58.0,,,5-5,,T. Johnson misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by C. Miles,,5-5,,
8:50.0,Turnover by P. George (lost ball; steal by D. Waiters),,5-5,,
8:44.0,,,5-5,,G. Dragic misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by M. Turner,,5-5,,
8:32.0,J. Teague makes 2-pt shot from 14 ft,2,7-5,,
8:14.0,,,7-5,,L. Babbitt misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by M. Turner,,7-5,,
7:58.0,T. Young makes 2-pt shot from 5 ft,2,9-5,,
7:34.0,,,9-5,,D. Waiters misses 3-pt shot from 24 ft
7:33.0,,,9-5,,Offensive rebound by L. Babbitt
7:20.0,,,9-5,,H. Whiteside misses 2-pt shot from 8 ft
7:19.0,Defensive rebound by C. Miles,,9-5,,
7:16.0,Shooting foul by L. Babbitt (drawn by P. George),,9-5,,
7:16.0,P. George makes free throw 1 of 2,1,10-5,,
7:16.0,P. George makes free throw 2 of 2,1,11-5,,
6:59.0,,,11-7,2,H. Whiteside makes 2-pt shot from 5 ft (assist by T. Johnson)
6:51.0,Shooting foul by G. Dragic (drawn by J. Teague),,11-7,,
6:51.0,J. Teague makes free throw 1 of 2,1,12-7,,
6:51.0,J. Teague makes free throw 2 of 2,1,13-7,,
6:42.0,Personal block foul by P. George (drawn by D. Waiters),,13-7,,
6:29.0,,,13-10,3,L. Babbitt makes 3-pt shot from 23 ft (assist by D. Waiters)
6:17.0,Turnover by T. Young (traveling),,13-10,,
6:08.0,,,13-12,2,D. Waiters makes 2-pt shot from 1 ft
5:51.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,15-12,,
5:41.0,,,15-12,,Turnover by D. Waiters (bad pass)
5:41.0,,,15-12,,Miami full timeout
5:41.0,,,15-12,,W. Ellington enters the game for G. Dragic
5:27.0,P. George misses 2-pt shot from 19 ft,,15-12,,
5:26.0,,,15-12,,Defensive rebound by H. Whiteside
5:09.0,,,15-12,,H. Whiteside misses 2-pt shot from 6 ft
5:08.0,Defensive rebound by M. Turner,,15-12,,
4:59.0,Turnover by T. Young (bad pass),,15-12,,
4:46.0,,,15-12,,T. Johnson misses 2-pt shot from 8 ft
4:45.0,Defensive rebound by J. Teague,,15-12,,
4:32.0,J. Teague misses 3-pt shot from 25 ft,,15-12,,
4:31.0,Offensive rebound by M. Turner,,15-12,,
4:31.0,Shooting foul by T. Johnson (drawn by M. Turner),,15-12,,
4:31.0,M. Turner makes free throw 1 of 2,1,16-12,,
4:31.0,M. Turner makes free throw 2 of 2,1,17-12,,
4:31.0,,,16-12,,J. Johnson enters the game for L. Babbitt
4:31.0,M. Ellis enters the game for C. Miles,,16-12,,
4:16.0,Personal foul by M. Ellis (drawn by H. Whiteside),,17-12,,
4:16.0,L. Allen enters the game for T. Young,,17-12,,
