time,San Antonio,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: D. Dedmon vs. D. Jordan (B. Griffin gains possession)
11:43.0,,,0-2,2,C. Paul makes 2-pt shot from 15 ft (assist by J. Redick)
11:19.0,Turnover by K. Leonard (offensive foul),,0-2,,
11:19.0,Offensive charge foul by K. Leonard,,0-2,,
10:55.0,,,0-2,,B. Griffin misses 3-pt shot from 23 ft
10:54.0,Defensive rebound by D. Dedmon,,0-2,,
10:42.0,L. Aldridge misses 2-pt shot from 21 ft,,0-2,,
10:42.0,Offensive rebound by D. Dedmon,,0-2,,
10:40.0,Turnover by D. Dedmon (lost ball; steal by C. Paul),,0-2,,
10:33.0,,,0-2,,Turnover by C. Paul (bad pass; steal by D. Green)
10:14.0,K. Leonard makes 2-pt shot from 6 ft (assist by T. Parker),2,2-2,,
9:52.0,,,2-2,,D. Jordan misses 2-pt shot from 5 ft (block by L. Aldridge)
9:50.0,Defensive rebound by D. Green,,2-2,,
9:44.0,T. Parker makes 2-pt shot from 20 ft (assist by K. Leonard),2,4-2,,
9:12.0,,,4-2,,J. Redick misses 3-pt shot from 26 ft
9:11.0,Defensive rebound by L. Aldridge,,4-2,,
9:02.0,T. Parker misses 2-pt shot from 16 ft,,4-2,,
9:01.0,Offensive rebound by D. Green,,4-2,,
8:52.0,Turnover by T. Parker (lost ball; steal by D. Jordan),,4-2,,
8:40.0,,,4-2,,Turnover by C. Paul (lost ball)
8:24.0,Turnover by L. Aldridge (lost ball; steal by L. Mbah a Moute),,4-2,,
8:00.0,,,4-2,,B. Griffin misses 2-pt shot from 6 ft
7:57.0,Defensive rebound by L. Aldridge,,4-2,,
7:47.0,,,4-2,,Personal foul by L. Mbah a Moute (drawn by L. Aldridge)
7:31.0,K. Leonard makes 2-pt shot from 1 ft,2,6-2,,
7:23.0,,,6-2,,C. Paul misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by D. Dedmon,,6-2,,
7:00.0,L. Aldridge makes 3-pt shot from 24 ft,3,9-2,,
6:44.0,,,9-2,,Turnover by D. Jordan (lost ball; steal by D. Dedmon)
6:38.0,Shooting foul by L. Mbah a Moute (drawn by K. Leonard),,9-2,,
6:38.0,K. Leonard makes free throw 1 of 2,1,10-2,,
6:38.0,K. Leonard makes free throw 2 of 2,1,11-2,,
6:27.0,,,11-5,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
6:26.0,San Antonio full timeout,,11-5,,
6:06.0,K. Leonard misses 2-pt shot from 18 ft,,11-5,,
6:04.0,,,11-5,,Defensive rebound by B. Griffin
5:47.0,,,11-5,,C. Paul misses 2-pt shot from 17 ft
5:47.0,,,11-5,,Offensive rebound by Team
5:47.0,Loose ball foul by L. Aldridge (drawn by D. Jordan),,11-5,,
5:47.0,M. Ginobili enters the game for D. Green,,11-5,,
5:47.0,P. Mills enters the game for T. Parker,,11-5,,
5:36.0,,,11-7,2,B. Griffin makes 2-pt shot from 20 ft (assist by J. Redick)
5:18.0,L. Aldridge misses 2-pt shot from 15 ft,,11-7,,
5:17.0,Offensive rebound by Team,,11-7,,
5:17.0,,,11-7,,A. Rivers enters the game for L. Mbah a Moute
5:17.0,P. Gasol enters the game for D. Dedmon,,11-7,,
5:14.0,L. Aldridge misses 2-pt shot from 18 ft,,11-7,,
5:14.0,,,11-7,,Defensive rebound by C. Paul
4:58.0,,,11-9,2,B. Griffin makes 2-pt shot from 2 ft
4:41.0,P. Mills misses 3-pt shot from 23 ft,,11-9,,
4:40.0,,,11-9,,Defensive rebound by J. Redick
4:28.0,,,11-9,,B. Griffin misses 3-pt shot from 24 ft
4:25.0,,,11-9,,Offensive rebound by D. Jordan
4:25.0,,,11-9,,D. Jordan misses 2-pt shot from 2 ft
4:23.0,Defensive rebound by L. Aldridge,,11-9,,
4:12.0,P. Gasol misses 2-pt shot from 9 ft,,11-9,,
4:11.0,,,11-9,,Defensive rebound by C. Paul
4:06.0,,,11-9,,LA Clippers full timeout
4:06.0,,,11-9,,R. Felton enters the game for C. Paul
3:53.0,,,11-9,,J. Redick misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by P. Gasol,,11-9,,
3:44.0,M. Ginobili misses 3-pt shot from 25 ft,,11-9,,
3:43.0,Offensive rebound by K. Leonard,,11-9,,
3:30.0,Turnover by P. Mills (bad pass; steal by B. Griffin),,11-9,,
3:20.0,,,11-9,,Turnover by R. Felton (bad pass; steal by M. Ginobili)
3:16.0,Shooting foul by A. Rivers (drawn by L. Aldridge),,11-9,,
3:16.0,L. Aldridge makes free throw 1 of 2,1,12-9,,
3:16.0,L. Aldridge makes free throw 2 of 2,1,13-9,,
3:16.0,,,12-9,,J. Crawford enters the game for J. Redick
3:16.0,J. Simmons enters the game for K. Leonard,,12-9,,
3:00.0,,,13-11,2,A. Rivers makes 2-pt shot from 6 ft
2:42.0,J. Simmons makes 2-pt shot from 2 ft (assist by L. Aldridge),2,15-11,,
2:30.0,,,15-11,,A. Rivers misses 3-pt shot from 26 ft
2:29.0,Defensive rebound by L. Aldridge,,15-11,,
2:16.0,Turnover by P. Gasol (lost ball; steal by R. Felton),,15-11,,
2:01.0,,,15-11,,B. Griffin misses 2-pt shot from 2 ft
2:00.0,Defensive rebound by P. Gasol,,15-11,,
1:53.0,P. Gasol makes 3-pt shot from 24 ft (assist by M. Ginobili),3,18-11,,
1:35.0,Personal foul by L. Aldridge (drawn by D. Jordan),,18-11,,
1:35.0,,,18-11,,M. Speights enters the game for B. Griffin
1:35.0,,,18-11,,B. Bass enters the game for D. Jordan
1:35.0,D. Lee enters the game for L. Aldridge,,18-11,,
1:27.0,,,18-11,,A. Rivers misses 2-pt shot from 5 ft (block by P. Gasol)
1:26.0,Defensive rebound by P. Mills,,18-11,,
1:22.0,P. Mills misses 3-pt shot from 24 ft,,18-11,,
1:21.0,Offensive rebound by P. Gasol,,18-11,,
1:04.0,Turnover by Team (back court),,18-11,,
0:52.0,,,18-11,,R. Felton misses 2-pt shot from 4 ft
0:52.0,Defensive rebound by P. Gasol,,18-11,,
0:40.0,M. Ginobili misses 3-pt shot from 24 ft,,18-11,,
0:36.0,Offensive rebound by D. Lee,,18-11,,
0:36.0,D. Lee misses 2-pt shot from 1 ft,,18-11,,
0:34.0,,,18-11,,Defensive rebound by M. Speights
0:26.0,,,18-11,,M. Speights misses 3-pt shot from 25 ft
0:26.0,,,18-11,,Offensive rebound by B. Bass
0:23.0,,,18-11,,B. Bass misses 2-pt shot from 1 ft
0:22.0,,,18-11,,Offensive rebound by M. Speights
0:21.0,,,18-11,,M. Speights misses 2-pt shot at rim
0:21.0,,,18-11,,Offensive rebound by B. Bass
0:21.0,,,18-13,2,B. Bass makes 2-pt shot from 1 ft
0:10.0,,,18-13,,Personal take foul by M. Speights
0:02.0,Turnover by P. Mills (bad pass; steal by B. Bass),,18-13,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Lee misses 2-pt shot from 12 ft,,18-13,,
11:42.0,,,18-13,,Defensive rebound by B. Bass
11:23.0,,,18-15,2,B. Bass makes 2-pt shot from 4 ft (assist by J. Crawford)
11:04.0,P. Mills makes 3-pt shot from 25 ft (assist by J. Simmons),3,21-15,,
10:42.0,,,21-15,,Turnover by M. Speights (lost ball; steal by M. Ginobili)
10:37.0,J. Simmons makes 2-pt shot at rim (assist by M. Ginobili),2,23-15,,
10:18.0,,,23-15,,Shooting foul by D. Lee (drawn by B. Bass)
10:18.0,,,23-16,1,B. Bass makes free throw 1 of 2
10:18.0,,,23-16,,B. Bass misses free throw 2 of 2
10:18.0,D. Dedmon enters the game for P. Gasol,,23-16,,
10:18.0,D. Green enters the game for M. Ginobili,,23-16,,
10:17.0,Defensive rebound by D. Dedmon,,23-16,,
9:58.0,P. Mills makes 2-pt shot from 1 ft (assist by D. Dedmon),2,25-16,,
9:46.0,,,25-16,,Shooting foul by D. Green (drawn by A. Rivers)
9:46.0,,,25-18,2,A. Rivers makes 2-pt shot from 2 ft
9:46.0,,,25-19,1,A. Rivers makes free throw 1 of 1
9:46.0,T. Parker enters the game for P. Mills,,25-18,,
9:21.0,T. Parker misses 2-pt shot from 17 ft (block by B. Bass),,25-19,,
9:21.0,Offensive rebound by Team,,25-19,,
9:21.0,Turnover by Team (shot clock),,25-19,,
9:01.0,,,25-19,,A. Rivers misses 2-pt shot from 1 ft
9:00.0,Defensive rebound by D. Dedmon,,25-19,,
8:55.0,T. Parker misses 2-pt shot from 2 ft,,25-19,,
8:54.0,,,25-19,,Defensive rebound by M. Speights
8:50.0,,,25-21,2,A. Rivers makes 2-pt shot at rim (assist by M. Speights)
8:50.0,San Antonio full timeout,,25-21,,
8:50.0,D. Murray enters the game for T. Parker,,25-21,,
8:34.0,J. Simmons misses 2-pt shot from 15 ft,,25-21,,
8:33.0,Offensive rebound by D. Dedmon,,25-21,,
8:33.0,D. Dedmon misses 2-pt shot at rim,,25-21,,
8:33.0,,,25-21,,Defensive rebound by Team
8:33.0,T. Parker enters the game for D. Murray,,25-21,,
8:16.0,,,25-21,,J. Crawford misses 2-pt shot from 18 ft
8:16.0,,,25-21,,Offensive rebound by B. Bass
8:13.0,,,25-21,,B. Bass misses 2-pt shot from 2 ft (block by D. Dedmon)
8:12.0,,,25-21,,Offensive rebound by Team
7:55.0,,,25-21,,M. Speights misses 2-pt shot from 1 ft (block by D. Lee)
7:54.0,Defensive rebound by D. Green,,25-21,,
7:47.0,J. Simmons misses 3-pt shot from 25 ft,,25-21,,
7:46.0,,,25-21,,Defensive rebound by B. Bass
7:35.0,,,25-24,3,M. Speights makes 3-pt shot from 25 ft (assist by A. Rivers)
7:21.0,Turnover by D. Dedmon (bad pass),,25-24,,
7:21.0,L. Aldridge enters the game for J. Simmons,,25-24,,
7:21.0,K. Leonard enters the game for D. Lee,,25-24,,
7:21.0,,,25-24,,C. Paul enters the game for R. Felton
7:21.0,,,25-24,,B. Griffin enters the game for B. Bass
7:05.0,,,25-24,,J. Crawford misses 3-pt shot from 24 ft
7:04.0,Defensive rebound by D. Dedmon,,25-24,,
6:48.0,L. Aldridge makes 2-pt shot from 17 ft (assist by K. Leonard),2,27-24,,
6:34.0,,,27-27,3,A. Rivers makes 3-pt shot from 25 ft (assist by C. Paul)
6:13.0,K. Leonard misses 3-pt shot from 24 ft,,27-27,,
6:11.0,,,27-27,,Defensive rebound by B. Griffin
6:05.0,,,27-30,3,A. Rivers makes 3-pt shot from 25 ft (assist by B. Griffin)
5:52.0,,,27-30,,Personal foul by A. Rivers (drawn by K. Leonard)
5:52.0,Official timeout,,27-30,,
5:52.0,P. Gasol enters the game for D. Dedmon,,27-30,,
5:38.0,K. Leonard misses 2-pt shot from 18 ft,,27-30,,
5:38.0,Offensive rebound by Team,,27-30,,
5:38.0,,,27-30,,Loose ball foul by M. Speights (drawn by P. Gasol)
5:29.0,K. Leonard misses 2-pt shot from 14 ft,,27-30,,
5:29.0,,,27-30,,Defensive rebound by M. Speights
5:16.0,,,27-32,2,A. Rivers makes 2-pt shot from 2 ft (assist by M. Speights)
4:56.0,T. Parker makes 2-pt shot from 21 ft (assist by K. Leonard),2,29-32,,
4:41.0,Personal foul by D. Green (drawn by C. Paul),,29-32,,
4:41.0,,,29-32,,L. Mbah a Moute enters the game for J. Crawford
4:41.0,,,29-32,,J. Redick enters the game for A. Rivers
4:28.0,,,29-35,3,C. Paul makes 3-pt shot from 25 ft
4:05.0,D. Green makes 3-pt shot from 24 ft (assist by K. Leonard),3,32-35,,
4:01.0,,,32-35,,Turnover by M. Speights (bad pass; steal by K. Leonard)
3:51.0,T. Parker makes 3-pt shot from 23 ft (assist by K. Leonard),3,35-35,,
3:50.0,,,35-35,,LA Clippers full timeout
3:50.0,,,35-35,,D. Jordan enters the game for M. Speights
3:35.0,,,35-35,,Offensive foul by D. Jordan
3:35.0,,,35-35,,Turnover by D. Jordan (offensive foul)
3:14.0,T. Parker misses 2-pt shot from 22 ft,,35-35,,
3:12.0,Offensive rebound by L. Aldridge,,35-35,,
3:09.0,L. Aldridge makes 2-pt shot from 6 ft,2,37-35,,
2:56.0,,,37-35,,C. Paul misses 2-pt shot from 18 ft
2:55.0,Defensive rebound by T. Parker,,37-35,,
2:45.0,L. Aldridge misses 2-pt shot from 17 ft,,37-35,,
2:45.0,,,37-35,,Defensive rebound by Team
2:45.0,Loose ball foul by D. Green (drawn by B. Griffin),,37-35,,
2:45.0,M. Ginobili enters the game for D. Green,,37-35,,
2:45.0,P. Mills enters the game for T. Parker,,37-35,,
2:29.0,,,37-37,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
2:12.0,L. Aldridge misses 2-pt shot from 11 ft,,37-37,,
2:10.0,,,37-37,,Defensive rebound by C. Paul
1:56.0,,,37-37,,L. Mbah a Moute misses 2-pt shot from 19 ft
1:55.0,Defensive rebound by K. Leonard,,37-37,,
1:48.0,K. Leonard makes 2-pt shot from 20 ft,2,39-37,,
1:48.0,Shooting foul by B. Griffin (drawn by K. Leonard),,39-37,,
1:48.0,K. Leonard misses free throw 1 of 1,,39-37,,
1:47.0,,,39-37,,Defensive rebound by D. Jordan
1:30.0,,,39-37,,B. Griffin misses 2-pt shot from 19 ft
1:29.0,Defensive rebound by L. Aldridge,,39-37,,
1:16.0,,,39-37,,Def 3 sec tech foul by B. Griffin
1:16.0,K. Leonard makes technical free throw,1,40-37,,
1:02.0,P. Gasol makes 3-pt shot from 24 ft (assist by K. Leonard),3,43-37,,
0:52.0,Personal foul by K. Leonard (drawn by C. Paul),,43-37,,
0:52.0,,,43-38,1,C. Paul makes free throw 1 of 2
0:52.0,,,43-38,,C. Paul misses free throw 2 of 2
0:51.0,Defensive rebound by L. Aldridge,,43-38,,
0:38.0,,,43-38,,Personal foul by L. Mbah a Moute (drawn by K. Leonard)
0:38.0,K. Leonard makes free throw 1 of 2,1,44-38,,
0:38.0,K. Leonard misses free throw 2 of 2,,44-38,,
0:38.0,,,44-38,,Defensive rebound by B. Griffin
0:38.0,,,44-38,,A. Rivers enters the game for L. Mbah a Moute
0:28.0,,,44-40,2,C. Paul makes 2-pt shot from 9 ft
0:08.0,P. Gasol makes 3-pt shot from 23 ft (assist by M. Ginobili),3,47-40,,
0:02.0,,,47-42,2,C. Paul makes 2-pt shot from 12 ft
0:00.0,P. Mills misses 3-pt shot from 39 ft,,47-42,,
0:00.0,Offensive rebound by Team,,47-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,47-42,,Personal foul by C. Paul (drawn by D. Dedmon)
11:31.0,L. Aldridge misses 2-pt shot from 15 ft,,47-42,,
11:31.0,,,47-42,,Defensive rebound by L. Mbah a Moute
11:06.0,,,47-42,,C. Paul misses 2-pt shot from 20 ft
11:05.0,Defensive rebound by L. Aldridge,,47-42,,
10:44.0,K. Leonard makes 2-pt shot from 21 ft (assist by D. Dedmon),2,49-42,,
10:20.0,,,49-44,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
10:00.0,K. Leonard misses 2-pt shot from 10 ft,,49-44,,
9:58.0,,,49-44,,Defensive rebound by B. Griffin
9:53.0,,,49-44,,B. Griffin misses 2-pt shot from 3 ft
9:51.0,Defensive rebound by D. Dedmon,,49-44,,
9:46.0,Turnover by K. Leonard (bad pass; steal by D. Jordan),,49-44,,
9:42.0,,,49-44,,Shooting foul by K. Leonard (drawn by B. Griffin)
9:42.0,,,49-45,1,B. Griffin makes free throw 1 of 2
9:42.0,,,49-46,1,B. Griffin makes free throw 2 of 2
9:42.0,P. Gasol enters the game for D. Dedmon,,49-45,,
9:25.0,P. Gasol misses 2-pt shot from 21 ft,,49-46,,
9:22.0,,,49-46,,Defensive rebound by D. Jordan
9:14.0,,,49-49,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
9:14.0,San Antonio full timeout,,49-49,,
8:56.0,Shooting foul by D. Jordan (drawn by L. Aldridge),,49-49,,
8:56.0,L. Aldridge makes free throw 1 of 2,1,50-49,,
8:56.0,L. Aldridge makes free throw 2 of 2,1,51-49,,
8:43.0,Personal foul by K. Leonard (drawn by C. Paul),,51-49,,
8:32.0,,,51-51,2,B. Griffin makes 2-pt shot from 21 ft
8:15.0,Shooting foul by B. Griffin (drawn by K. Leonard),,51-51,,
8:15.0,K. Leonard makes free throw 1 of 2,1,52-51,,
8:15.0,K. Leonard makes free throw 2 of 2,1,53-51,,
8:05.0,,,53-53,2,B. Griffin makes 2-pt shot from 2 ft
7:52.0,L. Aldridge misses 2-pt shot from 19 ft,,53-53,,
7:52.0,,,53-53,,Defensive rebound by D. Jordan
7:46.0,,,53-56,3,C. Paul makes 3-pt shot from 24 ft
7:28.0,,,53-56,,Personal foul by L. Mbah a Moute (drawn by P. Gasol)
7:28.0,P. Mills enters the game for T. Parker,,53-56,,
7:18.0,P. Mills misses 3-pt shot from 25 ft,,53-56,,
7:15.0,,,53-56,,Defensive rebound by C. Paul
7:13.0,,,53-56,,Shooting foul by K. Leonard (drawn by B. Griffin)
7:13.0,,,53-57,1,B. Griffin makes free throw 1 of 2
7:13.0,,,53-58,1,B. Griffin makes free throw 2 of 2
7:13.0,J. Simmons enters the game for K. Leonard,,53-57,,
7:13.0,,,53-57,,A. Rivers enters the game for L. Mbah a Moute
6:57.0,Shooting foul by D. Jordan (drawn by J. Simmons),,53-58,,
6:57.0,J. Simmons makes free throw 1 of 2,1,54-58,,
6:57.0,J. Simmons makes free throw 2 of 2,1,55-58,,
6:41.0,,,55-60,2,C. Paul makes 2-pt shot from 15 ft
6:31.0,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Green),2,57-60,,
6:10.0,,,57-62,2,B. Griffin makes 2-pt shot from 11 ft
5:44.0,J. Simmons misses 3-pt shot from 28 ft,,57-62,,
5:44.0,Offensive rebound by P. Gasol,,57-62,,
5:39.0,D. Green misses 3-pt shot from 26 ft,,57-62,,
5:39.0,,,57-62,,Defensive rebound by C. Paul
5:33.0,,,57-62,,J. Redick misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by L. Aldridge,,57-62,,
5:19.0,Turnover by Team (back court),,57-62,,
5:19.0,M. Ginobili enters the game for D. Green,,57-62,,
5:06.0,,,57-64,2,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin)
5:06.0,,,57-64,,Shooting foul by M. Ginobili (drawn by D. Jordan)
5:06.0,,,57-64,,D. Jordan misses free throw 1 of 1
5:06.0,K. Anderson enters the game for J. Simmons,,57-64,,
5:04.0,Defensive rebound by P. Gasol,,57-64,,
4:55.0,L. Aldridge misses 2-pt shot from 19 ft,,57-64,,
4:55.0,,,57-64,,Defensive rebound by B. Griffin
4:42.0,,,57-66,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
4:31.0,P. Gasol makes 2-pt shot from 16 ft (assist by P. Mills),2,59-66,,
4:26.0,,,59-66,,Shooting foul by P. Gasol (drawn by B. Griffin)
4:26.0,,,59-67,1,B. Griffin makes free throw 1 of 2
4:26.0,,,59-68,1,B. Griffin makes free throw 2 of 2
4:08.0,L. Aldridge misses 2-pt shot from 18 ft,,59-68,,
4:07.0,Offensive rebound by P. Gasol,,59-68,,
3:57.0,P. Gasol makes 2-pt shot from 4 ft,2,61-68,,
3:35.0,,,61-68,,C. Paul misses 2-pt shot from 16 ft
3:34.0,Defensive rebound by L. Aldridge,,61-68,,
3:29.0,,,61-68,,Personal foul by C. Paul
3:29.0,P. Mills makes free throw 1 of 2,1,62-68,,
3:29.0,P. Mills misses free throw 2 of 2,,62-68,,
3:29.0,,,62-68,,M. Speights enters the game for D. Jordan
3:29.0,,,62-68,,R. Felton enters the game for C. Paul
3:29.0,,,62-68,,J. Crawford enters the game for J. Redick
3:29.0,T. Parker enters the game for K. Anderson,,62-68,,
3:28.0,Offensive rebound by M. Ginobili,,62-68,,
3:27.0,M. Ginobili misses 3-pt shot from 25 ft,,62-68,,
3:24.0,Offensive rebound by Team,,62-68,,
3:12.0,Shooting foul by J. Crawford (drawn by M. Ginobili),,62-68,,
3:12.0,M. Ginobili makes 2-pt shot from 2 ft (assist by P. Gasol),2,64-68,,
3:12.0,M. Ginobili makes free throw 1 of 1,1,65-68,,
2:57.0,,,65-68,,A. Rivers misses 3-pt shot from 24 ft
2:56.0,Defensive rebound by P. Gasol,,65-68,,
2:53.0,,,65-68,,Personal foul by A. Rivers (drawn by T. Parker)
2:53.0,,,65-68,,LA Clippers full timeout
2:53.0,T. Parker makes free throw 1 of 2,1,66-68,,
2:53.0,T. Parker makes free throw 2 of 2,1,67-68,,
2:53.0,D. Lee enters the game for L. Aldridge,,65-68,,
2:37.0,,,67-68,,M. Speights misses 2-pt shot from 6 ft
2:36.0,Defensive rebound by P. Gasol,,67-68,,
2:20.0,P. Mills misses 3-pt shot from 24 ft,,67-68,,
2:19.0,Offensive rebound by M. Ginobili,,67-68,,
2:12.0,P. Mills makes 2-pt shot from 10 ft (assist by T. Parker),2,69-68,,
1:50.0,,,69-70,2,A. Rivers makes 2-pt shot from 2 ft
1:35.0,T. Parker misses 2-pt shot from 2 ft (block by M. Speights),,69-70,,
1:34.0,,,69-70,,Defensive rebound by B. Griffin
1:29.0,Personal foul by P. Gasol (drawn by A. Rivers),,69-70,,
1:29.0,,,69-71,1,A. Rivers makes free throw 1 of 2
1:29.0,,,69-71,,A. Rivers misses free throw 2 of 2
1:29.0,D. Dedmon enters the game for P. Gasol,,69-71,,
1:29.0,,,69-71,,B. Bass enters the game for B. Griffin
1:28.0,Defensive rebound by D. Dedmon,,69-71,,
1:15.0,P. Mills makes 2-pt shot from 22 ft,2,71-71,,
1:15.0,Shooting foul by A. Rivers,,71-71,,
1:15.0,P. Mills makes free throw 1 of 1,1,72-71,,
0:58.0,,,72-71,,M. Speights misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by T. Parker,,72-71,,
0:50.0,D. Lee misses 2-pt shot from 14 ft,,72-71,,
0:47.0,,,72-71,,Defensive rebound by B. Bass
0:42.0,,,72-71,,Shooting foul by D. Dedmon (drawn by A. Rivers)
0:42.0,,,72-72,1,A. Rivers makes free throw 1 of 2
