time,Oklahoma City,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. C. Capela (R. Anderson gains possession),,,,Jump ball: S. Adams vs. C. Capela (R. Anderson gains possession)
11:43.0,,,0-0,,Turnover by J. Harden (bad pass; steal by A. Roberson)
11:22.0,R. Westbrook makes 2-pt shot from 2 ft (assist by S. Adams),2,2-0,,
11:10.0,Personal foul by V. Oladipo (drawn by P. Beverley),,2-0,,
11:05.0,,,2-0,,J. Harden misses 2-pt shot from 2 ft
11:05.0,Defensive rebound by Team,,2-0,,
11:05.0,,,2-0,,Violation by Team (jump ball)
10:40.0,R. Westbrook misses 3-pt shot from 25 ft,,2-0,,
10:39.0,,,2-0,,Defensive rebound by J. Harden
10:37.0,,,2-0,,Turnover by J. Harden (bad pass)
10:24.0,T. Gibson makes 2-pt shot from 16 ft (assist by A. Roberson),2,4-0,,
10:09.0,,,4-2,2,J. Harden makes 2-pt shot from 4 ft
9:57.0,Turnover by R. Westbrook (lost ball),,4-2,,
9:42.0,,,4-2,,R. Anderson misses 2-pt shot from 23 ft
9:41.0,,,4-2,,Offensive rebound by P. Beverley
9:40.0,,,4-4,2,P. Beverley makes 2-pt shot from 1 ft
9:26.0,A. Roberson misses 3-pt shot from 23 ft,,4-4,,
9:24.0,,,4-4,,Defensive rebound by T. Ariza
9:16.0,,,4-4,,Turnover by J. Harden (bad pass; steal by S. Adams)
9:11.0,,,4-4,,Personal block foul by P. Beverley (drawn by V. Oladipo)
9:05.0,V. Oladipo misses 2-pt shot from 9 ft,,4-4,,
9:04.0,,,4-4,,Defensive rebound by C. Capela
8:47.0,,,4-4,,T. Ariza misses 3-pt shot from 23 ft
8:46.0,Defensive rebound by Team,,4-4,,
8:35.0,R. Westbrook makes 2-pt shot from 1 ft,2,6-4,,
8:14.0,,,6-4,,P. Beverley misses 2-pt shot from 1 ft (block by S. Adams)
8:12.0,,,6-4,,Offensive rebound by Team
