time,Cleveland,pts.away,score,pts.home,Chicago
11:57.0,L. James makes 2-pt shot at rim (assist by C. Frye),2,30-22,,
11:39.0,,,30-24,2,B. Portis makes 2-pt shot from 19 ft (assist by J. Lauvergne)
11:27.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,32-24,,
11:09.0,,,32-24,,Turnover by P. Zipser (bad pass; steal by I. Shumpert)
10:53.0,K. Love makes 2-pt shot from 7 ft (assist by L. James),2,34-24,,
10:53.0,,,34-24,,Chicago full timeout
10:40.0,,,34-27,3,B. Portis makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
10:15.0,K. Love misses 2-pt shot from 3 ft,,34-27,,
10:14.0,,,34-27,,Defensive rebound by D. Valentine
10:08.0,,,34-27,,B. Portis misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by K. Love,,34-27,,
9:53.0,I. Shumpert makes 2-pt shot from 21 ft (assist by D. Williams),2,36-27,,
9:40.0,,,36-27,,M. Carter-Williams misses 2-pt shot from 3 ft (block by C. Frye)
9:38.0,,,36-27,,Offensive rebound by J. Lauvergne
9:38.0,,,36-27,,J. Lauvergne misses 2-pt shot from 1 ft (block by I. Shumpert)
9:38.0,,,36-27,,Offensive rebound by Team
9:31.0,,,36-29,2,J. Lauvergne makes 2-pt shot from 2 ft
9:19.0,Turnover by D. Williams (lost ball; steal by J. Lauvergne),,36-29,,
9:18.0,Personal foul by C. Frye (drawn by M. Carter-Williams),,36-29,,
9:01.0,,,36-29,,D. Valentine misses 2-pt shot from 6 ft
9:00.0,Defensive rebound by K. Love,,36-29,,
8:48.0,Turnover by L. James (bad pass; steal by D. Valentine),,36-29,,
8:43.0,,,36-29,,M. Carter-Williams misses 2-pt shot from 2 ft (block by L. James)
8:40.0,,,36-29,,Offensive rebound by B. Portis
8:39.0,,,36-29,,B. Portis misses 2-pt shot from 2 ft (block by K. Love)
8:35.0,,,36-29,,Offensive rebound by M. Carter-Williams
8:33.0,,,36-29,,M. Carter-Williams misses 2-pt shot from 8 ft
8:33.0,Defensive rebound by C. Frye,,36-29,,
8:33.0,Shooting foul by P. Zipser (drawn by L. James),,36-29,,
8:33.0,L. James misses free throw 1 of 2,,36-29,,
8:33.0,Offensive rebound by Team,,36-29,,
8:33.0,L. James misses free throw 2 of 2,,36-29,,
8:33.0,J. Smith enters the game for C. Frye,,36-29,,
8:33.0,,,36-29,,J. Butler enters the game for P. Zipser
8:33.0,,,36-29,,N. Mirotic enters the game for J. Lauvergne
8:31.0,,,36-29,,Defensive rebound by B. Portis
8:15.0,,,36-31,2,M. Carter-Williams makes 2-pt shot from 20 ft (assist by D. Valentine)
7:56.0,I. Shumpert misses 2-pt shot from 2 ft,,36-31,,
7:54.0,Offensive rebound by K. Love,,36-31,,
7:52.0,K. Love misses 2-pt shot from 2 ft,,36-31,,
7:51.0,Offensive rebound by K. Love,,36-31,,
7:51.0,K. Love misses 2-pt shot from 2 ft,,36-31,,
7:49.0,,,36-31,,Defensive rebound by D. Valentine
7:39.0,,,36-31,,D. Valentine misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by K. Love,,36-31,,
7:22.0,J. Smith misses 3-pt shot from 25 ft,,36-31,,
7:21.0,,,36-31,,Defensive rebound by M. Carter-Williams
7:17.0,,,36-31,,Turnover by D. Valentine (bad pass; steal by L. James)
7:13.0,I. Shumpert makes 2-pt shot at rim (assist by L. James),2,38-31,,
6:52.0,,,38-31,,B. Portis misses 2-pt shot from 2 ft (block by K. Love)
6:52.0,,,38-31,,Offensive rebound by Team
6:52.0,K. Irving enters the game for D. Williams,,38-31,,
6:46.0,,,38-34,3,J. Butler makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
6:24.0,L. James makes 3-pt shot from 25 ft,3,41-34,,
6:02.0,,,41-34,,N. Mirotic misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by K. Love,,41-34,,
5:56.0,I. Shumpert misses 3-pt shot from 26 ft,,41-34,,
5:55.0,,,41-34,,Defensive rebound by D. Valentine
5:41.0,Personal foul by I. Shumpert (drawn by N. Mirotic),,41-34,,
5:41.0,,,41-34,,Chicago full timeout
5:41.0,,,41-34,,R. Lopez enters the game for D. Valentine
5:41.0,,,41-34,,P. Zipser enters the game for B. Portis
5:41.0,,,41-34,,R. Rondo enters the game for M. Carter-Williams
5:41.0,T. Thompson enters the game for L. James,,41-34,,
5:26.0,,,41-34,,R. Rondo misses 2-pt shot from 21 ft
5:25.0,Defensive rebound by T. Thompson,,41-34,,
5:15.0,I. Shumpert misses 2-pt shot from 20 ft,,41-34,,
5:15.0,,,41-34,,Defensive rebound by Team
5:03.0,,,41-36,2,N. Mirotic makes 2-pt shot from 14 ft (assist by R. Rondo)
4:45.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,43-36,,
4:21.0,,,43-36,,J. Butler misses 2-pt shot from 17 ft
4:20.0,Defensive rebound by J. Smith,,43-36,,
4:13.0,K. Irving misses 2-pt shot from 12 ft,,43-36,,
4:12.0,,,43-36,,Defensive rebound by N. Mirotic
4:07.0,,,43-36,,Turnover by N. Mirotic (bad pass; steal by I. Shumpert)
3:52.0,K. Irving misses 2-pt shot from 2 ft,,43-36,,
3:50.0,Offensive rebound by K. Irving,,43-36,,
3:48.0,Turnover by K. Irving (bad pass; steal by R. Lopez),,43-36,,
