time,Brooklyn,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. Valanciunas (B. Bogdanovic gains possession),,,,Jump ball: B. Lopez vs. J. Valanciunas (B. Bogdanovic gains possession)
11:41.0,T. Booker misses 2-pt shot from 6 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by K. Lowry
11:20.0,,,0-2,2,D. Carroll makes 2-pt shot from 19 ft
11:01.0,B. Bogdanovic misses 2-pt shot from 18 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by J. Valanciunas
10:48.0,,,0-2,,Shooting foul by B. Lopez (drawn by J. Valanciunas)
10:48.0,,,0-3,1,J. Valanciunas makes free throw 1 of 2
10:48.0,,,0-4,1,J. Valanciunas makes free throw 2 of 2
10:33.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by B. Lopez),3,3-4,,
10:14.0,,,3-6,2,J. Valanciunas makes 2-pt shot from 6 ft
10:11.0,,,3-6,,Personal foul by J. Valanciunas (drawn by B. Lopez)
9:59.0,B. Lopez makes 2-pt shot from 2 ft,2,5-6,,
9:48.0,,,5-8,2,L. Nogueira makes 2-pt shot at rim (assist by D. DeRozan)
9:33.0,J. Harris misses 3-pt shot from 24 ft,,5-8,,
9:33.0,,,5-8,,Defensive rebound by L. Nogueira
9:19.0,,,5-8,,J. Valanciunas misses 2-pt shot from 15 ft
9:19.0,Defensive rebound by B. Bogdanovic,,5-8,,
9:06.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by B. Lopez),3,8-8,,
8:44.0,,,8-10,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
8:34.0,B. Lopez misses 3-pt shot from 26 ft,,8-10,,
8:34.0,,,8-10,,Defensive rebound by J. Valanciunas
8:21.0,,,8-10,,Shooting foul by T. Booker (drawn by J. Valanciunas)
8:21.0,,,8-11,1,J. Valanciunas makes free throw 1 of 2
8:21.0,,,8-12,1,J. Valanciunas makes free throw 2 of 2
8:06.0,Turnover by B. Bogdanovic (lost ball; steal by J. Valanciunas),,8-12,,
7:53.0,,,8-12,,Turnover by K. Lowry (bad pass; steal by J. Harris)
7:44.0,J. Harris misses 2-pt shot from 2 ft,,8-12,,
7:44.0,,,8-12,,Defensive rebound by J. Valanciunas
7:34.0,,,8-14,2,D. DeRozan makes 2-pt shot from 14 ft
7:18.0,B. Lopez makes 2-pt shot from 16 ft,2,10-14,,
7:00.0,,,10-16,2,D. Carroll makes 2-pt shot from 7 ft (assist by K. Lowry)
6:45.0,B. Lopez misses 2-pt shot from 11 ft (block by J. Valanciunas),,10-16,,
6:44.0,,,10-16,,Defensive rebound by L. Nogueira
6:38.0,,,10-16,,K. Lowry misses 3-pt shot from 26 ft
6:37.0,Defensive rebound by B. Bogdanovic,,10-16,,
6:23.0,T. Booker misses 2-pt shot from 10 ft,,10-16,,
6:23.0,,,10-16,,Defensive rebound by J. Valanciunas
6:13.0,,,10-16,,D. Carroll misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by S. Dinwiddie,,10-16,,
6:05.0,S. Dinwiddie makes 3-pt shot from 26 ft,3,13-16,,
5:39.0,,,13-16,,D. Carroll misses 2-pt shot from 12 ft
5:39.0,Defensive rebound by T. Booker,,13-16,,
5:30.0,B. Bogdanovic misses 3-pt shot from 25 ft,,13-16,,
5:30.0,,,13-16,,Defensive rebound by J. Valanciunas
5:24.0,,,13-16,,Toronto full timeout
5:24.0,R. Hollis-Jefferson enters the game for B. Bogdanovic,,13-16,,
5:24.0,J. Hamilton enters the game for T. Booker,,13-16,,
5:24.0,C. LeVert enters the game for B. Lopez,,13-16,,
5:24.0,S. Kilpatrick enters the game for J. Harris,,13-16,,
5:11.0,,,13-16,,J. Valanciunas misses 2-pt shot from 7 ft
5:10.0,Defensive rebound by J. Hamilton,,13-16,,
5:03.0,S. Dinwiddie misses 2-pt shot from 13 ft,,13-16,,
5:03.0,,,13-16,,Defensive rebound by L. Nogueira
4:56.0,Personal foul by S. Dinwiddie (drawn by K. Lowry),,13-16,,
4:56.0,,,13-16,,T. Ross enters the game for L. Nogueira
4:40.0,,,13-19,3,D. Carroll makes 3-pt shot from 25 ft (assist by D. DeRozan)
4:20.0,S. Dinwiddie misses 2-pt shot from 5 ft (block by K. Lowry),,13-19,,
4:19.0,,,13-19,,Defensive rebound by J. Valanciunas
4:12.0,,,13-19,,Shooting foul by R. Hollis-Jefferson (drawn by D. DeRozan)
4:12.0,,,13-20,1,D. DeRozan makes free throw 1 of 2
4:12.0,,,13-21,1,D. DeRozan makes free throw 2 of 2
4:12.0,R. Foye enters the game for S. Dinwiddie,,13-20,,
4:02.0,J. Hamilton makes 2-pt shot from 21 ft (assist by R. Hollis-Jefferson),2,15-21,,
3:39.0,,,15-21,,D. DeRozan misses 3-pt shot from 24 ft
3:39.0,Defensive rebound by R. Hollis-Jefferson,,15-21,,
3:28.0,R. Hollis-Jefferson makes 2-pt shot from 18 ft (assist by R. Foye),2,17-21,,
3:04.0,Personal foul by R. Foye (drawn by K. Lowry),,17-21,,
3:04.0,,,17-21,,K. Lowry misses free throw 1 of 2
3:04.0,,,17-21,,Offensive rebound by Team
3:04.0,,,17-22,1,K. Lowry makes free throw 2 of 2
2:45.0,R. Hollis-Jefferson makes 2-pt shot from 7 ft,2,19-22,,
2:29.0,,,19-22,,Turnover by K. Lowry (bad pass; steal by J. Hamilton)
2:21.0,C. LeVert makes 3-pt shot from 24 ft (assist by R. Foye),3,22-22,,
2:01.0,,,22-24,2,K. Lowry makes 2-pt shot from 3 ft
1:45.0,J. Hamilton makes 2-pt shot from 12 ft (assist by R. Foye),2,24-24,,
1:34.0,,,24-24,,K. Lowry misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by S. Kilpatrick,,24-24,,
1:29.0,Brooklyn full timeout,,24-24,,
1:29.0,,,24-24,,L. Nogueira enters the game for D. Carroll
1:29.0,,,24-24,,N. Powell enters the game for J. Valanciunas
1:29.0,,,24-24,,C. Joseph enters the game for K. Lowry
1:29.0,,,24-24,,Violation by Team (delay of game)
1:21.0,R. Foye misses 2-pt shot from 4 ft,,24-24,,
1:21.0,,,24-24,,Defensive rebound by D. DeRozan
1:00.0,,,24-27,3,N. Powell makes 3-pt shot from 25 ft (assist by C. Joseph)
0:50.0,J. Hamilton makes 3-pt shot from 26 ft (assist by R. Foye),3,27-27,,
0:38.0,,,27-27,,Shooting foul by C. LeVert (drawn by D. DeRozan)
0:38.0,,,27-28,1,D. DeRozan makes free throw 1 of 2
0:38.0,,,27-28,,D. DeRozan misses free throw 2 of 2
0:37.0,Defensive rebound by J. Hamilton,,27-28,,
0:19.0,J. Hamilton misses 3-pt shot from 24 ft,,27-28,,
0:18.0,,,27-28,,Defensive rebound by D. DeRozan
0:02.0,,,27-30,2,D. DeRozan makes 2-pt shot from 16 ft
0:00.0,C. LeVert misses 3-pt shot from 44 ft,,27-30,,
0:00.0,Offensive rebound by Team,,27-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-32,2,T. Ross makes 2-pt shot from 17 ft (assist by C. Joseph)
11:26.0,R. Hollis-Jefferson misses 2-pt shot from 13 ft,,27-32,,
11:26.0,,,27-32,,Defensive rebound by L. Nogueira
11:13.0,,,27-34,2,L. Nogueira makes 2-pt shot from 2 ft (assist by N. Powell)
11:00.0,R. Foye makes 3-pt shot from 26 ft,3,30-34,,
10:46.0,,,30-34,,N. Powell misses 2-pt shot from 4 ft
10:46.0,Defensive rebound by B. Lopez,,30-34,,
10:33.0,B. Bogdanovic makes 2-pt shot from 20 ft,2,32-34,,
10:07.0,,,32-34,,N. Powell misses 2-pt shot from 8 ft
10:07.0,Defensive rebound by B. Lopez,,32-34,,
9:52.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by R. Foye),3,35-34,,
9:38.0,,,35-34,,K. Lowry misses 3-pt shot from 26 ft
9:38.0,,,35-34,,Offensive rebound by K. Lowry
9:33.0,,,35-36,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
9:23.0,,,35-36,,J. Valanciunas enters the game for L. Nogueira
9:14.0,B. Lopez makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson),2,37-36,,
