time,Oklahoma City,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Turner (P. George gains possession),,,,Jump ball: S. Adams vs. M. Turner (P. George gains possession)
11:42.0,,,0-3,3,P. George makes 3-pt shot from 26 ft (assist by J. Teague)
11:28.0,V. Oladipo misses 3-pt shot from 26 ft,,0-3,,
11:28.0,,,0-3,,Defensive rebound by Team
11:14.0,,,0-3,,L. Allen misses 2-pt shot from 2 ft (block by R. Westbrook)
11:14.0,Defensive rebound by A. Roberson,,0-3,,
11:08.0,V. Oladipo misses 2-pt shot from 16 ft,,0-3,,
11:07.0,,,0-3,,Defensive rebound by L. Allen
11:01.0,,,0-3,,M. Turner misses 3-pt shot from 26 ft
10:59.0,,,0-3,,Offensive rebound by P. George
10:49.0,,,0-3,,J. Teague misses 3-pt shot from 26 ft
10:49.0,,,0-3,,Offensive rebound by Team
10:42.0,,,0-5,2,C. Miles makes 2-pt shot from 19 ft (assist by P. George)
10:25.0,S. Adams makes 2-pt shot from 1 ft,2,2-5,,
10:08.0,,,2-5,,Shooting foul by D. Sabonis (drawn by M. Turner)
10:08.0,,,2-6,1,M. Turner makes free throw 1 of 2
10:08.0,,,2-6,,M. Turner misses free throw 2 of 2
10:08.0,Defensive rebound by R. Westbrook,,2-6,,
10:03.0,Shooting foul by C. Miles (drawn by A. Roberson),,2-6,,
10:03.0,A. Roberson misses free throw 1 of 2,,2-6,,
10:03.0,Offensive rebound by Team,,2-6,,
10:03.0,A. Roberson makes free throw 2 of 2,1,3-6,,
9:54.0,,,3-6,,Turnover by P. George (lost ball)
9:37.0,S. Adams makes 2-pt shot from 2 ft (assist by D. Sabonis),2,5-6,,
9:14.0,,,5-6,,P. George misses 3-pt shot from 26 ft
9:14.0,Defensive rebound by R. Westbrook,,5-6,,
9:04.0,R. Westbrook makes 2-pt shot from 16 ft,2,7-6,,
8:47.0,,,7-6,,Turnover by P. George (bad pass)
8:41.0,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook),2,9-6,,
8:28.0,,,9-6,,C. Miles misses 3-pt shot from 24 ft
8:27.0,,,9-6,,Offensive rebound by M. Turner
8:23.0,,,9-6,,M. Turner misses 2-pt shot from 17 ft
8:21.0,Defensive rebound by V. Oladipo,,9-6,,
8:12.0,R. Westbrook misses 2-pt shot from 15 ft,,9-6,,
8:12.0,,,9-6,,Defensive rebound by L. Allen
8:02.0,,,9-6,,J. Teague misses 2-pt shot from 4 ft
8:01.0,,,9-6,,Offensive rebound by L. Allen
8:01.0,,,9-8,2,L. Allen makes 2-pt shot at rim
7:34.0,R. Westbrook makes 2-pt shot from 13 ft (assist by S. Adams),2,11-8,,
7:21.0,,,11-8,,J. Teague misses 2-pt shot from 3 ft
7:20.0,Defensive rebound by R. Westbrook,,11-8,,
7:13.0,V. Oladipo misses 2-pt shot at rim,,11-8,,
7:13.0,,,11-8,,Defensive rebound by P. George
7:03.0,,,11-11,3,J. Teague makes 3-pt shot from 24 ft (assist by M. Turner)
6:48.0,V. Oladipo misses 2-pt shot from 2 ft (block by M. Turner),,11-11,,
6:47.0,Offensive rebound by D. Sabonis,,11-11,,
6:37.0,S. Adams misses 2-pt shot from 6 ft,,11-11,,
6:36.0,,,11-11,,Defensive rebound by M. Turner
6:25.0,,,11-11,,Turnover by P. George (bad pass)
6:25.0,Oklahoma City full timeout,,11-11,,
6:25.0,A. Morrow enters the game for V. Oladipo,,11-11,,
6:11.0,S. Adams makes 2-pt shot from 2 ft,2,13-11,,
5:55.0,,,13-11,,C. Miles misses 3-pt shot from 26 ft
5:53.0,Defensive rebound by S. Adams,,13-11,,
5:46.0,R. Westbrook misses 2-pt shot from 16 ft,,13-11,,
5:46.0,Offensive rebound by S. Adams,,13-11,,
5:46.0,,,13-11,,Loose ball foul by P. George (drawn by S. Adams)
5:37.0,Shooting foul by M. Turner (drawn by R. Westbrook),,13-11,,
5:37.0,R. Westbrook makes free throw 1 of 2,1,14-11,,
5:37.0,R. Westbrook makes free throw 2 of 2,1,15-11,,
5:23.0,,,15-11,,L. Allen misses 2-pt shot from 3 ft (block by R. Westbrook)
5:22.0,,,15-11,,Offensive rebound by L. Allen
5:16.0,,,15-11,,P. George misses 2-pt shot from 17 ft
5:15.0,,,15-11,,Offensive rebound by L. Allen
5:04.0,,,15-11,,M. Turner misses 2-pt shot from 5 ft
5:03.0,Defensive rebound by A. Roberson,,15-11,,
4:55.0,Turnover by R. Westbrook (bad pass; steal by P. George),,15-11,,
4:47.0,,,15-11,,J. Teague misses 3-pt shot from 24 ft
4:44.0,,,15-11,,Offensive rebound by P. George
4:41.0,,,15-11,,P. George misses 3-pt shot from 23 ft
4:38.0,Defensive rebound by D. Sabonis,,15-11,,
4:36.0,Offensive charge foul by R. Westbrook,,15-11,,
4:36.0,Turnover by R. Westbrook (offensive foul),,15-11,,
4:33.0,,,15-11,,P. George misses 3-pt shot from 25 ft
4:31.0,,,15-11,,Offensive rebound by P. George
4:25.0,,,15-11,,P. George misses 3-pt shot from 24 ft
4:24.0,Defensive rebound by R. Westbrook,,15-11,,
4:18.0,R. Westbrook misses 2-pt shot from 23 ft,,15-11,,
4:18.0,Offensive rebound by S. Adams,,15-11,,
4:18.0,,,15-11,,Loose ball foul by P. George (drawn by S. Adams)
4:18.0,J. Lauvergne enters the game for D. Sabonis,,15-11,,
4:18.0,,,15-11,,M. Ellis enters the game for C. Miles
4:18.0,,,15-11,,G. Robinson enters the game for P. George
4:07.0,S. Adams misses 2-pt shot from 4 ft,,15-11,,
4:06.0,,,15-11,,Defensive rebound by G. Robinson
3:43.0,,,15-11,,L. Allen misses 2-pt shot from 10 ft
3:42.0,Defensive rebound by R. Westbrook,,15-11,,
3:32.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,17-11,,
3:20.0,,,17-11,,Indiana full timeout
3:20.0,V. Oladipo enters the game for A. Roberson,,17-11,,
3:20.0,J. Grant enters the game for S. Adams,,17-11,,
3:20.0,,,17-11,,K. Seraphin enters the game for L. Allen
3:13.0,,,17-11,,M. Turner misses 2-pt shot from 7 ft (block by J. Grant)
3:11.0,Defensive rebound by A. Morrow,,17-11,,
3:02.0,Turnover by J. Lauvergne (lost ball; steal by M. Ellis),,17-11,,
2:58.0,,,17-13,2,J. Teague makes 2-pt shot from 2 ft (assist by G. Robinson)
