time,Boston,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. A. Johnson (D. Russell gains possession),,,,Jump ball: T. Black vs. A. Johnson (D. Russell gains possession)
11:47.0,,,0-2,2,D. Russell makes 2-pt shot from 18 ft
11:23.0,I. Thomas misses 3-pt shot from 26 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by Team
11:08.0,,,0-5,3,N. Young makes 3-pt shot from 26 ft (assist by J. Randle)
10:50.0,Shooting foul by B. Ingram (drawn by J. Crowder),,0-5,,
10:50.0,J. Crowder makes free throw 1 of 2,1,1-5,,
10:50.0,J. Crowder makes free throw 2 of 2,1,2-5,,
10:36.0,,,2-7,2,J. Randle makes 2-pt shot from 1 ft (assist by D. Russell)
10:24.0,A. Bradley makes 3-pt shot from 25 ft (assist by A. Johnson),3,5-7,,
10:10.0,,,5-7,,N. Young misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by J. Crowder,,5-7,,
9:56.0,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas),3,8-7,,
9:36.0,,,8-10,3,D. Russell makes 3-pt shot from 24 ft (assist by B. Ingram)
9:17.0,A. Johnson makes 3-pt shot from 24 ft (assist by I. Thomas),3,11-10,,
8:41.0,,,11-10,,T. Black misses 2-pt shot from 15 ft
8:38.0,Defensive rebound by A. Bradley,,11-10,,
8:32.0,A. Horford misses 2-pt shot from 13 ft,,11-10,,
8:30.0,,,11-10,,Defensive rebound by T. Black
8:19.0,,,11-10,,J. Randle misses 2-pt shot from 12 ft
8:16.0,Defensive rebound by J. Crowder,,11-10,,
8:12.0,I. Thomas makes 3-pt shot from 26 ft,3,14-10,,
8:12.0,,,14-10,,LA Lakers full timeout
8:02.0,,,14-12,2,D. Russell makes 2-pt shot from 17 ft
7:48.0,J. Crowder makes 2-pt shot at rim (assist by A. Johnson),2,16-12,,
7:37.0,,,16-14,2,T. Black makes 2-pt shot at rim (assist by D. Russell)
7:20.0,I. Thomas makes 2-pt shot from 19 ft,2,18-14,,
7:07.0,,,18-16,2,D. Russell makes 2-pt shot from 21 ft (assist by T. Black)
6:51.0,A. Bradley misses 3-pt shot from 25 ft,,18-16,,
6:46.0,Offensive rebound by J. Crowder,,18-16,,
6:46.0,J. Crowder misses 2-pt shot from 2 ft,,18-16,,
6:43.0,,,18-16,,Defensive rebound by T. Black
6:36.0,,,18-16,,T. Black misses 2-pt shot from 17 ft
6:33.0,Defensive rebound by A. Johnson,,18-16,,
6:24.0,A. Johnson makes 3-pt shot from 26 ft (assist by A. Bradley),3,21-16,,
6:06.0,M. Smart enters the game for A. Bradley,,21-16,,
6:04.0,Jump ball: A. Johnson vs. J. Randle (J. Crowder gains possession),,,,Jump ball: A. Johnson vs. J. Randle (J. Crowder gains possession)
6:04.0,,,21-16,,Turnover by J. Randle (lost ball; steal by A. Johnson)
5:56.0,A. Johnson makes 2-pt shot at rim (assist by I. Thomas),2,23-16,,
5:37.0,,,23-16,,N. Young misses 3-pt shot from 27 ft
5:35.0,,,23-16,,Offensive rebound by Team
5:35.0,,,23-16,,I. Zubac enters the game for T. Black
5:31.0,,,23-16,,D. Russell misses 3-pt shot from 26 ft
5:29.0,Defensive rebound by A. Johnson,,23-16,,
5:23.0,I. Thomas misses 3-pt shot from 26 ft,,23-16,,
5:22.0,,,23-16,,Defensive rebound by Team
5:22.0,,,23-16,,J. Clarkson enters the game for N. Young
5:05.0,,,23-16,,Shooting foul by A. Horford (drawn by I. Zubac)
5:05.0,,,23-16,,I. Zubac misses free throw 1 of 2
5:05.0,,,23-16,,Offensive rebound by Team
5:05.0,,,23-16,,I. Zubac misses free throw 2 of 2
5:05.0,J. Brown enters the game for A. Horford,,23-16,,
5:04.0,Defensive rebound by J. Brown,,23-16,,
4:50.0,I. Thomas makes 2-pt shot from 2 ft,2,25-16,,
4:39.0,,,25-18,2,J. Randle makes 2-pt shot from 8 ft
4:24.0,J. Crowder makes 3-pt shot from 24 ft (assist by A. Johnson),3,28-18,,
4:10.0,,,28-18,,Shooting foul by J. Crowder (drawn by J. Randle)
4:10.0,,,28-19,1,J. Randle makes free throw 1 of 2
4:10.0,,,28-20,1,J. Randle makes free throw 2 of 2
3:49.0,J. Brown misses 2-pt shot from 19 ft,,28-20,,
3:47.0,,,28-20,,Defensive rebound by J. Clarkson
3:39.0,,,28-20,,J. Clarkson misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by M. Smart,,28-20,,
3:29.0,,,28-20,,Shooting block foul by I. Zubac (drawn by J. Crowder)
3:29.0,J. Crowder misses free throw 1 of 2,,28-20,,
3:29.0,Offensive rebound by Team,,28-20,,
3:29.0,J. Crowder misses free throw 2 of 2,,28-20,,
3:29.0,K. Olynyk enters the game for A. Johnson,,28-20,,
3:27.0,,,28-20,,Defensive rebound by J. Randle
3:13.0,,,28-20,,J. Clarkson misses 2-pt shot from 13 ft
3:12.0,Defensive rebound by Team,,28-20,,
3:01.0,I. Thomas misses 2-pt shot from 1 ft (block by I. Zubac),,28-20,,
2:58.0,Offensive rebound by K. Olynyk,,28-20,,
2:52.0,K. Olynyk misses 2-pt shot from 3 ft (block by D. Russell),,28-20,,
2:50.0,,,28-20,,Defensive rebound by D. Russell
2:48.0,,,28-20,,J. Clarkson misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by J. Brown,,28-20,,
2:48.0,,,28-20,,Personal foul by B. Ingram (drawn by J. Brown)
2:48.0,Boston full timeout,,28-20,,
2:48.0,J. Brown makes free throw 1 of 2,1,29-20,,
2:48.0,J. Brown makes free throw 2 of 2,1,30-20,,
2:48.0,,,28-20,,C. Brewer enters the game for B. Ingram
2:48.0,J. Young enters the game for I. Thomas,,28-20,,
2:32.0,,,30-22,2,I. Zubac makes 2-pt shot from 6 ft
2:17.0,K. Olynyk misses 3-pt shot from 25 ft,,30-22,,
2:16.0,,,30-22,,Defensive rebound by J. Clarkson
2:06.0,,,30-24,2,I. Zubac makes 2-pt shot at rim (assist by C. Brewer)
1:57.0,,,30-24,,Personal foul by J. Clarkson (drawn by M. Smart)
1:57.0,M. Smart makes free throw 1 of 3,1,31-24,,
1:57.0,M. Smart makes free throw 2 of 3,1,32-24,,
1:57.0,M. Smart makes free throw 3 of 3,1,33-24,,
1:57.0,,,32-24,,L. Nance enters the game for J. Randle
1:57.0,A. Horford enters the game for J. Crowder,,32-24,,
1:49.0,Personal foul by K. Olynyk (drawn by I. Zubac),,33-24,,
1:39.0,,,33-24,,L. Nance misses 2-pt shot from 13 ft
1:37.0,Defensive rebound by J. Brown,,33-24,,
1:25.0,A. Horford misses 3-pt shot from 24 ft,,33-24,,
1:23.0,,,33-24,,Defensive rebound by L. Nance
1:12.0,,,33-26,2,L. Nance makes 2-pt shot from 9 ft (assist by I. Zubac)
0:55.0,K. Olynyk makes 2-pt shot from 13 ft (assist by M. Smart),2,35-26,,
0:41.0,,,35-26,,D. Russell misses 3-pt shot from 25 ft
0:40.0,,,35-26,,Offensive rebound by D. Russell
0:36.0,,,35-26,,J. Clarkson misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by Team,,35-26,,
0:25.0,M. Smart misses 3-pt shot from 25 ft,,35-26,,
0:24.0,,,35-26,,Defensive rebound by C. Brewer
0:04.0,,,35-26,,Turnover by D. Russell (bad pass)
0:01.0,M. Smart misses 2-pt shot from 8 ft,,35-26,,
0:00.0,Offensive rebound by Team,,35-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,35-26,,Personal foul by C. Brewer (drawn by J. Young)
11:39.0,K. Olynyk makes 2-pt shot from 1 ft (assist by A. Horford),2,37-26,,
11:18.0,,,37-26,,Turnover by J. Clarkson (bad pass; steal by M. Smart)
11:16.0,Shooting foul by T. Ennis (drawn by M. Smart),,37-26,,
11:16.0,M. Smart makes free throw 1 of 2,1,38-26,,
11:16.0,M. Smart makes free throw 2 of 2,1,39-26,,
10:53.0,,,39-28,2,T. Ennis makes 2-pt shot from 3 ft
10:43.0,J. Brown makes 2-pt shot at rim (assist by M. Smart),2,41-28,,
10:22.0,,,41-30,2,I. Zubac makes 2-pt shot from 2 ft
10:09.0,K. Olynyk misses 3-pt shot from 25 ft,,41-30,,
10:08.0,,,41-30,,Defensive rebound by J. Clarkson
9:59.0,,,41-30,,I. Zubac misses 2-pt shot from 5 ft
9:57.0,,,41-30,,Offensive rebound by L. Nance
9:57.0,,,41-30,,L. Nance misses 2-pt shot from 2 ft
9:56.0,Defensive rebound by K. Olynyk,,41-30,,
9:56.0,,,41-30,,Violation by T. Ennis (kicked ball)
9:45.0,K. Olynyk misses 2-pt shot from 19 ft,,41-30,,
9:44.0,,,41-30,,Defensive rebound by C. Brewer
9:31.0,,,41-32,2,C. Brewer makes 2-pt shot from 2 ft (assist by T. Ennis)
9:31.0,Boston full timeout,,41-32,,
9:31.0,A. Bradley enters the game for J. Young,,41-32,,
9:08.0,A. Horford makes 2-pt shot from 12 ft,2,43-32,,
8:41.0,,,43-32,,T. Ennis misses 2-pt shot from 3 ft
8:39.0,Defensive rebound by M. Smart,,43-32,,
8:37.0,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart),2,45-32,,
8:37.0,Shooting foul by L. Nance (drawn by K. Olynyk),,45-32,,
8:37.0,K. Olynyk makes free throw 1 of 1,1,46-32,,
8:26.0,,,46-34,2,C. Brewer makes 2-pt shot from 2 ft (assist by T. Ennis)
8:16.0,A. Bradley misses 3-pt shot from 24 ft,,46-34,,
8:15.0,,,46-34,,Defensive rebound by C. Brewer
8:03.0,,,46-36,2,C. Brewer makes 2-pt shot from 15 ft (assist by J. Clarkson)
7:47.0,J. Crowder enters the game for J. Brown,,46-36,,
7:47.0,,,46-36,,B. Ingram enters the game for T. Ennis
7:47.0,A. Johnson enters the game for K. Olynyk,,46-36,,
7:38.0,A. Bradley makes 2-pt shot from 16 ft (assist by A. Horford),2,48-36,,
7:25.0,,,48-36,,J. Clarkson misses 2-pt shot from 21 ft
7:24.0,Defensive rebound by A. Bradley,,48-36,,
7:13.0,A. Horford misses 2-pt shot from 5 ft (block by L. Nance),,48-36,,
7:13.0,Offensive rebound by Team,,48-36,,
7:13.0,,,48-36,,J. Randle enters the game for I. Zubac
7:11.0,Turnover by J. Crowder (bad pass; steal by L. Nance),,48-36,,
7:07.0,,,48-36,,Turnover by L. Nance (lost ball)
7:07.0,I. Thomas enters the game for M. Smart,,48-36,,
6:52.0,A. Horford makes 3-pt shot from 24 ft (assist by A. Bradley),3,51-36,,
6:32.0,,,51-36,,Turnover by B. Ingram (bad pass; steal by A. Johnson)
6:22.0,J. Crowder misses 2-pt shot from 18 ft,,51-36,,
6:19.0,,,51-36,,Defensive rebound by J. Randle
6:11.0,,,51-36,,J. Randle misses 2-pt shot from 5 ft
6:11.0,Defensive rebound by Team,,51-36,,
6:11.0,,,51-36,,LA Lakers full timeout
6:11.0,,,51-36,,N. Young enters the game for J. Clarkson
6:11.0,,,51-36,,D. Russell enters the game for C. Brewer
6:11.0,J. Jerebko enters the game for A. Horford,,51-36,,
5:56.0,A. Bradley misses 3-pt shot from 25 ft,,51-36,,
5:55.0,,,51-36,,Defensive rebound by B. Ingram
5:50.0,,,51-38,2,J. Randle makes 2-pt shot from 3 ft (assist by B. Ingram)
5:50.0,,,51-38,,Shooting foul by A. Bradley (drawn by J. Randle)
5:50.0,,,51-39,1,J. Randle makes free throw 1 of 1
5:39.0,A. Johnson makes 2-pt shot from 3 ft,2,53-39,,
5:39.0,Shooting foul by J. Randle (drawn by A. Johnson),,53-39,,
5:39.0,A. Johnson makes free throw 1 of 1,1,54-39,,
5:39.0,,,53-39,,D. Nwaba enters the game for L. Nance
5:15.0,,,54-39,,J. Randle misses 2-pt shot from 12 ft
5:13.0,Defensive rebound by A. Bradley,,54-39,,
5:03.0,I. Thomas misses 2-pt shot from 6 ft,,54-39,,
5:03.0,Offensive rebound by A. Bradley,,54-39,,
5:03.0,Shooting foul by J. Randle (drawn by A. Bradley),,54-39,,
5:03.0,A. Bradley misses free throw 1 of 2,,54-39,,
5:03.0,Offensive rebound by Team,,54-39,,
5:03.0,A. Bradley misses free throw 2 of 2,,54-39,,
5:01.0,,,54-39,,Defensive rebound by J. Randle
4:54.0,,,54-39,,Offensive foul by B. Ingram
4:54.0,,,54-39,,Turnover by B. Ingram (offensive foul)
4:44.0,Shooting foul by D. Nwaba (drawn by A. Bradley),,54-39,,
4:44.0,A. Bradley misses free throw 1 of 2,,54-39,,
4:44.0,Offensive rebound by Team,,54-39,,
4:44.0,A. Bradley makes free throw 2 of 2,1,55-39,,
4:31.0,,,55-39,,J. Randle misses 2-pt shot from 7 ft
4:27.0,Defensive rebound by J. Jerebko,,55-39,,
4:17.0,Turnover by I. Thomas (bad pass; steal by B. Ingram),,55-39,,
4:11.0,,,55-39,,N. Young misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by J. Crowder,,55-39,,
3:56.0,A. Johnson misses 3-pt shot from 26 ft,,55-39,,
3:54.0,,,55-39,,Defensive rebound by D. Russell
3:39.0,,,55-39,,Turnover by N. Young (lost ball)
3:39.0,,,55-39,,Technical foul by N. Young
3:39.0,I. Thomas makes technical free throw,1,56-39,,
3:24.0,A. Bradley makes 2-pt shot at rim (assist by A. Johnson),2,58-39,,
3:18.0,,,58-39,,Offensive foul by D. Russell
3:18.0,,,58-39,,Turnover by D. Russell (offensive foul)
3:18.0,M. Smart enters the game for A. Bradley,,58-39,,
3:18.0,A. Horford enters the game for A. Johnson,,58-39,,
3:08.0,M. Smart misses 3-pt shot from 24 ft,,58-39,,
3:06.0,,,58-39,,Defensive rebound by J. Randle
2:59.0,,,58-42,3,N. Young makes 3-pt shot from 25 ft (assist by J. Randle)
2:44.0,Shooting foul by D. Nwaba (drawn by I. Thomas),,58-42,,
2:44.0,Official timeout,,58-42,,
2:44.0,Violation by Team (jump ball),,58-42,,
2:44.0,I. Thomas makes free throw 1 of 3,1,59-42,,
2:44.0,I. Thomas makes free throw 2 of 3,1,60-42,,
2:44.0,I. Thomas makes free throw 3 of 3,1,61-42,,
2:29.0,,,61-42,,N. Young misses 2-pt shot from 18 ft
2:25.0,Defensive rebound by J. Crowder,,61-42,,
2:14.0,A. Horford misses 2-pt shot from 6 ft,,61-42,,
2:10.0,,,61-42,,Defensive rebound by B. Ingram
2:03.0,,,61-45,3,N. Young makes 3-pt shot from 26 ft (assist by D. Russell)
1:46.0,A. Horford makes 2-pt shot from 6 ft,2,63-45,,
1:27.0,,,63-45,,N. Young misses 3-pt shot from 28 ft
1:26.0,Defensive rebound by A. Horford,,63-45,,
1:21.0,I. Thomas makes 2-pt shot from 18 ft,2,65-45,,
1:21.0,,,65-45,,LA Lakers full timeout
1:21.0,,,65-45,,J. Clarkson enters the game for B. Ingram
1:21.0,,,65-45,,C. Brewer enters the game for D. Nwaba
1:11.0,,,65-45,,Turnover by D. Russell (bad pass)
0:57.0,J. Jerebko makes 3-pt shot from 24 ft (assist by I. Thomas),3,68-45,,
0:50.0,,,68-45,,C. Brewer misses 2-pt shot from 2 ft
0:47.0,Defensive rebound by A. Horford,,68-45,,
0:40.0,Turnover by M. Smart (bad pass; steal by J. Clarkson),,68-45,,
0:29.0,,,68-45,,J. Clarkson misses 3-pt shot from 28 ft
0:28.0,Defensive rebound by J. Jerebko,,68-45,,
0:05.0,A. Horford makes 2-pt shot at rim (assist by I. Thomas),2,70-45,,
0:01.0,,,70-45,,J. Randle misses 2-pt shot from 1 ft
0:00.0,,,70-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Turnover by A. Johnson (bad pass; steal by N. Young),,70-45,,
11:33.0,,,70-45,,N. Young misses 3-pt shot from 23 ft
11:32.0,Defensive rebound by A. Horford,,70-45,,
11:23.0,I. Thomas makes 2-pt shot at rim (assist by J. Crowder),2,72-45,,
11:12.0,Personal foul by A. Johnson (drawn by D. Russell),,72-45,,
11:05.0,,,72-45,,D. Russell misses 2-pt shot from 20 ft
11:01.0,Defensive rebound by I. Thomas,,72-45,,
10:49.0,Shooting foul by B. Ingram (drawn by J. Crowder),,72-45,,
10:49.0,J. Crowder makes free throw 1 of 2,1,73-45,,
10:49.0,J. Crowder makes free throw 2 of 2,1,74-45,,
10:49.0,,,73-45,,C. Brewer enters the game for B. Ingram
10:31.0,,,74-47,2,J. Randle makes 2-pt shot from 1 ft (assist by D. Russell)
10:10.0,A. Johnson makes 2-pt shot from 6 ft (assist by J. Crowder),2,76-47,,
9:59.0,,,76-49,2,D. Russell makes 2-pt shot from 1 ft
