time,Utah,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Jordan (C. Paul gains possession),,,,Jump ball: R. Gobert vs. D. Jordan (C. Paul gains possession)
11:37.0,,,0-0,,D. Jordan misses 2-pt shot at rim (block by R. Gobert)
11:35.0,Defensive rebound by J. Ingles,,0-0,,
11:16.0,J. Ingles misses 3-pt shot from 27 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by L. Mbah a Moute
11:09.0,,,0-0,,L. Mbah a Moute misses 2-pt shot from 1 ft
11:06.0,Defensive rebound by G. Hayward,,0-0,,
10:51.0,Offensive charge foul by R. Gobert,,0-0,,
10:51.0,Turnover by R. Gobert (offensive foul),,0-0,,
10:39.0,,,0-2,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
10:10.0,Turnover by Team (shot clock),,0-2,,
10:00.0,,,0-4,2,C. Paul makes 2-pt shot from 16 ft
9:44.0,R. Gobert misses 2-pt shot at rim (block by M. Speights),,0-4,,
9:43.0,,,0-4,,Defensive rebound by Team
9:29.0,,,0-7,3,J. Redick makes 3-pt shot from 26 ft (assist by D. Jordan)
9:14.0,Shooting foul by L. Mbah a Moute (drawn by R. Gobert),,0-7,,
9:14.0,R. Gobert misses free throw 1 of 2,,0-7,,
9:14.0,Offensive rebound by Team,,0-7,,
9:14.0,R. Gobert makes free throw 2 of 2,1,1-7,,
8:59.0,,,1-7,,L. Mbah a Moute misses 2-pt shot from 16 ft
8:56.0,Defensive rebound by R. Gobert,,1-7,,
8:46.0,G. Hayward makes 3-pt shot from 26 ft (assist by B. Diaw),3,4-7,,
8:32.0,,,4-7,,J. Redick misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by R. Gobert,,4-7,,
8:21.0,B. Diaw makes 2-pt shot from 2 ft (assist by G. Hill),2,6-7,,
8:12.0,,,6-7,,M. Speights misses 3-pt shot from 26 ft
8:11.0,Defensive rebound by R. Gobert,,6-7,,
7:54.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,8-7,,
7:39.0,,,8-7,,Turnover by J. Redick (traveling)
7:28.0,B. Diaw misses 2-pt shot from 21 ft,,8-7,,
7:26.0,,,8-7,,Defensive rebound by C. Paul
7:18.0,,,8-7,,J. Redick misses 3-pt shot from 23 ft (block by J. Ingles)
7:16.0,Defensive rebound by G. Hill,,8-7,,
7:10.0,G. Hayward makes 3-pt shot from 27 ft (assist by G. Hill),3,11-7,,
7:09.0,,,11-7,,LA Clippers full timeout
6:57.0,,,11-10,3,L. Mbah a Moute makes 3-pt shot from 26 ft (assist by C. Paul)
6:31.0,G. Hayward makes 3-pt shot from 27 ft (assist by B. Diaw),3,14-10,,
6:17.0,,,14-10,,C. Paul misses 2-pt shot from 6 ft
6:15.0,Defensive rebound by J. Ingles,,14-10,,
6:13.0,,,14-10,,Personal take foul by M. Speights (drawn by G. Hayward)
6:13.0,,,14-10,,J. Crawford enters the game for J. Redick
6:13.0,,,14-10,,P. Pierce enters the game for M. Speights
6:13.0,J. Johnson enters the game for B. Diaw,,14-10,,
6:13.0,R. Hood enters the game for J. Ingles,,14-10,,
5:57.0,R. Gobert misses 2-pt shot from 3 ft,,14-10,,
5:56.0,,,14-10,,Defensive rebound by D. Jordan
5:49.0,,,14-13,3,P. Pierce makes 3-pt shot from 25 ft (assist by C. Paul)
5:24.0,R. Hood misses 2-pt shot from 3 ft,,14-13,,
5:23.0,,,14-13,,Defensive rebound by P. Pierce
5:15.0,,,14-15,2,C. Paul makes 2-pt shot from 21 ft
4:59.0,R. Hood misses 3-pt shot from 23 ft,,14-15,,
4:58.0,,,14-15,,Defensive rebound by D. Jordan
4:48.0,,,14-15,,C. Paul misses 2-pt shot from 14 ft
4:45.0,Defensive rebound by J. Johnson,,14-15,,
4:39.0,G. Hill makes 2-pt shot from 15 ft,2,16-15,,
4:39.0,Shooting foul by D. Jordan (drawn by G. Hill),,16-15,,
4:39.0,G. Hill makes free throw 1 of 1,1,17-15,,
4:39.0,,,16-15,,A. Rivers enters the game for L. Mbah a Moute
4:24.0,,,17-15,,J. Crawford misses 2-pt shot from 19 ft
4:23.0,Defensive rebound by G. Hayward,,17-15,,
4:17.0,G. Hayward makes 2-pt shot from 9 ft,2,19-15,,
4:03.0,,,19-15,,Turnover by P. Pierce (bad pass; steal by R. Gobert)
3:52.0,G. Hill misses 2-pt shot from 20 ft,,19-15,,
3:51.0,Offensive rebound by G. Hill,,19-15,,
3:42.0,G. Hayward misses 2-pt shot from 20 ft,,19-15,,
3:41.0,,,19-15,,Defensive rebound by Team
3:41.0,D. Favors enters the game for R. Gobert,,19-15,,
