time,Chicago,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Lopez (T. Harris gains possession),,,,Jump ball: A. Drummond vs. R. Lopez (T. Harris gains possession)
11:44.0,,,0-3,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
11:17.0,J. Butler misses 3-pt shot from 26 ft,,0-3,,
11:17.0,,,0-3,,Defensive rebound by A. Drummond
11:10.0,,,0-3,,R. Jackson misses 2-pt shot from 1 ft
11:10.0,,,0-3,,Offensive rebound by Team
11:10.0,Loose ball foul by T. Gibson (drawn by A. Drummond),,0-3,,
11:01.0,,,0-3,,Offensive foul by M. Morris
11:01.0,,,0-3,,Turnover by M. Morris (offensive foul)
10:49.0,D. Wade misses 2-pt shot from 13 ft,,0-3,,
10:48.0,,,0-3,,Defensive rebound by R. Jackson
10:37.0,,,0-3,,A. Drummond misses 2-pt shot from 6 ft
10:36.0,Defensive rebound by R. Lopez,,0-3,,
10:29.0,Turnover by R. Lopez (bad pass),,0-3,,
10:17.0,,,0-6,3,T. Harris makes 3-pt shot from 27 ft (assist by K. Caldwell-Pope)
9:51.0,T. Gibson misses 2-pt shot from 3 ft (block by A. Drummond),,0-6,,
9:50.0,,,0-6,,Defensive rebound by T. Harris
9:46.0,,,0-6,,Shooting foul by D. Wade (drawn by R. Jackson)
9:46.0,,,0-6,,R. Jackson misses free throw 1 of 3
9:46.0,,,0-6,,Offensive rebound by Team
9:46.0,,,0-7,1,R. Jackson makes free throw 2 of 3
9:46.0,,,0-8,1,R. Jackson makes free throw 3 of 3
9:31.0,R. Rondo makes 3-pt shot from 23 ft (assist by D. Wade),3,3-8,,
9:12.0,,,3-8,,T. Harris misses 2-pt shot from 1 ft (block by R. Lopez)
9:11.0,Defensive rebound by R. Lopez,,3-8,,
9:01.0,D. Wade makes 2-pt shot from 1 ft (assist by J. Butler),2,5-8,,
8:46.0,,,5-8,,R. Jackson misses 2-pt shot from 9 ft
8:44.0,Defensive rebound by J. Butler,,5-8,,
8:28.0,T. Gibson makes 2-pt shot from 6 ft (assist by J. Butler),2,7-8,,
8:10.0,Personal foul by R. Rondo (drawn by A. Drummond),,7-8,,
8:00.0,,,7-8,,T. Harris misses 3-pt shot from 26 ft
8:00.0,,,7-8,,Offensive rebound by A. Drummond
7:56.0,,,7-10,2,A. Drummond makes 2-pt shot at rim
7:34.0,R. Lopez makes 2-pt shot from 17 ft (assist by R. Rondo),2,9-10,,
7:15.0,,,9-12,2,M. Morris makes 2-pt shot from 20 ft (assist by R. Jackson)
7:00.0,,,9-12,,Personal foul by R. Jackson (drawn by R. Rondo)
6:53.0,J. Butler misses 2-pt shot from 12 ft,,9-12,,
6:53.0,Offensive rebound by T. Gibson,,9-12,,
6:42.0,R. Rondo misses 2-pt shot at rim,,9-12,,
6:40.0,,,9-12,,Defensive rebound by R. Jackson
6:37.0,,,9-14,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
6:36.0,Chicago full timeout,,9-14,,
6:14.0,R. Rondo misses 2-pt shot from 6 ft (block by T. Harris),,9-14,,
6:14.0,Offensive rebound by Team,,9-14,,
6:12.0,Turnover by R. Rondo (bad pass; steal by A. Drummond),,9-14,,
6:01.0,,,9-16,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:56.0,,,9-16,,Personal foul by R. Jackson (drawn by R. Rondo)
5:56.0,,,9-16,,I. Smith enters the game for R. Jackson
5:49.0,D. Wade makes 2-pt shot from 15 ft,2,11-16,,
5:30.0,,,11-18,2,A. Drummond makes 2-pt shot at rim (assist by T. Harris)
5:10.0,T. Gibson misses 2-pt shot from 5 ft (block by A. Drummond),,11-18,,
5:08.0,,,11-18,,Defensive rebound by T. Harris
5:02.0,,,11-21,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by I. Smith)
4:48.0,J. Butler misses 2-pt shot at rim,,11-21,,
4:45.0,,,11-21,,Defensive rebound by T. Harris
4:38.0,,,11-21,,K. Caldwell-Pope misses 3-pt shot from 23 ft
4:38.0,Defensive rebound by T. Gibson,,11-21,,
4:23.0,D. Wade makes 2-pt shot from 14 ft,2,13-21,,
4:09.0,,,13-21,,T. Harris misses 2-pt shot from 3 ft
4:08.0,,,13-21,,Offensive rebound by A. Drummond
4:05.0,,,13-23,2,A. Drummond makes 2-pt shot from 1 ft
3:57.0,Shooting foul by I. Smith (drawn by R. Rondo),,13-23,,
3:57.0,R. Rondo makes 2-pt shot from 6 ft,2,15-23,,
3:57.0,R. Rondo makes free throw 1 of 1,1,16-23,,
3:57.0,,,15-23,,J. Leuer enters the game for T. Harris
3:57.0,N. Mirotic enters the game for T. Gibson,,15-23,,
3:57.0,I. Canaan enters the game for D. Wade,,15-23,,
3:36.0,,,16-23,,M. Morris misses 2-pt shot from 14 ft
3:34.0,,,16-23,,Offensive rebound by J. Leuer
3:34.0,Personal foul by I. Canaan (drawn by K. Caldwell-Pope),,16-23,,
3:25.0,,,16-23,,Turnover by K. Caldwell-Pope (bad pass; steal by I. Canaan)
3:10.0,Shooting foul by A. Drummond (drawn by R. Lopez),,16-23,,
3:10.0,R. Lopez misses free throw 1 of 2,,16-23,,
3:10.0,Offensive rebound by Team,,16-23,,
3:10.0,R. Lopez makes free throw 2 of 2,1,17-23,,
3:10.0,,,16-23,,D. Hilliard enters the game for K. Caldwell-Pope
2:50.0,,,17-23,,I. Smith misses 2-pt shot from 21 ft
2:50.0,Defensive rebound by R. Lopez,,17-23,,
2:35.0,R. Rondo makes 2-pt shot at rim,2,19-23,,
2:14.0,,,19-23,,A. Drummond misses 2-pt shot from 3 ft (block by R. Lopez)
2:13.0,Defensive rebound by R. Rondo,,19-23,,
2:01.0,N. Mirotic misses 3-pt shot from 26 ft,,19-23,,
2:01.0,Offensive rebound by Team,,19-23,,
2:01.0,,,19-23,,Personal foul by A. Drummond (drawn by R. Lopez)
2:01.0,,,19-23,,Detroit full timeout
2:01.0,R. Lopez misses free throw 1 of 2,,19-23,,
2:01.0,Offensive rebound by Team,,19-23,,
2:01.0,R. Lopez misses free throw 2 of 2,,19-23,,
2:01.0,,,19-23,,A. Baynes enters the game for A. Drummond
2:00.0,,,19-23,,Defensive rebound by M. Morris
1:37.0,,,19-25,2,D. Hilliard makes 2-pt shot from 9 ft
1:22.0,J. Butler makes 2-pt shot from 16 ft,2,21-25,,
1:06.0,C. Felicio enters the game for R. Lopez,,21-25,,
1:00.0,,,21-28,3,M. Morris makes 3-pt shot from 23 ft (assist by I. Smith)
0:43.0,J. Butler misses 2-pt shot from 6 ft,,21-28,,
0:42.0,,,21-28,,Defensive rebound by I. Smith
0:42.0,,,21-30,2,M. Morris makes 2-pt shot at rim (assist by I. Smith)
0:31.0,Turnover by R. Rondo (lost ball; steal by D. Hilliard),,21-30,,
0:22.0,,,21-32,2,A. Baynes makes 2-pt shot from 17 ft (assist by I. Smith)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by D. Wade (lost ball; steal by A. Baynes),,21-32,,
11:30.0,,,21-34,2,T. Harris makes 2-pt shot from 9 ft (assist by J. Leuer)
11:15.0,D. Wade misses 2-pt shot from 13 ft,,21-34,,
11:15.0,,,21-34,,Defensive rebound by I. Smith
11:09.0,,,21-36,2,J. Leuer makes 2-pt shot at rim (assist by I. Smith)
11:09.0,Chicago full timeout,,21-36,,
10:57.0,D. Wade misses 2-pt shot from 1 ft,,21-36,,
10:56.0,Offensive rebound by C. Felicio,,21-36,,
10:55.0,Turnover by C. Felicio (bad pass; steal by D. Hilliard),,21-36,,
10:39.0,,,21-38,2,J. Leuer makes 2-pt shot from 17 ft (assist by A. Baynes)
10:21.0,N. Mirotic makes 2-pt shot from 8 ft (assist by D. Wade),2,23-38,,
9:55.0,,,23-38,,Turnover by A. Baynes (lost ball; steal by N. Mirotic)
9:50.0,C. Felicio makes 2-pt shot from 1 ft (assist by D. Wade),2,25-38,,
9:50.0,Shooting foul by A. Baynes (drawn by C. Felicio),,25-38,,
9:50.0,C. Felicio misses free throw 1 of 1,,25-38,,
9:49.0,,,25-38,,Defensive rebound by T. Harris
9:32.0,,,25-38,,A. Baynes misses 2-pt shot from 2 ft
9:31.0,,,25-38,,Offensive rebound by Team
9:13.0,,,25-40,2,J. Leuer makes 2-pt shot from 12 ft (assist by T. Harris)
8:58.0,N. Mirotic misses 2-pt shot from 16 ft,,25-40,,
8:58.0,Offensive rebound by C. Felicio,,25-40,,
8:54.0,C. Felicio misses 2-pt shot from 1 ft (block by A. Baynes),,25-40,,
8:53.0,,,25-40,,Defensive rebound by A. Baynes
8:48.0,,,25-40,,D. Hilliard misses 3-pt shot from 26 ft
8:45.0,Defensive rebound by N. Mirotic,,25-40,,
8:39.0,Shooting foul by D. Hilliard (drawn by D. Wade),,25-40,,
8:39.0,D. Wade makes free throw 1 of 2,1,26-40,,
8:39.0,D. Wade makes free throw 2 of 2,1,27-40,,
8:39.0,J. Butler enters the game for J. Grant,,26-40,,
8:39.0,T. Gibson enters the game for N. Mirotic,,26-40,,
8:39.0,,,26-40,,K. Caldwell-Pope enters the game for D. Hilliard
8:39.0,,,26-40,,S. Johnson enters the game for J. Leuer
8:39.0,N. Mirotic enters the game for I. Canaan,,26-40,,
8:26.0,,,27-42,2,T. Harris makes 2-pt shot from 17 ft (assist by I. Smith)
8:07.0,C. Felicio misses 2-pt shot from 19 ft,,27-42,,
8:07.0,,,27-42,,Defensive rebound by K. Caldwell-Pope
8:00.0,,,27-42,,I. Smith misses 2-pt shot from 5 ft (block by J. Butler)
7:59.0,Defensive rebound by J. Butler,,27-42,,
7:58.0,,,27-42,,A. Drummond enters the game for A. Baynes
7:53.0,,,27-42,,Personal foul by I. Smith (drawn by N. Mirotic)
7:44.0,J. Butler misses 3-pt shot from 26 ft,,27-42,,
7:44.0,,,27-42,,Defensive rebound by I. Smith
7:22.0,,,27-42,,S. Johnson misses 2-pt shot from 21 ft
7:22.0,Defensive rebound by T. Gibson,,27-42,,
7:12.0,D. Wade misses 3-pt shot from 25 ft,,27-42,,
7:11.0,Offensive rebound by C. Felicio,,27-42,,
7:02.0,J. Butler makes 2-pt shot from 16 ft (assist by D. Wade),2,29-42,,
6:43.0,,,29-44,2,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
6:25.0,D. Wade misses 2-pt shot from 14 ft,,29-44,,
6:25.0,,,29-44,,Defensive rebound by S. Johnson
6:14.0,,,29-44,,Turnover by S. Johnson (lost ball; steal by T. Gibson)
6:11.0,Shooting foul by K. Caldwell-Pope (drawn by T. Gibson),,29-44,,
6:11.0,T. Gibson makes free throw 1 of 2,1,30-44,,
6:11.0,T. Gibson misses free throw 2 of 2,,30-44,,
6:11.0,,,30-44,,R. Jackson enters the game for I. Smith
6:11.0,R. Rondo enters the game for D. Wade,,30-44,,
6:11.0,R. Lopez enters the game for C. Felicio,,30-44,,
6:10.0,,,30-44,,Defensive rebound by A. Drummond
5:57.0,,,30-46,2,R. Jackson makes 2-pt shot at rim
5:47.0,Offensive foul by T. Gibson,,30-46,,
5:47.0,Turnover by T. Gibson (offensive foul),,30-46,,
5:47.0,Official timeout,,30-46,,
5:47.0,I. Canaan enters the game for N. Mirotic,,30-46,,
5:37.0,,,30-46,,Shooting foul by R. Rondo (drawn by K. Caldwell-Pope)
5:37.0,,,30-47,1,K. Caldwell-Pope makes free throw 1 of 2
5:37.0,,,30-47,,K. Caldwell-Pope misses free throw 2 of 2
5:36.0,Defensive rebound by R. Lopez,,30-47,,
5:23.0,Shooting foul by S. Johnson (drawn by J. Butler),,30-47,,
5:23.0,J. Butler makes free throw 1 of 2,1,31-47,,
5:23.0,J. Butler makes free throw 2 of 2,1,32-47,,
5:11.0,,,32-47,,R. Jackson misses 2-pt shot from 1 ft (block by R. Lopez)
5:11.0,Defensive rebound by Team,,32-47,,
5:11.0,,,32-47,,M. Morris enters the game for S. Johnson
4:54.0,Turnover by J. Butler (lost ball; steal by R. Jackson),,32-47,,
4:38.0,,,32-49,2,T. Harris makes 2-pt shot from 1 ft (assist by R. Jackson)
4:23.0,R. Lopez misses 2-pt shot from 17 ft,,32-49,,
4:22.0,,,32-49,,Defensive rebound by A. Drummond
4:13.0,,,32-49,,R. Jackson misses 2-pt shot from 8 ft
4:13.0,Defensive rebound by I. Canaan,,32-49,,
4:08.0,Shooting foul by M. Morris (drawn by J. Butler),,32-49,,
4:08.0,J. Butler makes free throw 1 of 2,1,33-49,,
4:08.0,J. Butler makes free throw 2 of 2,1,34-49,,
