time,Boston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. K. Towns (Z. LaVine gains possession),,,,Jump ball: A. Johnson vs. K. Towns (Z. LaVine gains possession)
11:42.0,,,0-2,2,K. Towns makes 2-pt shot from 19 ft
11:19.0,A. Horford misses 2-pt shot from 13 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by A. Wiggins
11:08.0,,,0-4,2,K. Towns makes 2-pt shot from 7 ft
10:56.0,I. Thomas misses 3-pt shot from 24 ft,,0-4,,
10:55.0,,,0-4,,Defensive rebound by G. Dieng
10:43.0,,,0-6,2,K. Towns makes 2-pt shot from 1 ft (assist by G. Dieng)
10:28.0,A. Bradley misses 2-pt shot from 10 ft (block by K. Towns),,0-6,,
10:27.0,,,0-6,,Defensive rebound by K. Towns
10:20.0,,,0-6,,Shooting foul by A. Johnson (drawn by A. Wiggins)
10:20.0,,,0-7,1,A. Wiggins makes free throw 1 of 2
10:20.0,,,0-7,,A. Wiggins misses free throw 2 of 2
10:20.0,Defensive rebound by J. Crowder,,0-7,,
10:02.0,Shooting foul by G. Dieng (drawn by A. Bradley),,0-7,,
10:02.0,A. Bradley makes free throw 1 of 2,1,1-7,,
10:02.0,A. Bradley makes free throw 2 of 2,1,2-7,,
9:50.0,,,2-7,,G. Dieng misses 2-pt shot from 3 ft
9:49.0,,,2-7,,Offensive rebound by R. Rubio
9:44.0,,,2-7,,G. Dieng misses 2-pt shot from 2 ft (block by A. Johnson)
9:41.0,Defensive rebound by J. Crowder,,2-7,,
9:33.0,A. Bradley makes 3-pt shot from 23 ft (assist by A. Horford),3,5-7,,
9:17.0,,,5-7,,A. Wiggins misses 2-pt shot from 18 ft
9:15.0,Defensive rebound by Team,,5-7,,
9:05.0,J. Crowder makes 2-pt shot from 19 ft,2,7-7,,
8:47.0,,,7-7,,Z. LaVine misses 3-pt shot from 26 ft
8:46.0,Defensive rebound by A. Bradley,,7-7,,
8:34.0,I. Thomas makes 2-pt shot from 20 ft,2,9-7,,
8:21.0,Personal foul by A. Horford (drawn by G. Dieng),,9-7,,
8:17.0,,,9-7,,K. Towns misses 2-pt shot from 1 ft (block by A. Horford)
8:15.0,,,9-7,,Offensive rebound by K. Towns
8:13.0,,,9-7,,K. Towns misses 2-pt shot from 3 ft
8:12.0,,,9-7,,Offensive rebound by K. Towns
8:12.0,,,9-9,2,K. Towns makes 2-pt shot from 1 ft
7:58.0,J. Crowder makes 2-pt shot from 19 ft,2,11-9,,
7:47.0,Personal foul by J. Crowder (drawn by A. Wiggins),,11-9,,
7:36.0,,,11-9,,A. Wiggins misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by Team,,11-9,,
7:25.0,Turnover by J. Crowder (bad pass; steal by Z. LaVine),,11-9,,
7:20.0,,,11-9,,R. Rubio misses 2-pt shot from 2 ft (block by A. Horford)
7:19.0,Defensive rebound by A. Horford,,11-9,,
7:13.0,A. Johnson makes 2-pt shot from 4 ft (assist by I. Thomas),2,13-9,,
6:52.0,,,13-9,,Turnover by G. Dieng (3 sec)
6:38.0,A. Horford misses 3-pt shot from 25 ft,,13-9,,
6:37.0,,,13-9,,Defensive rebound by G. Dieng
6:33.0,,,13-9,,Shooting foul by I. Thomas (drawn by Z. LaVine)
6:33.0,,,13-10,1,Z. LaVine makes free throw 1 of 2
6:33.0,,,13-11,1,Z. LaVine makes free throw 2 of 2
6:17.0,A. Horford makes 2-pt shot from 2 ft,2,15-11,,
6:06.0,,,15-13,2,K. Towns makes 2-pt shot at rim (assist by Z. LaVine)
6:06.0,,,15-13,,Shooting foul by A. Johnson (drawn by K. Towns)
6:06.0,,,15-13,,K. Towns misses free throw 1 of 1
6:06.0,Defensive rebound by J. Crowder,,15-13,,
5:51.0,J. Crowder misses 3-pt shot from 22 ft,,15-13,,
5:49.0,Offensive rebound by A. Horford,,15-13,,
5:49.0,A. Horford misses 2-pt shot from 1 ft,,15-13,,
5:48.0,,,15-13,,Defensive rebound by A. Wiggins
5:39.0,,,15-13,,R. Rubio misses 2-pt shot from 13 ft
5:38.0,,,15-13,,Offensive rebound by K. Towns
5:36.0,,,15-13,,K. Towns misses 2-pt shot from 1 ft
5:35.0,Defensive rebound by A. Johnson,,15-13,,
5:21.0,A. Horford makes 3-pt shot from 23 ft (assist by I. Thomas),3,18-13,,
4:56.0,,,18-13,,Z. LaVine misses 2-pt shot at rim
