time,Miami,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. H. Whiteside (J. Winslow gains possession),,,,Jump ball: J. Valanciunas vs. H. Whiteside (J. Winslow gains possession)
11:40.0,H. Whiteside makes 2-pt shot from 3 ft,2,2-0,,
11:16.0,,,2-2,2,D. DeRozan makes 2-pt shot from 15 ft
11:02.0,H. Whiteside misses 2-pt shot from 6 ft,,2-2,,
11:02.0,,,2-2,,Defensive rebound by P. Siakam
10:54.0,,,2-2,,Turnover by D. DeRozan (bad pass)
10:45.0,G. Dragic misses 3-pt shot from 25 ft,,2-2,,
10:44.0,Offensive rebound by D. Waiters,,2-2,,
10:35.0,D. Waiters makes 2-pt shot from 14 ft,2,4-2,,
10:15.0,,,4-2,,Turnover by P. Siakam (3 sec)
9:58.0,D. Waiters misses 2-pt shot from 4 ft,,4-2,,
9:57.0,Offensive rebound by H. Whiteside,,4-2,,
9:56.0,H. Whiteside misses 2-pt shot from 2 ft,,4-2,,
9:55.0,,,4-2,,Defensive rebound by J. Valanciunas
9:47.0,,,4-2,,Shooting foul by H. Whiteside (drawn by J. Valanciunas)
9:47.0,,,4-3,1,J. Valanciunas makes free throw 1 of 2
9:47.0,,,4-4,1,J. Valanciunas makes free throw 2 of 2
9:31.0,H. Whiteside makes 2-pt shot at rim,2,6-4,,
9:31.0,Shooting foul by J. Valanciunas (drawn by H. Whiteside),,6-4,,
9:31.0,H. Whiteside misses free throw 1 of 1,,6-4,,
9:30.0,,,6-4,,Defensive rebound by J. Valanciunas
9:11.0,,,6-4,,P. Siakam misses 2-pt shot from 21 ft
9:11.0,Defensive rebound by H. Whiteside,,6-4,,
8:59.0,L. Babbitt makes 3-pt shot from 24 ft (assist by G. Dragic),3,9-4,,
8:36.0,,,9-6,2,P. Siakam makes 2-pt shot from 5 ft
8:13.0,J. Winslow misses 2-pt shot from 5 ft,,9-6,,
8:12.0,Offensive rebound by J. Winslow,,9-6,,
8:04.0,G. Dragic makes 3-pt shot from 25 ft (assist by H. Whiteside),3,12-6,,
7:42.0,,,12-6,,D. Carroll misses 2-pt shot from 18 ft
7:42.0,Defensive rebound by G. Dragic,,12-6,,
7:30.0,L. Babbitt misses 3-pt shot from 24 ft,,12-6,,
7:28.0,,,12-6,,Defensive rebound by J. Valanciunas
7:22.0,,,12-6,,K. Lowry misses 2-pt shot from 4 ft
7:20.0,,,12-6,,Offensive rebound by K. Lowry
7:13.0,,,12-6,,K. Lowry misses 3-pt shot from 26 ft
7:12.0,Defensive rebound by H. Whiteside,,12-6,,
7:07.0,Turnover by D. Waiters (palming),,12-6,,
6:44.0,,,12-6,,D. DeRozan misses 2-pt shot from 20 ft
6:43.0,,,12-6,,Offensive rebound by P. Siakam
6:42.0,,,12-8,2,P. Siakam makes 2-pt shot from 2 ft
6:24.0,J. Winslow misses 2-pt shot from 4 ft,,12-8,,
6:23.0,,,12-8,,Defensive rebound by J. Valanciunas
6:13.0,,,12-8,,D. DeRozan misses 2-pt shot from 2 ft
6:13.0,Defensive rebound by H. Whiteside,,12-8,,
6:02.0,G. Dragic makes 3-pt shot from 25 ft (assist by D. Waiters),3,15-8,,
5:54.0,,,15-8,,Toronto full timeout
5:54.0,T. Johnson enters the game for D. Waiters,,15-8,,
5:35.0,,,15-8,,P. Siakam misses 2-pt shot from 6 ft (block by H. Whiteside)
5:34.0,Defensive rebound by H. Whiteside,,15-8,,
5:24.0,L. Babbitt misses 3-pt shot from 25 ft,,15-8,,
5:23.0,,,15-8,,Defensive rebound by J. Valanciunas
5:17.0,,,15-8,,Turnover by D. DeRozan (bad pass; steal by T. Johnson)
4:59.0,H. Whiteside makes 2-pt shot from 1 ft,2,17-8,,
4:44.0,,,17-10,2,D. DeRozan makes 2-pt shot from 3 ft
4:29.0,T. Johnson makes 2-pt shot from 21 ft (assist by J. Winslow),2,19-10,,
4:11.0,,,19-10,,Turnover by D. DeRozan (bad pass; steal by J. Winslow)
4:05.0,G. Dragic makes 2-pt shot from 2 ft (assist by T. Johnson),2,21-10,,
3:51.0,,,21-10,,K. Lowry misses 3-pt shot from 26 ft
3:51.0,,,21-10,,Offensive rebound by J. Valanciunas
3:50.0,,,21-10,,Shooting foul by G. Dragic (drawn by J. Valanciunas)
3:50.0,,,21-10,,J. Valanciunas misses free throw 1 of 2
3:50.0,,,21-10,,Offensive rebound by Team
3:50.0,,,21-11,1,J. Valanciunas makes free throw 2 of 2
3:50.0,,,21-10,,P. Patterson enters the game for P. Siakam
3:50.0,,,21-10,,T. Ross enters the game for D. Carroll
3:50.0,J. Richardson enters the game for L. Babbitt,,21-10,,
3:36.0,Turnover by J. Richardson (traveling),,21-11,,
3:23.0,,,21-11,,Turnover by D. DeRozan (bad pass; steal by H. Whiteside)
3:19.0,,,21-11,,J. Poeltl enters the game for J. Valanciunas
3:08.0,Shooting foul by T. Ross (drawn by J. Winslow),,21-11,,
3:08.0,J. Winslow misses free throw 1 of 2,,21-11,,
3:08.0,Offensive rebound by Team,,21-11,,
3:08.0,J. Winslow makes free throw 2 of 2,1,22-11,,
2:46.0,,,22-13,2,D. DeRozan makes 2-pt shot from 19 ft
2:38.0,Miami full timeout,,22-13,,
2:38.0,,,22-13,,C. Joseph enters the game for K. Lowry
2:29.0,J. Richardson misses 3-pt shot from 25 ft,,22-13,,
2:29.0,Offensive rebound by G. Dragic,,22-13,,
2:23.0,T. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic),3,25-13,,
2:14.0,Personal foul by J. Richardson (drawn by P. Patterson),,25-13,,
2:14.0,J. Johnson enters the game for G. Dragic,,25-13,,
2:02.0,,,25-15,2,D. DeRozan makes 2-pt shot from 12 ft
1:39.0,H. Whiteside misses 2-pt shot from 8 ft,,25-15,,
1:39.0,,,25-15,,Defensive rebound by P. Patterson
1:29.0,,,25-18,3,T. Ross makes 3-pt shot from 23 ft (assist by D. DeRozan)
1:12.0,J. Richardson misses 2-pt shot from 2 ft,,25-18,,
1:12.0,,,25-18,,Defensive rebound by J. Poeltl
1:04.0,,,25-20,2,T. Ross makes 2-pt shot from 18 ft
0:51.0,Shooting foul by D. DeRozan (drawn by T. Johnson),,25-20,,
0:51.0,T. Johnson makes free throw 1 of 2,1,26-20,,
0:51.0,T. Johnson makes free throw 2 of 2,1,27-20,,
0:51.0,W. Reed enters the game for H. Whiteside,,26-20,,
0:51.0,D. Waiters enters the game for J. Winslow,,26-20,,
0:32.0,,,27-22,2,D. DeRozan makes 2-pt shot from 12 ft
0:12.0,Turnover by T. Johnson (bad pass; steal by J. Poeltl),,27-22,,
0:06.0,,,27-25,3,T. Ross makes 3-pt shot from 23 ft (assist by C. Joseph)
0:00.0,J. Johnson misses 3-pt shot from 27 ft,,27-25,,
0:00.0,Offensive rebound by Team,,27-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,27-25,,T. Ross misses 2-pt shot from 17 ft
11:46.0,,,27-25,,Offensive rebound by K. Lowry
11:37.0,,,27-25,,Turnover by P. Patterson (lost ball)
11:18.0,Turnover by J. Johnson (bad pass; steal by P. Patterson),,27-25,,
11:08.0,,,27-25,,C. Joseph misses 3-pt shot from 26 ft
11:07.0,,,27-25,,Offensive rebound by K. Lowry
11:03.0,,,27-25,,Turnover by K. Lowry (bad pass; steal by J. Richardson)
10:46.0,T. Johnson makes 3-pt shot from 25 ft (assist by D. Waiters),3,30-25,,
10:31.0,,,30-27,2,T. Ross makes 2-pt shot from 20 ft
10:23.0,Offensive foul by J. Richardson,,30-27,,
10:23.0,Turnover by J. Richardson (offensive foul),,30-27,,
10:23.0,R. McGruder enters the game for J. Richardson,,30-27,,
10:16.0,,,30-27,,Offensive foul by J. Poeltl
10:16.0,,,30-27,,Turnover by J. Poeltl (offensive foul)
10:03.0,D. Waiters misses 2-pt shot from 2 ft,,30-27,,
10:03.0,,,30-27,,Defensive rebound by C. Joseph
9:50.0,,,30-29,2,J. Poeltl makes 2-pt shot from 1 ft (assist by P. Patterson)
9:34.0,J. Johnson makes 2-pt shot from 1 ft,2,32-29,,
9:22.0,Personal foul by T. Johnson (drawn by P. Patterson),,32-29,,
9:17.0,,,32-31,2,T. Ross makes 2-pt shot from 2 ft
9:17.0,,,32-31,,Shooting foul by D. Waiters (drawn by T. Ross)
9:17.0,,,32-32,1,T. Ross makes free throw 1 of 1
8:56.0,R. McGruder misses 3-pt shot from 23 ft,,32-32,,
8:55.0,,,32-32,,Defensive rebound by C. Joseph
