time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (J. Wall gains possession),,,,Jump ball: M. Gortat vs. D. Howard (J. Wall gains possession)
11:42.0,M. Morris misses 2-pt shot from 13 ft,,0-0,,
11:40.0,Offensive rebound by M. Gortat,,0-0,,
11:34.0,J. Wall misses 3-pt shot from 25 ft,,0-0,,
11:31.0,Offensive rebound by M. Morris,,0-0,,
11:31.0,M. Morris misses 2-pt shot at rim,,0-0,,
11:30.0,,,0-0,,Defensive rebound by D. Howard
11:17.0,,,0-0,,Turnover by D. Howard (bad pass; steal by M. Gortat)
11:13.0,B. Beal makes 2-pt shot from 1 ft,2,2-0,,
10:51.0,,,2-0,,K. Bazemore misses 2-pt shot from 16 ft
10:49.0,,,2-0,,Offensive rebound by D. Howard
10:49.0,,,2-2,2,D. Howard makes 2-pt shot at rim
10:33.0,O. Porter misses 2-pt shot from 20 ft,,2-2,,
10:30.0,,,2-2,,Defensive rebound by D. Howard
10:19.0,,,2-4,2,K. Korver makes 2-pt shot from 19 ft (assist by D. Howard)
10:03.0,M. Morris makes 2-pt shot from 12 ft (assist by B. Beal),2,4-4,,
9:44.0,,,4-6,2,D. Schroder makes 2-pt shot from 14 ft
9:29.0,B. Beal misses 2-pt shot from 18 ft,,4-6,,
9:26.0,,,4-6,,Defensive rebound by P. Millsap
9:20.0,,,4-6,,P. Millsap misses 2-pt shot from 8 ft
9:17.0,Defensive rebound by M. Morris,,4-6,,
9:06.0,M. Morris makes 2-pt shot from 13 ft (assist by J. Wall),2,6-6,,
8:53.0,,,6-6,,D. Schroder misses 2-pt shot from 16 ft
8:52.0,,,6-6,,Offensive rebound by D. Howard
8:49.0,,,6-6,,K. Bazemore misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by M. Gortat,,6-6,,
8:33.0,M. Morris makes 2-pt shot from 20 ft (assist by O. Porter),2,8-6,,
8:24.0,,,8-6,,Shooting foul by M. Morris (drawn by P. Millsap)
8:24.0,,,8-7,1,P. Millsap makes free throw 1 of 2
8:24.0,,,8-8,1,P. Millsap makes free throw 2 of 2
8:11.0,Offensive foul by M. Gortat,,8-8,,
8:11.0,Turnover by M. Gortat (offensive foul),,8-8,,
7:59.0,,,8-8,,D. Schroder misses 2-pt shot from 1 ft
7:56.0,,,8-8,,Offensive rebound by D. Howard
7:56.0,,,8-8,,D. Howard misses 2-pt shot from 6 ft
7:54.0,Defensive rebound by M. Gortat,,8-8,,
7:50.0,J. Wall misses 2-pt shot from 1 ft,,8-8,,
7:49.0,,,8-8,,Defensive rebound by D. Howard
7:41.0,,,8-8,,Turnover by K. Bazemore (bad pass; steal by M. Morris)
7:34.0,Turnover by B. Beal (lost ball; steal by K. Bazemore),,8-8,,
7:30.0,,,8-8,,Turnover by K. Korver (lost ball; steal by J. Wall)
7:30.0,,,8-8,,Personal foul by K. Korver (drawn by J. Wall)
7:21.0,M. Gortat misses 2-pt shot from 2 ft,,8-8,,
7:19.0,Offensive rebound by J. Wall,,8-8,,
7:19.0,J. Wall misses 2-pt shot from 1 ft,,8-8,,
7:18.0,,,8-8,,Defensive rebound by D. Howard
7:09.0,,,8-10,2,P. Millsap makes 2-pt shot from 13 ft
7:09.0,,,8-10,,Shooting foul by O. Porter (drawn by P. Millsap)
7:09.0,,,8-11,1,P. Millsap makes free throw 1 of 1
7:09.0,,,8-10,,M. Muscala enters the game for D. Howard
6:53.0,B. Beal misses 2-pt shot from 13 ft,,8-11,,
6:51.0,,,8-11,,Defensive rebound by P. Millsap
6:32.0,,,8-11,,P. Millsap misses 2-pt shot from 7 ft (block by J. Wall)
6:29.0,,,8-11,,Offensive rebound by P. Millsap
6:26.0,,,8-14,3,D. Schroder makes 3-pt shot from 22 ft (assist by P. Millsap)
6:21.0,Washington full timeout,,8-14,,
6:21.0,,,8-14,,D. Howard enters the game for P. Millsap
6:10.0,M. Gortat makes 2-pt shot from 5 ft (assist by J. Wall),2,10-14,,
5:52.0,,,10-14,,D. Schroder misses 2-pt shot from 7 ft
5:51.0,Defensive rebound by M. Morris,,10-14,,
5:43.0,J. Wall misses 2-pt shot from 12 ft,,10-14,,
5:42.0,,,10-14,,Defensive rebound by K. Korver
5:39.0,Personal foul by M. Morris (drawn by M. Muscala),,10-14,,
5:39.0,A. Nicholson enters the game for M. Morris,,10-14,,
5:33.0,,,10-14,,Turnover by K. Bazemore (bad pass; steal by A. Nicholson)
5:22.0,O. Porter makes 2-pt shot from 3 ft (assist by B. Beal),2,12-14,,
5:12.0,,,12-14,,D. Schroder misses 2-pt shot from 7 ft (block by M. Gortat)
5:10.0,Defensive rebound by M. Gortat,,12-14,,
5:06.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,14-14,,
5:06.0,,,14-14,,Atlanta full timeout
5:06.0,,,14-14,,T. Hardaway enters the game for K. Korver
4:55.0,,,14-14,,Shooting foul by B. Beal (drawn by K. Bazemore)
4:55.0,,,14-15,1,K. Bazemore makes free throw 1 of 2
4:55.0,,,14-16,1,K. Bazemore makes free throw 2 of 2
4:40.0,B. Beal misses 3-pt shot from 24 ft,,14-16,,
4:38.0,,,14-16,,Defensive rebound by D. Schroder
4:27.0,,,14-16,,T. Hardaway misses 2-pt shot from 15 ft
4:25.0,,,14-16,,Offensive rebound by D. Howard
4:24.0,,,14-18,2,D. Howard makes 2-pt shot from 8 ft
4:09.0,J. Wall misses 2-pt shot from 16 ft,,14-18,,
4:07.0,,,14-18,,Defensive rebound by K. Bazemore
4:00.0,,,14-18,,M. Muscala misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by O. Porter,,14-18,,
3:52.0,Turnover by M. Gortat (offensive goaltending),,14-18,,
3:52.0,,,14-18,,T. Sefolosha enters the game for K. Bazemore
3:52.0,,,14-18,,M. Delaney enters the game for D. Schroder
3:52.0,T. Burke enters the game for O. Porter,,14-18,,
3:52.0,K. Oubre enters the game for J. Wall,,14-18,,
3:38.0,,,14-18,,D. Howard misses 2-pt shot from 13 ft
3:37.0,,,14-18,,Offensive rebound by M. Muscala
3:37.0,,,14-18,,Shooting foul by A. Nicholson (drawn by M. Muscala)
3:37.0,,,14-19,1,M. Muscala makes free throw 1 of 2
3:37.0,,,14-20,1,M. Muscala makes free throw 2 of 2
3:26.0,B. Beal misses 2-pt shot from 20 ft,,14-20,,
3:25.0,,,14-20,,Defensive rebound by D. Howard
3:12.0,,,14-23,3,T. Hardaway makes 3-pt shot from 23 ft (assist by T. Sefolosha)
2:53.0,A. Nicholson makes 3-pt shot from 25 ft (assist by T. Burke),3,17-23,,
2:32.0,,,17-23,,T. Hardaway misses 2-pt shot from 20 ft
2:31.0,Defensive rebound by A. Nicholson,,17-23,,
2:22.0,,,17-23,,P. Millsap enters the game for D. Howard
2:19.0,A. Nicholson makes 2-pt shot from 3 ft (assist by K. Oubre),2,19-23,,
2:06.0,,,19-23,,Turnover by M. Delaney (bad pass; steal by T. Burke)
2:02.0,B. Beal makes 2-pt shot at rim (assist by M. Gortat),2,21-23,,
1:46.0,,,21-25,2,M. Delaney makes 2-pt shot from 20 ft (assist by T. Sefolosha)
1:25.0,M. Gortat makes 2-pt shot from 11 ft,2,23-25,,
1:06.0,,,23-27,2,P. Millsap makes 2-pt shot from 12 ft
0:51.0,T. Burke makes 2-pt shot from 19 ft,2,25-27,,
0:38.0,,,25-27,,T. Sefolosha misses 2-pt shot from 1 ft (block by A. Nicholson)
0:36.0,,,25-27,,Offensive rebound by T. Sefolosha
0:27.0,,,25-29,2,P. Millsap makes 2-pt shot from 14 ft
0:04.0,B. Beal makes 2-pt shot from 1 ft,2,27-29,,
0:00.0,,,27-29,,M. Delaney misses 2-pt shot from 12 ft
0:00.0,,,27-29,,Offensive rebound by Team
