time,Dallas,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Mejri vs. C. Zeller,,,,Jump ball: S. Mejri vs. C. Zeller
11:52.0,,,0-2,2,N. Batum makes 2-pt shot from 15 ft
11:22.0,D. Williams makes 2-pt shot from 18 ft,2,2-2,,
10:58.0,,,2-2,,M. Kidd-Gilchrist misses 2-pt shot from 14 ft
10:56.0,Defensive rebound by S. Mejri,,2-2,,
10:42.0,D. Williams misses 3-pt shot from 25 ft,,2-2,,
10:41.0,Offensive rebound by S. Mejri,,2-2,,
10:29.0,W. Matthews misses 3-pt shot from 24 ft,,2-2,,
10:26.0,,,2-2,,Defensive rebound by C. Zeller
10:18.0,,,2-4,2,N. Batum makes 2-pt shot from 18 ft (assist by K. Walker)
10:01.0,H. Barnes misses 2-pt shot from 17 ft,,2-4,,
10:01.0,,,2-4,,Defensive rebound by Team
10:01.0,Personal foul by S. Mejri (drawn by C. Zeller),,2-4,,
9:45.0,,,2-6,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
9:26.0,Turnover by D. Finney-Smith (bad pass; steal by K. Walker),,2-6,,
9:25.0,Personal foul by D. Williams (drawn by K. Walker),,2-6,,
9:07.0,,,2-6,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
9:05.0,Defensive rebound by D. Finney-Smith,,2-6,,
8:59.0,,,2-6,,Personal foul by K. Walker (drawn by D. Williams)
8:41.0,W. Matthews misses 3-pt shot from 27 ft,,2-6,,
8:40.0,,,2-6,,Defensive rebound by Team
8:27.0,,,2-9,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
8:15.0,,,2-9,,Personal foul by C. Zeller (drawn by W. Matthews)
8:04.0,S. Mejri misses 2-pt shot from 20 ft,,2-9,,
8:03.0,,,2-9,,Defensive rebound by N. Batum
7:54.0,,,2-9,,Shooting foul by W. Matthews (drawn by F. Kaminsky)
7:54.0,,,2-9,,F. Kaminsky misses free throw 1 of 2
7:54.0,,,2-9,,Offensive rebound by Team
7:54.0,,,2-10,1,F. Kaminsky makes free throw 2 of 2
7:54.0,D. Harris enters the game for W. Matthews,,2-9,,
7:43.0,D. Finney-Smith misses 3-pt shot from 23 ft,,2-10,,
7:42.0,,,2-10,,Defensive rebound by N. Batum
7:30.0,,,2-10,,K. Walker misses 3-pt shot from 23 ft
7:29.0,Defensive rebound by H. Barnes,,2-10,,
7:14.0,D. Williams makes 2-pt shot from 17 ft,2,4-10,,
7:01.0,Personal foul by D. Finney-Smith (drawn by F. Kaminsky),,4-10,,
6:53.0,,,4-12,2,K. Walker makes 2-pt shot from 2 ft
6:30.0,S. Mejri misses 2-pt shot from 3 ft (block by C. Zeller),,4-12,,
6:30.0,Offensive rebound by S. Mejri,,4-12,,
6:30.0,Shooting foul by M. Kidd-Gilchrist (drawn by S. Mejri),,4-12,,
6:30.0,S. Mejri misses free throw 1 of 2,,4-12,,
6:30.0,Offensive rebound by Team,,4-12,,
6:30.0,S. Mejri makes free throw 2 of 2,1,5-12,,
6:16.0,,,5-12,,K. Walker misses 3-pt shot from 25 ft
6:14.0,,,5-12,,Offensive rebound by M. Kidd-Gilchrist
6:06.0,,,5-12,,Shooting foul by D. Harris (drawn by N. Batum)
6:06.0,,,5-12,,N. Batum misses free throw 1 of 2
6:06.0,,,5-12,,Offensive rebound by Team
6:06.0,,,5-13,1,N. Batum makes free throw 2 of 2
6:06.0,D. Powell enters the game for H. Barnes,,5-12,,
6:06.0,W. Matthews enters the game for D. Finney-Smith,,5-12,,
5:50.0,D. Williams misses 3-pt shot from 26 ft,,5-13,,
5:49.0,,,5-13,,Defensive rebound by N. Batum
5:34.0,,,5-13,,N. Batum misses 2-pt shot from 17 ft
5:33.0,Defensive rebound by D. Powell,,5-13,,
5:17.0,D. Harris makes 3-pt shot from 25 ft (assist by W. Matthews),3,8-13,,
5:07.0,,,8-13,,Charlotte full timeout
5:07.0,J. Gibson enters the game for D. Williams,,8-13,,
5:07.0,,,8-13,,M. Belinelli enters the game for M. Kidd-Gilchrist
4:48.0,,,8-13,,K. Walker misses 2-pt shot from 16 ft
4:47.0,Defensive rebound by S. Mejri,,8-13,,
4:28.0,D. Powell makes 2-pt shot at rim (assist by J. Gibson),2,10-13,,
4:13.0,,,10-13,,M. Belinelli misses 3-pt shot from 26 ft
4:13.0,Defensive rebound by Team,,10-13,,
3:49.0,Turnover by Team (shot clock),,10-13,,
3:49.0,,,10-13,,R. Sessions enters the game for K. Walker
3:48.0,,,10-13,,R. Hibbert enters the game for C. Zeller
3:38.0,,,10-13,,Shooting foul by D. Harris (drawn by M. Belinelli)
3:38.0,,,10-14,1,M. Belinelli makes free throw 1 of 2
3:38.0,,,10-15,1,M. Belinelli makes free throw 2 of 2
3:38.0,H. Barnes enters the game for S. Mejri,,10-14,,
3:38.0,J. Anderson enters the game for D. Harris,,10-14,,
3:22.0,J. Gibson misses 2-pt shot from 19 ft,,10-15,,
3:21.0,,,10-15,,Defensive rebound by N. Batum
3:02.0,,,10-15,,F. Kaminsky misses 2-pt shot from 14 ft
3:01.0,Defensive rebound by W. Matthews,,10-15,,
2:50.0,H. Barnes misses 2-pt shot from 6 ft,,10-15,,
2:49.0,,,10-15,,Defensive rebound by F. Kaminsky
2:34.0,,,10-17,2,R. Hibbert makes 2-pt shot from 7 ft
2:24.0,Turnover by J. Gibson (bad pass),,10-17,,
2:24.0,Dallas full timeout,,10-17,,
2:24.0,,,10-17,,S. Hawes enters the game for F. Kaminsky
2:16.0,,,10-17,,N. Batum misses 2-pt shot from 18 ft
2:15.0,Defensive rebound by D. Powell,,10-17,,
1:57.0,H. Barnes misses 2-pt shot from 14 ft,,10-17,,
1:56.0,,,10-17,,Defensive rebound by R. Hibbert
1:44.0,,,10-19,2,R. Sessions makes 2-pt shot from 18 ft (assist by R. Hibbert)
1:27.0,W. Matthews makes 2-pt shot from 2 ft,2,12-19,,
1:13.0,,,12-21,2,R. Hibbert makes 2-pt shot from 1 ft (assist by N. Batum)
1:02.0,J. Gibson misses 2-pt shot from 19 ft,,12-21,,
1:01.0,,,12-21,,Defensive rebound by N. Batum
0:53.0,,,12-21,,Turnover by N. Batum (bad pass)
0:31.0,W. Matthews makes 2-pt shot from 3 ft,2,14-21,,
0:10.0,,,14-23,2,R. Hibbert makes 2-pt shot from 6 ft (assist by M. Belinelli)
0:05.0,,,14-23,,Personal foul by R. Sessions (drawn by J. Gibson)
0:00.0,J. Gibson misses 2-pt shot from 2 ft,,14-23,,
0:00.0,Offensive rebound by Team,,14-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,H. Barnes misses 2-pt shot from 17 ft,,14-23,,
11:46.0,Offensive rebound by D. Powell,,14-23,,
11:41.0,J. Gibson misses 2-pt shot from 17 ft,,14-23,,
11:40.0,,,14-23,,Defensive rebound by J. Lamb
11:28.0,,,14-25,2,R. Sessions makes 2-pt shot from 7 ft
11:10.0,H. Barnes misses 2-pt shot from 21 ft,,14-25,,
11:10.0,Offensive rebound by Team,,14-25,,
11:10.0,,,14-25,,Loose ball foul by R. Hibbert (drawn by D. Powell)
11:10.0,D. Williams enters the game for J. Gibson,,14-25,,
11:04.0,J. Anderson misses 2-pt shot from 1 ft,,14-25,,
11:02.0,,,14-25,,Defensive rebound by S. Hawes
10:48.0,,,14-25,,Shooting foul by D. Powell (drawn by R. Hibbert)
10:48.0,,,14-25,,R. Hibbert misses free throw 1 of 2
10:48.0,,,14-25,,Offensive rebound by Team
10:48.0,,,14-25,,R. Hibbert misses free throw 2 of 2
10:45.0,Defensive rebound by D. Powell,,14-25,,
10:33.0,D. Harris misses 3-pt shot from 25 ft,,14-25,,
10:32.0,,,14-25,,Defensive rebound by J. Lamb
10:22.0,,,14-25,,J. Lamb misses 2-pt shot from 11 ft
10:21.0,Defensive rebound by J. Anderson,,14-25,,
10:14.0,D. Williams makes 2-pt shot from 14 ft,2,16-25,,
9:59.0,,,16-25,,R. Hibbert misses 2-pt shot from 7 ft
9:58.0,Defensive rebound by D. Powell,,16-25,,
9:54.0,J. Anderson makes 2-pt shot from 1 ft (assist by D. Harris),2,18-25,,
9:39.0,,,18-25,,Offensive charge foul by J. Lamb
9:39.0,,,18-25,,Turnover by J. Lamb (offensive foul)
9:29.0,H. Barnes makes 2-pt shot from 18 ft (assist by D. Williams),2,20-25,,
9:13.0,,,20-27,2,S. Hawes makes 2-pt shot from 15 ft (assist by R. Sessions)
8:59.0,H. Barnes makes 2-pt shot from 18 ft (assist by D. Williams),2,22-27,,
8:45.0,Personal foul by J. Anderson (drawn by M. Belinelli),,22-27,,
8:45.0,Official timeout,,22-27,,
8:45.0,,,22-27,,K. Walker enters the game for R. Sessions
8:37.0,,,22-27,,Shooting foul by D. Powell (drawn by R. Hibbert)
8:37.0,,,22-28,1,R. Hibbert makes free throw 1 of 2
8:37.0,,,22-28,,R. Hibbert misses free throw 2 of 2
8:35.0,Defensive rebound by D. Powell,,22-28,,
8:23.0,D. Powell misses 2-pt shot from 1 ft,,22-28,,
8:22.0,Offensive rebound by H. Barnes,,22-28,,
8:14.0,H. Barnes misses 2-pt shot from 1 ft (block by S. Hawes),,22-28,,
8:12.0,,,22-28,,Defensive rebound by J. Lamb
8:01.0,,,22-28,,J. Lamb misses 2-pt shot from 14 ft
8:00.0,Defensive rebound by H. Barnes,,22-28,,
7:51.0,Turnover by J. Anderson (bad pass; steal by S. Hawes),,22-28,,
7:46.0,,,22-28,,Turnover by K. Walker (bad pass; steal by D. Powell)
7:40.0,J. Anderson misses 2-pt shot from 2 ft,,22-28,,
7:38.0,,,22-28,,Defensive rebound by S. Hawes
7:35.0,,,22-28,,M. Kidd-Gilchrist enters the game for M. Belinelli
7:35.0,J. Gibson enters the game for D. Harris,,22-28,,
7:35.0,W. Matthews enters the game for H. Barnes,,22-28,,
7:20.0,,,22-30,2,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by J. Lamb)
7:02.0,D. Williams makes 3-pt shot from 24 ft (assist by J. Gibson),3,25-30,,
6:42.0,,,25-30,,Shooting foul by J. Anderson (drawn by M. Kidd-Gilchrist)
6:42.0,,,25-31,1,M. Kidd-Gilchrist makes free throw 1 of 2
6:42.0,,,25-32,1,M. Kidd-Gilchrist makes free throw 2 of 2
6:27.0,Shooting foul by S. Hawes (drawn by J. Anderson),,25-32,,
6:27.0,J. Anderson makes free throw 1 of 2,1,26-32,,
6:27.0,J. Anderson makes free throw 2 of 2,1,27-32,,
6:20.0,,,27-32,,Turnover by K. Walker (lost ball; steal by J. Gibson)
6:16.0,J. Gibson misses 2-pt shot from 3 ft (block by M. Kidd-Gilchrist),,27-32,,
6:16.0,Offensive rebound by Team,,27-32,,
6:16.0,,,27-32,,F. Kaminsky enters the game for R. Hibbert
6:16.0,,,27-32,,C. Zeller enters the game for S. Hawes
6:10.0,J. Anderson makes 3-pt shot from 25 ft (assist by D. Williams),3,30-32,,
5:51.0,,,30-35,3,J. Lamb makes 3-pt shot from 29 ft (assist by K. Walker)
5:32.0,D. Williams misses 3-pt shot from 25 ft,,30-35,,
5:31.0,,,30-35,,Defensive rebound by C. Zeller
5:24.0,,,30-35,,K. Walker misses 3-pt shot from 25 ft
5:23.0,Defensive rebound by D. Williams,,30-35,,
5:17.0,D. Williams misses 2-pt shot from 2 ft (block by J. Lamb),,30-35,,
5:17.0,Offensive rebound by Team,,30-35,,
5:17.0,,,30-35,,Charlotte full timeout
5:17.0,,,30-35,,N. Batum enters the game for J. Lamb
5:12.0,D. Powell misses 2-pt shot from 22 ft,,30-35,,
5:08.0,Offensive rebound by J. Anderson,,30-35,,
4:56.0,Shooting foul by F. Kaminsky (drawn by J. Anderson),,30-35,,
4:56.0,J. Anderson makes free throw 1 of 2,1,31-35,,
4:56.0,J. Anderson makes free throw 2 of 2,1,32-35,,
4:44.0,,,32-35,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
4:42.0,,,32-35,,Offensive rebound by C. Zeller
4:42.0,,,32-35,,C. Zeller misses 2-pt shot from 1 ft (block by D. Powell)
4:39.0,Defensive rebound by W. Matthews,,32-35,,
4:25.0,Shooting foul by K. Walker (drawn by D. Powell),,32-35,,
4:25.0,D. Powell makes free throw 1 of 2,1,33-35,,
4:25.0,D. Powell makes free throw 2 of 2,1,34-35,,
4:25.0,D. Harris enters the game for J. Gibson,,33-35,,
4:16.0,,,34-35,,K. Walker misses 2-pt shot from 11 ft
4:16.0,,,34-35,,Offensive rebound by Team
4:08.0,,,34-37,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
4:07.0,,,34-37,,Technical foul by C. Zeller
4:07.0,D. Williams makes technical free throw,1,35-37,,
3:56.0,W. Matthews misses 3-pt shot from 25 ft,,35-37,,
3:54.0,,,35-37,,Defensive rebound by K. Walker
3:51.0,,,35-37,,Shooting foul by D. Powell (drawn by K. Walker)
3:51.0,,,35-37,,K. Walker misses free throw 1 of 2
3:51.0,,,35-37,,Offensive rebound by Team
3:51.0,,,35-38,1,K. Walker makes free throw 2 of 2
3:51.0,S. Mejri enters the game for D. Powell,,35-37,,
3:51.0,H. Barnes enters the game for J. Anderson,,35-37,,
3:51.0,,,35-37,,M. Belinelli enters the game for F. Kaminsky
3:30.0,D. Williams makes 2-pt shot from 18 ft,2,37-38,,
3:16.0,,,37-40,2,K. Walker makes 2-pt shot from 16 ft
3:03.0,D. Williams misses 3-pt shot from 25 ft,,37-40,,
3:02.0,,,37-40,,Defensive rebound by M. Belinelli
2:51.0,,,37-40,,K. Walker misses 2-pt shot from 1 ft
