time,Milwaukee,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. T. Maker (J. Green gains possession),,,,Jump ball: M. Gasol vs. T. Maker (J. Green gains possession)
11:36.0,,,0-3,3,M. Conley makes 3-pt shot from 25 ft (assist by V. Carter)
11:11.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,0-3,,
11:10.0,,,0-3,,Defensive rebound by J. Green
10:57.0,,,0-3,,M. Conley misses 3-pt shot from 25 ft
10:56.0,,,0-3,,Offensive rebound by J. Green
10:51.0,,,0-6,3,V. Carter makes 3-pt shot from 26 ft (assist by J. Green)
10:29.0,T. Maker misses 2-pt shot from 14 ft,,0-6,,
10:29.0,,,0-6,,Defensive rebound by J. Green
10:21.0,,,0-8,2,M. Gasol makes 2-pt shot from 12 ft (assist by V. Carter)
10:00.0,T. Snell misses 3-pt shot from 24 ft,,0-8,,
9:59.0,,,0-8,,Defensive rebound by V. Carter
9:37.0,,,0-8,,T. Allen misses 2-pt shot from 20 ft
9:37.0,Defensive rebound by M. Dellavedova,,0-8,,
9:24.0,Shooting foul by M. Conley (drawn by K. Middleton),,0-8,,
9:24.0,K. Middleton makes free throw 1 of 2,1,1-8,,
9:24.0,K. Middleton misses free throw 2 of 2,,1-8,,
9:23.0,,,1-8,,Defensive rebound by V. Carter
9:04.0,,,1-8,,M. Gasol misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by M. Dellavedova,,1-8,,
8:59.0,,,1-8,,Personal foul by J. Green (drawn by G. Antetokounmpo)
8:54.0,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by T. Maker),3,4-8,,
8:37.0,,,4-8,,M. Conley misses 2-pt shot from 19 ft
8:36.0,Defensive rebound by G. Antetokounmpo,,4-8,,
8:30.0,G. Antetokounmpo makes 2-pt shot at rim,2,6-8,,
8:08.0,,,6-11,3,M. Conley makes 3-pt shot from 26 ft (assist by M. Gasol)
7:57.0,M. Dellavedova makes 2-pt shot from 22 ft,2,8-11,,
7:43.0,,,8-11,,T. Allen misses 2-pt shot from 3 ft (block by K. Middleton)
7:41.0,Defensive rebound by K. Middleton,,8-11,,
7:33.0,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,11-11,,
7:24.0,,,11-11,,Memphis full timeout
7:24.0,G. Monroe enters the game for T. Maker,,11-11,,
7:12.0,,,11-13,2,T. Allen makes 2-pt shot from 21 ft (assist by J. Green)
6:53.0,Turnover by G. Monroe (bad pass; steal by M. Conley),,11-13,,
6:49.0,,,11-15,2,M. Conley makes 2-pt shot from 1 ft
6:26.0,T. Snell makes 2-pt shot from 22 ft (assist by G. Antetokounmpo),2,13-15,,
