time,Sacramento,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. K. Koufos (D. Collison gains possession),,,,Jump ball: L. Aldridge vs. K. Koufos (D. Collison gains possession)
11:42.0,B. Hield makes 2-pt shot from 15 ft (assist by G. Temple),2,2-0,,
11:26.0,,,2-0,,L. Aldridge misses 2-pt shot from 6 ft
11:24.0,Defensive rebound by W. Cauley-Stein,,2-0,,
11:06.0,G. Temple makes 2-pt shot from 15 ft (assist by B. Hield),2,4-0,,
10:46.0,,,4-0,,K. Leonard misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by K. Koufos,,4-0,,
10:32.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,4-0,,
10:31.0,Offensive rebound by K. Koufos,,4-0,,
10:31.0,K. Koufos misses 2-pt shot from 3 ft,,4-0,,
10:29.0,,,4-0,,Defensive rebound by T. Parker
10:09.0,,,4-0,,K. Leonard misses 2-pt shot from 17 ft
10:08.0,Defensive rebound by B. Hield,,4-0,,
9:45.0,B. Hield makes 2-pt shot from 13 ft (assist by G. Temple),2,6-0,,
9:29.0,,,6-0,,D. Bertans misses 3-pt shot from 25 ft
9:28.0,,,6-0,,Offensive rebound by D. Green
9:15.0,,,6-0,,L. Aldridge misses 2-pt shot from 20 ft
9:14.0,Defensive rebound by B. Hield,,6-0,,
9:06.0,G. Temple makes 3-pt shot from 26 ft (assist by B. Hield),3,9-0,,
8:51.0,,,9-0,,T. Parker misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
8:49.0,Defensive rebound by K. Koufos,,9-0,,
8:43.0,D. Collison misses 2-pt shot from 18 ft,,9-0,,
8:43.0,,,9-0,,Defensive rebound by Team
8:43.0,Loose ball foul by K. Koufos (drawn by D. Green),,9-0,,
8:43.0,L. Galloway enters the game for G. Temple,,9-0,,
8:28.0,,,9-0,,L. Aldridge misses 2-pt shot from 7 ft
