time,Denver,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Nurkic (J. Green gains possession),,,,Jump ball: M. Gasol vs. J. Nurkic (J. Green gains possession)
11:42.0,,,0-0,,J. Ennis misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by N. Jokic,,0-0,,
11:23.0,E. Mudiay makes 3-pt shot from 24 ft (assist by J. Nurkic),3,3-0,,
11:14.0,Personal foul by G. Harris (drawn by J. Ennis),,3-0,,
11:07.0,,,3-0,,M. Conley misses 2-pt shot from 2 ft
11:06.0,Defensive rebound by J. Nurkic,,3-0,,
11:00.0,E. Mudiay makes 2-pt shot from 16 ft,2,5-0,,
10:39.0,,,5-2,2,J. Green makes 2-pt shot from 3 ft
10:24.0,,,5-2,,Personal foul by J. Green (drawn by D. Gallinari)
10:17.0,J. Nurkic makes 2-pt shot at rim (assist by E. Mudiay),2,7-2,,
9:59.0,,,7-4,2,M. Gasol makes 2-pt shot from 5 ft
9:49.0,J. Nurkic makes 2-pt shot from 20 ft (assist by E. Mudiay),2,9-4,,
9:36.0,,,9-4,,J. Green misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by D. Gallinari,,9-4,,
9:31.0,,,9-4,,Violation by C. Parsons (kicked ball)
9:20.0,D. Gallinari makes 2-pt shot from 22 ft (assist by E. Mudiay),2,11-4,,
9:07.0,,,11-6,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
8:54.0,Turnover by G. Harris (bad pass; steal by C. Parsons),,11-6,,
8:49.0,,,11-6,,Shooting foul by E. Mudiay (drawn by J. Ennis)
8:49.0,,,11-7,1,J. Ennis makes free throw 1 of 2
8:49.0,,,11-8,1,J. Ennis makes free throw 2 of 2
8:41.0,Turnover by E. Mudiay (bad pass; steal by M. Conley),,11-8,,
8:37.0,,,11-10,2,J. Green makes 2-pt shot at rim (assist by J. Ennis)
8:14.0,Turnover by E. Mudiay (bad pass; steal by M. Conley),,11-10,,
8:10.0,,,11-12,2,C. Parsons makes 2-pt shot from 2 ft (assist by M. Conley)
8:09.0,Denver full timeout,,11-12,,
7:58.0,N. Jokic misses 2-pt shot from 17 ft,,11-12,,
7:57.0,,,11-12,,Defensive rebound by C. Parsons
7:36.0,,,11-14,2,C. Parsons makes 2-pt shot from 2 ft (assist by M. Gasol)
7:17.0,D. Gallinari misses 2-pt shot from 13 ft,,11-14,,
7:16.0,,,11-14,,Defensive rebound by M. Gasol
7:04.0,,,11-14,,C. Parsons misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by N. Jokic,,11-14,,
6:58.0,Turnover by D. Gallinari (lost ball),,11-14,,
6:47.0,,,11-14,,J. Green misses 2-pt shot from 2 ft
6:46.0,,,11-14,,Offensive rebound by J. Green
6:44.0,,,11-14,,J. Green misses 2-pt shot from 2 ft
6:44.0,Defensive rebound by Team,,11-14,,
6:44.0,,,11-14,,V. Carter enters the game for C. Parsons
6:44.0,K. Faried enters the game for J. Nurkic,,11-14,,
