time,Miami,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. H. Whiteside (I. Thomas gains possession),,,,Jump ball: A. Johnson vs. H. Whiteside (I. Thomas gains possession)
11:37.0,,,0-0,,Shooting foul by L. Babbitt (drawn by A. Johnson)
11:37.0,,,0-1,1,A. Johnson makes free throw 1 of 2
11:37.0,,,0-2,1,A. Johnson makes free throw 2 of 2
11:20.0,J. Richardson makes 2-pt shot from 18 ft (assist by J. Winslow),2,2-2,,
11:06.0,,,2-2,,Turnover by A. Johnson (bad pass; steal by J. Richardson)
10:50.0,L. Babbitt misses 3-pt shot from 24 ft,,2-2,,
10:49.0,,,2-2,,Defensive rebound by M. Smart
10:40.0,,,2-5,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson)
10:20.0,J. Richardson makes 2-pt shot from 15 ft,2,4-5,,
10:06.0,,,4-8,3,J. Crowder makes 3-pt shot from 26 ft (assist by A. Horford)
9:41.0,Shooting foul by J. Crowder (drawn by H. Whiteside),,4-8,,
9:41.0,H. Whiteside misses free throw 1 of 2,,4-8,,
9:41.0,Offensive rebound by Team,,4-8,,
9:41.0,H. Whiteside makes free throw 2 of 2,1,5-8,,
9:21.0,,,5-8,,J. Crowder misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by J. Winslow,,5-8,,
9:02.0,H. Whiteside misses 2-pt shot from 5 ft,,5-8,,
9:01.0,,,5-8,,Defensive rebound by A. Horford
8:52.0,,,5-8,,I. Thomas misses 2-pt shot from 10 ft
8:51.0,Defensive rebound by H. Whiteside,,5-8,,
8:31.0,J. Winslow makes 2-pt shot from 4 ft,2,7-8,,
8:21.0,,,7-8,,A. Horford misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by H. Whiteside,,7-8,,
8:10.0,J. Winslow misses 2-pt shot from 22 ft,,7-8,,
8:10.0,,,7-8,,Defensive rebound by A. Johnson
7:55.0,,,7-10,2,A. Horford makes 2-pt shot from 4 ft
7:39.0,J. Richardson misses 2-pt shot from 16 ft,,7-10,,
7:38.0,Offensive rebound by J. Richardson,,7-10,,
7:33.0,Turnover by H. Whiteside (lost ball),,7-10,,
7:22.0,,,7-10,,I. Thomas misses 2-pt shot from 2 ft (block by J. Richardson)
7:21.0,Defensive rebound by J. Winslow,,7-10,,
7:16.0,Turnover by J. Richardson (step out of bounds),,7-10,,
6:52.0,,,7-10,,Turnover by Team (shot clock)
6:30.0,J. Richardson misses 3-pt shot from 24 ft,,7-10,,
6:29.0,Offensive rebound by J. Winslow,,7-10,,
6:29.0,Shooting foul by A. Johnson (drawn by J. Winslow),,7-10,,
6:29.0,J. Winslow misses free throw 1 of 2,,7-10,,
6:29.0,Offensive rebound by Team,,7-10,,
6:29.0,J. Winslow makes free throw 2 of 2,1,8-10,,
6:29.0,,,7-10,,K. Olynyk enters the game for A. Johnson
6:29.0,T. Johnson enters the game for J. Richardson,,7-10,,
6:19.0,,,8-10,,Shooting foul by T. Johnson (drawn by I. Thomas)
6:19.0,,,8-11,1,I. Thomas makes free throw 1 of 2
6:19.0,,,8-12,1,I. Thomas makes free throw 2 of 2
6:06.0,L. Babbitt makes 2-pt shot from 20 ft (assist by T. Johnson),2,10-12,,
5:53.0,,,10-12,,Turnover by I. Thomas (back court)
5:53.0,,,10-12,,Boston full timeout
5:41.0,R. McGruder makes 3-pt shot from 23 ft (assist by T. Johnson),3,13-12,,
5:18.0,,,13-14,2,A. Horford makes 2-pt shot from 16 ft (assist by J. Crowder)
5:02.0,H. Whiteside misses 2-pt shot from 3 ft (block by K. Olynyk),,13-14,,
5:01.0,,,13-14,,Defensive rebound by A. Horford
