time,Memphis,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Gobert (J. Green gains possession),,,,Jump ball: M. Gasol vs. R. Gobert (J. Green gains possession)
11:46.0,M. Gasol misses 2-pt shot from 21 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by R. Hood
11:25.0,,,0-0,,R. Hood misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by J. Ennis,,0-0,,
11:10.0,J. Green misses 3-pt shot from 23 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by R. Hood
10:57.0,,,0-0,,T. Lyles misses 3-pt shot from 23 ft
10:57.0,,,0-0,,Offensive rebound by R. Gobert
10:54.0,,,0-0,,T. Lyles misses 2-pt shot from 2 ft (block by M. Gasol)
10:54.0,,,0-0,,Offensive rebound by Team
10:37.0,,,0-2,2,R. Hood makes 2-pt shot from 7 ft
10:18.0,M. Gasol misses 2-pt shot from 17 ft,,0-2,,
10:17.0,,,0-2,,Defensive rebound by G. Hayward
9:59.0,,,0-2,,Turnover by R. Gobert (bad pass; steal by M. Conley)
9:46.0,M. Gasol makes 3-pt shot from 24 ft (assist by M. Conley),3,3-2,,
9:21.0,,,3-4,2,G. Hayward makes 2-pt shot from 19 ft
9:08.0,T. Allen makes 2-pt shot from 2 ft,2,5-4,,
8:46.0,,,5-4,,G. Hayward misses 2-pt shot from 8 ft
8:45.0,Defensive rebound by J. Ennis,,5-4,,
8:38.0,J. Green makes 3-pt shot from 23 ft (assist by J. Ennis),3,8-4,,
8:15.0,,,8-4,,G. Hill misses 3-pt shot from 24 ft
8:14.0,,,8-4,,Offensive rebound by R. Gobert
8:11.0,,,8-4,,Shooting foul by J. Ennis (drawn by R. Gobert)
8:11.0,,,8-5,1,R. Gobert makes free throw 1 of 2
8:11.0,,,8-6,1,R. Gobert makes free throw 2 of 2
7:55.0,Turnover by J. Ennis (bad pass; steal by T. Lyles),,8-6,,
7:51.0,,,8-8,2,G. Hill makes 2-pt shot at rim (assist by T. Lyles)
7:35.0,M. Conley makes 2-pt shot from 3 ft (assist by M. Gasol),2,10-8,,
7:22.0,,,10-11,3,G. Hill makes 3-pt shot from 24 ft (assist by T. Lyles)
7:02.0,M. Conley misses 3-pt shot from 24 ft,,10-11,,
7:02.0,,,10-11,,Defensive rebound by R. Gobert
6:52.0,,,10-13,2,G. Hill makes 2-pt shot from 2 ft (assist by G. Hayward)
6:48.0,Memphis full timeout,,10-13,,
6:48.0,Z. Randolph enters the game for J. Green,,10-13,,
6:48.0,V. Carter enters the game for J. Ennis,,10-13,,
6:48.0,,,10-13,,J. Ingles enters the game for R. Hood
6:48.0,,,10-13,,B. Diaw enters the game for T. Lyles
6:33.0,,,10-13,,Personal foul by G. Hill (drawn by M. Conley)
6:26.0,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol),3,13-13,,
6:02.0,,,13-15,2,G. Hill makes 2-pt shot from 22 ft (assist by B. Diaw)
5:47.0,V. Carter misses 3-pt shot from 26 ft,,13-15,,
5:46.0,,,13-15,,Defensive rebound by G. Hayward
5:34.0,,,13-15,,G. Hayward misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by V. Carter,,13-15,,
5:22.0,Z. Randolph misses 2-pt shot from 17 ft,,13-15,,
5:21.0,,,13-15,,Defensive rebound by G. Hayward
5:11.0,,,13-15,,A. Burks enters the game for G. Hill
5:11.0,T. Daniels enters the game for T. Allen,,13-15,,
5:11.0,A. Harrison enters the game for M. Conley,,13-15,,
5:08.0,,,13-18,3,J. Ingles makes 3-pt shot from 25 ft (assist by G. Hayward)
4:46.0,A. Harrison misses 3-pt shot from 25 ft,,13-18,,
4:45.0,,,13-18,,Defensive rebound by R. Gobert
4:38.0,,,13-18,,G. Hayward misses 2-pt shot from 20 ft
4:38.0,Defensive rebound by Z. Randolph,,13-18,,
4:27.0,T. Daniels misses 3-pt shot from 24 ft,,13-18,,
4:27.0,,,13-18,,Defensive rebound by A. Burks
4:15.0,,,13-21,3,A. Burks makes 3-pt shot from 24 ft (assist by R. Gobert)
4:07.0,Memphis full timeout,,13-21,,
4:07.0,J. Green enters the game for M. Gasol,,13-21,,
3:46.0,Z. Randolph makes 2-pt shot from 1 ft,2,15-21,,
3:25.0,,,15-21,,Shooting foul by V. Carter (drawn by J. Ingles)
3:25.0,,,15-22,1,J. Ingles makes free throw 1 of 2
3:25.0,,,15-23,1,J. Ingles makes free throw 2 of 2
3:25.0,,,15-22,,J. Johnson enters the game for G. Hayward
3:25.0,,,15-22,,T. Lyles enters the game for R. Gobert
3:08.0,Z. Randolph makes 2-pt shot from 2 ft,2,17-23,,
2:56.0,,,17-23,,Offensive foul by A. Burks
2:56.0,,,17-23,,Turnover by A. Burks (offensive foul)
2:56.0,,,17-23,,Utah full timeout
2:40.0,T. Daniels makes 3-pt shot from 28 ft (assist by Z. Randolph),3,20-23,,
2:23.0,,,20-23,,J. Johnson misses 3-pt shot from 23 ft
2:22.0,Defensive rebound by A. Harrison,,20-23,,
2:01.0,Turnover by Z. Randolph (lost ball; steal by B. Diaw),,20-23,,
1:50.0,,,20-26,3,A. Burks makes 3-pt shot from 23 ft (assist by J. Ingles)
1:32.0,V. Carter misses 2-pt shot from 20 ft,,20-26,,
1:32.0,,,20-26,,Defensive rebound by Team
1:24.0,Personal foul by A. Harrison (drawn by A. Burks),,20-26,,
1:14.0,,,20-26,,Turnover by A. Burks (bad pass; steal by A. Harrison)
1:00.0,J. Green makes 2-pt shot from 2 ft,2,22-26,,
0:47.0,,,22-26,,Shooting foul by A. Harrison (drawn by A. Burks)
0:47.0,,,22-26,,A. Burks misses free throw 1 of 2
0:47.0,,,22-26,,Offensive rebound by Team
0:47.0,,,22-27,1,A. Burks makes free throw 2 of 2
0:47.0,M. Conley enters the game for A. Harrison,,22-26,,
0:47.0,,,22-26,,G. Hill enters the game for T. Lyles
0:47.0,M. Gasol enters the game for J. Green,,22-26,,
0:30.0,,,22-27,,Personal foul by J. Ingles (drawn by V. Carter)
0:26.0,,,22-27,,Personal foul by A. Burks (drawn by M. Conley)
0:26.0,M. Conley makes free throw 1 of 2,1,23-27,,
0:26.0,M. Conley makes free throw 2 of 2,1,24-27,,
0:26.0,J. Green enters the game for Z. Randolph,,23-27,,
0:26.0,J. Ennis enters the game for T. Daniels,,23-27,,
0:05.0,,,24-27,,Turnover by G. Hill (lost ball; steal by M. Conley)
0:01.0,J. Ennis makes 2-pt shot from 3 ft,2,26-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,26-29,2,J. Johnson makes 2-pt shot from 11 ft
11:20.0,Z. Randolph makes 2-pt shot from 2 ft,2,28-29,,
11:04.0,,,28-29,,R. Hood misses 2-pt shot from 11 ft
11:03.0,Defensive rebound by V. Carter,,28-29,,
10:53.0,,,28-29,,Personal foul by G. Hill (drawn by V. Carter)
10:53.0,,,28-29,,B. Diaw enters the game for R. Gobert
10:39.0,T. Daniels makes 3-pt shot from 25 ft (assist by J. Green),3,31-29,,
10:20.0,,,31-29,,Turnover by J. Ingles (lost ball; steal by Z. Randolph)
10:10.0,A. Harrison makes 2-pt shot from 2 ft,2,33-29,,
9:45.0,,,33-29,,J. Johnson misses 2-pt shot from 16 ft
9:44.0,Defensive rebound by J. Green,,33-29,,
9:20.0,J. Green misses 3-pt shot from 23 ft,,33-29,,
9:19.0,,,33-29,,Defensive rebound by B. Diaw
9:06.0,,,33-29,,R. Hood misses 2-pt shot from 7 ft
9:06.0,Defensive rebound by Z. Randolph,,33-29,,
8:56.0,,,33-29,,Personal foul by J. Ingles
8:56.0,Memphis full timeout,,33-29,,
8:56.0,J. Ennis enters the game for V. Carter,,33-29,,
8:56.0,,,33-29,,T. Lyles enters the game for B. Diaw
8:56.0,,,33-29,,R. Gobert enters the game for J. Ingles
8:42.0,Z. Randolph misses 2-pt shot from 19 ft,,33-29,,
8:42.0,,,33-29,,Defensive rebound by J. Johnson
8:21.0,Personal foul by T. Daniels (drawn by R. Hood),,33-29,,
8:10.0,,,33-31,2,G. Hill makes 2-pt shot from 2 ft (assist by R. Hood)
7:54.0,,,33-31,,Personal foul by T. Lyles (drawn by T. Daniels)
7:54.0,M. Gasol enters the game for J. Green,,33-31,,
7:54.0,T. Allen enters the game for A. Harrison,,33-31,,
7:54.0,,,33-31,,G. Hayward enters the game for J. Johnson
7:39.0,Z. Randolph misses 2-pt shot from 13 ft,,33-31,,
7:38.0,,,33-31,,Defensive rebound by R. Gobert
7:27.0,,,33-34,3,R. Hood makes 3-pt shot from 25 ft (assist by G. Hill)
7:04.0,T. Allen misses 2-pt shot from 1 ft,,33-34,,
7:02.0,Offensive rebound by T. Allen,,33-34,,
7:02.0,T. Allen makes 2-pt shot from 1 ft,2,35-34,,
6:46.0,,,35-34,,G. Hill misses 3-pt shot from 23 ft
6:46.0,Defensive rebound by Z. Randolph,,35-34,,
6:40.0,J. Ennis makes 2-pt shot from 2 ft (assist by T. Allen),2,37-34,,
6:31.0,,,37-34,,Utah full timeout
6:31.0,M. Conley enters the game for T. Daniels,,37-34,,
6:15.0,,,37-34,,T. Lyles misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by J. Ennis,,37-34,,
5:58.0,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Gasol),2,39-34,,
5:42.0,,,39-36,2,R. Hood makes 2-pt shot from 14 ft
5:20.0,M. Conley misses 3-pt shot from 25 ft,,39-36,,
5:19.0,Offensive rebound by Z. Randolph,,39-36,,
5:09.0,Z. Randolph makes 2-pt shot from 20 ft (assist by M. Gasol),2,41-36,,
4:54.0,,,41-36,,G. Hayward misses 2-pt shot from 3 ft
4:54.0,,,41-36,,Offensive rebound by G. Hayward
4:52.0,,,41-36,,G. Hayward misses 2-pt shot from 1 ft
4:51.0,Defensive rebound by M. Gasol,,41-36,,
4:38.0,M. Gasol makes 3-pt shot from 24 ft (assist by M. Conley),3,44-36,,
4:23.0,Personal foul by J. Ennis (drawn by G. Hayward),,44-36,,
4:23.0,,,44-36,,A. Burks enters the game for G. Hill
4:23.0,,,44-36,,J. Johnson enters the game for T. Lyles
4:23.0,,,44-36,,B. Diaw enters the game for R. Hood
4:14.0,,,44-36,,J. Johnson misses 2-pt shot from 16 ft
4:13.0,Defensive rebound by M. Gasol,,44-36,,
3:55.0,Z. Randolph makes 2-pt shot from 5 ft,2,46-36,,
3:50.0,,,46-36,,Utah full timeout
3:42.0,,,46-36,,Shooting foul by J. Ennis (drawn by G. Hayward)
3:42.0,,,46-37,1,G. Hayward makes free throw 1 of 3
3:42.0,,,46-38,1,G. Hayward makes free throw 2 of 3
3:42.0,,,46-39,1,G. Hayward makes free throw 3 of 3
3:42.0,V. Carter enters the game for J. Ennis,,46-38,,
3:24.0,Z. Randolph makes 2-pt shot from 4 ft,2,48-39,,
3:03.0,,,48-39,,A. Burks misses 2-pt shot from 3 ft
3:03.0,,,48-39,,Offensive rebound by R. Gobert
3:00.0,,,48-39,,R. Gobert misses 2-pt shot from 2 ft
3:00.0,Defensive rebound by M. Gasol,,48-39,,
2:54.0,M. Conley misses 3-pt shot from 24 ft,,48-39,,
2:54.0,,,48-39,,Defensive rebound by R. Gobert
2:44.0,,,48-39,,B. Diaw misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by M. Conley,,48-39,,
2:25.0,T. Allen makes 2-pt shot from 2 ft,2,50-39,,
2:05.0,,,50-41,2,A. Burks makes 2-pt shot from 12 ft
1:49.0,Offensive foul by M. Gasol,,50-41,,
1:49.0,Turnover by M. Gasol (offensive foul),,50-41,,
1:49.0,Memphis full timeout,,50-41,,
1:49.0,,,50-41,,G. Hill enters the game for A. Burks
1:49.0,,,50-41,,R. Hood enters the game for J. Johnson
1:38.0,,,50-41,,Shooting foul by V. Carter (drawn by G. Hayward)
1:38.0,,,50-42,1,G. Hayward makes free throw 1 of 2
1:38.0,,,50-43,1,G. Hayward makes free throw 2 of 2
1:24.0,M. Conley makes 2-pt shot from 7 ft,2,52-43,,
1:09.0,,,52-43,,G. Hayward misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by Z. Randolph,,52-43,,
0:57.0,V. Carter misses 2-pt shot from 7 ft (block by G. Hayward),,52-43,,
0:56.0,,,52-43,,Defensive rebound by G. Hayward
0:47.0,,,52-43,,B. Diaw misses 2-pt shot from 23 ft
0:47.0,Defensive rebound by M. Conley,,52-43,,
0:25.0,Z. Randolph misses 3-pt shot from 26 ft,,52-43,,
0:24.0,,,52-43,,Defensive rebound by R. Hood
0:01.0,,,52-43,,B. Diaw misses 3-pt shot from 23 ft
0:00.0,,,52-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,52-43,,Turnover by G. Hill (bad pass; steal by T. Allen)
11:24.0,J. Ennis makes 3-pt shot from 25 ft (assist by M. Gasol),3,55-43,,
11:15.0,,,55-45,2,G. Hill makes 2-pt shot from 12 ft
11:15.0,,,55-45,,Shooting foul by M. Conley (drawn by G. Hill)
11:15.0,,,55-46,1,G. Hill makes free throw 1 of 1
10:57.0,T. Allen misses 2-pt shot from 4 ft,,55-46,,
10:57.0,,,55-46,,Defensive rebound by J. Johnson
10:46.0,,,55-46,,Turnover by G. Hayward (lost ball; steal by T. Allen)
10:25.0,J. Green misses 2-pt shot from 3 ft (block by R. Gobert),,55-46,,
10:24.0,,,55-46,,Defensive rebound by R. Gobert
10:16.0,,,55-48,2,G. Hill makes 2-pt shot from 3 ft
9:56.0,Offensive charge foul by J. Ennis,,55-48,,
9:56.0,Turnover by J. Ennis (offensive foul),,55-48,,
9:34.0,,,55-51,3,J. Johnson makes 3-pt shot from 27 ft (assist by G. Hill)
9:34.0,Memphis full timeout,,55-51,,
9:34.0,V. Carter enters the game for J. Ennis,,55-51,,
9:18.0,M. Gasol makes 2-pt shot from 8 ft,2,57-51,,
8:57.0,,,57-51,,G. Hayward misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by T. Allen,,57-51,,
8:43.0,,,57-51,,Personal foul by R. Gobert (drawn by M. Gasol)
8:32.0,M. Gasol makes 2-pt shot from 14 ft,2,59-51,,
8:16.0,Personal foul by M. Conley (drawn by G. Hill),,59-51,,
8:09.0,,,59-54,3,J. Johnson makes 3-pt shot from 23 ft (assist by G. Hill)
7:57.0,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley),3,62-54,,
7:45.0,,,62-56,2,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hill)
7:45.0,,,62-56,,Shooting foul by V. Carter (drawn by R. Gobert)
7:45.0,,,62-57,1,R. Gobert makes free throw 1 of 1
7:31.0,T. Allen misses 2-pt shot from 4 ft,,62-57,,
7:31.0,Offensive rebound by J. Green,,62-57,,
7:29.0,J. Green misses 2-pt shot from 3 ft (block by J. Johnson),,62-57,,
7:29.0,Offensive rebound by Team,,62-57,,
7:29.0,,,62-57,,Loose ball foul by R. Hood (drawn by T. Allen)
7:14.0,T. Allen misses 2-pt shot from 4 ft (block by R. Hood),,62-57,,
7:13.0,Offensive rebound by J. Green,,62-57,,
7:09.0,M. Gasol makes 3-pt shot from 26 ft (assist by J. Green),3,65-57,,
6:53.0,,,65-59,2,G. Hayward makes 2-pt shot from 2 ft (assist by R. Gobert)
6:30.0,Shooting foul by G. Hill (drawn by J. Green),,65-59,,
6:30.0,J. Green makes free throw 1 of 2,1,66-59,,
