time,Dallas,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Nowitzki (D. Schroder gains possession),,,,Jump ball: D. Howard vs. D. Nowitzki (D. Schroder gains possession)
11:39.0,Loose ball foul by D. Finney-Smith (drawn by T. Sefolosha),,0-0,,
11:34.0,,,0-0,,Offensive foul by D. Howard
11:34.0,,,0-0,,Turnover by D. Howard (offensive foul)
11:18.0,D. Nowitzki misses 3-pt shot from 26 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by D. Howard
11:00.0,,,0-0,,Turnover by P. Millsap (bad pass; steal by H. Barnes)
10:48.0,D. Finney-Smith misses 3-pt shot from 26 ft,,0-0,,
10:46.0,,,0-0,,Defensive rebound by D. Howard
10:22.0,,,0-0,,P. Millsap misses 2-pt shot from 21 ft
10:22.0,,,0-0,,Offensive rebound by Team
10:22.0,,,0-0,,Turnover by Team (shot clock)
10:11.0,Turnover by D. Finney-Smith (traveling),,0-0,,
10:00.0,Personal foul by D. Nowitzki (drawn by D. Howard),,0-0,,
9:55.0,,,0-0,,Shooting foul by D. Finney-Smith (drawn by D. Howard)
9:55.0,,,0-0,,D. Howard misses free throw 1 of 2
9:55.0,,,0-0,,Offensive rebound by Team
9:55.0,,,0-1,1,D. Howard makes free throw 2 of 2
9:55.0,N. Noel enters the game for D. Finney-Smith,,0-0,,
9:42.0,N. Noel misses 2-pt shot from 18 ft,,0-1,,
9:40.0,,,0-1,,Defensive rebound by T. Sefolosha
9:30.0,,,0-3,2,D. Howard makes 2-pt shot from 3 ft (assist by P. Millsap)
9:13.0,N. Noel misses 2-pt shot from 1 ft (block by P. Millsap),,0-3,,
9:11.0,Offensive rebound by D. Nowitzki,,0-3,,
9:10.0,D. Nowitzki makes 2-pt shot at rim,2,2-3,,
9:05.0,Personal foul by N. Noel (drawn by D. Howard),,2-3,,
8:56.0,,,2-3,,K. Bazemore misses 2-pt shot from 22 ft
8:54.0,Defensive rebound by D. Nowitzki,,2-3,,
8:45.0,S. Curry makes 2-pt shot from 7 ft,2,4-3,,
8:30.0,,,4-5,2,D. Howard makes 2-pt shot at rim (assist by T. Sefolosha)
8:01.0,H. Barnes misses 3-pt shot from 23 ft,,4-5,,
8:00.0,,,4-5,,Defensive rebound by D. Howard
7:52.0,,,4-7,2,K. Bazemore makes 2-pt shot from 1 ft
7:30.0,D. Nowitzki misses 2-pt shot from 20 ft,,4-7,,
7:29.0,,,4-7,,Defensive rebound by D. Schroder
7:25.0,,,4-9,2,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder)
7:24.0,Dallas full timeout,,4-9,,
7:09.0,S. Curry makes 2-pt shot from 11 ft,2,6-9,,
6:55.0,,,6-9,,D. Schroder misses 2-pt shot from 18 ft
6:52.0,,,6-9,,Offensive rebound by D. Howard
6:52.0,,,6-11,2,D. Howard makes 2-pt shot from 1 ft
6:41.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by S. Curry),2,8-11,,
6:27.0,,,8-11,,P. Millsap misses 2-pt shot from 13 ft
6:25.0,Defensive rebound by D. Nowitzki,,8-11,,
6:14.0,S. Curry makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,11-11,,
6:01.0,,,11-13,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Howard)
5:52.0,,,11-13,,Def 3 sec tech foul by D. Howard
5:52.0,D. Nowitzki makes technical free throw,1,12-13,,
5:52.0,,,12-13,,T. Hardaway enters the game for K. Bazemore
5:52.0,N. Brussino enters the game for D. Nowitzki,,12-13,,
5:52.0,Q. Cook enters the game for Y. Ferrell,,12-13,,
5:40.0,H. Barnes misses 2-pt shot from 12 ft,,12-13,,
5:38.0,Offensive rebound by N. Noel,,12-13,,
5:37.0,N. Noel makes 2-pt shot at rim,2,14-13,,
5:23.0,,,14-15,2,D. Schroder makes 2-pt shot from 19 ft
5:05.0,Turnover by Q. Cook (bad pass; steal by T. Sefolosha),,14-15,,
4:51.0,,,14-18,3,D. Schroder makes 3-pt shot from 25 ft (assist by P. Millsap)
4:50.0,Dallas full timeout,,14-18,,
4:50.0,,,14-18,,E. Ilyasova enters the game for D. Howard
4:28.0,S. Curry misses 3-pt shot from 24 ft,,14-18,,
4:26.0,Offensive rebound by S. Curry,,14-18,,
4:21.0,Turnover by Q. Cook (bad pass; steal by E. Ilyasova),,14-18,,
4:17.0,,,14-18,,Turnover by D. Schroder (bad pass)
4:03.0,,,14-18,,T. Waller-Prince enters the game for T. Sefolosha
3:57.0,Shooting foul by T. Waller-Prince (drawn by H. Barnes),,14-18,,
3:57.0,H. Barnes makes 2-pt shot from 8 ft,2,16-18,,
3:57.0,H. Barnes makes free throw 1 of 1,1,17-18,,
3:50.0,,,17-20,2,D. Schroder makes 2-pt shot from 2 ft
3:41.0,,,17-20,,Personal foul by D. Schroder (drawn by Q. Cook)
3:41.0,D. Powell enters the game for N. Noel,,17-20,,
3:41.0,,,17-20,,M. Delaney enters the game for D. Schroder
3:28.0,H. Barnes makes 2-pt shot from 3 ft,2,19-20,,
3:21.0,,,19-20,,Atlanta full timeout
3:11.0,Personal foul by Q. Cook (drawn by M. Delaney),,19-20,,
3:11.0,,,19-21,1,M. Delaney makes free throw 1 of 2
3:11.0,,,19-22,1,M. Delaney makes free throw 2 of 2
2:55.0,Turnover by N. Brussino (bad pass),,19-22,,
2:39.0,,,19-25,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by P. Millsap)
2:13.0,Q. Cook misses 3-pt shot from 26 ft,,19-25,,
2:12.0,Offensive rebound by N. Brussino,,19-25,,
2:12.0,Turnover by Team (shot clock),,19-25,,
2:12.0,D. Nowitzki enters the game for H. Barnes,,19-25,,
2:12.0,Y. Ferrell enters the game for S. Curry,,19-25,,
2:01.0,Personal block foul by N. Brussino (drawn by T. Waller-Prince),,19-25,,
2:01.0,,,19-26,1,T. Waller-Prince makes free throw 1 of 2
2:01.0,,,19-26,,T. Waller-Prince misses free throw 2 of 2
2:01.0,D. Harris enters the game for Q. Cook,,19-26,,
1:59.0,Defensive rebound by D. Nowitzki,,19-26,,
1:48.0,Y. Ferrell misses 2-pt shot from 21 ft,,19-26,,
1:45.0,Offensive rebound by D. Nowitzki,,19-26,,
1:31.0,N. Brussino makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,22-26,,
1:08.0,,,22-26,,Turnover by T. Waller-Prince (traveling)
0:51.0,Loose ball foul by D. Nowitzki (drawn by P. Millsap),,22-26,,
0:51.0,Turnover by D. Nowitzki (lost ball),,22-26,,
0:51.0,,,22-27,1,P. Millsap makes free throw 1 of 2
0:51.0,,,22-27,,P. Millsap misses free throw 2 of 2
0:51.0,H. Barnes enters the game for D. Nowitzki,,22-27,,
0:50.0,Defensive rebound by D. Harris,,22-27,,
0:35.0,Offensive charge foul by D. Harris,,22-27,,
0:35.0,Turnover by D. Harris (offensive foul),,22-27,,
0:27.0,,,22-27,,T. Hardaway misses 2-pt shot from 22 ft
0:26.0,Defensive rebound by H. Barnes,,22-27,,
0:09.0,Turnover by Y. Ferrell (bad pass),,22-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,N. Brussino misses 2-pt shot from 16 ft,,22-27,,
11:39.0,Offensive rebound by D. Powell,,22-27,,
11:36.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by N. Brussino),2,24-27,,
11:16.0,,,24-30,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by M. Delaney)
11:01.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by Y. Ferrell),2,26-30,,
10:44.0,,,26-30,,Turnover by T. Hardaway (bad pass)
10:36.0,D. Nowitzki misses 3-pt shot from 24 ft,,26-30,,
10:33.0,Offensive rebound by N. Brussino,,26-30,,
10:25.0,D. Harris misses 3-pt shot from 24 ft,,26-30,,
10:24.0,,,26-30,,Defensive rebound by M. Delaney
10:15.0,,,26-30,,T. Hardaway misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by Y. Ferrell,,26-30,,
10:03.0,D. Harris makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,29-30,,
9:44.0,,,29-30,,Shooting foul by D. Nowitzki (drawn by D. Howard)
9:44.0,,,29-30,,D. Howard misses free throw 1 of 2
9:44.0,,,29-30,,Offensive rebound by Team
9:44.0,,,29-31,1,D. Howard makes free throw 2 of 2
9:44.0,,,29-30,,K. Bazemore enters the game for T. Hardaway
9:29.0,N. Brussino misses 2-pt shot from 18 ft,,29-31,,
9:27.0,,,29-31,,Defensive rebound by D. Howard
9:17.0,,,29-33,2,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Howard)
9:00.0,Turnover by D. Nowitzki (bad pass; steal by T. Waller-Prince),,29-33,,
8:53.0,,,29-36,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by K. Bazemore)
8:52.0,Dallas full timeout,,29-36,,
8:52.0,D. Finney-Smith enters the game for D. Nowitzki,,29-36,,
8:52.0,N. Noel enters the game for N. Brussino,,29-36,,
8:52.0,H. Barnes enters the game for D. Powell,,29-36,,
8:34.0,D. Finney-Smith misses 3-pt shot from 23 ft,,29-36,,
8:33.0,,,29-36,,Defensive rebound by T. Waller-Prince
8:26.0,,,29-36,,Shooting foul by N. Noel (drawn by D. Howard)
8:26.0,,,29-37,1,D. Howard makes free throw 1 of 2
8:26.0,,,29-38,1,D. Howard makes free throw 2 of 2
8:03.0,Y. Ferrell misses 3-pt shot from 23 ft,,29-38,,
8:01.0,,,29-38,,Defensive rebound by D. Howard
7:48.0,,,29-38,,T. Waller-Prince misses 3-pt shot from 23 ft
7:47.0,,,29-38,,Offensive rebound by D. Howard
7:45.0,,,29-40,2,D. Howard makes 2-pt shot at rim
7:35.0,,,29-40,,Personal foul by M. Delaney (drawn by Y. Ferrell)
7:35.0,S. Mejri enters the game for N. Noel,,29-40,,
7:28.0,H. Barnes makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,32-40,,
7:09.0,,,32-40,,Turnover by D. Howard (3 sec)
7:09.0,,,32-40,,D. Schroder enters the game for M. Delaney
7:09.0,,,32-40,,T. Sefolosha enters the game for T. Waller-Prince
6:59.0,Turnover by Y. Ferrell (bad pass; steal by D. Howard),,32-40,,
6:43.0,,,32-42,2,E. Ilyasova makes 2-pt shot from 19 ft (assist by D. Schroder)
6:22.0,H. Barnes misses 2-pt shot from 18 ft,,32-42,,
6:21.0,,,32-42,,Defensive rebound by D. Howard
6:03.0,,,32-44,2,D. Schroder makes 2-pt shot from 1 ft (assist by D. Howard)
6:03.0,Dallas full timeout,,32-44,,
6:03.0,,,32-44,,P. Millsap enters the game for E. Ilyasova
6:03.0,Q. Cook enters the game for Y. Ferrell,,32-44,,
6:03.0,S. Curry enters the game for D. Harris,,32-44,,
5:46.0,H. Barnes makes 2-pt shot at rim,2,34-44,,
5:46.0,Shooting foul by P. Millsap (drawn by H. Barnes),,34-44,,
5:46.0,H. Barnes makes free throw 1 of 1,1,35-44,,
5:30.0,,,35-44,,Turnover by P. Millsap (bad pass; steal by S. Curry)
5:14.0,D. Finney-Smith misses 2-pt shot from 4 ft (block by D. Howard),,35-44,,
5:12.0,,,35-44,,Defensive rebound by P. Millsap
5:08.0,,,35-47,3,K. Bazemore makes 3-pt shot from 25 ft (assist by P. Millsap)
4:44.0,Shooting foul by T. Sefolosha (drawn by H. Barnes),,35-47,,
4:44.0,H. Barnes makes free throw 1 of 2,1,36-47,,
4:44.0,H. Barnes makes free throw 2 of 2,1,37-47,,
4:29.0,,,37-47,,Shooting foul by D. Finney-Smith (drawn by P. Millsap)
4:29.0,,,37-48,1,P. Millsap makes free throw 1 of 2
4:29.0,,,37-48,,P. Millsap misses free throw 2 of 2
4:29.0,B. Bentil enters the game for D. Finney-Smith,,37-48,,
4:28.0,Defensive rebound by H. Barnes,,37-48,,
4:08.0,H. Barnes misses 2-pt shot from 7 ft,,37-48,,
4:05.0,,,37-48,,Defensive rebound by P. Millsap
3:58.0,,,37-48,,Turnover by D. Howard (3 sec)
3:39.0,Turnover by Q. Cook (lost ball; steal by D. Schroder),,37-48,,
3:30.0,,,37-48,,Turnover by D. Schroder (bad pass; steal by H. Barnes)
3:23.0,Q. Cook makes 3-pt shot from 25 ft (assist by H. Barnes),3,40-48,,
3:22.0,,,40-48,,Atlanta full timeout
3:22.0,,,40-48,,E. Ilyasova enters the game for D. Howard
3:10.0,,,40-48,,D. Schroder misses 2-pt shot from 2 ft (block by S. Mejri)
3:10.0,,,40-48,,Offensive rebound by Team
