time,Miami,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. H. Whiteside (R. McGruder gains possession),,,,Jump ball: M. Turner vs. H. Whiteside (R. McGruder gains possession)
11:43.0,R. McGruder misses 2-pt shot from 8 ft,,0-0,,
11:43.0,Offensive rebound by H. Whiteside,,0-0,,
11:41.0,H. Whiteside misses 2-pt shot from 5 ft,,0-0,,
11:39.0,Offensive rebound by R. McGruder,,0-0,,
11:39.0,R. McGruder misses 2-pt shot from 1 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by P. George
11:28.0,,,0-0,,T. Young misses 2-pt shot from 8 ft
11:26.0,,,0-0,,Offensive rebound by M. Turner
11:17.0,,,0-2,2,T. Young makes 2-pt shot from 1 ft (assist by M. Turner)
10:54.0,H. Whiteside makes 2-pt shot from 14 ft (assist by R. McGruder),2,2-2,,
10:43.0,,,2-4,2,M. Turner makes 2-pt shot at rim (assist by T. Young)
10:17.0,D. Waiters makes 3-pt shot from 26 ft,3,5-4,,
10:03.0,,,5-4,,M. Turner misses 2-pt shot from 1 ft
10:03.0,,,5-4,,Offensive rebound by M. Turner
10:03.0,,,5-4,,M. Turner misses 2-pt shot from 1 ft (block by J. Richardson)
10:02.0,,,5-4,,Offensive rebound by Team
10:02.0,Inbound foul by R. McGruder,,5-4,,
10:02.0,,,5-5,1,P. George makes free throw 1 of 1
9:55.0,,,5-5,,P. George misses 2-pt shot from 3 ft
9:54.0,,,5-5,,Offensive rebound by M. Turner
9:54.0,,,5-5,,M. Turner misses 2-pt shot from 1 ft
9:53.0,Defensive rebound by H. Whiteside,,5-5,,
9:53.0,,,5-5,,Personal foul by T. Young (drawn by H. Whiteside)
9:46.0,Turnover by D. Waiters (lost ball; steal by P. George),,5-5,,
9:41.0,,,5-7,2,T. Young makes 2-pt shot from 2 ft (assist by P. George)
9:24.0,D. Waiters makes 3-pt shot from 26 ft (assist by R. McGruder),3,8-7,,
9:11.0,,,8-7,,M. Turner misses 2-pt shot from 14 ft
9:11.0,Defensive rebound by D. Waiters,,8-7,,
8:48.0,J. Richardson misses 2-pt shot from 1 ft,,8-7,,
8:47.0,,,8-7,,Defensive rebound by J. Teague
8:41.0,,,8-7,,Shooting foul by J. Richardson (drawn by M. Turner)
8:41.0,,,8-8,1,M. Turner makes free throw 1 of 2
8:41.0,,,8-9,1,M. Turner makes free throw 2 of 2
8:30.0,H. Whiteside misses 2-pt shot from 1 ft,,8-9,,
8:29.0,,,8-9,,Defensive rebound by J. Teague
8:21.0,,,8-9,,P. George misses 2-pt shot from 20 ft
8:20.0,Defensive rebound by D. Waiters,,8-9,,
8:04.0,D. Waiters makes 2-pt shot from 3 ft,2,10-9,,
8:04.0,Shooting foul by M. Turner (drawn by D. Waiters),,10-9,,
8:04.0,D. Waiters misses free throw 1 of 1,,10-9,,
8:04.0,,,10-9,,Defensive rebound by T. Young
7:53.0,,,10-9,,T. Young misses 2-pt shot at rim
7:53.0,Defensive rebound by H. Whiteside,,10-9,,
7:40.0,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters),2,12-9,,
7:35.0,,,12-11,2,M. Turner makes 2-pt shot at rim (assist by J. Teague)
7:35.0,,,12-11,,Shooting foul by L. Babbitt (drawn by M. Turner)
7:35.0,,,12-12,1,M. Turner makes free throw 1 of 1
7:22.0,L. Babbitt misses 3-pt shot from 26 ft,,12-12,,
7:21.0,,,12-12,,Defensive rebound by C. Miles
7:11.0,Personal foul by L. Babbitt (drawn by T. Young),,12-12,,
6:59.0,,,12-12,,J. Teague misses 2-pt shot from 13 ft
6:59.0,Defensive rebound by J. Richardson,,12-12,,
6:41.0,H. Whiteside makes 2-pt shot from 1 ft,2,14-12,,
6:27.0,,,14-12,,J. Teague misses 2-pt shot from 19 ft
6:25.0,Defensive rebound by D. Waiters,,14-12,,
6:11.0,R. McGruder makes 2-pt shot from 3 ft,2,16-12,,
5:59.0,,,16-14,2,T. Young makes 2-pt shot from 1 ft
5:47.0,D. Waiters misses 2-pt shot from 3 ft,,16-14,,
5:47.0,,,16-14,,Defensive rebound by P. George
5:36.0,,,16-16,2,P. George makes 2-pt shot from 1 ft
5:31.0,Miami full timeout,,16-16,,
5:31.0,J. Johnson enters the game for L. Babbitt,,16-16,,
5:31.0,T. Johnson enters the game for J. Richardson,,16-16,,
5:21.0,H. Whiteside misses 2-pt shot from 4 ft,,16-16,,
5:20.0,,,16-16,,Defensive rebound by M. Turner
4:54.0,,,16-16,,M. Turner misses 3-pt shot from 23 ft
4:53.0,,,16-16,,Offensive rebound by J. Teague
4:51.0,,,16-18,2,J. Teague makes 2-pt shot from 13 ft
4:32.0,H. Whiteside misses 2-pt shot from 7 ft,,16-18,,
4:32.0,,,16-18,,Defensive rebound by J. Teague
4:22.0,,,16-18,,J. Teague misses 2-pt shot from 17 ft
4:22.0,Defensive rebound by H. Whiteside,,16-18,,
4:12.0,H. Whiteside misses 2-pt shot from 2 ft (block by P. George),,16-18,,
