time,Brooklyn,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. B. Lopez (I. Smith gains possession),,,,Jump ball: A. Drummond vs. B. Lopez (I. Smith gains possession)
11:43.0,,,0-0,,M. Morris misses 2-pt shot from 15 ft
11:42.0,Defensive rebound by J. Lin,,0-0,,
11:18.0,J. Lin misses 3-pt shot from 26 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by A. Drummond
11:15.0,,,0-0,,Turnover by M. Morris (step out of bounds)
11:00.0,J. Lin misses 2-pt shot from 14 ft,,0-0,,
11:00.0,,,0-0,,Defensive rebound by M. Morris
10:50.0,Personal foul by C. LeVert (drawn by M. Morris),,0-0,,
10:38.0,,,0-0,,J. Leuer misses 3-pt shot from 26 ft
10:37.0,,,0-0,,Offensive rebound by Team
10:33.0,,,0-0,,Turnover by A. Drummond (back court)
10:13.0,B. Lopez misses 2-pt shot from 7 ft,,0-0,,
10:13.0,,,0-0,,Defensive rebound by A. Drummond
10:01.0,,,0-0,,I. Smith misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by B. Lopez,,0-0,,
9:54.0,R. Hollis-Jefferson misses 2-pt shot from 18 ft,,0-0,,
9:51.0,,,0-0,,Defensive rebound by M. Morris
9:45.0,,,0-0,,J. Leuer misses 2-pt shot from 14 ft
9:45.0,,,0-0,,Offensive rebound by A. Drummond
9:45.0,,,0-0,,Shooting foul by R. Hollis-Jefferson (drawn by A. Drummond)
9:45.0,,,0-0,,A. Drummond misses free throw 1 of 2
9:45.0,,,0-0,,Offensive rebound by Team
9:45.0,,,0-0,,A. Drummond misses free throw 2 of 2
9:43.0,Defensive rebound by B. Lopez,,0-0,,
9:27.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by C. LeVert),2,2-0,,
9:09.0,,,2-0,,K. Caldwell-Pope misses 2-pt shot from 11 ft
9:09.0,Defensive rebound by R. Hollis-Jefferson,,2-0,,
8:56.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,2-0,,
8:55.0,,,2-0,,Defensive rebound by M. Morris
8:42.0,,,2-2,2,J. Leuer makes 2-pt shot from 2 ft
8:26.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Lin),2,4-2,,
8:13.0,,,4-2,,I. Smith misses 2-pt shot from 17 ft
8:12.0,Defensive rebound by C. LeVert,,4-2,,
8:06.0,C. LeVert misses 2-pt shot from 5 ft (block by M. Morris),,4-2,,
8:06.0,Offensive rebound by Team,,4-2,,
8:02.0,R. Hollis-Jefferson misses 3-pt shot from 26 ft,,4-2,,
8:02.0,,,4-2,,Defensive rebound by I. Smith
7:54.0,,,4-2,,K. Caldwell-Pope misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by J. Lin,,4-2,,
7:37.0,C. LeVert makes 2-pt shot from 16 ft,2,6-2,,
7:23.0,,,6-2,,K. Caldwell-Pope misses 2-pt shot from 12 ft
7:23.0,Defensive rebound by C. LeVert,,6-2,,
7:05.0,J. Lin makes 3-pt shot from 23 ft (assist by R. Foye),3,9-2,,
6:59.0,,,9-2,,Detroit full timeout
