time,Portland,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Leonard vs. K. Towns (G. Dieng gains possession),,,,Jump ball: M. Leonard vs. K. Towns (G. Dieng gains possession)
11:40.0,,,0-2,2,K. Towns makes 2-pt shot from 1 ft (assist by G. Dieng)
11:23.0,M. Leonard misses 2-pt shot from 19 ft,,0-2,,
11:22.0,Offensive rebound by M. Harkless,,0-2,,
11:11.0,N. Vonleh makes 2-pt shot at rim (assist by M. Leonard),2,2-2,,
10:54.0,,,2-2,,K. Towns misses 2-pt shot from 18 ft
10:53.0,Defensive rebound by D. Lillard,,2-2,,
10:43.0,M. Harkless makes 3-pt shot from 25 ft (assist by M. Leonard),3,5-2,,
10:27.0,,,5-4,2,K. Towns makes 2-pt shot from 6 ft (assist by B. Rush)
10:08.0,N. Vonleh misses 2-pt shot from 4 ft (block by G. Dieng),,5-4,,
10:06.0,,,5-4,,Defensive rebound by R. Rubio
10:00.0,,,5-4,,Shooting foul by D. Lillard (drawn by R. Rubio)
10:00.0,,,5-5,1,R. Rubio makes free throw 1 of 2
10:00.0,,,5-5,,R. Rubio misses free throw 2 of 2
9:59.0,Defensive rebound by N. Vonleh,,5-5,,
9:44.0,M. Harkless makes 2-pt shot from 4 ft,2,7-5,,
9:26.0,,,7-5,,A. Wiggins misses 2-pt shot from 1 ft (block by N. Vonleh)
9:25.0,,,7-5,,Offensive rebound by Team
9:20.0,,,7-5,,B. Rush misses 2-pt shot at rim
9:19.0,Defensive rebound by M. Leonard,,7-5,,
9:12.0,,,7-5,,Violation by G. Dieng (kicked ball)
8:54.0,M. Leonard misses 2-pt shot from 6 ft,,7-5,,
8:53.0,,,7-5,,Defensive rebound by K. Towns
8:42.0,,,7-7,2,K. Towns makes 2-pt shot from 15 ft (assist by R. Rubio)
8:22.0,C. McCollum misses 3-pt shot from 25 ft,,7-7,,
8:21.0,,,7-7,,Defensive rebound by Team
8:08.0,,,7-9,2,A. Wiggins makes 2-pt shot from 20 ft (assist by R. Rubio)
7:55.0,Shooting foul by R. Rubio (drawn by D. Lillard),,7-9,,
7:55.0,D. Lillard misses free throw 1 of 3,,7-9,,
7:55.0,Offensive rebound by Team,,7-9,,
7:55.0,D. Lillard makes free throw 2 of 3,1,8-9,,
7:55.0,D. Lillard makes free throw 3 of 3,1,9-9,,
7:42.0,,,9-9,,R. Rubio misses 2-pt shot from 20 ft
7:41.0,,,9-9,,Offensive rebound by Team
7:34.0,,,9-11,2,A. Wiggins makes 2-pt shot from 20 ft (assist by R. Rubio)
7:10.0,M. Leonard misses 3-pt shot from 25 ft,,9-11,,
7:09.0,,,9-11,,Defensive rebound by A. Wiggins
6:49.0,,,9-11,,G. Dieng misses 2-pt shot from 18 ft
6:49.0,,,9-11,,Offensive rebound by Team
6:49.0,Loose ball foul by M. Leonard (drawn by K. Towns),,9-11,,
6:45.0,,,9-11,,K. Towns misses 2-pt shot at rim
6:43.0,Defensive rebound by M. Leonard,,9-11,,
6:34.0,D. Lillard makes 2-pt shot from 2 ft,2,11-11,,
6:18.0,,,11-11,,B. Rush misses 3-pt shot from 23 ft
6:17.0,Defensive rebound by D. Lillard,,11-11,,
6:08.0,N. Vonleh makes 2-pt shot from 19 ft (assist by C. McCollum),2,13-11,,
5:47.0,,,13-11,,A. Wiggins misses 2-pt shot from 15 ft
5:44.0,,,13-11,,Offensive rebound by K. Towns
5:41.0,,,13-13,2,K. Towns makes 2-pt shot from 1 ft
5:25.0,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard),2,15-13,,
5:07.0,,,15-15,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
4:50.0,D. Lillard misses 2-pt shot from 10 ft (block by R. Rubio),,15-15,,
4:48.0,,,15-15,,Defensive rebound by R. Rubio
4:43.0,,,15-18,3,A. Wiggins makes 3-pt shot from 22 ft (assist by R. Rubio)
4:42.0,Portland full timeout,,15-18,,
4:42.0,A. Crabbe enters the game for N. Vonleh,,15-18,,
4:42.0,A. Aminu enters the game for M. Leonard,,15-18,,
4:42.0,E. Turner enters the game for C. McCollum,,15-18,,
4:29.0,M. Harkless makes 2-pt shot from 6 ft,2,17-18,,
4:13.0,,,17-18,,Turnover by R. Rubio (bad pass; steal by D. Lillard)
4:05.0,E. Turner misses 3-pt shot from 25 ft,,17-18,,
4:03.0,,,17-18,,Defensive rebound by B. Rush
3:57.0,,,17-20,2,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio)
3:35.0,A. Aminu misses 2-pt shot from 22 ft,,17-20,,
3:34.0,,,17-20,,Defensive rebound by K. Towns
3:20.0,,,17-20,,K. Towns misses 2-pt shot from 15 ft
3:19.0,Defensive rebound by M. Harkless,,17-20,,
3:09.0,D. Lillard misses 2-pt shot from 10 ft,,17-20,,
3:07.0,,,17-20,,Defensive rebound by K. Towns
3:01.0,,,17-23,3,A. Wiggins makes 3-pt shot from 24 ft (assist by R. Rubio)
2:40.0,A. Crabbe makes 2-pt shot from 18 ft (assist by A. Aminu),2,19-23,,
2:25.0,,,19-25,2,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio)
2:03.0,A. Crabbe misses 2-pt shot from 17 ft,,19-25,,
2:01.0,,,19-25,,Defensive rebound by K. Towns
1:52.0,,,19-27,2,R. Rubio makes 2-pt shot from 1 ft
1:34.0,D. Lillard makes 2-pt shot from 21 ft,2,21-27,,
1:17.0,,,21-29,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
0:54.0,M. Harkless misses 3-pt shot from 25 ft,,21-29,,
0:53.0,Offensive rebound by A. Aminu,,21-29,,
0:32.0,E. Turner makes 2-pt shot at rim (assist by A. Aminu),2,23-29,,
0:16.0,,,23-29,,R. Rubio misses 2-pt shot from 13 ft
0:14.0,Defensive rebound by Team,,23-29,,
0:14.0,,,23-29,,Minnesota full timeout
0:14.0,C. McCollum enters the game for M. Harkless,,23-29,,
0:14.0,M. Leonard enters the game for E. Turner,,23-29,,
0:14.0,,,23-29,,O. Casspi enters the game for K. Towns
0:14.0,,,23-29,,K. Dunn enters the game for R. Rubio
0:14.0,,,23-29,,S. Muhammad enters the game for B. Rush
0:05.0,,,23-29,,Personal foul by G. Dieng (drawn by D. Lillard)
0:00.0,A. Crabbe misses 3-pt shot from 23 ft,,23-29,,
0:00.0,Offensive rebound by Team,,23-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,A. Aminu misses 2-pt shot from 1 ft,,23-29,,
11:40.0,,,23-29,,Defensive rebound by O. Casspi
11:25.0,,,23-31,2,T. Jones makes 2-pt shot from 20 ft
11:09.0,,,23-31,,Shooting block foul by A. Payne (drawn by A. Aminu)
11:09.0,A. Aminu makes free throw 1 of 2,1,24-31,,
11:09.0,A. Aminu makes free throw 2 of 2,1,25-31,,
10:53.0,,,25-31,,Shooting foul by E. Turner (drawn by O. Casspi)
10:53.0,,,25-32,1,O. Casspi makes free throw 1 of 2
10:53.0,,,25-32,,O. Casspi misses free throw 2 of 2
10:53.0,Defensive rebound by A. Crabbe,,25-32,,
10:42.0,C. McCollum makes 2-pt shot from 13 ft,2,27-32,,
10:26.0,,,27-32,,Shooting foul by E. Turner (drawn by S. Muhammad)
10:26.0,,,27-33,1,S. Muhammad makes free throw 1 of 2
10:26.0,,,27-34,1,S. Muhammad makes free throw 2 of 2
10:10.0,C. McCollum misses 2-pt shot from 20 ft,,27-34,,
10:09.0,,,27-34,,Defensive rebound by T. Jones
10:06.0,,,27-34,,Turnover by T. Jones (bad pass)
9:54.0,E. Turner makes 2-pt shot from 16 ft (assist by C. McCollum),2,29-34,,
9:41.0,,,29-36,2,T. Jones makes 2-pt shot from 1 ft
9:19.0,A. Crabbe misses 2-pt shot from 19 ft,,29-36,,
9:18.0,,,29-36,,Defensive rebound by A. Payne
9:03.0,,,29-36,,K. Dunn misses 2-pt shot from 22 ft
9:02.0,Defensive rebound by N. Vonleh,,29-36,,
8:55.0,C. McCollum makes 2-pt shot from 9 ft,2,31-36,,
8:35.0,,,31-36,,Turnover by T. Jones (lost ball; steal by C. McCollum)
8:34.0,,,31-36,,Personal foul by K. Dunn
8:34.0,Portland full timeout,,31-36,,
8:15.0,A. Crabbe makes 2-pt shot from 1 ft (assist by C. McCollum),2,33-36,,
8:01.0,,,33-38,2,S. Muhammad makes 2-pt shot from 5 ft (assist by K. Dunn)
7:46.0,Turnover by E. Turner (bad pass; steal by A. Payne),,33-38,,
7:46.0,Jump ball: A. Aminu vs. A. Payne (T. Jones gains possession),,,,Jump ball: A. Aminu vs. A. Payne (T. Jones gains possession)
7:32.0,,,33-40,2,S. Muhammad makes 2-pt shot from 2 ft
7:11.0,A. Aminu misses 3-pt shot from 25 ft,,33-40,,
7:10.0,,,33-40,,Defensive rebound by A. Payne
6:55.0,,,33-40,,S. Muhammad misses 2-pt shot from 10 ft (block by E. Turner)
6:54.0,Defensive rebound by C. McCollum,,33-40,,
6:48.0,Turnover by C. McCollum (bad pass; steal by T. Jones),,33-40,,
6:45.0,,,33-40,,S. Muhammad misses 2-pt shot at rim
6:44.0,,,33-40,,Offensive rebound by A. Payne
6:42.0,,,33-40,,Turnover by A. Payne (lost ball; steal by N. Vonleh)
6:30.0,N. Vonleh makes 2-pt shot at rim (assist by E. Turner),2,35-40,,
6:12.0,,,35-40,,O. Casspi misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by C. McCollum,,35-40,,
6:04.0,Shooting foul by K. Dunn,,35-40,,
6:04.0,C. McCollum makes free throw 1 of 2,1,36-40,,
6:04.0,C. McCollum makes free throw 2 of 2,1,37-40,,
6:04.0,,,36-40,,K. Towns enters the game for O. Casspi
6:04.0,,,36-40,,R. Rubio enters the game for K. Dunn
5:44.0,,,37-40,,K. Towns misses 2-pt shot from 3 ft (block by N. Vonleh)
5:43.0,,,37-40,,Offensive rebound by Team
5:43.0,,,37-40,,Minnesota full timeout
5:43.0,M. Harkless enters the game for N. Vonleh,,37-40,,
5:43.0,D. Lillard enters the game for C. McCollum,,37-40,,
5:43.0,,,37-40,,G. Dieng enters the game for A. Payne
5:43.0,,,37-40,,A. Wiggins enters the game for S. Muhammad
5:39.0,,,37-40,,K. Towns misses 2-pt shot from 8 ft
5:38.0,Defensive rebound by M. Harkless,,37-40,,
5:28.0,E. Turner misses 2-pt shot from 12 ft,,37-40,,
5:27.0,,,37-40,,Defensive rebound by A. Wiggins
5:18.0,,,37-40,,R. Rubio misses 2-pt shot from 1 ft
5:17.0,Defensive rebound by E. Turner,,37-40,,
5:12.0,A. Crabbe misses 2-pt shot from 20 ft,,37-40,,
5:12.0,Offensive rebound by E. Turner,,37-40,,
5:08.0,D. Lillard misses 3-pt shot from 24 ft,,37-40,,
5:05.0,Offensive rebound by M. Harkless,,37-40,,
4:59.0,A. Aminu misses 2-pt shot from 4 ft,,37-40,,
4:58.0,Offensive rebound by A. Aminu,,37-40,,
4:53.0,E. Turner makes 2-pt shot from 1 ft,2,39-40,,
4:32.0,,,39-43,3,A. Wiggins makes 3-pt shot from 24 ft (assist by R. Rubio)
4:13.0,A. Aminu makes 3-pt shot from 24 ft (assist by E. Turner),3,42-43,,
4:12.0,,,42-43,,Minnesota full timeout
4:12.0,,,42-43,,B. Rush enters the game for T. Jones
4:00.0,,,42-45,2,A. Wiggins makes 2-pt shot from 19 ft
3:43.0,A. Crabbe makes 2-pt shot from 17 ft (assist by D. Lillard),2,44-45,,
3:25.0,,,44-45,,G. Dieng misses 2-pt shot from 18 ft
3:24.0,Defensive rebound by D. Lillard,,44-45,,
3:12.0,A. Aminu makes 3-pt shot from 25 ft (assist by A. Crabbe),3,47-45,,
2:48.0,,,47-45,,A. Wiggins misses 2-pt shot from 20 ft
2:46.0,Defensive rebound by A. Aminu,,47-45,,
2:35.0,M. Harkless makes 3-pt shot from 24 ft (assist by E. Turner),3,50-45,,
2:19.0,,,50-45,,K. Towns misses 2-pt shot from 6 ft (block by A. Aminu)
2:18.0,,,50-45,,Offensive rebound by Team
2:18.0,Portland full timeout,,50-45,,
2:18.0,C. McCollum enters the game for A. Crabbe,,50-45,,
2:11.0,,,50-47,2,K. Towns makes 2-pt shot from 1 ft (assist by B. Rush)
1:51.0,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard),3,53-47,,
1:33.0,,,53-47,,Turnover by R. Rubio (bad pass; steal by D. Lillard)
1:22.0,D. Lillard misses 2-pt shot from 18 ft,,53-47,,
1:20.0,Offensive rebound by A. Aminu,,53-47,,
1:18.0,M. Harkless makes 2-pt shot from 1 ft (assist by A. Aminu),2,55-47,,
1:04.0,,,55-49,2,B. Rush makes 2-pt shot from 20 ft (assist by R. Rubio)
0:50.0,Turnover by C. McCollum (traveling),,55-49,,
0:41.0,,,55-49,,Offensive foul by R. Rubio
0:41.0,,,55-49,,Turnover by R. Rubio (offensive foul)
0:41.0,A. Crabbe enters the game for E. Turner,,55-49,,
0:34.0,,,55-49,,Shooting block foul by K. Towns
0:34.0,D. Lillard makes free throw 1 of 2,1,56-49,,
0:34.0,D. Lillard makes free throw 2 of 2,1,57-49,,
0:34.0,E. Turner enters the game for A. Crabbe,,56-49,,
0:25.0,,,57-49,,A. Wiggins misses 2-pt shot from 18 ft
0:23.0,Defensive rebound by E. Turner,,57-49,,
0:14.0,Portland full timeout,,57-49,,
0:14.0,A. Crabbe enters the game for E. Turner,,57-49,,
0:04.0,D. Lillard misses 2-pt shot from 1 ft,,57-49,,
0:02.0,,,57-49,,Defensive rebound by R. Rubio
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
