time,Detroit,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. Z. Pachulia (T. Harris gains possession),,,,Jump ball: A. Drummond vs. Z. Pachulia (T. Harris gains possession)
11:45.0,Turnover by A. Drummond (lost ball; steal by Z. Pachulia),,0-0,,
11:35.0,,,0-0,,K. Durant misses 2-pt shot from 1 ft (block by A. Drummond)
11:34.0,Defensive rebound by A. Drummond,,0-0,,
11:27.0,M. Morris misses 3-pt shot from 26 ft,,0-0,,
11:25.0,Offensive rebound by A. Drummond,,0-0,,
11:23.0,A. Drummond makes 2-pt shot from 6 ft,2,2-0,,
11:11.0,,,2-0,,Turnover by S. Curry (bad pass; steal by K. Caldwell-Pope)
10:54.0,R. Jackson misses 3-pt shot from 26 ft,,2-0,,
10:54.0,,,2-0,,Defensive rebound by D. Green
10:45.0,,,2-2,2,S. Curry makes 2-pt shot from 20 ft (assist by D. Green)
10:27.0,T. Harris makes 2-pt shot from 11 ft (assist by M. Morris),2,4-2,,
10:15.0,,,4-4,2,K. Thompson makes 2-pt shot from 5 ft (assist by D. Green)
10:03.0,Turnover by K. Caldwell-Pope (lost ball),,4-4,,
9:52.0,,,4-6,2,Z. Pachulia makes 2-pt shot from 17 ft (assist by K. Thompson)
9:40.0,R. Jackson makes 2-pt shot from 13 ft,2,6-6,,
9:40.0,Shooting foul by K. Thompson (drawn by R. Jackson),,6-6,,
9:40.0,R. Jackson makes free throw 1 of 1,1,7-6,,
9:23.0,,,7-8,2,K. Durant makes 2-pt shot from 14 ft (assist by D. Green)
8:56.0,A. Drummond makes 2-pt shot from 10 ft,2,9-8,,
8:46.0,,,9-8,,Z. Pachulia misses 2-pt shot from 1 ft
8:46.0,Defensive rebound by A. Drummond,,9-8,,
8:40.0,T. Harris misses 3-pt shot from 27 ft,,9-8,,
8:40.0,Offensive rebound by M. Morris,,9-8,,
8:37.0,A. Drummond makes 2-pt shot from 2 ft (assist by M. Morris),2,11-8,,
8:17.0,,,11-10,2,S. Curry makes 2-pt shot from 21 ft
8:14.0,Detroit full timeout,,11-10,,
8:14.0,S. Johnson enters the game for K. Caldwell-Pope,,11-10,,
8:00.0,M. Morris misses 2-pt shot from 14 ft,,11-10,,
7:59.0,,,11-10,,Defensive rebound by Z. Pachulia
7:53.0,,,11-13,3,S. Curry makes 3-pt shot from 26 ft
7:27.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,13-13,,
7:14.0,,,13-15,2,K. Thompson makes 2-pt shot from 11 ft (assist by D. Green)
7:02.0,T. Harris makes 2-pt shot from 19 ft (assist by R. Jackson),2,15-15,,
6:53.0,,,15-15,,Turnover by S. Curry (bad pass)
6:35.0,T. Harris makes 2-pt shot from 12 ft,2,17-15,,
6:22.0,,,17-15,,K. Thompson misses 2-pt shot from 18 ft
6:22.0,,,17-15,,Offensive rebound by Team
6:19.0,,,17-15,,Turnover by S. Curry (bad pass; steal by A. Drummond)
6:13.0,T. Harris misses 3-pt shot from 23 ft,,17-15,,
6:11.0,,,17-15,,Defensive rebound by Z. Pachulia
6:02.0,,,17-18,3,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant)
5:50.0,R. Jackson makes 2-pt shot from 19 ft,2,19-18,,
5:37.0,,,19-18,,Z. Pachulia misses 2-pt shot from 1 ft
5:36.0,Defensive rebound by T. Harris,,19-18,,
5:29.0,M. Morris misses 3-pt shot from 27 ft,,19-18,,
5:29.0,,,19-18,,Defensive rebound by S. Curry
5:24.0,,,19-18,,Shooting foul by T. Harris (drawn by K. Durant)
5:24.0,,,19-19,1,K. Durant makes free throw 1 of 2
5:24.0,,,19-20,1,K. Durant makes free throw 2 of 2
5:10.0,S. Johnson makes 3-pt shot from 26 ft (assist by M. Morris),3,22-20,,
4:58.0,,,22-22,2,S. Curry makes 2-pt shot from 22 ft
4:48.0,,,22-22,,Personal foul by Z. Pachulia (drawn by A. Drummond)
4:48.0,,,22-22,,A. Iguodala enters the game for D. Green
4:48.0,D. Hilliard enters the game for M. Morris,,22-22,,
4:35.0,D. Hilliard misses 2-pt shot from 9 ft,,22-22,,
4:35.0,,,22-22,,Defensive rebound by K. Durant
4:28.0,,,22-25,3,S. Curry makes 3-pt shot from 28 ft (assist by K. Durant)
3:56.0,Turnover by T. Harris (lost ball; steal by Z. Pachulia),,22-25,,
3:54.0,,,22-25,,Turnover by Z. Pachulia (bad pass; steal by R. Jackson)
3:48.0,Turnover by R. Jackson (bad pass; steal by K. Thompson),,22-25,,
3:41.0,,,22-25,,Turnover by S. Curry (bad pass; steal by T. Harris)
3:26.0,T. Harris makes 2-pt shot from 9 ft,2,24-25,,
3:25.0,,,24-25,,Golden State full timeout
3:25.0,I. Smith enters the game for R. Jackson,,24-25,,
3:25.0,,,24-25,,I. Clark enters the game for K. Thompson
3:25.0,,,24-25,,J. McGee enters the game for Z. Pachulia
3:02.0,,,24-27,2,J. McGee makes 2-pt shot at rim (assist by A. Iguodala)
2:49.0,S. Johnson makes 2-pt shot from 19 ft (assist by I. Smith),2,26-27,,
2:36.0,Personal foul by D. Hilliard (drawn by K. Durant),,26-27,,
2:25.0,,,26-27,,A. Iguodala misses 2-pt shot from 20 ft
2:25.0,Defensive rebound by A. Drummond,,26-27,,
2:16.0,D. Hilliard misses 3-pt shot from 26 ft,,26-27,,
2:16.0,,,26-27,,Defensive rebound by J. McGee
2:06.0,,,26-29,2,K. Durant makes 2-pt shot from 11 ft
1:43.0,Shooting foul by J. McGee (drawn by A. Drummond),,26-29,,
1:43.0,A. Drummond makes free throw 1 of 2,1,27-29,,
1:43.0,A. Drummond makes free throw 2 of 2,1,28-29,,
1:43.0,,,27-29,,D. Green enters the game for K. Durant
1:43.0,M. Morris enters the game for T. Harris,,27-29,,
1:32.0,,,28-29,,S. Curry misses 3-pt shot from 26 ft
1:30.0,,,28-29,,Offensive rebound by J. McGee
1:30.0,,,28-29,,J. McGee misses 2-pt shot from 2 ft
1:27.0,,,28-29,,Offensive rebound by Team
1:27.0,B. Marjanovic enters the game for A. Drummond,,28-29,,
1:25.0,,,28-29,,Turnover by S. Curry (step out of bounds)
1:15.0,Shooting foul by A. Iguodala (drawn by D. Hilliard),,28-29,,
1:15.0,D. Hilliard misses free throw 1 of 2,,28-29,,
1:15.0,Offensive rebound by Team,,28-29,,
1:15.0,D. Hilliard misses free throw 2 of 2,,28-29,,
1:12.0,Offensive rebound by B. Marjanovic,,28-29,,
1:07.0,,,28-29,,Violation by J. McGee (def goaltending)
1:07.0,B. Marjanovic makes 2-pt shot from 3 ft (assist by I. Smith),2,30-29,,
0:58.0,Personal foul by S. Johnson (drawn by D. Green),,30-29,,
0:54.0,,,30-31,2,S. Curry makes 2-pt shot from 16 ft
0:40.0,D. Hilliard misses 2-pt shot from 3 ft (block by D. Green),,30-31,,
0:39.0,,,30-31,,Defensive rebound by D. Green
0:33.0,,,30-34,3,I. Clark makes 3-pt shot from 26 ft (assist by D. Green)
0:31.0,Turnover by I. Smith (bad pass; steal by S. Curry),,30-34,,
0:25.0,,,30-37,3,I. Clark makes 3-pt shot from 27 ft (assist by S. Curry)
0:06.0,I. Smith misses 2-pt shot from 9 ft (block by J. McGee),,30-37,,
0:05.0,,,30-37,,Defensive rebound by J. McGee
0:01.0,,,30-37,,Turnover by S. Curry (bad pass)
0:01.0,M. Morris misses 3-pt shot from 67 ft,,30-37,,
0:00.0,Offensive rebound by Team,,30-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,30-37,,D. West misses 2-pt shot from 20 ft
11:41.0,Defensive rebound by D. Hilliard,,30-37,,
11:34.0,Turnover by I. Smith (bad pass; steal by I. Clark),,30-37,,
11:28.0,,,30-39,2,S. Livingston makes 2-pt shot from 1 ft (assist by D. Green)
11:11.0,B. Marjanovic makes 2-pt shot from 6 ft (assist by D. Hilliard),2,32-39,,
11:11.0,Shooting foul by D. West (drawn by B. Marjanovic),,32-39,,
11:11.0,B. Marjanovic makes free throw 1 of 1,1,33-39,,
10:56.0,,,33-41,2,D. West makes 2-pt shot from 19 ft (assist by D. Green)
10:41.0,D. Hilliard misses 2-pt shot from 18 ft,,33-41,,
10:41.0,,,33-41,,Defensive rebound by D. Green
10:31.0,,,33-41,,I. Clark misses 3-pt shot from 26 ft
10:31.0,,,33-41,,Offensive rebound by S. Livingston
10:20.0,,,33-41,,I. Clark misses 2-pt shot from 2 ft (block by I. Smith)
10:20.0,Defensive rebound by B. Marjanovic,,33-41,,
