time,Miami,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. H. Whiteside (L. Babbitt gains possession),,,,Jump ball: J. Henson vs. H. Whiteside (L. Babbitt gains possession)
11:36.0,Turnover by H. Whiteside (bad pass; steal by M. Brogdon),,0-0,,
11:31.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by G. Dragic)
11:28.0,,,0-0,,Offensive rebound by G. Antetokounmpo
11:27.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 1 ft
11:17.0,H. Whiteside misses 2-pt shot from 4 ft (block by J. Henson),,0-2,,
11:14.0,,,0-2,,Defensive rebound by M. Brogdon
11:13.0,Personal foul by R. McGruder (drawn by G. Antetokounmpo),,0-2,,
10:59.0,,,0-2,,J. Parker misses 2-pt shot from 10 ft
10:58.0,,,0-2,,Offensive rebound by J. Henson
10:58.0,,,0-2,,J. Henson misses 2-pt shot from 1 ft
10:56.0,Defensive rebound by G. Dragic,,0-2,,
10:43.0,D. Waiters makes 2-pt shot from 19 ft (assist by H. Whiteside),2,2-2,,
10:23.0,,,2-4,2,J. Henson makes 2-pt shot from 12 ft (assist by J. Parker)
10:03.0,H. Whiteside makes 2-pt shot at rim,2,4-4,,
9:55.0,,,4-4,,Shooting foul by G. Dragic (drawn by M. Brogdon)
9:55.0,,,4-5,1,M. Brogdon makes free throw 1 of 2
9:55.0,,,4-6,1,M. Brogdon makes free throw 2 of 2
9:44.0,Turnover by G. Dragic (lost ball; steal by J. Henson),,4-6,,
9:40.0,,,4-8,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Snell)
9:20.0,L. Babbitt makes 3-pt shot from 30 ft (assist by R. McGruder),3,7-8,,
9:00.0,,,7-8,,Shooting foul by L. Babbitt (drawn by J. Parker)
9:00.0,,,7-8,,J. Parker misses free throw 1 of 2
9:00.0,,,7-8,,Offensive rebound by Team
9:00.0,,,7-8,,J. Parker misses free throw 2 of 2
8:58.0,,,7-8,,Offensive rebound by J. Henson
8:43.0,,,7-11,3,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
8:28.0,D. Waiters misses 3-pt shot from 26 ft,,7-11,,
8:25.0,,,7-11,,Defensive rebound by M. Brogdon
8:21.0,,,7-11,,J. Henson misses 2-pt shot from 2 ft (block by L. Babbitt)
8:21.0,,,7-11,,Offensive rebound by Team
8:16.0,,,7-13,2,J. Parker makes 2-pt shot at rim (assist by M. Brogdon)
8:05.0,,,7-13,,Personal foul by G. Antetokounmpo (drawn by D. Waiters)
7:55.0,Turnover by G. Dragic (bad pass; steal by T. Snell),,7-13,,
7:51.0,,,7-15,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Snell)
7:51.0,Miami full timeout,,7-15,,
7:51.0,J. Johnson enters the game for L. Babbitt,,7-15,,
7:33.0,J. Johnson makes 2-pt shot from 1 ft,2,9-15,,
7:33.0,Shooting foul by J. Henson (drawn by J. Johnson),,9-15,,
7:33.0,J. Johnson makes free throw 1 of 1,1,10-15,,
7:18.0,,,10-15,,T. Snell misses 2-pt shot from 3 ft
7:18.0,Defensive rebound by Team,,10-15,,
7:07.0,R. McGruder makes 2-pt shot at rim (assist by G. Dragic),2,12-15,,
6:55.0,,,12-15,,Shooting foul by D. Waiters (drawn by M. Brogdon)
6:55.0,,,12-16,1,M. Brogdon makes free throw 1 of 2
6:55.0,,,12-17,1,M. Brogdon makes free throw 2 of 2
6:55.0,,,12-16,,M. Beasley enters the game for G. Antetokounmpo
6:33.0,D. Waiters misses 3-pt shot from 26 ft,,12-17,,
6:32.0,,,12-17,,Defensive rebound by J. Parker
6:28.0,,,12-19,2,M. Beasley makes 2-pt shot from 11 ft (assist by J. Parker)
6:28.0,,,12-19,,Shooting foul by R. McGruder (drawn by M. Beasley)
6:28.0,,,12-20,1,M. Beasley makes free throw 1 of 1
6:28.0,T. Johnson enters the game for R. McGruder,,12-19,,
6:28.0,,,12-19,,J. Terry enters the game for T. Snell
6:18.0,H. Whiteside misses 2-pt shot from 5 ft (block by M. Beasley),,12-20,,
6:16.0,,,12-20,,Defensive rebound by M. Beasley
6:06.0,,,12-20,,J. Parker misses 2-pt shot from 2 ft
