time,Chicago,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Lopez (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. R. Lopez (R. Westbrook gains possession)
11:40.0,,,0-0,,D. Sabonis misses 2-pt shot from 5 ft
11:40.0,Defensive rebound by T. Gibson,,0-0,,
11:24.0,D. Wade misses 2-pt shot from 10 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by R. Westbrook
11:19.0,Personal foul by R. Lopez (drawn by S. Adams),,0-0,,
11:06.0,,,0-3,3,A. Roberson makes 3-pt shot from 22 ft (assist by R. Westbrook)
10:45.0,J. Butler makes 2-pt shot from 19 ft,2,2-3,,
10:29.0,,,2-3,,Turnover by V. Oladipo (bad pass; steal by J. Butler)
10:20.0,J. Butler misses 2-pt shot from 22 ft,,2-3,,
10:20.0,,,2-3,,Defensive rebound by D. Sabonis
10:10.0,,,2-3,,R. Westbrook misses 2-pt shot from 17 ft
10:09.0,Defensive rebound by D. Wade,,2-3,,
9:58.0,R. Lopez makes 2-pt shot from 18 ft (assist by D. Wade),2,4-3,,
9:34.0,,,4-3,,V. Oladipo misses 3-pt shot from 24 ft
9:34.0,Defensive rebound by Team,,4-3,,
9:15.0,J. Butler misses 2-pt shot from 1 ft (block by A. Roberson),,4-3,,
9:14.0,,,4-3,,Defensive rebound by R. Westbrook
9:09.0,,,4-5,2,R. Westbrook makes 2-pt shot at rim
8:46.0,J. Grant makes 2-pt shot from 15 ft,2,6-5,,
8:22.0,,,6-5,,D. Sabonis misses 2-pt shot from 7 ft
8:21.0,Defensive rebound by T. Gibson,,6-5,,
8:15.0,Turnover by J. Grant (bad pass; steal by R. Westbrook),,6-5,,
8:09.0,,,6-5,,A. Roberson misses 3-pt shot from 25 ft
8:08.0,,,6-5,,Offensive rebound by Team
8:08.0,Loose ball foul by D. Wade (drawn by D. Sabonis),,6-5,,
