time,Philadelphia,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Okafor (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. J. Okafor (R. Westbrook gains possession)
11:44.0,,,0-0,,V. Oladipo misses 2-pt shot from 14 ft
11:43.0,Defensive rebound by J. Okafor,,0-0,,
11:30.0,D. Saric misses 2-pt shot from 17 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by R. Westbrook
11:26.0,,,0-0,,T. Gibson misses 2-pt shot from 2 ft (block by D. Saric)
11:24.0,,,0-0,,Offensive rebound by T. Gibson
11:19.0,,,0-0,,A. Roberson misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by D. Saric,,0-0,,
11:09.0,Turnover by R. Covington (bad pass; steal by S. Adams),,0-0,,
11:06.0,,,0-0,,Turnover by V. Oladipo (lost ball; steal by T. McConnell)
10:56.0,D. Saric misses 2-pt shot from 2 ft (block by R. Westbrook),,0-0,,
10:55.0,,,0-0,,Defensive rebound by R. Westbrook
10:39.0,,,0-0,,T. Gibson misses 2-pt shot from 14 ft
10:39.0,Defensive rebound by J. Okafor,,0-0,,
10:27.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by S. Adams),,0-0,,
10:12.0,,,0-0,,T. Gibson misses 2-pt shot from 1 ft
10:11.0,Defensive rebound by R. Covington,,0-0,,
10:01.0,J. Okafor makes 2-pt shot from 7 ft,2,2-0,,
9:41.0,,,2-2,2,S. Adams makes 2-pt shot at rim
9:20.0,D. Saric misses 2-pt shot from 17 ft,,2-2,,
9:20.0,,,2-2,,Defensive rebound by R. Westbrook
9:02.0,,,2-4,2,R. Westbrook makes 2-pt shot from 18 ft
8:45.0,R. Covington makes 2-pt shot from 2 ft,2,4-4,,
8:45.0,Shooting foul by A. Roberson (drawn by R. Covington),,4-4,,
8:45.0,R. Covington makes free throw 1 of 1,1,5-4,,
8:34.0,,,5-4,,V. Oladipo misses 2-pt shot from 2 ft
8:33.0,Defensive rebound by R. Covington,,5-4,,
8:15.0,J. Okafor misses 2-pt shot from 16 ft,,5-4,,
8:15.0,,,5-4,,Defensive rebound by V. Oladipo
8:03.0,,,5-4,,Turnover by V. Oladipo (traveling)
7:48.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,5-4,,
7:47.0,,,5-4,,Defensive rebound by R. Westbrook
