time,Boston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. A. Johnson (D. Schroder gains possession),,,,Jump ball: D. Howard vs. A. Johnson (D. Schroder gains possession)
11:42.0,,,0-0,,Shooting foul by A. Horford (drawn by D. Howard)
11:42.0,,,0-0,,D. Howard misses free throw 1 of 2
11:42.0,,,0-0,,Offensive rebound by Team
11:42.0,,,0-0,,D. Howard misses free throw 2 of 2
11:42.0,Defensive rebound by A. Bradley,,0-0,,
11:27.0,I. Thomas makes 3-pt shot from 23 ft (assist by A. Johnson),3,3-0,,
11:04.0,,,3-3,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by E. Ilyasova)
10:46.0,A. Bradley makes 2-pt shot from 20 ft (assist by A. Johnson),2,5-3,,
10:20.0,,,5-5,2,T. Waller-Prince makes 2-pt shot from 9 ft (assist by D. Schroder)
10:03.0,Shooting foul by D. Howard (drawn by A. Johnson),,5-5,,
10:03.0,A. Johnson makes free throw 1 of 2,1,6-5,,
10:03.0,A. Johnson makes free throw 2 of 2,1,7-5,,
9:37.0,,,7-5,,T. Hardaway misses 2-pt shot from 22 ft
9:35.0,,,7-5,,Offensive rebound by D. Howard
9:34.0,Personal foul by A. Johnson (drawn by D. Howard),,7-5,,
9:31.0,Personal foul by A. Bradley (drawn by T. Hardaway),,7-5,,
9:20.0,,,7-7,2,T. Waller-Prince makes 2-pt shot from 2 ft (assist by T. Hardaway)
9:03.0,,,7-7,,Personal foul by E. Ilyasova (drawn by J. Crowder)
8:55.0,A. Bradley misses 2-pt shot from 18 ft,,7-7,,
8:52.0,,,7-7,,Defensive rebound by T. Waller-Prince
8:41.0,,,7-7,,D. Schroder misses 2-pt shot from 12 ft
8:40.0,,,7-7,,Offensive rebound by Team
8:31.0,,,7-7,,E. Ilyasova misses 3-pt shot from 24 ft
8:28.0,Defensive rebound by I. Thomas,,7-7,,
8:13.0,A. Johnson misses 3-pt shot from 24 ft,,7-7,,
8:11.0,,,7-7,,Defensive rebound by T. Waller-Prince
8:05.0,,,7-10,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by T. Hardaway)
7:38.0,J. Crowder makes 2-pt shot from 8 ft (assist by I. Thomas),2,9-10,,
7:30.0,,,9-13,3,D. Schroder makes 3-pt shot from 25 ft
7:14.0,,,9-13,,Personal foul by T. Waller-Prince (drawn by J. Crowder)
7:07.0,A. Bradley misses 3-pt shot from 24 ft,,9-13,,
7:06.0,,,9-13,,Defensive rebound by D. Howard
7:02.0,,,9-15,2,T. Hardaway makes 2-pt shot at rim (assist by D. Howard)
6:54.0,,,9-15,,Personal foul by D. Schroder (drawn by I. Thomas)
6:54.0,K. Olynyk enters the game for A. Johnson,,9-15,,
6:44.0,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas),3,12-15,,
6:25.0,,,12-18,3,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder)
6:04.0,A. Bradley misses 3-pt shot from 24 ft,,12-18,,
6:02.0,,,12-18,,Defensive rebound by D. Howard
5:57.0,,,12-18,,E. Ilyasova misses 2-pt shot at rim
5:54.0,Defensive rebound by K. Olynyk,,12-18,,
5:49.0,,,12-18,,Personal foul by D. Schroder (drawn by I. Thomas)
5:49.0,,,12-18,,Atlanta full timeout
5:49.0,I. Thomas makes free throw 1 of 2,1,13-18,,
5:49.0,I. Thomas makes free throw 2 of 2,1,14-18,,
5:49.0,,,12-18,,K. Bazemore enters the game for T. Waller-Prince
5:49.0,,,12-18,,P. Millsap enters the game for E. Ilyasova
5:49.0,M. Smart enters the game for J. Crowder,,12-18,,
5:38.0,Personal foul by K. Olynyk (drawn by D. Howard),,14-18,,
5:34.0,,,14-20,2,T. Hardaway makes 2-pt shot from 1 ft (assist by K. Bazemore)
5:16.0,A. Horford misses 2-pt shot from 19 ft,,14-20,,
5:15.0,,,14-20,,Defensive rebound by T. Hardaway
5:06.0,,,14-20,,D. Howard misses 2-pt shot from 1 ft
5:03.0,Defensive rebound by K. Olynyk,,14-20,,
4:54.0,K. Olynyk misses 3-pt shot from 24 ft,,14-20,,
4:53.0,,,14-20,,Defensive rebound by T. Hardaway
4:46.0,,,14-20,,Turnover by D. Howard (step out of bounds)
4:46.0,,,14-20,,T. Waller-Prince enters the game for D. Schroder
4:36.0,I. Thomas makes 2-pt shot from 1 ft (assist by A. Horford),2,16-20,,
4:19.0,,,16-20,,P. Millsap misses 3-pt shot from 25 ft
4:17.0,,,16-20,,Offensive rebound by Team
4:17.0,,,16-20,,M. Muscala enters the game for D. Howard
4:09.0,,,16-20,,P. Millsap misses 2-pt shot from 10 ft
4:06.0,Defensive rebound by A. Horford,,16-20,,
4:01.0,A. Bradley misses 3-pt shot from 24 ft,,16-20,,
4:00.0,,,16-20,,Defensive rebound by P. Millsap
3:54.0,,,16-20,,Offensive charge foul by P. Millsap
3:54.0,,,16-20,,Turnover by P. Millsap (offensive foul)
3:36.0,K. Olynyk makes 2-pt shot from 11 ft (assist by M. Smart),2,18-20,,
3:21.0,,,18-20,,T. Hardaway misses 2-pt shot from 2 ft
3:20.0,,,18-20,,Offensive rebound by P. Millsap
3:20.0,,,18-22,2,P. Millsap makes 2-pt shot from 1 ft
3:08.0,A. Bradley misses 3-pt shot from 23 ft,,18-22,,
3:06.0,,,18-22,,Defensive rebound by M. Muscala
2:53.0,,,18-22,,M. Muscala misses 3-pt shot from 24 ft
2:52.0,,,18-22,,Offensive rebound by P. Millsap
2:52.0,Boston full timeout,,18-22,,
2:52.0,J. Brown enters the game for A. Horford,,18-22,,
2:52.0,A. Johnson enters the game for A. Bradley,,18-22,,
2:52.0,,,18-22,,M. Dunleavy enters the game for T. Hardaway
2:46.0,,,18-24,2,K. Bazemore makes 2-pt shot from 16 ft
2:30.0,Turnover by M. Smart (bad pass; steal by K. Bazemore),,18-24,,
2:24.0,,,18-24,,T. Waller-Prince misses 2-pt shot from 1 ft
2:23.0,,,18-24,,Offensive rebound by M. Muscala
2:23.0,,,18-24,,M. Muscala misses 2-pt shot from 1 ft
2:22.0,Defensive rebound by A. Johnson,,18-24,,
2:12.0,Turnover by I. Thomas (lost ball; steal by K. Bazemore),,18-24,,
2:04.0,,,18-26,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
1:54.0,Turnover by A. Johnson (bad pass; steal by K. Bazemore),,18-26,,
1:44.0,,,18-26,,M. Muscala misses 3-pt shot from 25 ft
1:42.0,,,18-26,,Offensive rebound by P. Millsap
1:29.0,,,18-28,2,P. Millsap makes 2-pt shot from 18 ft
1:08.0,A. Johnson misses 2-pt shot from 1 ft,,18-28,,
1:06.0,,,18-28,,Defensive rebound by P. Millsap
1:04.0,Personal foul by J. Brown (drawn by K. Bazemore),,18-28,,
1:04.0,,,18-29,1,K. Bazemore makes free throw 1 of 2
1:04.0,,,18-30,1,K. Bazemore makes free throw 2 of 2
1:04.0,J. Crowder enters the game for I. Thomas,,18-29,,
0:54.0,Turnover by J. Brown (lost ball; steal by P. Millsap),,18-30,,
0:49.0,,,18-32,2,T. Waller-Prince makes 2-pt shot at rim (assist by P. Millsap)
0:49.0,Boston full timeout,,18-32,,
0:36.0,J. Brown misses 2-pt shot from 1 ft (block by M. Dunleavy),,18-32,,
0:36.0,Offensive rebound by Team,,18-32,,
0:33.0,M. Smart makes 3-pt shot from 25 ft (assist by J. Brown),3,21-32,,
0:14.0,,,21-32,,K. Bazemore misses 2-pt shot from 5 ft
0:12.0,Defensive rebound by A. Johnson,,21-32,,
0:03.0,M. Smart makes 3-pt shot from 24 ft,3,24-32,,
0:00.0,,,24-32,,K. Bazemore misses 3-pt shot from 24 ft
0:00.0,,,24-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,K. Olynyk misses 3-pt shot from 24 ft,,24-32,,
11:47.0,Offensive rebound by J. Crowder,,24-32,,
11:40.0,Turnover by A. Johnson (3 sec),,24-32,,
11:30.0,,,24-32,,M. Dunleavy misses 2-pt shot from 18 ft
11:29.0,Defensive rebound by K. Olynyk,,24-32,,
11:14.0,J. Crowder makes 3-pt shot from 24 ft,3,27-32,,
10:56.0,,,27-34,2,K. Bazemore makes 2-pt shot from 21 ft
10:42.0,J. Crowder misses 2-pt shot from 2 ft (block by M. Muscala),,27-34,,
10:39.0,,,27-34,,Defensive rebound by K. Bazemore
10:35.0,,,27-36,2,T. Hardaway makes 2-pt shot from 1 ft (assist by K. Bazemore)
10:16.0,J. Crowder makes 3-pt shot from 25 ft (assist by J. Brown),3,30-36,,
9:58.0,,,30-36,,K. Bazemore misses 2-pt shot from 20 ft
9:56.0,Defensive rebound by K. Olynyk,,30-36,,
9:50.0,,,30-36,,Personal foul by K. Bazemore (drawn by M. Smart)
9:50.0,,,30-36,,D. Howard enters the game for M. Muscala
9:50.0,,,30-36,,E. Ilyasova enters the game for P. Millsap
9:50.0,A. Horford enters the game for K. Olynyk,,30-36,,
9:37.0,J. Crowder makes 2-pt shot from 2 ft (assist by A. Horford),2,32-36,,
9:37.0,,,32-36,,Atlanta full timeout
9:37.0,,,32-36,,T. Waller-Prince enters the game for K. Bazemore
9:37.0,,,32-36,,D. Schroder enters the game for M. Dunleavy
9:14.0,,,32-36,,E. Ilyasova misses 2-pt shot from 6 ft (block by M. Smart)
9:11.0,Defensive rebound by M. Smart,,32-36,,
9:03.0,J. Brown makes 3-pt shot from 23 ft (assist by A. Horford),3,35-36,,
8:56.0,,,35-36,,Offensive foul by D. Howard
8:56.0,,,35-36,,Turnover by D. Howard (offensive foul)
8:35.0,M. Smart misses 3-pt shot from 25 ft,,35-36,,
8:34.0,,,35-36,,Defensive rebound by Team
8:13.0,,,35-36,,Shooting foul by J. Brown (drawn by D. Howard)
8:13.0,,,35-37,1,D. Howard makes free throw 1 of 2
8:13.0,,,35-38,1,D. Howard makes free throw 2 of 2
8:04.0,,,35-38,,Personal foul by D. Schroder (drawn by J. Crowder)
7:50.0,J. Crowder makes 3-pt shot from 23 ft (assist by M. Smart),3,38-38,,
7:35.0,,,38-38,,Shooting foul by A. Horford (drawn by T. Waller-Prince)
7:35.0,,,38-39,1,T. Waller-Prince makes free throw 1 of 2
7:35.0,,,38-40,1,T. Waller-Prince makes free throw 2 of 2
7:35.0,A. Bradley enters the game for J. Brown,,38-39,,
7:12.0,A. Bradley misses 2-pt shot from 21 ft,,38-40,,
7:10.0,,,38-40,,Defensive rebound by D. Howard
7:02.0,,,38-42,2,T. Hardaway makes 2-pt shot from 21 ft
6:49.0,M. Smart makes 3-pt shot from 24 ft (assist by A. Johnson),3,41-42,,
6:32.0,,,41-44,2,D. Schroder makes 2-pt shot from 18 ft (assist by T. Hardaway)
6:17.0,A. Bradley makes 2-pt shot at rim (assist by A. Johnson),2,43-44,,
6:17.0,Shooting foul by D. Howard (drawn by A. Bradley),,43-44,,
6:17.0,A. Bradley makes free throw 1 of 1,1,44-44,,
6:17.0,I. Thomas enters the game for M. Smart,,43-44,,
6:17.0,,,43-44,,K. Bazemore enters the game for D. Schroder
6:17.0,,,43-44,,P. Millsap enters the game for D. Howard
6:17.0,K. Olynyk enters the game for A. Johnson,,43-44,,
6:05.0,,,44-46,2,P. Millsap makes 2-pt shot from 17 ft
5:42.0,K. Olynyk misses 3-pt shot from 25 ft,,44-46,,
5:41.0,,,44-46,,Defensive rebound by E. Ilyasova
5:38.0,,,44-46,,Turnover by E. Ilyasova (bad pass)
5:38.0,Official timeout,,44-46,,
5:25.0,J. Crowder misses 3-pt shot from 25 ft,,44-46,,
5:22.0,,,44-46,,Defensive rebound by P. Millsap
5:14.0,Violation by A. Horford (def goaltending),,44-46,,
5:14.0,,,44-48,2,T. Hardaway makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
