time,New Orleans,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. H. Whiteside (D. Cousins gains possession),,,,Jump ball: A. Davis vs. H. Whiteside (D. Cousins gains possession)
11:46.0,A. Davis misses 2-pt shot from 6 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by R. McGruder
11:28.0,,,0-3,3,G. Dragic makes 3-pt shot from 25 ft (assist by L. Babbitt)
11:14.0,D. Cousins misses 2-pt shot from 4 ft,,0-3,,
11:13.0,,,0-3,,Defensive rebound by G. Dragic
11:06.0,Violation by W. Selden (def goaltending),,0-3,,
11:06.0,,,0-5,2,D. Waiters makes 2-pt shot from 2 ft
10:56.0,S. Hill misses 2-pt shot from 2 ft,,0-5,,
10:55.0,,,0-5,,Defensive rebound by H. Whiteside
10:40.0,,,0-5,,Turnover by H. Whiteside (lost ball; steal by W. Selden)
10:39.0,Turnover by A. Davis (bad pass),,0-5,,
10:27.0,,,0-5,,L. Babbitt misses 3-pt shot from 27 ft
10:26.0,Defensive rebound by D. Cousins,,0-5,,
10:15.0,A. Davis misses 2-pt shot from 5 ft,,0-5,,
10:14.0,,,0-5,,Defensive rebound by H. Whiteside
10:05.0,,,0-5,,D. Waiters misses 2-pt shot from 2 ft
10:05.0,Defensive rebound by D. Cousins,,0-5,,
10:00.0,J. Holiday misses 3-pt shot from 25 ft,,0-5,,
9:59.0,,,0-5,,Defensive rebound by Team
9:49.0,,,0-5,,L. Babbitt misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by D. Cousins,,0-5,,
9:36.0,A. Davis makes 2-pt shot from 21 ft,2,2-5,,
9:18.0,,,2-5,,G. Dragic misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by D. Cousins,,2-5,,
9:10.0,A. Davis misses 2-pt shot from 6 ft,,2-5,,
9:09.0,,,2-5,,Defensive rebound by H. Whiteside
8:55.0,,,2-7,2,R. McGruder makes 2-pt shot from 2 ft (assist by D. Waiters)
8:45.0,D. Cousins makes 3-pt shot from 24 ft (assist by J. Holiday),3,5-7,,
8:14.0,,,5-7,,R. McGruder misses 3-pt shot from 24 ft
8:12.0,Defensive rebound by J. Holiday,,5-7,,
8:10.0,Turnover by J. Holiday (bad pass; steal by D. Waiters),,5-7,,
8:03.0,,,5-9,2,G. Dragic makes 2-pt shot from 11 ft
7:51.0,J. Holiday makes 2-pt shot from 2 ft (assist by D. Cousins),2,7-9,,
7:33.0,,,7-9,,Turnover by H. Whiteside (offensive goaltending)
7:24.0,,,7-9,,Personal foul by G. Dragic (drawn by A. Davis)
7:07.0,D. Cousins misses 2-pt shot from 18 ft,,7-9,,
7:06.0,,,7-9,,Defensive rebound by D. Waiters
6:55.0,,,7-9,,Shooting foul by W. Selden (drawn by G. Dragic)
6:55.0,,,7-9,,G. Dragic misses free throw 1 of 3
6:55.0,,,7-9,,Offensive rebound by Team
6:55.0,,,7-10,1,G. Dragic makes free throw 2 of 3
6:55.0,,,7-11,1,G. Dragic makes free throw 3 of 3
6:55.0,,,7-10,,W. Reed enters the game for H. Whiteside
6:45.0,Shooting foul by W. Reed (drawn by A. Davis),,7-11,,
6:45.0,A. Davis makes free throw 1 of 2,1,8-11,,
6:45.0,A. Davis misses free throw 2 of 2,,8-11,,
6:44.0,Offensive rebound by D. Cousins,,8-11,,
6:42.0,D. Cousins makes 2-pt shot from 1 ft,2,10-11,,
6:29.0,,,10-11,,Turnover by D. Waiters (lost ball; steal by A. Davis)
6:19.0,S. Hill misses 3-pt shot from 23 ft,,10-11,,
6:18.0,,,10-11,,Defensive rebound by R. McGruder
6:09.0,,,10-13,2,G. Dragic makes 2-pt shot from 1 ft
5:59.0,D. Cousins misses 2-pt shot from 5 ft,,10-13,,
5:58.0,,,10-13,,Defensive rebound by G. Dragic
5:52.0,,,10-15,2,D. Waiters makes 2-pt shot from 1 ft
5:47.0,New Orleans full timeout,,10-15,,
5:35.0,D. Cousins makes 2-pt shot from 1 ft (assist by A. Davis),2,12-15,,
5:18.0,,,12-15,,G. Dragic misses 3-pt shot from 25 ft
5:17.0,,,12-15,,Offensive rebound by W. Reed
5:12.0,,,12-15,,D. Waiters misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by W. Selden,,12-15,,
4:57.0,J. Holiday misses 2-pt shot from 2 ft,,12-15,,
4:56.0,,,12-15,,Defensive rebound by L. Babbitt
4:47.0,,,12-17,2,D. Waiters makes 2-pt shot from 2 ft
4:30.0,D. Cousins makes 2-pt shot from 4 ft (assist by J. Holiday),2,14-17,,
4:24.0,,,14-17,,Shooting foul by D. Cousins (drawn by G. Dragic)
4:24.0,,,14-18,1,G. Dragic makes free throw 1 of 2
4:24.0,,,14-18,,G. Dragic misses free throw 2 of 2
4:24.0,D. Cunningham enters the game for A. Davis,,14-18,,
4:24.0,E. Moore enters the game for W. Selden,,14-18,,
4:24.0,,,14-18,,J. Johnson enters the game for L. Babbitt
4:23.0,Defensive rebound by E. Moore,,14-18,,
4:00.0,S. Hill misses 2-pt shot from 8 ft,,14-18,,
3:59.0,,,14-18,,Defensive rebound by G. Dragic
3:52.0,,,14-20,2,G. Dragic makes 2-pt shot at rim
3:32.0,,,14-20,,Personal foul by W. Reed (drawn by D. Cousins)
3:32.0,Technical foul by D. Cousins,,14-20,,
3:32.0,,,14-21,1,T. Johnson makes technical free throw
3:32.0,Turnover by D. Cousins (offensive foul),,14-21,,
3:32.0,Offensive foul by D. Cousins,,14-21,,
3:32.0,,,14-20,,T. Johnson enters the game for G. Dragic
3:32.0,,,14-21,,H. Whiteside enters the game for W. Reed
3:32.0,A. Davis enters the game for D. Cousins,,14-21,,
3:14.0,,,14-21,,Turnover by H. Whiteside (lost ball; steal by A. Davis)
3:07.0,D. Cunningham misses 3-pt shot from 23 ft,,14-21,,
3:06.0,,,14-21,,Defensive rebound by T. Johnson
2:57.0,,,14-21,,T. Johnson misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by A. Davis,,14-21,,
2:48.0,,,14-21,,Shooting block foul by H. Whiteside (drawn by A. Davis)
2:48.0,,,14-21,,Miami full timeout
2:48.0,A. Davis makes free throw 1 of 2,1,15-21,,
2:48.0,A. Davis makes free throw 2 of 2,1,16-21,,
2:48.0,,,14-21,,J. Richardson enters the game for R. McGruder
2:48.0,,,14-21,,W. Ellington enters the game for D. Waiters
2:48.0,J. Crawford enters the game for S. Hill,,14-21,,
2:29.0,,,16-24,3,W. Ellington makes 3-pt shot from 23 ft (assist by J. Johnson)
2:10.0,J. Crawford misses 2-pt shot from 20 ft,,16-24,,
2:09.0,,,16-24,,Defensive rebound by H. Whiteside
1:58.0,,,16-24,,J. Johnson misses 2-pt shot from 7 ft
1:57.0,,,16-24,,Offensive rebound by H. Whiteside
1:54.0,,,16-24,,Turnover by J. Richardson (step out of bounds)
1:39.0,A. Davis misses 2-pt shot from 6 ft,,16-24,,
1:38.0,,,16-24,,Defensive rebound by H. Whiteside
1:35.0,,,16-24,,Turnover by H. Whiteside (bad pass; steal by D. Cunningham)
1:33.0,D. Cunningham misses 2-pt shot from 14 ft (block by H. Whiteside),,16-24,,
