time,Atlanta,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. K. Towns (T. Sefolosha gains possession),,,,Jump ball: D. Howard vs. K. Towns (T. Sefolosha gains possession)
11:45.0,,,0-0,,Personal foul by Z. LaVine (drawn by D. Howard)
11:37.0,P. Millsap misses 2-pt shot from 1 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by K. Towns
11:19.0,,,0-0,,A. Wiggins misses 2-pt shot from 1 ft (block by T. Sefolosha)
11:18.0,Defensive rebound by K. Bazemore,,0-0,,
11:07.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,2-0,,
10:41.0,,,2-0,,G. Dieng misses 2-pt shot from 18 ft
10:40.0,Defensive rebound by D. Howard,,2-0,,
10:38.0,Turnover by D. Howard (bad pass; steal by R. Rubio),,2-0,,
10:34.0,,,2-3,3,Z. LaVine makes 3-pt shot from 24 ft (assist by R. Rubio)
10:09.0,T. Sefolosha misses 2-pt shot at rim,,2-3,,
10:08.0,Offensive rebound by P. Millsap,,2-3,,
10:04.0,T. Sefolosha misses 3-pt shot from 24 ft,,2-3,,
10:03.0,Offensive rebound by D. Howard,,2-3,,
10:03.0,,,2-3,,Personal foul by G. Dieng (drawn by D. Howard)
9:51.0,P. Millsap misses 2-pt shot from 8 ft,,2-3,,
9:51.0,,,2-3,,Defensive rebound by Team
9:51.0,Loose ball foul by D. Howard (drawn by R. Rubio),,2-3,,
9:36.0,,,2-3,,G. Dieng misses 2-pt shot from 19 ft
9:35.0,Defensive rebound by P. Millsap,,2-3,,
9:16.0,T. Sefolosha makes 3-pt shot from 24 ft (assist by D. Schroder),3,5-3,,
9:02.0,Shooting block foul by D. Howard (drawn by K. Towns),,5-3,,
9:02.0,,,5-4,1,K. Towns makes free throw 1 of 2
9:02.0,,,5-5,1,K. Towns makes free throw 2 of 2
8:46.0,Shooting foul by K. Towns (drawn by D. Howard),,5-5,,
8:46.0,D. Howard makes free throw 1 of 2,1,6-5,,
8:46.0,D. Howard misses free throw 2 of 2,,6-5,,
8:46.0,,,6-5,,Defensive rebound by G. Dieng
8:31.0,,,6-8,3,K. Towns makes 3-pt shot from 24 ft (assist by G. Dieng)
8:13.0,T. Sefolosha makes 2-pt shot from 8 ft,2,8-8,,
7:50.0,,,8-8,,Z. LaVine misses 3-pt shot from 23 ft
7:49.0,Defensive rebound by D. Howard,,8-8,,
7:40.0,D. Schroder misses 2-pt shot from 19 ft,,8-8,,
7:40.0,,,8-8,,Defensive rebound by G. Dieng
7:25.0,,,8-8,,G. Dieng misses 2-pt shot from 18 ft
7:24.0,Defensive rebound by D. Howard,,8-8,,
7:05.0,T. Sefolosha makes 3-pt shot from 24 ft (assist by D. Howard),3,11-8,,
6:59.0,Personal foul by K. Bazemore (drawn by A. Wiggins),,11-8,,
6:59.0,K. Korver enters the game for T. Sefolosha,,11-8,,
6:42.0,,,11-10,2,K. Towns makes 2-pt shot from 5 ft
6:22.0,Turnover by K. Bazemore (bad pass; steal by G. Dieng),,11-10,,
6:16.0,,,11-10,,R. Rubio misses 3-pt shot from 26 ft
6:15.0,,,11-10,,Offensive rebound by G. Dieng
6:13.0,,,11-10,,Turnover by G. Dieng (bad pass; steal by D. Howard)
6:06.0,K. Bazemore misses 3-pt shot from 22 ft,,11-10,,
6:05.0,Offensive rebound by D. Howard,,11-10,,
6:03.0,D. Howard makes 2-pt shot at rim,2,13-10,,
5:36.0,,,13-10,,Turnover by Z. LaVine (bad pass; steal by D. Howard)
5:30.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,15-10,,
5:30.0,,,15-10,,Minnesota full timeout
5:30.0,M. Muscala enters the game for P. Millsap,,15-10,,
5:17.0,,,15-13,3,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio)
4:53.0,D. Schroder misses 3-pt shot from 24 ft,,15-13,,
4:51.0,,,15-13,,Defensive rebound by G. Dieng
4:48.0,Shooting block foul by K. Korver (drawn by A. Wiggins),,15-13,,
4:48.0,,,15-14,1,A. Wiggins makes free throw 1 of 2
4:48.0,,,15-15,1,A. Wiggins makes free throw 2 of 2
4:48.0,,,15-13,,S. Muhammad enters the game for Z. LaVine
4:32.0,D. Schroder makes 2-pt shot from 1 ft (assist by D. Howard),2,17-15,,
4:14.0,,,17-15,,S. Muhammad misses 3-pt shot from 24 ft
4:13.0,,,17-15,,Offensive rebound by G. Dieng
4:10.0,,,17-15,,Shooting foul by K. Bazemore (drawn by S. Muhammad)
4:10.0,,,17-15,,S. Muhammad misses free throw 1 of 2
4:10.0,,,17-15,,Offensive rebound by Team
4:10.0,,,17-16,1,S. Muhammad makes free throw 2 of 2
4:10.0,M. Scott enters the game for D. Howard,,17-15,,
3:54.0,M. Muscala makes 3-pt shot from 24 ft (assist by D. Schroder),3,20-16,,
3:38.0,,,20-18,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
3:32.0,,,20-18,,Personal foul by R. Rubio (drawn by D. Schroder)
3:32.0,,,20-18,,N. Bjelica enters the game for G. Dieng
3:32.0,T. Sefolosha enters the game for K. Bazemore,,20-18,,
3:32.0,Turnover by D. Schroder (offensive foul),,20-18,,
3:32.0,Offensive foul by D. Schroder,,20-18,,
3:32.0,M. Delaney enters the game for D. Schroder,,20-18,,
3:08.0,,,20-18,,A. Wiggins misses 3-pt shot from 26 ft
3:07.0,Defensive rebound by K. Korver,,20-18,,
2:55.0,T. Sefolosha misses 2-pt shot from 16 ft,,20-18,,
2:54.0,,,20-18,,Defensive rebound by K. Towns
2:43.0,,,20-18,,Offensive foul by K. Towns
2:43.0,,,20-18,,Turnover by K. Towns (offensive foul)
2:43.0,Atlanta full timeout,,20-18,,
2:27.0,K. Korver misses 3-pt shot from 25 ft,,20-18,,
2:26.0,,,20-18,,Defensive rebound by K. Towns
2:08.0,,,20-18,,R. Rubio misses 3-pt shot from 23 ft
2:07.0,Defensive rebound by T. Sefolosha,,20-18,,
1:57.0,K. Korver makes 3-pt shot from 24 ft (assist by M. Muscala),3,23-18,,
1:42.0,,,23-21,3,K. Towns makes 3-pt shot from 23 ft (assist by R. Rubio)
1:29.0,M. Muscala misses 3-pt shot from 25 ft,,23-21,,
1:28.0,Offensive rebound by T. Sefolosha,,23-21,,
1:16.0,K. Korver misses 3-pt shot from 23 ft,,23-21,,
1:14.0,Offensive rebound by M. Muscala,,23-21,,
1:01.0,M. Scott makes 2-pt shot from 10 ft (assist by M. Muscala),2,25-21,,
0:41.0,,,25-21,,S. Muhammad misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by M. Scott,,25-21,,
0:35.0,T. Sefolosha misses 2-pt shot from 2 ft (block by K. Towns),,25-21,,
0:33.0,Offensive rebound by M. Muscala,,25-21,,
0:30.0,M. Muscala misses 3-pt shot from 24 ft,,25-21,,
0:28.0,,,25-21,,Defensive rebound by N. Bjelica
0:07.0,,,25-23,2,K. Towns makes 2-pt shot from 1 ft
0:01.0,M. Delaney misses 3-pt shot from 26 ft,,25-23,,
0:00.0,Offensive rebound by Team,,25-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Personal foul by D. Bembry,,25-23,,
11:35.0,,,25-25,2,G. Dieng makes 2-pt shot from 5 ft
11:17.0,D. Bembry makes 2-pt shot from 2 ft,2,27-25,,
10:56.0,,,27-25,,N. Bjelica misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by D. Bembry,,27-25,,
10:43.0,Turnover by D. Bembry (lost ball),,27-25,,
10:31.0,,,27-25,,Z. LaVine misses 2-pt shot from 20 ft
10:29.0,,,27-25,,Offensive rebound by N. Bjelica
10:29.0,,,27-27,2,N. Bjelica makes 2-pt shot at rim
10:07.0,P. Millsap misses 2-pt shot from 11 ft,,27-27,,
10:06.0,,,27-27,,Defensive rebound by N. Bjelica
9:57.0,,,27-27,,Offensive charge foul by S. Muhammad
9:57.0,,,27-27,,Turnover by S. Muhammad (offensive foul)
9:57.0,D. Howard enters the game for M. Muscala,,27-27,,
9:45.0,Turnover by M. Delaney (bad pass; steal by N. Bjelica),,27-27,,
9:29.0,,,27-27,,S. Muhammad misses 2-pt shot from 1 ft
9:28.0,,,27-27,,Offensive rebound by S. Muhammad
9:26.0,,,27-27,,S. Muhammad misses 2-pt shot from 2 ft (block by D. Howard)
9:25.0,Defensive rebound by P. Millsap,,27-27,,
9:23.0,D. Schroder enters the game for K. Korver,,27-27,,
9:23.0,Jump ball: G. Dieng vs. P. Millsap (S. Muhammad gains possession),,,,Jump ball: G. Dieng vs. P. Millsap (S. Muhammad gains possession)
9:23.0,Turnover by P. Millsap (lost ball; steal by G. Dieng),,27-27,,
9:12.0,Personal block foul by D. Bembry,,27-27,,
9:08.0,,,27-27,,Shooting foul by D. Bembry (drawn by S. Muhammad)
9:08.0,,,27-28,1,S. Muhammad makes free throw 1 of 2
9:08.0,,,27-29,1,S. Muhammad makes free throw 2 of 2
8:51.0,M. Delaney misses 3-pt shot from 24 ft,,27-29,,
8:50.0,,,27-29,,Defensive rebound by Z. LaVine
8:45.0,,,27-29,,Shooting foul by P. Millsap (drawn by G. Dieng)
8:45.0,,,27-29,,Minnesota full timeout
8:45.0,,,27-30,1,G. Dieng makes free throw 1 of 2
8:45.0,,,27-31,1,G. Dieng makes free throw 2 of 2
8:45.0,K. Bazemore enters the game for M. Delaney,,27-29,,
8:36.0,,,27-31,,Personal foul by N. Bjelica (drawn by P. Millsap)
8:28.0,D. Schroder misses 2-pt shot from 5 ft,,27-31,,
8:26.0,Offensive rebound by D. Howard,,27-31,,
8:26.0,D. Howard makes 2-pt shot at rim,2,29-31,,
8:09.0,,,29-33,2,S. Muhammad makes 2-pt shot from 7 ft (assist by Z. LaVine)
7:53.0,,,29-33,,Personal foul by G. Dieng (drawn by P. Millsap)
7:53.0,M. Muscala enters the game for D. Howard,,29-33,,
7:47.0,P. Millsap misses 3-pt shot from 23 ft,,29-33,,
7:45.0,,,29-33,,Defensive rebound by K. Dunn
7:40.0,,,29-36,3,Z. LaVine makes 3-pt shot from 26 ft (assist by K. Dunn)
7:29.0,P. Millsap makes 2-pt shot from 1 ft (assist by M. Muscala),2,31-36,,
7:11.0,,,31-39,3,Z. LaVine makes 3-pt shot from 25 ft (assist by N. Bjelica)
7:02.0,Atlanta full timeout,,31-39,,
7:02.0,D. Howard enters the game for M. Muscala,,31-39,,
7:02.0,T. Sefolosha enters the game for D. Bembry,,31-39,,
6:50.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,33-39,,
6:28.0,,,33-39,,G. Dieng misses 2-pt shot from 18 ft
6:27.0,Defensive rebound by P. Millsap,,33-39,,
6:11.0,Turnover by D. Howard (bad pass; steal by Z. LaVine),,33-39,,
6:03.0,,,33-39,,K. Dunn misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by D. Schroder,,33-39,,
5:52.0,P. Millsap misses 2-pt shot from 4 ft,,33-39,,
5:51.0,,,33-39,,Defensive rebound by Team
5:51.0,,,33-39,,K. Towns enters the game for N. Bjelica
5:39.0,,,33-39,,Z. LaVine misses 3-pt shot from 24 ft
5:37.0,Defensive rebound by T. Sefolosha,,33-39,,
5:23.0,T. Sefolosha makes 2-pt shot from 1 ft,2,35-39,,
4:58.0,,,35-39,,Z. LaVine misses 2-pt shot from 2 ft
4:57.0,Defensive rebound by D. Howard,,35-39,,
4:51.0,D. Schroder misses 2-pt shot from 10 ft,,35-39,,
4:50.0,,,35-39,,Defensive rebound by K. Towns
4:45.0,,,35-39,,Turnover by S. Muhammad (bad pass; steal by P. Millsap)
4:42.0,Turnover by D. Schroder (bad pass; steal by K. Dunn),,35-39,,
4:38.0,,,35-41,2,K. Dunn makes 2-pt shot at rim
