time,Memphis,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Nurkic (J. Green gains possession),,,,Jump ball: M. Gasol vs. J. Nurkic (J. Green gains possession)
11:36.0,M. Conley makes 3-pt shot from 23 ft,3,3-0,,
11:19.0,,,3-2,2,K. Faried makes 2-pt shot from 4 ft (assist by J. Nelson)
11:01.0,C. Parsons misses 2-pt shot from 19 ft,,3-2,,
11:00.0,,,3-2,,Defensive rebound by K. Faried
10:49.0,,,3-2,,D. Gallinari misses 2-pt shot from 13 ft
10:48.0,,,3-2,,Offensive rebound by D. Gallinari
10:48.0,,,3-2,,D. Gallinari misses 2-pt shot from 2 ft
10:44.0,,,3-2,,Offensive rebound by J. Nurkic
10:44.0,,,3-4,2,J. Nurkic makes 2-pt shot from 1 ft
10:28.0,C. Parsons misses 3-pt shot from 26 ft,,3-4,,
10:27.0,,,3-4,,Defensive rebound by G. Harris
10:24.0,Personal foul by C. Parsons (drawn by D. Gallinari),,3-4,,
10:22.0,Violation by M. Gasol (kicked ball),,3-4,,
10:13.0,,,3-4,,K. Faried misses 2-pt shot from 13 ft
10:11.0,Defensive rebound by C. Parsons,,3-4,,
10:02.0,Shooting foul by J. Nelson (drawn by C. Parsons),,3-4,,
10:02.0,C. Parsons makes free throw 1 of 2,1,4-4,,
10:02.0,C. Parsons makes free throw 2 of 2,1,5-4,,
9:49.0,,,5-6,2,D. Gallinari makes 2-pt shot from 20 ft (assist by J. Nurkic)
9:39.0,M. Conley misses 3-pt shot from 26 ft,,5-6,,
9:35.0,,,5-6,,Defensive rebound by J. Nelson
9:33.0,,,5-8,2,D. Gallinari makes 2-pt shot from 3 ft (assist by J. Nelson)
9:33.0,,,5-8,,Shooting foul by T. Allen (drawn by D. Gallinari)
9:33.0,,,5-8,,D. Gallinari misses free throw 1 of 1
9:32.0,Defensive rebound by M. Gasol,,5-8,,
9:14.0,M. Gasol makes 2-pt shot from 14 ft,2,7-8,,
9:09.0,,,7-8,,Turnover by K. Faried (lost ball)
8:59.0,M. Gasol makes 2-pt shot from 18 ft (assist by M. Conley),2,9-8,,
8:40.0,,,9-8,,J. Nelson misses 2-pt shot from 10 ft
8:39.0,,,9-8,,Offensive rebound by Team
8:39.0,Loose ball foul by J. Green (drawn by K. Faried),,9-8,,
8:26.0,,,9-10,2,D. Gallinari makes 2-pt shot from 4 ft (assist by J. Nurkic)
8:11.0,,,9-10,,Personal foul by J. Nelson (drawn by J. Green)
8:11.0,,,9-10,,E. Mudiay enters the game for J. Nelson
8:03.0,M. Conley makes 2-pt shot from 20 ft (assist by M. Gasol),2,11-10,,
7:53.0,,,11-10,,Technical foul by J. Nelson
7:53.0,,,11-10,,Technical foul by J. Nelson
7:53.0,M. Conley makes technical free throw,1,12-10,,
7:53.0,M. Conley makes technical free throw,1,13-10,,
7:48.0,,,13-10,,Shooting foul by C. Parsons (drawn by D. Gallinari)
7:48.0,,,13-11,1,D. Gallinari makes free throw 1 of 2
