time,New York,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Noah vs. M. Turner (D. Rose gains possession),,,,Jump ball: J. Noah vs. M. Turner (D. Rose gains possession)
11:42.0,C. Anthony makes 2-pt shot from 21 ft (assist by D. Rose),2,2-0,,
11:26.0,,,2-0,,Shooting foul by K. Porzingis (drawn by M. Turner)
11:26.0,,,2-1,1,M. Turner makes free throw 1 of 2
11:26.0,,,2-2,1,M. Turner makes free throw 2 of 2
11:15.0,Shooting foul by M. Turner (drawn by J. Noah),,2-2,,
11:15.0,J. Noah misses free throw 1 of 2,,2-2,,
11:15.0,Offensive rebound by Team,,2-2,,
11:15.0,J. Noah misses free throw 2 of 2,,2-2,,
11:15.0,,,2-2,,Defensive rebound by Team
11:02.0,,,2-2,,C. Miles misses 3-pt shot from 25 ft
11:00.0,,,2-2,,Offensive rebound by Team
10:48.0,,,2-2,,P. George misses 2-pt shot from 14 ft
10:47.0,Defensive rebound by D. Rose,,2-2,,
10:42.0,,,2-2,,Shooting block foul by P. George (drawn by D. Rose)
10:42.0,D. Rose makes free throw 1 of 2,1,3-2,,
10:42.0,D. Rose makes free throw 2 of 2,1,4-2,,
10:27.0,,,4-4,2,M. Turner makes 2-pt shot from 21 ft (assist by P. George)
10:11.0,K. Porzingis misses 3-pt shot from 27 ft,,4-4,,
10:11.0,,,4-4,,Defensive rebound by P. George
10:04.0,,,4-6,2,P. George makes 2-pt shot from 7 ft
10:04.0,,,4-6,,Shooting foul by C. Lee (drawn by P. George)
10:04.0,,,4-7,1,P. George makes free throw 1 of 1
9:46.0,Turnover by C. Anthony (bad pass; steal by T. Young),,4-7,,
9:39.0,,,4-7,,P. George misses 3-pt shot from 27 ft
9:38.0,Defensive rebound by J. Noah,,4-7,,
9:28.0,K. Porzingis misses 2-pt shot from 15 ft,,4-7,,
9:28.0,,,4-7,,Defensive rebound by P. George
9:12.0,,,4-10,3,P. George makes 3-pt shot from 24 ft (assist by C. Miles)
9:06.0,New York full timeout,,4-10,,
8:59.0,C. Anthony makes 2-pt shot from 2 ft,2,6-10,,
8:59.0,Shooting foul by M. Turner (drawn by C. Anthony),,6-10,,
8:59.0,C. Anthony makes free throw 1 of 1,1,7-10,,
8:42.0,,,7-12,2,M. Turner makes 2-pt shot from 15 ft (assist by T. Young)
8:25.0,C. Lee makes 2-pt shot from 21 ft,2,9-12,,
8:14.0,,,9-15,3,P. George makes 3-pt shot from 28 ft (assist by J. Teague)
8:04.0,K. Porzingis misses 2-pt shot from 8 ft,,9-15,,
8:03.0,,,9-15,,Defensive rebound by M. Turner
7:56.0,,,9-15,,P. George misses 3-pt shot from 28 ft
7:55.0,Defensive rebound by J. Noah,,9-15,,
7:49.0,D. Rose makes 2-pt shot from 1 ft,2,11-15,,
7:28.0,,,11-17,2,P. George makes 2-pt shot from 19 ft
7:13.0,C. Anthony misses 2-pt shot from 19 ft,,11-17,,
7:11.0,Offensive rebound by J. Noah,,11-17,,
