time,Memphis,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. M. Gasol (D. Augustin gains possession),,,,Jump ball: B. Biyombo vs. M. Gasol (D. Augustin gains possession)
11:38.0,,,0-3,3,D. Augustin makes 3-pt shot from 24 ft (assist by S. Ibaka)
11:13.0,C. Parsons misses 3-pt shot from 26 ft,,0-3,,
11:12.0,,,0-3,,Defensive rebound by B. Biyombo
10:49.0,,,0-3,,A. Gordon misses 2-pt shot from 21 ft
10:48.0,,,0-3,,Offensive rebound by B. Biyombo
10:38.0,,,0-3,,Turnover by S. Ibaka (bad pass; steal by M. Gasol)
10:31.0,M. Conley misses 3-pt shot from 26 ft,,0-3,,
10:30.0,,,0-3,,Defensive rebound by B. Biyombo
10:24.0,,,0-3,,Shooting foul by J. Green (drawn by A. Gordon)
10:24.0,,,0-3,,A. Gordon misses free throw 1 of 2
10:24.0,,,0-3,,Offensive rebound by Team
10:24.0,,,0-4,1,A. Gordon makes free throw 2 of 2
10:16.0,Turnover by M. Conley (bad pass; steal by D. Augustin),,0-4,,
10:12.0,,,0-6,2,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin)
9:54.0,,,0-6,,Personal foul by J. Meeks (drawn by M. Conley)
9:45.0,M. Gasol makes 2-pt shot from 7 ft,2,2-6,,
9:23.0,,,2-8,2,A. Gordon makes 2-pt shot from 7 ft
9:09.0,C. Parsons misses 2-pt shot from 12 ft,,2-8,,
9:08.0,,,2-8,,Defensive rebound by B. Biyombo
8:56.0,,,2-11,3,J. Meeks makes 3-pt shot from 25 ft (assist by S. Ibaka)
8:34.0,J. Green makes 2-pt shot from 2 ft,2,4-11,,
8:07.0,,,4-11,,D. Augustin misses 2-pt shot from 1 ft
8:07.0,Defensive rebound by M. Conley,,4-11,,
8:05.0,,,4-11,,Personal foul by A. Gordon (drawn by M. Conley)
7:49.0,,,4-11,,Violation by B. Biyombo (def goaltending)
7:49.0,T. Allen makes 2-pt shot from 3 ft,2,6-11,,
7:29.0,,,6-13,2,A. Gordon makes 2-pt shot from 19 ft
7:08.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley),2,8-13,,
6:58.0,,,8-15,2,S. Ibaka makes 2-pt shot from 18 ft
6:48.0,T. Allen misses 2-pt shot from 3 ft,,8-15,,
6:48.0,,,8-15,,Defensive rebound by B. Biyombo
6:44.0,,,8-17,2,D. Augustin makes 2-pt shot from 1 ft
6:33.0,Turnover by J. Green (bad pass; steal by J. Meeks),,8-17,,
6:25.0,,,8-17,,S. Ibaka misses 3-pt shot from 27 ft
6:25.0,Defensive rebound by M. Gasol,,8-17,,
6:07.0,C. Parsons misses 3-pt shot from 24 ft,,8-17,,
6:06.0,,,8-17,,Defensive rebound by S. Ibaka
5:55.0,,,8-19,2,J. Meeks makes 2-pt shot at rim (assist by D. Augustin)
5:51.0,Memphis full timeout,,8-19,,
5:51.0,J. Ennis enters the game for C. Parsons,,8-19,,
5:40.0,M. Gasol misses 3-pt shot from 25 ft,,8-19,,
5:39.0,,,8-19,,Defensive rebound by S. Ibaka
5:26.0,,,8-21,2,S. Ibaka makes 2-pt shot from 17 ft (assist by D. Augustin)
5:19.0,Turnover by M. Conley (bad pass; steal by J. Meeks),,8-21,,
5:15.0,,,8-23,2,J. Meeks makes 2-pt shot from 1 ft
4:52.0,J. Green makes 3-pt shot from 27 ft (assist by M. Conley),3,11-23,,
4:42.0,,,11-23,,D. Augustin misses 2-pt shot from 20 ft
4:38.0,Defensive rebound by T. Allen,,11-23,,
4:28.0,V. Carter enters the game for T. Allen,,11-23,,
4:28.0,A. Harrison enters the game for M. Conley,,11-23,,
