time,Philadelphia,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Okafor vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: J. Okafor vs. H. Whiteside (G. Dragic gains possession)
11:42.0,,,0-3,3,L. Babbitt makes 3-pt shot from 25 ft (assist by H. Whiteside)
11:17.0,J. Okafor misses 2-pt shot from 2 ft,,0-3,,
11:16.0,,,0-3,,Defensive rebound by D. Waiters
11:11.0,,,0-5,2,D. Waiters makes 2-pt shot from 2 ft
11:11.0,Philadelphia full timeout,,0-5,,
10:54.0,D. Saric misses 2-pt shot from 3 ft,,0-5,,
10:53.0,,,0-5,,Defensive rebound by L. Babbitt
10:49.0,,,0-5,,Turnover by D. Waiters (bad pass; steal by T. McConnell)
10:40.0,G. Henderson misses 3-pt shot from 25 ft,,0-5,,
10:39.0,,,0-5,,Defensive rebound by D. Waiters
10:36.0,,,0-5,,Shooting foul by D. Saric (drawn by H. Whiteside)
10:36.0,,,0-6,1,H. Whiteside makes free throw 1 of 2
10:36.0,,,0-7,1,H. Whiteside makes free throw 2 of 2
10:15.0,R. Covington makes 2-pt shot from 2 ft (assist by G. Henderson),2,2-7,,
9:54.0,,,2-7,,Turnover by H. Whiteside (offensive foul)
9:54.0,,,2-7,,Offensive foul by H. Whiteside
9:42.0,G. Henderson misses 2-pt shot from 14 ft,,2-7,,
9:41.0,,,2-7,,Defensive rebound by H. Whiteside
9:21.0,,,2-7,,G. Dragic misses 2-pt shot from 12 ft
9:20.0,,,2-7,,Offensive rebound by Team
9:07.0,,,2-7,,R. McGruder misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by R. Covington,,2-7,,
8:58.0,Shooting foul by G. Dragic,,2-7,,
8:58.0,T. McConnell makes free throw 1 of 2,1,3-7,,
8:58.0,T. McConnell makes free throw 2 of 2,1,4-7,,
8:44.0,,,4-10,3,G. Dragic makes 3-pt shot from 25 ft
8:36.0,J. Okafor misses 2-pt shot from 3 ft (block by H. Whiteside),,4-10,,
8:35.0,,,4-10,,Defensive rebound by H. Whiteside
8:25.0,,,4-10,,R. McGruder misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by J. Okafor,,4-10,,
8:16.0,Turnover by T. McConnell (bad pass; steal by G. Dragic),,4-10,,
8:11.0,,,4-10,,Turnover by D. Waiters (bad pass)
7:54.0,J. Okafor makes 2-pt shot at rim,2,6-10,,
7:34.0,,,6-10,,H. Whiteside misses 2-pt shot from 17 ft
7:33.0,Defensive rebound by J. Okafor,,6-10,,
7:28.0,G. Henderson makes 2-pt shot at rim (assist by T. McConnell),2,8-10,,
7:26.0,,,8-10,,Miami full timeout
7:08.0,,,8-12,2,R. McGruder makes 2-pt shot from 6 ft
6:56.0,D. Saric makes 3-pt shot from 25 ft (assist by J. Okafor),3,11-12,,
6:44.0,,,11-14,2,H. Whiteside makes 2-pt shot from 9 ft (assist by D. Waiters)
6:30.0,J. Okafor makes 2-pt shot from 3 ft,2,13-14,,
6:17.0,,,13-14,,Shooting foul by T. McConnell (drawn by G. Dragic)
6:17.0,,,13-14,,G. Dragic misses free throw 1 of 3
6:17.0,,,13-14,,Offensive rebound by Team
6:17.0,,,13-15,1,G. Dragic makes free throw 2 of 3
6:17.0,,,13-16,1,G. Dragic makes free throw 3 of 3
6:17.0,N. Stauskas enters the game for G. Henderson,,13-15,,
6:17.0,T. Luwawu-Cabarrot enters the game for R. Covington,,13-15,,
6:01.0,J. Okafor makes 2-pt shot from 12 ft,2,15-16,,
5:52.0,,,15-18,2,G. Dragic makes 2-pt shot from 2 ft
5:38.0,T. McConnell makes 2-pt shot from 6 ft,2,17-18,,
5:17.0,,,17-21,3,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Waiters)
4:52.0,J. Okafor misses 2-pt shot from 7 ft,,17-21,,
4:50.0,,,17-21,,Defensive rebound by L. Babbitt
4:33.0,,,17-23,2,D. Waiters makes 2-pt shot from 18 ft
4:21.0,,,17-23,,Violation by H. Whiteside (def goaltending)
4:21.0,D. Saric makes 2-pt shot from 3 ft,2,19-23,,
4:04.0,,,19-25,2,H. Whiteside makes 2-pt shot from 18 ft (assist by R. McGruder)
3:51.0,J. Okafor misses 2-pt shot from 3 ft,,19-25,,
3:50.0,,,19-25,,Defensive rebound by H. Whiteside
3:40.0,,,19-25,,D. Waiters misses 2-pt shot from 3 ft
3:39.0,Defensive rebound by D. Saric,,19-25,,
3:33.0,D. Saric makes 2-pt shot at rim,2,21-25,,
3:16.0,,,21-25,,G. Dragic misses 2-pt shot from 12 ft
3:15.0,,,21-25,,Offensive rebound by R. McGruder
3:09.0,,,21-27,2,H. Whiteside makes 2-pt shot from 15 ft (assist by R. McGruder)
2:53.0,J. Okafor misses 2-pt shot from 3 ft,,21-27,,
2:52.0,,,21-27,,Defensive rebound by D. Waiters
2:51.0,,,21-27,,Turnover by D. Waiters (bad pass; steal by T. McConnell)
2:48.0,N. Stauskas misses 3-pt shot from 25 ft,,21-27,,
2:47.0,,,21-27,,Defensive rebound by Team
2:46.0,Loose ball foul by J. Okafor (drawn by L. Babbitt),,21-27,,
2:45.0,Philadelphia full timeout,,21-27,,
2:45.0,R. Covington enters the game for D. Saric,,21-27,,
2:45.0,R. Holmes enters the game for J. Okafor,,21-27,,
2:45.0,S. Rodriguez enters the game for T. McConnell,,21-27,,
2:45.0,,,21-27,,O. White enters the game for L. Babbitt
2:45.0,,,21-27,,J. Johnson enters the game for H. Whiteside
2:45.0,,,21-27,,T. Johnson enters the game for G. Dragic
2:38.0,,,21-27,,Shooting foul by N. Stauskas (drawn by D. Waiters)
2:38.0,,,21-27,,D. Waiters misses free throw 1 of 2
2:38.0,,,21-27,,Offensive rebound by Team
2:38.0,,,21-28,1,D. Waiters makes free throw 2 of 2
2:23.0,S. Rodriguez misses 2-pt shot from 2 ft,,21-28,,
2:22.0,,,21-28,,Defensive rebound by Team
2:22.0,,,21-28,,W. Ellington enters the game for R. McGruder
2:08.0,,,21-30,2,J. Johnson makes 2-pt shot from 3 ft
1:58.0,N. Stauskas makes 2-pt shot from 2 ft,2,23-30,,
1:58.0,,,23-30,,Shooting block foul by O. White (drawn by N. Stauskas)
1:58.0,N. Stauskas misses free throw 1 of 1,,23-30,,
1:58.0,,,23-30,,Defensive rebound by O. White
1:35.0,,,23-30,,D. Waiters misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by T. Luwawu-Cabarrot,,23-30,,
1:28.0,Shooting foul by T. Johnson (drawn by R. Covington),,23-30,,
1:28.0,R. Covington makes free throw 1 of 2,1,24-30,,
1:28.0,R. Covington makes free throw 2 of 2,1,25-30,,
1:28.0,,,24-30,,J. Richardson enters the game for D. Waiters
1:15.0,,,25-33,3,T. Johnson makes 3-pt shot from 25 ft (assist by J. Johnson)
0:54.0,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft (block by J. Richardson),,25-33,,
0:52.0,,,25-33,,Defensive rebound by O. White
0:46.0,,,25-33,,Shooting foul by S. Rodriguez (drawn by T. Johnson)
0:46.0,,,25-34,1,T. Johnson makes free throw 1 of 2
0:46.0,,,25-35,1,T. Johnson makes free throw 2 of 2
0:42.0,Offensive charge foul by T. Luwawu-Cabarrot,,25-35,,
0:42.0,Turnover by R. Holmes (offensive foul),,25-35,,
0:26.0,,,25-35,,W. Ellington misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by N. Stauskas,,25-35,,
0:17.0,R. Holmes makes 2-pt shot from 6 ft (assist by T. Luwawu-Cabarrot),2,27-35,,
0:03.0,,,27-37,2,J. Richardson makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,R. Covington misses 2-pt shot from 4 ft,,27-37,,
11:41.0,,,27-37,,Defensive rebound by Team
11:29.0,,,27-37,,Shooting foul by R. Covington (drawn by J. Johnson)
11:29.0,,,27-37,,J. Johnson misses free throw 1 of 2
11:29.0,,,27-37,,Offensive rebound by Team
11:29.0,,,27-37,,J. Johnson misses free throw 2 of 2
11:29.0,G. Henderson enters the game for N. Stauskas,,27-37,,
11:28.0,Defensive rebound by R. Covington,,27-37,,
11:11.0,R. Covington makes 3-pt shot from 25 ft (assist by G. Henderson),3,30-37,,
10:52.0,,,30-39,2,J. Johnson makes 2-pt shot from 4 ft
10:30.0,Offensive foul by J. Anderson,,30-39,,
10:30.0,Turnover by J. Anderson (offensive foul),,30-39,,
10:15.0,,,30-41,2,O. White makes 2-pt shot at rim (assist by T. Johnson)
10:12.0,Philadelphia full timeout,,30-41,,
10:06.0,Shooting foul by O. White (drawn by R. Covington),,30-41,,
10:06.0,R. Covington makes free throw 1 of 2,1,31-41,,
10:06.0,R. Covington misses free throw 2 of 2,,31-41,,
10:05.0,,,31-41,,Defensive rebound by J. Richardson
9:47.0,,,31-41,,J. Johnson misses 2-pt shot from 17 ft
9:46.0,Defensive rebound by R. Covington,,31-41,,
9:31.0,Turnover by G. Henderson (bad pass; steal by T. Johnson),,31-41,,
9:27.0,,,31-43,2,T. Johnson makes 2-pt shot at rim (assist by J. Johnson)
9:13.0,R. Covington misses 3-pt shot from 25 ft,,31-43,,
9:12.0,,,31-43,,Defensive rebound by J. Richardson
8:58.0,,,31-43,,J. Johnson misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by Team,,31-43,,
8:43.0,S. Rodriguez makes 2-pt shot from 4 ft,2,33-43,,
