time,New Orleans,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Nowitzki (D. Cousins gains possession),,,,Jump ball: A. Davis vs. D. Nowitzki (D. Cousins gains possession)
11:47.0,J. Holiday makes 2-pt shot from 3 ft (assist by D. Cousins),2,2-0,,
11:32.0,,,2-0,,H. Barnes misses 2-pt shot from 16 ft
11:31.0,Defensive rebound by A. Davis,,2-0,,
11:14.0,A. Davis makes 2-pt shot from 16 ft (assist by H. Thompson),2,4-0,,
11:00.0,,,4-3,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by S. Curry)
10:47.0,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday),3,7-3,,
10:29.0,,,7-3,,Y. Ferrell misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by D. Cousins,,7-3,,
10:14.0,A. Davis makes 2-pt shot from 2 ft (assist by D. Cousins),2,9-3,,
10:14.0,Shooting foul by H. Barnes (drawn by A. Davis),,9-3,,
10:14.0,A. Davis misses free throw 1 of 1,,9-3,,
10:13.0,,,9-3,,Defensive rebound by S. Curry
10:05.0,,,9-3,,Turnover by S. Curry (bad pass)
9:58.0,J. Holiday makes 3-pt shot from 24 ft,3,12-3,,
9:57.0,,,12-3,,Dallas full timeout
9:37.0,,,12-6,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by W. Matthews)
9:22.0,Shooting foul by Y. Ferrell (drawn by J. Holiday),,12-6,,
9:22.0,J. Holiday makes free throw 1 of 2,1,13-6,,
9:22.0,J. Holiday makes free throw 2 of 2,1,14-6,,
9:07.0,,,14-6,,Y. Ferrell misses 2-pt shot from 2 ft
9:06.0,Defensive rebound by D. Cousins,,14-6,,
8:57.0,A. Davis misses 2-pt shot from 21 ft,,14-6,,
8:55.0,,,14-6,,Defensive rebound by W. Matthews
8:47.0,,,14-9,3,W. Matthews makes 3-pt shot from 25 ft (assist by Y. Ferrell)
8:36.0,Turnover by D. Cousins (bad pass; steal by H. Barnes),,14-9,,
8:22.0,,,14-9,,S. Curry misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by A. Davis,,14-9,,
8:05.0,S. Hill misses 3-pt shot from 28 ft,,14-9,,
8:05.0,Offensive rebound by J. Holiday,,14-9,,
8:03.0,J. Holiday misses 2-pt shot from 4 ft,,14-9,,
8:01.0,,,14-9,,Defensive rebound by Y. Ferrell
7:50.0,,,14-9,,D. Nowitzki misses 2-pt shot from 19 ft
7:49.0,Defensive rebound by A. Davis,,14-9,,
7:31.0,,,14-9,,Personal block foul by W. Matthews (drawn by D. Cousins)
7:21.0,H. Thompson misses 3-pt shot from 24 ft,,14-9,,
7:21.0,,,14-9,,Defensive rebound by D. Nowitzki
7:00.0,,,14-9,,S. Curry misses 2-pt shot from 18 ft (block by A. Davis)
6:58.0,Defensive rebound by D. Cousins,,14-9,,
6:57.0,,,14-9,,Personal foul by D. Nowitzki (drawn by D. Cousins)
6:57.0,,,14-9,,N. Noel enters the game for Y. Ferrell
6:57.0,,,14-9,,D. Harris enters the game for D. Nowitzki
6:46.0,,,14-9,,Personal foul by S. Curry (drawn by J. Holiday)
6:46.0,J. Holiday makes free throw 1 of 2,1,15-9,,
6:46.0,J. Holiday makes free throw 2 of 2,1,16-9,,
6:31.0,,,16-9,,Turnover by D. Harris (bad pass; steal by D. Cousins)
6:28.0,Turnover by D. Cousins (bad pass; steal by D. Harris),,16-9,,
6:26.0,Personal foul by H. Thompson (drawn by S. Curry),,16-9,,
6:16.0,,,16-11,2,H. Barnes makes 2-pt shot from 22 ft (assist by S. Curry)
6:05.0,A. Davis misses 3-pt shot from 27 ft,,16-11,,
6:04.0,,,16-11,,Defensive rebound by S. Curry
