time,New Orleans,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Koufos (R. Gay gains possession),,,,Jump ball: A. Davis vs. K. Koufos (R. Gay gains possession)
11:42.0,,,0-0,,R. Gay misses 2-pt shot from 2 ft
11:40.0,Defensive rebound by O. Asik,,0-0,,
11:27.0,E. Moore misses 2-pt shot from 16 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by K. Koufos
11:12.0,,,0-2,2,A. Afflalo makes 2-pt shot from 20 ft (assist by R. Gay)
10:58.0,A. Davis makes 2-pt shot from 8 ft (assist by T. Frazier),2,2-2,,
10:57.0,Violation by Team (jump ball),,2-2,,
10:46.0,Personal foul by T. Frazier (drawn by T. Lawson),,2-2,,
10:38.0,,,2-4,2,D. Cousins makes 2-pt shot from 4 ft (assist by R. Gay)
10:38.0,Shooting block foul by O. Asik (drawn by D. Cousins),,2-4,,
10:38.0,,,2-5,1,D. Cousins makes free throw 1 of 1
10:20.0,Turnover by T. Frazier (bad pass; steal by D. Cousins),,2-5,,
10:16.0,,,2-5,,D. Cousins misses 2-pt shot from 2 ft
10:15.0,Defensive rebound by A. Davis,,2-5,,
10:10.0,A. Davis makes 2-pt shot at rim (assist by T. Frazier),2,4-5,,
9:51.0,,,4-7,2,R. Gay makes 2-pt shot from 10 ft
9:51.0,,,4-7,,Shooting foul by S. Hill (drawn by R. Gay)
9:51.0,,,4-8,1,R. Gay makes free throw 1 of 1
9:37.0,A. Davis makes 2-pt shot from 14 ft (assist by E. Moore),2,6-8,,
9:23.0,,,6-10,2,R. Gay makes 2-pt shot at rim (assist by A. Afflalo)
9:02.0,S. Hill makes 3-pt shot from 23 ft (assist by E. Moore),3,9-10,,
8:49.0,,,9-12,2,D. Cousins makes 2-pt shot from 4 ft (assist by T. Lawson)
8:40.0,New Orleans full timeout,,9-12,,
8:28.0,A. Davis misses 2-pt shot from 6 ft,,9-12,,
8:27.0,,,9-12,,Defensive rebound by D. Cousins
8:12.0,,,9-12,,T. Lawson misses 3-pt shot from 24 ft
8:11.0,,,9-12,,Offensive rebound by K. Koufos
8:03.0,,,9-12,,R. Gay misses 2-pt shot from 16 ft
8:02.0,,,9-12,,Offensive rebound by Team
7:57.0,,,9-14,2,R. Gay makes 2-pt shot at rim (assist by D. Cousins)
7:35.0,E. Moore makes 3-pt shot from 25 ft,3,12-14,,
7:26.0,,,12-14,,T. Lawson misses 2-pt shot from 5 ft (block by A. Davis)
7:26.0,,,12-14,,Offensive rebound by Team
7:26.0,D. Cunningham enters the game for S. Hill,,12-14,,
7:10.0,,,12-16,2,D. Cousins makes 2-pt shot from 18 ft
6:56.0,O. Asik makes 2-pt shot at rim (assist by T. Frazier),2,14-16,,
6:36.0,,,14-18,2,A. Afflalo makes 2-pt shot from 6 ft
6:23.0,E. Moore misses 3-pt shot from 25 ft,,14-18,,
6:23.0,,,14-18,,Defensive rebound by D. Cousins
6:19.0,Personal foul by E. Moore (drawn by A. Afflalo),,14-18,,
6:19.0,L. Galloway enters the game for E. Moore,,14-18,,
6:09.0,,,14-18,,R. Gay misses 3-pt shot from 24 ft
6:08.0,Defensive rebound by Team,,14-18,,
6:08.0,B. Hield enters the game for L. Galloway,,14-18,,
5:47.0,D. Cunningham misses 2-pt shot from 5 ft (block by D. Cousins),,14-18,,
5:45.0,,,14-18,,Defensive rebound by R. Gay
5:35.0,,,14-18,,D. Cousins misses 3-pt shot from 26 ft
5:35.0,Defensive rebound by B. Hield,,14-18,,
5:28.0,B. Hield misses 2-pt shot from 19 ft,,14-18,,
5:27.0,,,14-18,,Defensive rebound by T. Lawson
5:20.0,,,14-18,,K. Koufos misses 2-pt shot from 4 ft (block by A. Davis)
5:19.0,,,14-18,,Offensive rebound by K. Koufos
5:18.0,,,14-20,2,K. Koufos makes 2-pt shot from 5 ft
5:04.0,O. Asik misses 2-pt shot from 4 ft,,14-20,,
5:04.0,Offensive rebound by O. Asik,,14-20,,
5:04.0,Shooting foul by K. Koufos (drawn by O. Asik),,14-20,,
5:04.0,O. Asik makes free throw 1 of 2,1,15-20,,
5:04.0,O. Asik makes free throw 2 of 2,1,16-20,,
4:50.0,,,16-22,2,D. Cousins makes 2-pt shot from 5 ft
4:38.0,B. Hield misses 3-pt shot from 25 ft,,16-22,,
4:38.0,,,16-22,,Defensive rebound by K. Koufos
4:16.0,,,16-22,,R. Gay misses 2-pt shot from 16 ft
4:15.0,Defensive rebound by T. Frazier,,16-22,,
4:06.0,T. Frazier makes 3-pt shot from 26 ft,3,19-22,,
4:00.0,,,19-22,,Sacramento full timeout
4:00.0,,,19-22,,D. Collison enters the game for K. Koufos
4:00.0,,,19-22,,M. Barnes enters the game for T. Lawson
3:39.0,,,19-25,3,M. Barnes makes 3-pt shot from 23 ft (assist by R. Gay)
3:15.0,D. Cunningham makes 3-pt shot from 24 ft (assist by B. Hield),3,22-25,,
2:48.0,,,22-25,,R. Gay misses 2-pt shot from 19 ft
2:48.0,Defensive rebound by O. Asik,,22-25,,
2:36.0,B. Hield misses 2-pt shot from 15 ft,,22-25,,
2:36.0,Offensive rebound by Team,,22-25,,
2:36.0,,,22-25,,Loose ball foul by R. Gay (drawn by O. Asik)
2:36.0,,,22-25,,W. Cauley-Stein enters the game for D. Cousins
2:36.0,T. Jones enters the game for O. Asik,,22-25,,
2:30.0,Turnover by A. Davis (lost ball; steal by D. Collison),,22-25,,
2:27.0,,,22-25,,D. Collison misses 2-pt shot from 2 ft (block by D. Cunningham)
2:24.0,,,22-25,,Offensive rebound by D. Collison
2:16.0,,,22-27,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
2:06.0,,,22-27,,Personal foul by A. Afflalo (drawn by A. Davis)
1:53.0,T. Frazier misses 2-pt shot from 8 ft (block by W. Cauley-Stein),,22-27,,
1:51.0,,,22-27,,Defensive rebound by M. Barnes
1:50.0,L. Galloway enters the game for T. Frazier,,22-27,,
1:50.0,,,22-27,,B. McLemore enters the game for R. Gay
1:50.0,,,22-27,,G. Temple enters the game for A. Afflalo
1:39.0,,,22-30,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison)
1:32.0,,,22-30,,Personal foul by M. Barnes (drawn by A. Davis)
1:29.0,A. Davis misses 2-pt shot from 13 ft,,22-30,,
1:28.0,,,22-30,,Defensive rebound by G. Temple
1:17.0,,,22-30,,Turnover by D. Collison (bad pass; steal by A. Davis)
1:12.0,A. Davis makes 2-pt shot from 2 ft (assist by L. Galloway),2,24-30,,
0:55.0,,,24-33,3,G. Temple makes 3-pt shot from 25 ft (assist by D. Collison)
0:44.0,B. Hield misses 3-pt shot from 25 ft,,24-33,,
0:43.0,,,24-33,,Defensive rebound by M. Barnes
0:36.0,,,24-33,,Offensive foul by W. Cauley-Stein
0:36.0,,,24-33,,Turnover by W. Cauley-Stein (offensive foul)
0:27.0,,,24-33,,Personal foul by M. Barnes (drawn by A. Davis)
0:27.0,A. Davis makes free throw 1 of 2,1,25-33,,
0:27.0,A. Davis makes free throw 2 of 2,1,26-33,,
0:08.0,,,26-33,,W. Cauley-Stein misses 2-pt shot from 3 ft
0:07.0,Defensive rebound by T. Jones,,26-33,,
0:01.0,L. Galloway misses 3-pt shot from 25 ft,,26-33,,
0:01.0,,,26-33,,Defensive rebound by M. Barnes
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,L. Galloway makes 2-pt shot from 6 ft,2,28-33,,
11:10.0,,,28-33,,G. Temple misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by D. Cunningham,,28-33,,
10:57.0,B. Hield makes 2-pt shot from 20 ft,2,30-33,,
10:42.0,,,30-35,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by M. Barnes)
10:24.0,T. Jones misses 2-pt shot from 19 ft,,30-35,,
10:24.0,,,30-35,,Defensive rebound by B. McLemore
10:15.0,,,30-35,,W. Cauley-Stein misses 2-pt shot from 4 ft (block by T. Jones)
10:12.0,Defensive rebound by B. Hield,,30-35,,
10:07.0,B. Hield misses 3-pt shot from 26 ft,,30-35,,
10:06.0,,,30-35,,Defensive rebound by W. Cauley-Stein
9:57.0,,,30-37,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by M. Barnes)
9:57.0,,,30-37,,Shooting foul by B. Hield (drawn by W. Cauley-Stein)
9:57.0,,,30-37,,W. Cauley-Stein misses free throw 1 of 1
9:56.0,Defensive rebound by D. Cunningham,,30-37,,
9:34.0,L. Galloway misses 3-pt shot from 25 ft,,30-37,,
9:34.0,,,30-37,,Defensive rebound by W. Cauley-Stein
9:18.0,,,30-39,2,M. Barnes makes 2-pt shot from 23 ft
9:10.0,,,30-39,,Shooting block foul by W. Cauley-Stein (drawn by S. Hill)
9:10.0,S. Hill makes free throw 1 of 2,1,31-39,,
9:10.0,S. Hill makes free throw 2 of 2,1,32-39,,
8:54.0,,,32-39,,Turnover by D. Collison (bad pass; steal by T. Jones)
8:50.0,Turnover by T. Jones (bad pass),,32-39,,
8:50.0,Official timeout,,32-39,,
8:50.0,,,32-39,,K. Koufos enters the game for W. Cauley-Stein
8:50.0,E. Moore enters the game for B. Hield,,32-39,,
8:32.0,,,32-39,,K. Koufos misses 2-pt shot from 6 ft
8:31.0,Defensive rebound by L. Galloway,,32-39,,
8:14.0,L. Galloway makes 2-pt shot from 21 ft (assist by D. Cunningham),2,34-39,,
7:46.0,,,34-39,,D. Collison misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by D. Cunningham,,34-39,,
7:23.0,D. Cunningham makes 2-pt shot from 20 ft (assist by E. Moore),2,36-39,,
7:10.0,,,36-39,,M. Barnes misses 3-pt shot from 23 ft
7:08.0,,,36-39,,Offensive rebound by B. McLemore
7:08.0,,,36-41,2,B. McLemore makes 2-pt shot from 2 ft
6:51.0,T. Jones misses 2-pt shot from 9 ft,,36-41,,
6:51.0,,,36-41,,Defensive rebound by K. Koufos
6:41.0,,,36-41,,D. Collison misses 2-pt shot from 4 ft (block by T. Jones)
6:39.0,Defensive rebound by S. Hill,,36-41,,
6:36.0,S. Hill misses 2-pt shot from 1 ft,,36-41,,
6:35.0,,,36-41,,Defensive rebound by M. Barnes
6:10.0,,,36-41,,K. Koufos misses 2-pt shot from 9 ft
6:10.0,Defensive rebound by Team,,36-41,,
6:10.0,,,36-41,,T. Lawson enters the game for D. Collison
6:10.0,,,36-41,,D. Cousins enters the game for M. Barnes
5:51.0,Offensive foul by D. Cunningham,,36-41,,
5:51.0,Turnover by D. Cunningham (offensive foul),,36-41,,
5:51.0,,,36-41,,Sacramento full timeout
5:51.0,O. Asik enters the game for D. Cunningham,,36-41,,
5:51.0,A. Davis enters the game for L. Galloway,,36-41,,
5:51.0,T. Frazier enters the game for T. Jones,,36-41,,
5:39.0,Def 3 sec tech foul by T. Frazier,,36-41,,
5:39.0,,,36-42,1,G. Temple makes technical free throw
5:35.0,Personal foul by T. Frazier (drawn by T. Lawson),,36-42,,
5:25.0,,,36-44,2,D. Cousins makes 2-pt shot from 3 ft
5:10.0,S. Hill misses 2-pt shot from 15 ft,,36-44,,
5:09.0,,,36-44,,Defensive rebound by B. McLemore
4:56.0,,,36-44,,T. Lawson misses 2-pt shot from 4 ft (block by T. Frazier)
4:55.0,Defensive rebound by S. Hill,,36-44,,
4:51.0,,,36-44,,Personal foul by T. Lawson (drawn by T. Frazier)
4:51.0,,,36-44,,A. Afflalo enters the game for B. McLemore
4:51.0,,,36-44,,R. Gay enters the game for G. Temple
4:45.0,A. Davis misses 2-pt shot from 21 ft,,36-44,,
4:44.0,,,36-44,,Defensive rebound by R. Gay
4:20.0,,,36-44,,T. Lawson misses 3-pt shot from 26 ft
4:20.0,Defensive rebound by A. Davis,,36-44,,
4:06.0,E. Moore makes 2-pt shot from 4 ft,2,38-44,,
3:49.0,,,38-44,,D. Cousins misses 2-pt shot from 2 ft
3:48.0,Defensive rebound by O. Asik,,38-44,,
3:34.0,E. Moore misses 2-pt shot from 11 ft,,38-44,,
3:32.0,Offensive rebound by O. Asik,,38-44,,
3:32.0,O. Asik misses 2-pt shot from 2 ft,,38-44,,
3:32.0,,,38-44,,Defensive rebound by R. Gay
3:31.0,Personal foul by A. Davis (drawn by D. Cousins),,38-44,,
3:31.0,,,38-44,,Personal foul by D. Cousins
3:19.0,,,38-46,2,K. Koufos makes 2-pt shot from 7 ft
3:05.0,A. Davis misses 2-pt shot from 13 ft,,38-46,,
3:04.0,Offensive rebound by A. Davis,,38-46,,
3:00.0,E. Moore misses 2-pt shot from 4 ft (block by R. Gay),,38-46,,
2:58.0,,,38-46,,Defensive rebound by K. Koufos
2:55.0,,,38-46,,R. Gay misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by S. Hill,,38-46,,
2:35.0,A. Davis makes 2-pt shot from 6 ft (assist by S. Hill),2,40-46,,
2:25.0,,,40-48,2,K. Koufos makes 2-pt shot at rim (assist by D. Cousins)
2:11.0,E. Moore makes 2-pt shot from 6 ft (assist by T. Frazier),2,42-48,,
1:58.0,Personal foul by S. Hill (drawn by K. Koufos),,42-48,,
1:58.0,New Orleans full timeout,,42-48,,
1:45.0,,,42-51,3,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson)
1:33.0,E. Moore makes 2-pt shot from 8 ft,2,44-51,,
1:12.0,,,44-51,,R. Gay misses 2-pt shot from 20 ft
1:11.0,Defensive rebound by Team,,44-51,,
0:58.0,S. Hill misses 3-pt shot from 24 ft,,44-51,,
0:56.0,,,44-51,,Defensive rebound by A. Afflalo
0:41.0,,,44-51,,D. Cousins misses 3-pt shot from 26 ft
0:40.0,Defensive rebound by T. Frazier,,44-51,,
0:32.0,T. Frazier makes 2-pt shot from 5 ft,2,46-51,,
0:19.0,Personal foul by S. Hill (drawn by D. Cousins),,46-51,,
0:19.0,,,46-52,1,D. Cousins makes free throw 1 of 2
0:19.0,,,46-53,1,D. Cousins makes free throw 2 of 2
0:19.0,,,46-51,,M. Barnes enters the game for K. Koufos
0:19.0,,,46-52,,K. Koufos enters the game for M. Barnes
0:19.0,L. Galloway enters the game for O. Asik,,46-52,,
0:19.0,B. Hield enters the game for T. Frazier,,46-52,,
0:00.0,L. Galloway misses 3-pt shot from 25 ft,,46-53,,
0:00.0,Offensive rebound by Team,,46-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by A. Davis (lost ball; steal by D. Cousins),,46-53,,
11:38.0,Violation by A. Davis (kicked ball),,46-53,,
11:19.0,,,46-56,3,R. Gay makes 3-pt shot from 25 ft
11:08.0,A. Davis makes 2-pt shot from 17 ft (assist by T. Frazier),2,48-56,,
10:54.0,,,48-56,,D. Cousins misses 2-pt shot from 18 ft
10:53.0,Defensive rebound by T. Frazier,,48-56,,
10:36.0,Shooting foul by K. Koufos (drawn by O. Asik),,48-56,,
10:36.0,O. Asik misses free throw 1 of 2,,48-56,,
10:36.0,Offensive rebound by Team,,48-56,,
10:36.0,O. Asik makes free throw 2 of 2,1,49-56,,
10:25.0,,,49-56,,T. Lawson misses 2-pt shot from 18 ft
10:25.0,Defensive rebound by S. Hill,,49-56,,
10:13.0,A. Davis misses 2-pt shot from 21 ft,,49-56,,
10:12.0,,,49-56,,Defensive rebound by T. Lawson
10:01.0,,,49-56,,D. Cousins misses 2-pt shot from 3 ft (block by A. Davis)
9:59.0,Defensive rebound by A. Davis,,49-56,,
9:56.0,E. Moore makes 2-pt shot from 3 ft,2,51-56,,
9:38.0,Personal foul by S. Hill (drawn by R. Gay),,51-56,,
9:38.0,D. Cunningham enters the game for S. Hill,,51-56,,
9:25.0,,,51-58,2,A. Afflalo makes 2-pt shot from 13 ft
9:12.0,T. Frazier misses 2-pt shot from 7 ft,,51-58,,
9:11.0,,,51-58,,Defensive rebound by Team
8:53.0,,,51-60,2,D. Cousins makes 2-pt shot from 4 ft
8:41.0,A. Davis makes 2-pt shot from 16 ft (assist by T. Frazier),2,53-60,,
8:23.0,,,53-62,2,D. Cousins makes 2-pt shot from 15 ft (assist by R. Gay)
8:11.0,E. Moore makes 2-pt shot from 2 ft,2,55-62,,
8:00.0,Personal foul by E. Moore (drawn by A. Afflalo),,55-62,,
7:47.0,,,55-62,,K. Koufos misses 2-pt shot from 10 ft
7:47.0,Defensive rebound by O. Asik,,55-62,,
7:31.0,A. Davis makes 2-pt shot from 10 ft,2,57-62,,
7:21.0,,,57-62,,D. Cousins misses 2-pt shot from 6 ft (block by O. Asik)
7:21.0,,,57-62,,Offensive rebound by Team
7:17.0,,,57-62,,D. Cousins misses 3-pt shot from 23 ft
7:16.0,Defensive rebound by A. Davis,,57-62,,
7:09.0,,,57-62,,Personal foul by D. Cousins (drawn by A. Davis)
7:01.0,A. Davis misses 2-pt shot from 20 ft,,57-62,,
7:01.0,,,57-62,,Defensive rebound by A. Afflalo
6:55.0,,,57-62,,Offensive foul by K. Koufos
6:55.0,,,57-62,,Turnover by K. Koufos (offensive foul)
6:45.0,Turnover by E. Moore (bad pass; steal by R. Gay),,57-62,,
6:39.0,,,57-62,,Shooting foul by D. Cunningham (drawn by R. Gay)
6:39.0,,,57-63,1,R. Gay makes free throw 1 of 2
6:39.0,,,57-64,1,R. Gay makes free throw 2 of 2
6:39.0,,,57-63,,W. Cauley-Stein enters the game for D. Cousins
6:39.0,T. Jones enters the game for O. Asik,,57-63,,
6:23.0,,,57-64,,Violation by R. Gay (kicked ball)
6:18.0,,,57-64,,Personal foul by T. Lawson (drawn by A. Davis)
6:11.0,T. Frazier misses 2-pt shot from 18 ft,,57-64,,
6:10.0,,,57-64,,Defensive rebound by K. Koufos
6:01.0,,,57-64,,Turnover by W. Cauley-Stein (traveling)
5:44.0,D. Cunningham makes 2-pt shot from 2 ft,2,59-64,,
5:44.0,Shooting foul by W. Cauley-Stein (drawn by D. Cunningham),,59-64,,
5:44.0,,,59-64,,Sacramento full timeout
5:44.0,D. Cunningham misses free throw 1 of 1,,59-64,,
5:44.0,,,59-64,,M. Barnes enters the game for K. Koufos
5:44.0,,,59-64,,D. Collison enters the game for T. Lawson
5:43.0,,,59-64,,Defensive rebound by R. Gay
5:18.0,,,59-64,,M. Barnes misses 3-pt shot from 28 ft
5:18.0,Defensive rebound by A. Davis,,59-64,,
