time,San Antonio,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Gortat (M. Morris gains possession),,,,Jump ball: P. Gasol vs. M. Gortat (M. Morris gains possession)
11:41.0,,,0-2,2,M. Gortat makes 2-pt shot from 7 ft (assist by B. Beal)
11:14.0,P. Gasol makes 2-pt shot from 16 ft,2,2-2,,
10:55.0,,,2-2,,M. Morris misses 2-pt shot from 12 ft
10:53.0,Defensive rebound by L. Aldridge,,2-2,,
10:43.0,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker),2,4-2,,
10:27.0,,,4-4,2,J. Wall makes 2-pt shot from 16 ft
10:12.0,K. Leonard misses 3-pt shot from 27 ft,,4-4,,
10:11.0,,,4-4,,Defensive rebound by M. Gortat
10:04.0,,,4-7,3,B. Beal makes 3-pt shot from 26 ft
9:35.0,L. Aldridge misses 2-pt shot from 19 ft,,4-7,,
9:34.0,,,4-7,,Defensive rebound by O. Porter
9:23.0,,,4-9,2,M. Morris makes 2-pt shot from 14 ft
9:05.0,P. Gasol misses 2-pt shot from 16 ft,,4-9,,
9:04.0,,,4-9,,Defensive rebound by Team
8:58.0,Loose ball foul by L. Aldridge (drawn by M. Gortat),,4-9,,
8:49.0,,,4-9,,B. Beal misses 2-pt shot from 14 ft
8:49.0,Defensive rebound by Team,,4-9,,
8:39.0,T. Parker misses 2-pt shot from 18 ft,,4-9,,
8:37.0,,,4-9,,Defensive rebound by Team
8:22.0,,,4-9,,M. Gortat misses 2-pt shot from 7 ft
8:21.0,Defensive rebound by L. Aldridge,,4-9,,
8:02.0,L. Aldridge makes 2-pt shot from 6 ft,2,6-9,,
7:46.0,,,6-9,,J. Wall misses 2-pt shot from 12 ft
7:44.0,Defensive rebound by P. Gasol,,6-9,,
7:32.0,K. Leonard makes 2-pt shot from 5 ft,2,8-9,,
7:32.0,Shooting foul by M. Morris (drawn by K. Leonard),,8-9,,
7:32.0,K. Leonard makes free throw 1 of 1,1,9-9,,
7:15.0,,,9-12,3,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall)
6:58.0,K. Leonard makes 3-pt shot from 27 ft,3,12-12,,
6:33.0,,,12-12,,Turnover by M. Morris (bad pass; steal by L. Aldridge)
6:17.0,,,12-12,,Personal block foul by M. Morris (drawn by K. Leonard)
6:17.0,San Antonio full timeout,,12-12,,
6:17.0,,,12-12,,A. Nicholson enters the game for M. Morris
6:02.0,K. Leonard misses 3-pt shot from 25 ft,,12-12,,
6:00.0,,,12-12,,Defensive rebound by O. Porter
5:48.0,,,12-14,2,J. Wall makes 2-pt shot from 11 ft
5:29.0,Turnover by T. Parker (bad pass; steal by J. Wall),,12-14,,
5:21.0,,,12-14,,B. Beal misses 2-pt shot from 18 ft
5:20.0,Defensive rebound by D. Green,,12-14,,
5:19.0,Turnover by D. Green (lost ball),,12-14,,
5:19.0,D. Lee enters the game for P. Gasol,,12-14,,
5:16.0,P. Mills enters the game for T. Parker,,12-14,,
5:06.0,,,12-14,,Turnover by J. Wall (lost ball; steal by K. Leonard)
4:59.0,D. Green misses 3-pt shot from 27 ft,,12-14,,
4:58.0,,,12-14,,Defensive rebound by M. Gortat
4:47.0,,,12-14,,A. Nicholson misses 3-pt shot from 26 ft
4:45.0,Defensive rebound by D. Green,,12-14,,
4:34.0,,,12-14,,Personal foul by A. Nicholson (drawn by K. Leonard)
4:34.0,J. Simmons enters the game for D. Green,,12-14,,
4:34.0,,,12-14,,I. Mahinmi enters the game for M. Gortat
4:30.0,P. Mills makes 3-pt shot from 25 ft (assist by J. Simmons),3,15-14,,
4:16.0,,,15-14,,O. Porter misses 2-pt shot from 11 ft
4:14.0,Defensive rebound by D. Lee,,15-14,,
4:05.0,P. Mills makes 2-pt shot from 18 ft,2,17-14,,
3:52.0,,,17-14,,J. Wall misses 2-pt shot from 12 ft
3:50.0,Defensive rebound by L. Aldridge,,17-14,,
3:46.0,P. Mills misses 3-pt shot from 26 ft,,17-14,,
3:44.0,,,17-14,,Defensive rebound by A. Nicholson
3:27.0,,,17-14,,B. Beal misses 2-pt shot from 13 ft
3:25.0,,,17-14,,Offensive rebound by O. Porter
3:24.0,,,17-16,2,O. Porter makes 2-pt shot from 2 ft
3:24.0,,,17-16,,Shooting foul by K. Leonard (drawn by O. Porter)
3:24.0,,,17-17,1,O. Porter makes free throw 1 of 1
3:12.0,L. Aldridge misses 3-pt shot from 23 ft,,17-17,,
3:10.0,,,17-17,,Defensive rebound by B. Beal
2:53.0,,,17-17,,A. Nicholson misses 3-pt shot from 26 ft
2:52.0,Defensive rebound by K. Leonard,,17-17,,
2:41.0,D. Lee misses 2-pt shot from 14 ft,,17-17,,
2:40.0,,,17-17,,Defensive rebound by B. Beal
2:23.0,Personal foul by D. Lee (drawn by O. Porter),,17-17,,
2:23.0,,,17-17,,Washington full timeout
2:23.0,,,17-17,,T. Satoransky enters the game for J. Wall
2:23.0,K. Anderson enters the game for K. Leonard,,17-17,,
2:23.0,D. Bertans enters the game for L. Aldridge,,17-17,,
2:09.0,,,17-17,,T. Satoransky misses 2-pt shot from 14 ft
2:07.0,Defensive rebound by K. Anderson,,17-17,,
1:57.0,Turnover by J. Simmons (bad pass; steal by T. Satoransky),,17-17,,
1:51.0,,,17-17,,A. Nicholson misses 2-pt shot from 5 ft (block by D. Bertans)
1:50.0,Defensive rebound by P. Mills,,17-17,,
1:45.0,D. Lee makes 2-pt shot at rim (assist by P. Mills),2,19-17,,
1:18.0,,,19-20,3,B. Beal makes 3-pt shot from 25 ft (assist by T. Satoransky)
1:04.0,D. Bertans misses 3-pt shot from 25 ft,,19-20,,
1:03.0,,,19-20,,Defensive rebound by O. Porter
1:00.0,,,19-20,,Offensive foul by A. Nicholson
1:00.0,,,19-20,,Turnover by A. Nicholson (offensive foul)
0:50.0,D. Lee makes 2-pt shot at rim (assist by P. Mills),2,21-20,,
0:35.0,,,21-22,2,B. Beal makes 2-pt shot from 20 ft (assist by O. Porter)
0:24.0,J. Simmons makes 2-pt shot from 16 ft (assist by D. Lee),2,23-22,,
0:06.0,Personal take foul by P. Mills,,23-22,,
0:01.0,,,23-22,,B. Beal misses 3-pt shot from 29 ft
0:00.0,Defensive rebound by Team,,23-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. Lee misses 2-pt shot from 6 ft (block by I. Mahinmi),,23-22,,
11:41.0,Offensive rebound by Team,,23-22,,
11:37.0,P. Mills makes 3-pt shot from 25 ft (assist by D. Bertans),3,26-22,,
11:19.0,,,26-22,,T. Satoransky misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by D. Lee,,26-22,,
11:08.0,Shooting foul by T. Satoransky (drawn by J. Simmons),,26-22,,
11:08.0,J. Simmons makes free throw 1 of 2,1,27-22,,
11:08.0,J. Simmons makes free throw 2 of 2,1,28-22,,
11:08.0,P. Gasol enters the game for D. Lee,,27-22,,
10:54.0,Personal foul by J. Simmons (drawn by T. Satoransky),,28-22,,
10:54.0,T. Parker enters the game for P. Mills,,28-22,,
10:51.0,,,28-22,,Turnover by I. Mahinmi (lost ball)
10:39.0,Turnover by P. Gasol (lost ball; steal by I. Mahinmi),,28-22,,
10:32.0,,,28-22,,K. Oubre misses 3-pt shot from 25 ft
10:31.0,,,28-22,,Offensive rebound by M. Thornton
10:29.0,,,28-22,,Shooting foul by P. Gasol (drawn by K. Oubre)
10:29.0,,,28-23,1,K. Oubre makes free throw 1 of 2
10:29.0,,,28-23,,K. Oubre misses free throw 2 of 2
10:29.0,,,28-23,,J. Wall enters the game for T. Satoransky
10:27.0,Defensive rebound by P. Gasol,,28-23,,
10:04.0,P. Gasol misses 3-pt shot from 22 ft,,28-23,,
10:04.0,,,28-23,,Defensive rebound by K. Oubre
9:53.0,,,28-25,2,M. Thornton makes 2-pt shot from 19 ft
9:36.0,K. Anderson makes 2-pt shot from 3 ft (assist by J. Simmons),2,30-25,,
9:24.0,,,30-25,,M. Thornton misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by Team,,30-25,,
9:24.0,,,30-25,,Loose ball foul by I. Mahinmi (drawn by P. Gasol)
9:24.0,,,30-25,,M. Gortat enters the game for I. Mahinmi
9:24.0,,,30-25,,O. Porter enters the game for K. Oubre
9:10.0,T. Parker misses 2-pt shot from 19 ft,,30-25,,
9:08.0,,,30-25,,Defensive rebound by M. Gortat
9:01.0,,,30-25,,Turnover by J. Wall (lost ball)
9:01.0,D. Green enters the game for J. Simmons,,30-25,,
8:49.0,T. Parker makes 2-pt shot from 3 ft (assist by P. Gasol),2,32-25,,
8:30.0,,,32-27,2,J. Smith makes 2-pt shot from 20 ft (assist by M. Gortat)
8:30.0,San Antonio full timeout,,32-27,,
8:30.0,L. Aldridge enters the game for K. Anderson,,32-27,,
8:30.0,K. Leonard enters the game for D. Bertans,,32-27,,
8:19.0,D. Green misses 3-pt shot from 25 ft,,32-27,,
8:18.0,,,32-27,,Defensive rebound by M. Gortat
8:04.0,,,32-27,,J. Wall misses 2-pt shot from 16 ft
8:02.0,Defensive rebound by P. Gasol,,32-27,,
7:52.0,T. Parker misses 2-pt shot from 2 ft,,32-27,,
7:51.0,Offensive rebound by T. Parker,,32-27,,
7:51.0,Shooting foul by M. Gortat (drawn by T. Parker),,32-27,,
7:51.0,T. Parker makes free throw 1 of 2,1,33-27,,
7:51.0,T. Parker makes free throw 2 of 2,1,34-27,,
7:41.0,,,34-27,,J. Smith misses 2-pt shot from 19 ft
7:40.0,,,34-27,,Offensive rebound by O. Porter
