time,Indiana,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. M. Turner (R. Rubio gains possession),,,,Jump ball: K. Towns vs. M. Turner (R. Rubio gains possession)
11:45.0,,,0-0,,Turnover by G. Dieng (bad pass; steal by T. Young)
11:44.0,,,0-0,,Personal foul by G. Dieng (drawn by T. Young)
11:29.0,M. Turner makes 2-pt shot from 18 ft (assist by J. Teague),2,2-0,,
11:03.0,,,2-3,3,A. Wiggins makes 3-pt shot from 25 ft
10:49.0,T. Young misses 3-pt shot from 25 ft,,2-3,,
10:48.0,,,2-3,,Defensive rebound by A. Wiggins
10:34.0,,,2-5,2,K. Towns makes 2-pt shot from 9 ft (assist by Z. LaVine)
10:20.0,P. George misses 2-pt shot from 7 ft,,2-5,,
10:19.0,,,2-5,,Defensive rebound by K. Towns
10:11.0,,,2-5,,K. Towns misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by M. Turner,,2-5,,
10:00.0,T. Young misses 2-pt shot from 7 ft,,2-5,,
9:59.0,,,2-5,,Defensive rebound by K. Towns
9:39.0,,,2-5,,R. Rubio misses 3-pt shot from 26 ft
9:38.0,Defensive rebound by C. Miles,,2-5,,
9:29.0,Turnover by J. Teague (bad pass),,2-5,,
9:05.0,,,2-5,,Turnover by Team (shot clock)
8:39.0,T. Young misses 2-pt shot from 20 ft,,2-5,,
8:38.0,,,2-5,,Defensive rebound by A. Wiggins
8:24.0,,,2-5,,Z. LaVine misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by J. Teague,,2-5,,
8:12.0,Turnover by J. Teague (bad pass; steal by G. Dieng),,2-5,,
8:08.0,,,2-5,,Turnover by R. Rubio (bad pass; steal by T. Young)
7:59.0,C. Miles misses 3-pt shot from 26 ft,,2-5,,
7:58.0,,,2-5,,Defensive rebound by Z. LaVine
7:49.0,,,2-5,,Z. LaVine misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by C. Miles,,2-5,,
7:36.0,J. Teague misses 3-pt shot from 24 ft,,2-5,,
7:35.0,,,2-5,,Defensive rebound by A. Wiggins
7:22.0,,,2-5,,Turnover by A. Wiggins (lost ball; steal by C. Miles)
7:16.0,T. Young makes 2-pt shot from 1 ft (assist by P. George),2,4-5,,
6:58.0,,,4-7,2,A. Wiggins makes 2-pt shot from 21 ft
