time,Miami,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. H. Whiteside (L. James gains possession),,,,Jump ball: T. Thompson vs. H. Whiteside (L. James gains possession)
11:44.0,,,0-2,2,K. Irving makes 2-pt shot from 13 ft
11:22.0,H. Whiteside misses 2-pt shot from 4 ft (block by T. Thompson),,0-2,,
11:22.0,Offensive rebound by Team,,0-2,,
11:17.0,L. Babbitt misses 2-pt shot from 11 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by L. James
11:11.0,,,0-2,,L. James misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by L. Babbitt,,0-2,,
11:04.0,D. Waiters makes 2-pt shot from 17 ft,2,2-2,,
10:48.0,,,2-2,,K. Irving misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by L. Babbitt,,2-2,,
10:33.0,G. Dragic misses 3-pt shot from 25 ft,,2-2,,
10:33.0,,,2-2,,Defensive rebound by T. Thompson
10:20.0,,,2-4,2,I. Shumpert makes 2-pt shot from 13 ft
10:01.0,H. Whiteside misses 2-pt shot from 13 ft,,2-4,,
10:00.0,,,2-4,,Defensive rebound by L. James
9:49.0,,,2-4,,Shooting foul by R. McGruder (drawn by L. James)
9:49.0,,,2-5,1,L. James makes free throw 1 of 2
9:49.0,,,2-5,,L. James misses free throw 2 of 2
9:48.0,Defensive rebound by H. Whiteside,,2-5,,
9:38.0,,,2-5,,Personal block foul by I. Shumpert (drawn by D. Waiters)
9:26.0,D. Waiters misses 2-pt shot from 3 ft,,2-5,,
9:25.0,,,2-5,,Defensive rebound by L. James
9:19.0,,,2-5,,R. Jefferson misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by R. McGruder,,2-5,,
9:11.0,Turnover by G. Dragic (lost ball; steal by R. Jefferson),,2-5,,
9:03.0,,,2-5,,Turnover by L. James (lost ball; steal by R. McGruder)
9:00.0,R. McGruder misses 2-pt shot from 1 ft (block by K. Irving),,2-5,,
9:00.0,Offensive rebound by Team,,2-5,,
