time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Thompson (K. Irving gains possession),,,,Jump ball: A. Horford vs. T. Thompson (K. Irving gains possession)
11:41.0,,,0-0,,J. Smith misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by A. Horford,,0-0,,
11:29.0,A. Horford misses 3-pt shot from 24 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by T. Thompson
11:13.0,,,0-3,3,K. Love makes 3-pt shot from 27 ft (assist by K. Irving)
10:58.0,A. Bradley misses 3-pt shot from 24 ft,,0-3,,
10:57.0,Offensive rebound by K. Olynyk,,0-3,,
10:56.0,K. Olynyk misses 2-pt shot from 5 ft,,0-3,,
10:56.0,,,0-3,,Defensive rebound by L. James
10:49.0,,,0-3,,Shooting foul by J. Crowder (drawn by K. Love)
10:49.0,,,0-4,1,K. Love makes free throw 1 of 2
10:49.0,,,0-5,1,K. Love makes free throw 2 of 2
10:29.0,K. Olynyk misses 3-pt shot from 25 ft,,0-5,,
10:28.0,,,0-5,,Defensive rebound by K. Irving
10:18.0,,,0-5,,L. James misses 2-pt shot from 21 ft
10:18.0,Defensive rebound by J. Crowder,,0-5,,
10:10.0,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Crowder),2,2-5,,
9:57.0,,,2-5,,K. Love misses 2-pt shot from 6 ft
9:56.0,,,2-5,,Offensive rebound by T. Thompson
9:56.0,,,2-5,,T. Thompson misses 2-pt shot from 1 ft
9:55.0,Defensive rebound by K. Olynyk,,2-5,,
9:41.0,A. Horford misses 2-pt shot from 7 ft (block by L. James),,2-5,,
9:39.0,Offensive rebound by M. Smart,,2-5,,
9:34.0,A. Bradley makes 2-pt shot from 1 ft,2,4-5,,
9:07.0,,,4-5,,Turnover by T. Thompson (lost ball; steal by K. Olynyk)
8:50.0,K. Olynyk misses 2-pt shot at rim,,4-5,,
8:49.0,,,4-5,,Defensive rebound by T. Thompson
8:41.0,,,4-5,,Turnover by K. Irving (bad pass)
8:25.0,J. Crowder makes 3-pt shot from 25 ft (assist by K. Olynyk),3,7-5,,
7:59.0,,,7-5,,L. James misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by K. Olynyk,,7-5,,
7:51.0,A. Bradley makes 2-pt shot from 22 ft (assist by A. Horford),2,9-5,,
7:32.0,,,9-5,,K. Love misses 2-pt shot from 13 ft
7:31.0,Defensive rebound by J. Crowder,,9-5,,
7:22.0,A. Horford makes 2-pt shot at rim (assist by M. Smart),2,11-5,,
7:22.0,,,11-5,,Cleveland full timeout
7:10.0,,,11-7,2,L. James makes 2-pt shot from 2 ft (assist by K. Love)
6:53.0,,,11-7,,Violation by T. Thompson (def goaltending)
6:53.0,A. Bradley makes 2-pt shot at rim,2,13-7,,
6:29.0,,,13-7,,Shooting foul by A. Horford (drawn by K. Irving)
6:29.0,,,13-8,1,K. Irving makes free throw 1 of 2
6:29.0,,,13-9,1,K. Irving makes free throw 2 of 2
6:16.0,A. Bradley misses 3-pt shot from 24 ft,,13-9,,
6:15.0,,,13-9,,Defensive rebound by L. James
6:13.0,,,13-9,,Shooting foul by J. Crowder (drawn by K. Irving)
6:13.0,,,13-10,1,K. Irving makes free throw 1 of 2
6:13.0,,,13-11,1,K. Irving makes free throw 2 of 2
6:02.0,Shooting foul by J. Smith (drawn by J. Crowder),,13-11,,
6:02.0,J. Crowder makes free throw 1 of 2,1,14-11,,
6:02.0,J. Crowder makes free throw 2 of 2,1,15-11,,
5:45.0,Personal foul by A. Horford (drawn by K. Love),,15-11,,
5:39.0,,,15-11,,Turnover by K. Irving (lost ball; steal by A. Horford)
5:32.0,Turnover by A. Horford (bad pass; steal by J. Smith),,15-11,,
5:30.0,J. Jerebko enters the game for A. Horford,,15-11,,
5:14.0,,,15-11,,K. Love misses 2-pt shot from 12 ft
5:13.0,Defensive rebound by A. Bradley,,15-11,,
4:58.0,J. Crowder makes 3-pt shot from 25 ft (assist by M. Smart),3,18-11,,
4:38.0,,,18-11,,L. James misses 3-pt shot from 24 ft
4:38.0,Defensive rebound by K. Olynyk,,18-11,,
4:22.0,A. Bradley misses 2-pt shot from 19 ft,,18-11,,
4:22.0,,,18-11,,Defensive rebound by K. Love
4:17.0,,,18-13,2,L. James makes 2-pt shot at rim (assist by K. Love)
4:17.0,Boston full timeout,,18-13,,
4:05.0,K. Olynyk misses 2-pt shot from 19 ft,,18-13,,
4:04.0,,,18-13,,Defensive rebound by K. Love
3:53.0,,,18-13,,L. James misses 2-pt shot from 8 ft
3:51.0,Defensive rebound by J. Crowder,,18-13,,
3:34.0,J. Crowder makes 3-pt shot from 25 ft (assist by K. Olynyk),3,21-13,,
3:17.0,,,21-13,,K. Irving misses 2-pt shot from 16 ft
3:16.0,Defensive rebound by J. Jerebko,,21-13,,
3:07.0,Shooting foul by L. James (drawn by J. Jerebko),,21-13,,
3:07.0,J. Jerebko makes free throw 1 of 2,1,22-13,,
3:07.0,J. Jerebko makes free throw 2 of 2,1,23-13,,
3:07.0,J. Brown enters the game for J. Crowder,,22-13,,
3:07.0,,,22-13,,R. Jefferson enters the game for K. Love
3:07.0,,,22-13,,D. Williams enters the game for J. Smith
2:49.0,,,23-13,,D. Williams misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by J. Jerebko,,23-13,,
2:34.0,K. Olynyk makes 2-pt shot at rim (assist by A. Bradley),2,25-13,,
2:23.0,,,25-15,2,L. James makes 2-pt shot from 1 ft
2:11.0,J. Brown makes 2-pt shot from 5 ft,2,27-15,,
2:01.0,,,27-15,,K. Irving misses 2-pt shot from 1 ft (block by K. Olynyk)
2:01.0,Defensive rebound by Team,,27-15,,
1:42.0,J. Jerebko misses 3-pt shot from 27 ft,,27-15,,
1:42.0,,,27-15,,Defensive rebound by Team
1:42.0,,,27-15,,K. Korver enters the game for L. James
1:42.0,T. Rozier enters the game for M. Smart,,27-15,,
1:28.0,,,27-17,2,K. Irving makes 2-pt shot from 19 ft
1:13.0,A. Bradley misses 2-pt shot at rim,,27-17,,
1:11.0,Offensive rebound by J. Jerebko,,27-17,,
1:10.0,,,27-17,,Personal foul by K. Irving (drawn by K. Olynyk)
1:03.0,K. Olynyk misses 3-pt shot from 26 ft,,27-17,,
1:03.0,,,27-17,,Defensive rebound by D. Williams
0:46.0,,,27-17,,Turnover by D. Williams (step out of bounds)
0:46.0,A. Horford enters the game for K. Olynyk,,27-17,,
0:35.0,A. Bradley misses 3-pt shot from 26 ft,,27-17,,
0:34.0,,,27-17,,Defensive rebound by K. Korver
0:28.0,K. Olynyk enters the game for A. Horford,,27-17,,
0:24.0,,,27-19,2,T. Thompson makes 2-pt shot from 2 ft (assist by K. Korver)
0:07.0,K. Olynyk makes 2-pt shot from 8 ft (assist by T. Rozier),2,29-19,,
0:00.0,,,29-19,,K. Irving misses 2-pt shot from 19 ft
0:00.0,,,29-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Jerebko makes 2-pt shot at rim (assist by J. Crowder),2,31-19,,
11:26.0,,,31-19,,Turnover by L. James (offensive foul)
11:26.0,,,31-19,,Offensive foul by L. James
11:08.0,T. Rozier misses 3-pt shot from 25 ft,,31-19,,
11:08.0,,,31-19,,Defensive rebound by K. Love
11:00.0,,,31-21,2,L. James makes 2-pt shot from 2 ft (assist by K. Korver)
