time,Atlanta,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. C. Zeller (D. Schroder gains possession),,,,Jump ball: D. Howard vs. C. Zeller (D. Schroder gains possession)
11:37.0,D. Howard makes 2-pt shot from 2 ft (assist by D. Schroder),2,2-0,,
11:21.0,,,2-0,,Shooting foul by T. Hardaway (drawn by M. Kidd-Gilchrist)
11:21.0,,,2-0,,M. Kidd-Gilchrist misses free throw 1 of 2
11:21.0,,,2-0,,Offensive rebound by Team
11:21.0,,,2-1,1,M. Kidd-Gilchrist makes free throw 2 of 2
11:01.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by T. Hardaway),3,5-1,,
10:49.0,,,5-1,,N. Batum misses 2-pt shot from 17 ft (block by D. Schroder)
10:47.0,Defensive rebound by E. Ilyasova,,5-1,,
10:32.0,T. Sefolosha misses 2-pt shot from 2 ft,,5-1,,
10:31.0,Offensive rebound by T. Sefolosha,,5-1,,
10:28.0,T. Hardaway makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,8-1,,
10:28.0,,,8-1,,Charlotte full timeout
10:13.0,,,8-1,,C. Zeller misses 2-pt shot from 3 ft (block by D. Howard)
10:13.0,,,8-1,,Offensive rebound by Team
10:06.0,,,8-1,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
10:04.0,Defensive rebound by D. Schroder,,8-1,,
9:53.0,E. Ilyasova misses 3-pt shot from 25 ft,,8-1,,
9:51.0,,,8-1,,Defensive rebound by K. Walker
9:42.0,,,8-3,2,N. Batum makes 2-pt shot from 16 ft
9:22.0,D. Howard makes 2-pt shot at rim (assist by E. Ilyasova),2,10-3,,
9:03.0,,,10-5,2,M. Williams makes 2-pt shot from 5 ft (assist by K. Walker)
8:50.0,Turnover by D. Schroder (bad pass; steal by N. Batum),,10-5,,
8:29.0,,,10-5,,K. Walker misses 2-pt shot from 15 ft
8:28.0,Defensive rebound by E. Ilyasova,,10-5,,
8:20.0,D. Schroder misses 2-pt shot from 18 ft,,10-5,,
8:19.0,,,10-5,,Defensive rebound by M. Williams
8:11.0,,,10-7,2,C. Zeller makes 2-pt shot from 19 ft (assist by N. Batum)
7:50.0,D. Schroder misses 3-pt shot from 26 ft,,10-7,,
7:48.0,,,10-7,,Defensive rebound by M. Williams
7:36.0,,,10-7,,M. Williams misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by T. Sefolosha,,10-7,,
7:30.0,Shooting foul by M. Williams (drawn by T. Sefolosha),,10-7,,
7:30.0,T. Sefolosha misses free throw 1 of 2,,10-7,,
7:30.0,Offensive rebound by Team,,10-7,,
7:30.0,T. Sefolosha misses free throw 2 of 2,,10-7,,
7:30.0,T. Waller-Prince enters the game for T. Hardaway,,10-7,,
7:28.0,,,10-7,,Defensive rebound by M. Williams
7:10.0,,,10-7,,N. Batum misses 2-pt shot from 14 ft
7:09.0,Defensive rebound by T. Waller-Prince,,10-7,,
6:45.0,T. Waller-Prince makes 2-pt shot from 14 ft,2,12-7,,
6:32.0,,,12-7,,N. Batum misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by D. Howard,,12-7,,
6:21.0,T. Sefolosha misses 3-pt shot from 23 ft,,12-7,,
6:18.0,Offensive rebound by Team,,12-7,,
6:18.0,T. Hardaway enters the game for T. Sefolosha,,12-7,,
