time,Milwaukee,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. T. Thompson (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. T. Thompson (G. Antetokounmpo gains possession)
11:47.0,J. Parker makes 2-pt shot at rim (assist by J. Henson),2,2-0,,
11:20.0,,,2-2,2,L. James makes 2-pt shot from 1 ft (assist by R. Jefferson)
10:58.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,2-2,,
10:58.0,,,2-2,,Defensive rebound by Team
10:37.0,,,2-2,,K. Irving misses 2-pt shot from 12 ft
10:37.0,,,2-2,,Offensive rebound by T. Thompson
10:36.0,Personal foul by J. Parker (drawn by T. Thompson),,2-2,,
10:31.0,Def 3 sec tech foul by J. Henson,,2-2,,
10:31.0,,,2-3,1,K. Irving makes technical free throw
10:24.0,,,2-3,,L. James misses 2-pt shot from 5 ft
10:23.0,,,2-3,,Offensive rebound by L. James
10:23.0,,,2-3,,L. James misses 2-pt shot from 1 ft
10:21.0,,,2-3,,Offensive rebound by T. Thompson
10:19.0,,,2-5,2,T. Thompson makes 2-pt shot at rim
10:13.0,T. Snell misses 2-pt shot from 14 ft,,2-5,,
10:11.0,,,2-5,,Defensive rebound by T. Thompson
9:57.0,,,2-7,2,K. Irving makes 2-pt shot at rim (assist by L. James)
9:42.0,,,2-7,,Personal foul by D. Liggins (drawn by M. Dellavedova)
9:42.0,Violation by Team (jump ball),,2-7,,
9:29.0,J. Parker makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,5-7,,
9:17.0,,,5-7,,R. Jefferson misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by M. Dellavedova,,5-7,,
9:06.0,J. Parker makes 2-pt shot from 8 ft (assist by M. Dellavedova),2,7-7,,
8:57.0,Personal foul by T. Snell (drawn by T. Thompson),,7-7,,
8:44.0,,,7-9,2,D. Liggins makes 2-pt shot from 1 ft (assist by K. Irving)
8:28.0,J. Parker misses 2-pt shot from 20 ft,,7-9,,
8:28.0,,,7-9,,Defensive rebound by D. Liggins
8:21.0,,,7-11,2,L. James makes 2-pt shot from 2 ft
8:08.0,M. Dellavedova misses 3-pt shot from 24 ft,,7-11,,
8:08.0,,,7-11,,Defensive rebound by T. Thompson
8:00.0,,,7-11,,K. Irving misses 2-pt shot from 1 ft
7:59.0,,,7-11,,Offensive rebound by T. Thompson
7:59.0,,,7-13,2,T. Thompson makes 2-pt shot at rim
7:59.0,Milwaukee full timeout,,7-13,,
7:59.0,R. Vaughn enters the game for T. Snell,,7-13,,
7:42.0,Turnover by J. Henson (traveling),,7-13,,
7:30.0,,,7-13,,Turnover by D. Liggins (lost ball)
7:17.0,,,7-13,,Personal foul by R. Jefferson (drawn by J. Henson)
7:02.0,J. Henson misses 2-pt shot from 14 ft,,7-13,,
7:02.0,,,7-13,,Defensive rebound by T. Thompson
6:55.0,Personal foul by M. Dellavedova (drawn by K. Irving),,7-13,,
6:55.0,M. Teletovic enters the game for G. Antetokounmpo,,7-13,,
6:41.0,,,7-15,2,K. Irving makes 2-pt shot from 8 ft
6:25.0,J. Parker misses 2-pt shot at rim (block by T. Thompson),,7-15,,
6:24.0,,,7-15,,Defensive rebound by D. Liggins
6:19.0,Personal foul by J. Henson (drawn by K. Irving),,7-15,,
6:14.0,,,7-15,,Shooting foul by R. Vaughn (drawn by T. Thompson)
6:14.0,,,7-15,,T. Thompson misses free throw 1 of 2
6:14.0,,,7-15,,Offensive rebound by Team
6:14.0,,,7-15,,T. Thompson misses free throw 2 of 2
6:11.0,Defensive rebound by J. Henson,,7-15,,
6:03.0,J. Henson misses 2-pt shot at rim,,7-15,,
6:01.0,,,7-15,,Defensive rebound by T. Thompson
5:54.0,,,7-15,,L. James misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by J. Parker,,7-15,,
5:46.0,M. Teletovic misses 3-pt shot from 25 ft,,7-15,,
5:46.0,Offensive rebound by J. Henson,,7-15,,
5:39.0,J. Henson makes 2-pt shot at rim,2,9-15,,
5:26.0,,,9-17,2,K. Irving makes 2-pt shot from 1 ft
5:06.0,R. Vaughn misses 2-pt shot from 14 ft,,9-17,,
5:05.0,,,9-17,,Defensive rebound by L. James
4:54.0,,,9-20,3,R. Jefferson makes 3-pt shot from 25 ft (assist by K. Irving)
4:42.0,J. Parker makes 2-pt shot from 20 ft (assist by M. Dellavedova),2,11-20,,
4:40.0,,,11-20,,Cleveland full timeout
4:40.0,M. Brogdon enters the game for J. Henson,,11-20,,
4:40.0,G. Monroe enters the game for M. Dellavedova,,11-20,,
4:25.0,,,11-22,2,L. James makes 2-pt shot from 1 ft (assist by R. Jefferson)
4:10.0,M. Brogdon makes 2-pt shot from 1 ft,2,13-22,,
3:56.0,,,13-24,2,K. Irving makes 2-pt shot from 12 ft
3:37.0,,,13-24,,I. Shumpert enters the game for L. James
3:29.0,G. Monroe makes 2-pt shot from 10 ft,2,15-24,,
3:13.0,,,15-24,,Turnover by K. Irving (bad pass; steal by M. Brogdon)
3:07.0,J. Parker makes 2-pt shot at rim (assist by M. Brogdon),2,17-24,,
2:46.0,,,17-26,2,K. Irving makes 2-pt shot from 1 ft
2:31.0,M. Teletovic misses 3-pt shot from 25 ft,,17-26,,
2:31.0,,,17-26,,Defensive rebound by K. Irving
2:25.0,G. Antetokounmpo enters the game for J. Parker,,17-26,,
2:25.0,,,17-26,,J. McRae enters the game for D. Liggins
2:11.0,,,17-26,,J. McRae misses 2-pt shot from 2 ft
2:10.0,Defensive rebound by G. Monroe,,17-26,,
1:50.0,R. Vaughn misses 2-pt shot at rim (block by T. Thompson),,17-26,,
1:49.0,,,17-26,,Defensive rebound by T. Thompson
1:41.0,,,17-26,,I. Shumpert misses 2-pt shot from 15 ft
1:40.0,Defensive rebound by G. Antetokounmpo,,17-26,,
1:35.0,,,17-26,,Shooting block foul by T. Thompson (drawn by G. Antetokounmpo)
1:35.0,G. Antetokounmpo makes free throw 1 of 2,1,18-26,,
1:35.0,G. Antetokounmpo makes free throw 2 of 2,1,19-26,,
1:35.0,,,18-26,,C. Frye enters the game for T. Thompson
1:19.0,,,19-28,2,R. Jefferson makes 2-pt shot from 1 ft (assist by K. Irving)
1:03.0,M. Brogdon misses 2-pt shot from 15 ft (block by R. Jefferson),,19-28,,
1:02.0,,,19-28,,Defensive rebound by J. McRae
0:46.0,,,19-31,3,I. Shumpert makes 3-pt shot from 25 ft (assist by K. Irving)
0:36.0,G. Monroe misses 2-pt shot from 1 ft,,19-31,,
0:36.0,,,19-31,,Defensive rebound by J. McRae
0:31.0,,,19-31,,Turnover by K. Irving (palming)
0:31.0,,,19-31,,M. Dunleavy enters the game for R. Jefferson
0:31.0,,,19-31,,D. Liggins enters the game for K. Irving
0:13.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,21-31,,
0:13.0,Shooting foul by D. Liggins (drawn by G. Antetokounmpo),,21-31,,
0:13.0,G. Antetokounmpo makes free throw 1 of 1,1,22-31,,
0:02.0,,,22-31,,J. McRae misses 2-pt shot from 14 ft
0:01.0,Defensive rebound by G. Monroe,,22-31,,
0:00.0,G. Monroe misses 3-pt shot from 62 ft,,22-31,,
0:00.0,Offensive rebound by Team,,22-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,22-31,,L. James misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
11:48.0,Defensive rebound by G. Monroe,,22-31,,
11:42.0,Shooting foul by C. Frye (drawn by G. Antetokounmpo),,22-31,,
11:42.0,G. Antetokounmpo makes free throw 1 of 2,1,23-31,,
11:42.0,G. Antetokounmpo makes free throw 2 of 2,1,24-31,,
11:31.0,Personal foul by G. Monroe (drawn by C. Frye),,24-31,,
11:25.0,,,24-31,,M. Dunleavy misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by G. Monroe,,24-31,,
11:12.0,Offensive foul by M. Brogdon,,24-31,,
11:12.0,Turnover by M. Brogdon (offensive foul),,24-31,,
10:56.0,,,24-31,,Turnover by L. James (bad pass; steal by M. Brogdon)
10:43.0,G. Monroe misses 2-pt shot from 8 ft,,24-31,,
10:43.0,,,24-31,,Defensive rebound by L. James
10:24.0,,,24-33,2,C. Frye makes 2-pt shot from 18 ft (assist by L. James)
10:00.0,G. Monroe makes 2-pt shot at rim (assist by J. Terry),2,26-33,,
9:45.0,,,26-36,3,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James)
9:32.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon),2,28-36,,
9:13.0,,,28-38,2,J. McRae makes 2-pt shot from 2 ft (assist by M. Dunleavy)
8:51.0,G. Monroe misses 2-pt shot from 6 ft (block by I. Shumpert),,28-38,,
8:50.0,,,28-38,,Defensive rebound by L. James
8:46.0,,,28-38,,L. James misses 2-pt shot from 1 ft
8:45.0,Defensive rebound by M. Brogdon,,28-38,,
8:39.0,Shooting foul by J. McRae (drawn by G. Antetokounmpo),,28-38,,
8:39.0,,,28-38,,Technical foul by J. McRae (drawn by G. Antetokounmpo)
8:39.0,Technical foul by G. Monroe,,28-38,,
8:39.0,Official timeout,,28-38,,
8:39.0,G. Antetokounmpo makes free throw 1 of 2,1,29-38,,
8:39.0,G. Antetokounmpo makes free throw 2 of 2,1,30-38,,
8:39.0,M. Dellavedova enters the game for M. Brogdon,,28-38,,
8:39.0,M. Plumlee enters the game for G. Monroe,,28-38,,
8:29.0,,,30-40,2,L. James makes 2-pt shot from 3 ft (assist by M. Dunleavy)
8:29.0,,,30-40,,Shooting foul by J. Terry (drawn by L. James)
8:29.0,,,30-41,1,L. James makes free throw 1 of 1
8:09.0,M. Plumlee misses 2-pt shot from 6 ft,,30-41,,
8:07.0,,,30-41,,Defensive rebound by L. James
8:00.0,,,30-41,,I. Shumpert misses 3-pt shot from 23 ft
8:00.0,Defensive rebound by G. Antetokounmpo,,30-41,,
7:51.0,T. Snell makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,33-41,,
7:34.0,,,33-41,,C. Frye misses 3-pt shot from 23 ft
7:34.0,Defensive rebound by M. Dellavedova,,33-41,,
7:24.0,Turnover by G. Antetokounmpo (lost ball; steal by J. McRae),,33-41,,
7:19.0,,,33-41,,Turnover by J. McRae (bad pass)
7:19.0,,,33-41,,K. Irving enters the game for J. McRae
7:04.0,M. Dellavedova misses 3-pt shot from 25 ft,,33-41,,
7:03.0,,,33-41,,Defensive rebound by I. Shumpert
6:59.0,,,33-41,,Shooting foul by T. Snell (drawn by K. Irving)
6:59.0,,,33-42,1,K. Irving makes free throw 1 of 2
6:59.0,,,33-42,,K. Irving misses free throw 2 of 2
6:59.0,J. Parker enters the game for T. Snell,,33-42,,
6:59.0,,,33-42,,T. Thompson enters the game for M. Dunleavy
6:57.0,Defensive rebound by G. Antetokounmpo,,33-42,,
6:41.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,33-42,,
6:41.0,,,33-42,,Defensive rebound by L. James
6:22.0,,,33-45,3,L. James makes 3-pt shot from 23 ft (assist by K. Irving)
5:54.0,M. Dellavedova makes 2-pt shot from 15 ft,2,35-45,,
5:44.0,,,35-48,3,L. James makes 3-pt shot from 26 ft (assist by K. Irving)
5:42.0,Milwaukee full timeout,,35-48,,
5:42.0,J. Henson enters the game for M. Plumlee,,35-48,,
5:26.0,J. Parker misses 2-pt shot from 17 ft,,35-48,,
5:26.0,,,35-48,,Defensive rebound by C. Frye
5:11.0,,,35-51,3,L. James makes 3-pt shot from 26 ft (assist by K. Irving)
5:06.0,,,35-51,,R. Jefferson enters the game for L. James
4:51.0,J. Parker makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,38-51,,
4:24.0,,,38-51,,R. Jefferson misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by J. Henson,,38-51,,
4:20.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,40-51,,
4:20.0,Shooting foul by C. Frye (drawn by G. Antetokounmpo),,40-51,,
4:20.0,G. Antetokounmpo makes free throw 1 of 1,1,41-51,,
4:08.0,,,41-51,,Shooting foul by M. Dellavedova (drawn by K. Irving)
4:08.0,,,41-52,1,K. Irving makes free throw 1 of 3
4:08.0,,,41-53,1,K. Irving makes free throw 2 of 3
4:08.0,,,41-54,1,K. Irving makes free throw 3 of 3
4:08.0,,,41-53,,D. Liggins enters the game for C. Frye
